"neniu"-determiner-eo "either"-determiner-en
"obskura"-adjective-eo "obscure"-verb-en
"obscure"-adjective-en "obskura"-adjective-eo
"obscure"-adjective-en "malluma"-adjective-eo
"obscure"-adjective-en "malhela"-adjective-eo
"obscure"-verb-en "obskura"-adjective-eo
"obscure"-verb-en "malluma"-adjective-eo
"obscure"-verb-en "malhela"-adjective-eo
"malluma"-adjective-eo "obscure"-adjective-en
"malluma"-adjective-eo "obscure"-verb-en
"malhela"-adjective-eo "obscure"-adjective-en
"malhela"-adjective-eo "obscure"-verb-en
"afabla"-adjective-eo "affectionate"-adjective-en
"affectionate"-adjective-en "afabla"-adjective-eo
"affectionate"-adjective-en "tenera"-adjective-eo
"tenera"-adjective-eo "affectionate"-adjective-en
"deviga"-adjective-eo "binding"-adjective-en
"binding"-adjective-en "deviga"-adjective-eo
"bela"-adjective-eo "good-looking"-adjective-en
"bela"-adjective-eo "handsome"-adjective-en
"good-looking"-adjective-en "bela"-adjective-eo
"handsome"-adjective-en "bela"-adjective-eo
"mallonga"-adjective-eo "witless"-adjective-en
"witless"-adjective-en "mallonga"-adjective-eo
"netaŭga"-adjective-eo "inadequate"-adjective-en
"inadequate"-adjective-en "netaŭga"-adjective-eo
"malkomforta"-adjective-eo "awkward"-adjective-en
"awkward"-adjective-en "malkomforta"-adjective-eo
"serioza"-adjective-eo "serious"-adjective-en
"serious"-adjective-en "serioza"-adjective-eo
"sekura"-adjective-eo "confident"-adjective-en
"sekura"-adjective-eo "certain"-adjective-en
"confident"-adjective-en "sekura"-adjective-eo
"certain"-adjective-en "sekura"-adjective-eo
"secure"-adjective-en "certa"-adjective-eo
"certa"-adjective-eo "secure"-adjective-en
"utila"-adjective-eo "profitable"-adjective-en
"profitable"-adjective-en "utila"-adjective-eo
"taŭga"-adjective-eo "proper"-adjective-en
"taŭga"-adjective-eo "appropriate"-adjective-en
"taŭga"-adjective-eo "adequate"-adjective-en
"proper"-adjective-en "taŭga"-adjective-eo
"proper"-adjective-en "adekvata"-adjective-eo
"appropriate"-adjective-en "taŭga"-adjective-eo
"appropriate"-adjective-en "adekvata"-adjective-eo
"adequate"-adjective-en "taŭga"-adjective-eo
"adekvata"-adjective-eo "proper"-adjective-en
"adekvata"-adjective-eo "appropriate"-adjective-en
"adekvata"-adjective-eo "suitable"-adjective-en
"suitable"-adjective-en "adekvata"-adjective-eo
"sincera"-adjective-eo "honest"-adjective-en
"sincera"-adjective-eo "straightforward"-adjective-en
"honest"-adjective-en "sincera"-adjective-eo
"straightforward"-adjective-en "sincera"-adjective-eo
"komuna"-adjective-eo "common"-adjective-en
"common"-adjective-en "komuna"-adjective-eo
"rekta"-adjective-eo "right"-adjective-en
"rekta"-adjective-eo "right-hand"-adjective-en
"right"-adjective-en "rekta"-adjective-eo
"right-hand"-adjective-en "rekta"-adjective-eo
"malsama"-adjective-eo "distinct"-adjective-en
"distinct"-adjective-en "malsama"-adjective-eo
"diversa"-adjective-eo "varied"-adjective-en
"varied"-adjective-en "diversa"-adjective-eo
"stranga"-adjective-eo "bizarre"-adjective-en
"bizarre"-adjective-en "stranga"-adjective-eo
"emfazi"-verb-eo "highlight"-verb-en
"highlight"-verb-en "emfazi"-verb-eo
"score"-verb-en "poenti"-verb-eo
"poenti"-verb-eo "score"-verb-en
"malfiksi"-verb-eo "release"-verb-en
"malfiksi"-verb-eo "drop"-verb-en
"release"-verb-en "malfiksi"-verb-eo
"drop"-verb-en "malfiksi"-verb-eo
"drop"-verb-en "descendi"-verb-eo
"descendi"-verb-eo "drop"-verb-en
"descendi"-verb-eo "descend"-verb-en
"descendi"-verb-eo "lower"-verb-en
"descend"-verb-en "descendi"-verb-eo
"lower"-verb-en "descendi"-verb-eo
"sturmi"-verb-eo "assault"-verb-en
"assault"-verb-en "sturmi"-verb-eo
"konfiski"-verb-eo "seize"-verb-en
"seize"-verb-en "konfiski"-verb-eo
"evade"-verb-en "eskapi"-verb-eo
"eskapi"-verb-eo "evade"-verb-en
"escape"-verb-en "fuĝi"-verb-eo
"fuĝi"-verb-eo "escape"-verb-en
"atribui"-verb-eo "assign"-verb-en
"assign"-verb-en "atribui"-verb-eo
"koncesii"-verb-eo "grant"-verb-en
"grant"-verb-en "koncesii"-verb-eo
"grant"-verb-en "koncedi"-verb-eo
"koncedi"-verb-eo "grant"-verb-en
"reverse"-verb-en "investi"-verb-eo
"investi"-verb-eo "reverse"-verb-en
"aneksi"-verb-eo "attach"-verb-en
"aneksi"-verb-eo "append"-verb-en
"attach"-verb-en "aneksi"-verb-eo
"append"-verb-en "aneksi"-verb-eo
"argue"-verb-en "diskuti"-verb-eo
"diskuti"-verb-eo "argue"-verb-en
"lean"-verb-en "apogi"-verb-eo
"back"-verb-en "apogi"-verb-eo
"tordi"-verb-eo "curve"-verb-en
"curve"-verb-en "tordi"-verb-eo
"ĝiri"-verb-eo "turn"-verb-en
"ĝiri"-verb-eo "spin"-verb-en
"turn"-verb-en "ĝiri"-verb-eo
"spin"-verb-en "ĝiri"-verb-eo
"implici"-verb-eo "involve"-verb-en
"involve"-verb-en "implici"-verb-eo
"unika"-adjective-eo "only"-adjective-en
"unika"-adjective-eo "sole"-adjective-en
"only"-adjective-en "unika"-adjective-eo
"only"-adjective-en "sola"-adjective-eo
"sole"-adjective-en "unika"-adjective-eo
"sola"-adjective-eo "only"-adjective-en
"sola"-adjective-eo "unique"-adjective-en
"sola"-adjective-eo "single"-adjective-en
"unique"-adjective-en "sola"-adjective-eo
"single"-adjective-en "sola"-adjective-eo
"malnova"-adjective-eo "antique"-adjective-en
"malnova"-adjective-eo "ancient"-adjective-en
"antique"-adjective-en "malnova"-adjective-eo
"ancient"-adjective-en "malnova"-adjective-eo
"rude"-adjective-en "maldelikata"-adjective-eo
"maldelikata"-adjective-eo "rude"-adjective-en
"rugged"-adjective-en "abrupta"-adjective-eo
"abrupta"-adjective-eo "rugged"-adjective-en
"akra"-adjective-eo "acute"-adjective-en
"acute"-adjective-en "akra"-adjective-eo
"ruza"-adjective-eo "astute"-adjective-en
"astute"-adjective-en "ruza"-adjective-eo
"sprita"-adjective-eo "inventive"-adjective-en
"sprita"-adjective-eo "ingenious"-adjective-en
"inventive"-adjective-en "sprita"-adjective-eo
"ingenious"-adjective-en "sprita"-adjective-eo
"fiksi"-verb-eo "appoint"-verb-en
"fiksi"-verb-eo "fix"-verb-en
"appoint"-verb-en "fiksi"-verb-eo
"fix"-verb-en "fiksi"-verb-eo
"ripari"-verb-eo "redress"-verb-en
"ripari"-verb-eo "arrange"-verb-en
"redress"-verb-en "ripari"-verb-eo
"arrange"-verb-en "ripari"-verb-eo
"stimuli"-verb-eo "boost"-verb-en
"boost"-verb-en "stimuli"-verb-eo
"ŝalti"-verb-eo "light"-verb-en
"light"-verb-en "ŝalti"-verb-eo
"anstataŭi"-verb-eo "relieve"-verb-en
"anstataŭi"-verb-eo "substitute"-verb-en
"relieve"-verb-en "anstataŭi"-verb-eo
"substitute"-verb-en "anstataŭi"-verb-eo
"adapti"-verb-eo "suit"-verb-en
"suit"-verb-en "adapti"-verb-eo
"watch"-verb-en "alrigardi"-verb-eo
"watch"-verb-en "gvati"-verb-eo
"alrigardi"-verb-eo "watch"-verb-en
"alrigardi"-verb-eo "glance"-verb-en
"gvati"-verb-eo "watch"-verb-en
"gvati"-verb-eo "threaten"-verb-en
"glance"-verb-en "alrigardi"-verb-eo
"threaten"-verb-en "gvati"-verb-eo
"informi"-verb-eo "report"-verb-en
"informi"-verb-eo "brief"-verb-en
"report"-verb-en "informi"-verb-eo
"brief"-verb-en "informi"-verb-eo
"flegi"-verb-eo "take care"-verb-en
"take care"-verb-en "flegi"-verb-eo
"kultivi"-verb-eo "grow"-verb-en
"kultivi"-verb-eo "farm"-verb-en
"grow"-verb-en "kultivi"-verb-eo
"farm"-verb-en "kultivi"-verb-eo
"converse"-verb-en "paroli"-verb-eo
"paroli"-verb-eo "converse"-verb-en
"kolizii"-verb-eo "clash"-verb-en
"kolizii"-verb-eo "conflict"-verb-en
"kolizii"-verb-eo "bump"-verb-en
"clash"-verb-en "kolizii"-verb-eo
"conflict"-verb-en "kolizii"-verb-eo
"bump"-verb-en "kolizii"-verb-eo
"stiri"-verb-eo "drive"-verb-en
"stiri"-verb-eo "conduct"-verb-en
"stiri"-verb-eo "pilot"-verb-en
"drive"-verb-en "stiri"-verb-eo
"conduct"-verb-en "stiri"-verb-eo
"pilot"-verb-en "stiri"-verb-eo
"koncentri"-verb-eo "mass"-verb-en
"mass"-verb-en "koncentri"-verb-eo
"growl"-verb-en "grunti"-verb-eo
"grunti"-verb-eo "growl"-verb-en
"test"-verb-en "provi"-verb-eo
"provi"-verb-eo "test"-verb-en
"munti"-verb-eo "mount"-verb-en
"munti"-verb-eo "ride"-verb-en
"mount"-verb-en "munti"-verb-eo
"ride"-verb-en "munti"-verb-eo
"ascendi"-verb-eo "climb"-verb-en
"ascendi"-verb-eo "rise"-verb-en
"climb"-verb-en "ascendi"-verb-eo
"rise"-verb-en "ascendi"-verb-eo
"loki"-verb-eo "situate"-verb-en
"situate"-verb-en "loki"-verb-eo
"koncepti"-verb-eo "contrive"-verb-en
"contrive"-verb-en "koncepti"-verb-eo
"kolekti"-verb-eo "pick"-verb-en
"pick"-verb-en "kolekti"-verb-eo
"dolĉa"-adjective-eo "mellow"-adjective-en
"mellow"-adjective-en "dolĉa"-adjective-eo
"terura"-adjective-eo "frightful"-adjective-en
"frightful"-adjective-en "terura"-adjective-eo
"hida"-adjective-eo "ghastly"-adjective-en
"hida"-adjective-eo "horrifying"-adjective-en
"ghastly"-adjective-en "hida"-adjective-eo
"horrifying"-adjective-en "hida"-adjective-eo
"glorious"-adjective-en "superba"-adjective-eo
"superba"-adjective-eo "glorious"-adjective-en
"superba"-adjective-eo "grand"-adjective-en
"superba"-adjective-eo "magnificent"-adjective-en
"grand"-adjective-en "superba"-adjective-eo
"magnificent"-adjective-en "superba"-adjective-eo
"magnificent"-adjective-en "grandioza"-adjective-eo
"grandioza"-adjective-eo "magnificent"-adjective-en
"fantazia"-adjective-eo "fantastic"-adjective-en
"fantastic"-adjective-en "fantazia"-adjective-eo
"peza"-adjective-eo "cumbersome"-adjective-en
"cumbersome"-adjective-en "peza"-adjective-eo
"sombra"-adjective-eo "melancholic"-adjective-en
"melancholic"-adjective-en "sombra"-adjective-eo
"multekosta"-adjective-eo "expensive"-adjective-en
"expensive"-adjective-en "multekosta"-adjective-eo
"atenta"-adjective-eo "attentive"-adjective-en
"attentive"-adjective-en "atenta"-adjective-eo
"komprenema"-adjective-eo "sympathetic"-adjective-en
"sympathetic"-adjective-en "komprenema"-adjective-eo
"proksima"-adjective-eo "next"-adjective-en
"proksima"-adjective-eo "forthcoming"-adjective-en
"proksima"-adjective-eo "nearby"-adjective-en
"next"-adjective-en "proksima"-adjective-eo
"forthcoming"-adjective-en "proksima"-adjective-eo
"nearby"-adjective-en "proksima"-adjective-eo
"apuda"-adjective-eo "neighbouring"-adjective-en
"neighbouring"-adjective-en "apuda"-adjective-eo
"miserable"-adjective-en "malfeliĉa"-adjective-eo
"malfeliĉa"-adjective-eo "miserable"-adjective-en
"dekstra"-adjective-eo "right-handed"-adjective-en
"right-handed"-adjective-en "dekstra"-adjective-eo
"effective"-adjective-en "efektiva"-adjective-eo
"efektiva"-adjective-eo "effective"-adjective-en
"authentic"-adjective-en "vera"-adjective-eo
"vera"-adjective-eo "authentic"-adjective-en
"firma"-adjective-eo "adamant"-adjective-en
"adamant"-adjective-en "firma"-adjective-eo
"maltrankvila"-adjective-eo "restless"-adjective-en
"restless"-adjective-en "maltrankvila"-adjective-eo
"energia"-adjective-eo "forceful"-adjective-en
"forceful"-adjective-en "energia"-adjective-eo
"fluida"-adjective-eo "fluent"-adjective-en
"fluent"-adjective-en "fluida"-adjective-eo
"cause"-verb-en "provoki"-verb-eo
"provoki"-verb-eo "cause"-verb-en
"provoki"-verb-eo "trigger"-verb-en
"trigger"-verb-en "provoki"-verb-eo
"bati"-verb-eo "hit"-verb-en
"hit"-verb-en "bati"-verb-eo
"emocii"-verb-eo "thrill"-verb-en
"thrill"-verb-en "emocii"-verb-eo
"afekcii"-verb-eo "affect"-verb-en
"affect"-verb-en "afekcii"-verb-eo
"miksi"-verb-eo "scramble"-verb-en
"scramble"-verb-en "miksi"-verb-eo
"sakri"-verb-eo "complain"-verb-en
"complain"-verb-en "sakri"-verb-eo
"inundi"-verb-eo "drown"-verb-en
"drown"-verb-en "inundi"-verb-eo
"plead"-verb-en "pledi"-verb-eo
"pledi"-verb-eo "plead"-verb-en
"bankroti"-verb-eo "break"-verb-en
"break"-verb-en "bankroti"-verb-eo
"garni"-verb-eo "adorn"-verb-en
"adorn"-verb-en "garni"-verb-eo
"humida"-adjective-eo "damp"-adjective-en
"damp"-adjective-en "humida"-adjective-eo
"defendi"-verb-eo "advocate"-verb-en
"advocate"-verb-en "defendi"-verb-eo
"lukti"-verb-eo "fight"-verb-en
"fight"-verb-en "lukti"-verb-eo
"elekti"-verb-eo "elect"-adjective-en
"elect"-adjective-en "elekti"-verb-eo
"inkludi"-verb-eo "include"-verb-en
"include"-verb-en "inkludi"-verb-eo
"mergi"-verb-eo "plunge"-verb-en
"plunge"-verb-en "mergi"-verb-eo
"lightweight"-adjective-en "leĝera"-adjective-eo
"leĝera"-adjective-eo "lightweight"-adjective-en
"precarious"-adjective-en "malstabila"-adjective-eo
"malstabila"-adjective-eo "precarious"-adjective-en
"gaja"-adjective-eo "festive"-adjective-en
"festive"-adjective-en "gaja"-adjective-eo
"voluntary"-adjective-en "propravola"-adjective-eo
"propravola"-adjective-eo "voluntary"-adjective-en
"prolific"-adjective-en "fekunda"-adjective-eo
"fekunda"-adjective-eo "prolific"-adjective-en
"await"-verb-en "ĝisatendi"-verb-eo
"ĝisatendi"-verb-eo "await"-verb-en
"ĝisatendi"-verb-eo "hope"-verb-en
"ĝisatendi"-verb-eo "wait"-verb-en
"hope"-verb-en "ĝisatendi"-verb-eo
"wait"-verb-en "ĝisatendi"-verb-eo
"stand"-verb-en "esti"-verb-eo
"esti"-verb-eo "stand"-verb-en
"sensible"-adjective-en "saĝa"-adjective-eo
"saĝa"-adjective-eo "sensible"-adjective-en
"hundred"-numeral-en "mil"-numeral-eo
"mil"-numeral-eo "hundred"-numeral-en
"sed"-coordinatingConjunction-eo "but rather"-coordinatingConjunction-en
"but rather"-coordinatingConjunction-en "sed"-coordinatingConjunction-eo
"or"-coordinatingConjunction-en "nek"-coordinatingConjunction-eo
"nek"-coordinatingConjunction-eo "or"-coordinatingConjunction-en
"paralele"-adverb-eo "simultaneously"-adverb-en
"simultaneously"-adverb-en "paralele"-adverb-eo
"krome"-adverb-eo "besides"-adverb-en
"krome"-adverb-eo "additionally"-adverb-en
"krome"-adverb-eo "furthermore"-adverb-en
"besides"-adverb-en "krome"-adverb-eo
"additionally"-adverb-en "krome"-adverb-eo
"furthermore"-adverb-en "krome"-adverb-eo
"ekstere"-adverb-eo "away"-adverb-en
"away"-adverb-en "ekstere"-adverb-eo
"sube"-adverb-eo "underneath"-adverb-en
"sube"-adverb-eo "down"-adverb-en
"sube"-adverb-eo "low"-adverb-en
"sube"-adverb-eo "under"-adverb-en
"underneath"-adverb-en "sube"-adverb-eo
"down"-adverb-en "sube"-adverb-eo
"low"-adverb-en "sube"-adverb-eo
"under"-adverb-en "sube"-adverb-eo
"neniam"-adverb-eo "ever"-adverb-en
"ever"-adverb-en "neniam"-adverb-eo
"soon"-adverb-en "frue"-adverb-eo
"frue"-adverb-eo "soon"-adverb-en
"baldaŭ"-adverb-eo "early"-adverb-en
"early"-adverb-en "baldaŭ"-adverb-eo
"denove"-adverb-eo "newly"-adverb-en
"newly"-adverb-en "denove"-adverb-eo
"supre"-adverb-eo "upward"-adverb-en
"supre"-adverb-eo "above"-adverb-en
"supre"-adverb-eo "on"-adverb-en
"supre"-adverb-eo "uppermost"-adverb-en
"upward"-adverb-en "supre"-adverb-eo
"above"-adverb-en "supre"-adverb-eo
"on"-adverb-en "supre"-adverb-eo
"uppermost"-adverb-en "supre"-adverb-eo
"sometimes"-adverb-en "kelkfoje"-adverb-eo
"kelkfoje"-adverb-eo "sometimes"-adverb-en
"seism"-noun-en "sismo"-noun-eo
"sismo"-noun-eo "seism"-noun-en
"TV"-noun-en "televidilo"-noun-eo
"televidilo"-noun-eo "TV"-noun-en
"ekonomio"-noun-eo "economics"-noun-en
"economics"-noun-en "ekonomio"-noun-eo
"consciousness"-noun-en "konscienco"-noun-eo
"konscienco"-noun-eo "consciousness"-noun-en
"referee"-noun-en "arbitraciisto"-noun-eo
"arbitraciisto"-noun-eo "referee"-noun-en
"instrua"-adjective-eo "educational"-adjective-en
"educational"-adjective-en "instrua"-adjective-eo
"usona"-adjective-eo "North American"-adjective-en
"North American"-adjective-en "usona"-adjective-eo
"voĉa"-adjective-eo "audible"-adjective-en
"audible"-adjective-en "voĉa"-adjective-eo
"meza"-adjective-eo "half"-adjective-en
"meza"-adjective-eo "average"-adjective-en
"half"-adjective-en "meza"-adjective-eo
"average"-adjective-en "meza"-adjective-eo
"moderna"-adjective-eo "state-of-the-art"-adjective-en
"state-of-the-art"-adjective-en "moderna"-adjective-eo
"denaska"-adjective-eo "native"-adjective-en
"native"-adjective-en "denaska"-adjective-eo
"konkreta"-adjective-eo "specific"-adjective-en
"specific"-adjective-en "konkreta"-adjective-eo
"ekonomia"-adjective-eo "inexpensive"-adjective-en
"inexpensive"-adjective-en "ekonomia"-adjective-eo
"administrative"-adjective-en "administra"-adjective-eo
"administra"-adjective-eo "administrative"-adjective-en
"infectious"-adjective-en "kontaĝa"-adjective-eo
"kontaĝa"-adjective-eo "infectious"-adjective-en
"rekuperi"-verb-eo "regain"-verb-en
"rekuperi"-verb-eo "recuperate"-verb-en
"rekuperi"-verb-eo "retrieve"-verb-en
"regain"-verb-en "rekuperi"-verb-eo
"recuperate"-verb-en "rekuperi"-verb-eo
"retrieve"-verb-en "rekuperi"-verb-eo
"indukti"-verb-eo "induce"-verb-en
"induce"-verb-en "indukti"-verb-eo
"gratifiki"-verb-eo "gratify"-verb-en
"gratify"-verb-en "gratifiki"-verb-eo
"akumuli"-verb-eo "accumulate"-verb-en
"accumulate"-verb-en "akumuli"-verb-eo
"selekti"-verb-eo "select"-verb-en
"select"-verb-en "selekti"-verb-eo
"simuli"-verb-eo "simulate"-verb-en
"simulate"-verb-en "simuli"-verb-eo
"kontaĝi"-verb-eo "infect"-verb-en
"infect"-verb-en "kontaĝi"-verb-eo
"sekigi"-verb-eo "wipe"-verb-en
"wipe"-verb-en "sekigi"-verb-eo
"aklami"-verb-eo "cheer"-verb-en
"cheer"-verb-en "aklami"-verb-eo
"printi"-verb-eo "list"-verb-en
"list"-verb-en "printi"-verb-eo
"tuso"-noun-eo "coughing"-noun-en
"coughing"-noun-en "tuso"-noun-eo
"pants"-noun-en "kalsono"-noun-eo
"kalsono"-noun-eo "pants"-noun-en
"theirs"-adjective-en "lia"-adjective-eo
"lia"-adjective-eo "theirs"-adjective-en
"lia"-adjective-eo "hers"-adjective-en
"hers"-adjective-en "lia"-adjective-eo
"angrily"-adverb-en "furioze"-adverb-eo
"furioze"-adverb-eo "angrily"-adverb-en
"ŝajne"-adverb-eo "ostensibly"-adverb-en
"ostensibly"-adverb-en "ŝajne"-adverb-eo
"unashamedly"-adverb-en "senhonte"-adverb-eo
"senhonte"-adverb-eo "unashamedly"-adverb-en
"malbone"-adverb-eo "wrong"-adverb-en
"malbone"-adverb-eo "badly"-adverb-en
"malbone"-adverb-eo "poorly"-adverb-en
"wrong"-adverb-en "malbone"-adverb-eo
"badly"-adverb-en "malbone"-adverb-eo
"poorly"-adverb-en "malbone"-adverb-eo
"sincere"-adverb-eo "genuinely"-adverb-en
"sincere"-adverb-eo "earnestly"-adverb-en
"sincere"-adverb-eo "outright"-adverb-en
"sincere"-adverb-eo "frankly"-adverb-en
"sincere"-adverb-eo "to tell the truth"-adverb-en
"genuinely"-adverb-en "sincere"-adverb-eo
"earnestly"-adverb-en "sincere"-adverb-eo
"outright"-adverb-en "sincere"-adverb-eo
"frankly"-adverb-en "sincere"-adverb-eo
"to tell the truth"-adverb-en "sincere"-adverb-eo
"desperately"-adverb-en "senespere"-adverb-eo
"senespere"-adverb-eo "desperately"-adverb-en
"drastically"-adverb-en "draste"-adverb-eo
"draste"-adverb-eo "drastically"-adverb-en
"feliĉe"-adverb-eo "fortunately"-adverb-en
"feliĉe"-adverb-eo "luckily"-adverb-en
"fortunately"-adverb-en "feliĉe"-adverb-eo
"luckily"-adverb-en "feliĉe"-adverb-eo
"interne"-adverb-eo "in"-adverb-en
"interne"-adverb-eo "within"-adverb-en
"in"-adverb-en "interne"-adverb-eo
"in"-adverb-en "ene"-adverb-eo
"within"-adverb-en "interne"-adverb-eo
"ene"-adverb-eo "in"-adverb-en
"laŭleĝe"-adverb-eo "legitimately"-adverb-en
"legitimately"-adverb-en "laŭleĝe"-adverb-eo
"amase"-adverb-eo "massively"-adverb-en
"massively"-adverb-en "amase"-adverb-eo
"unuflanke"-adverb-eo "unilaterally"-adverb-en
"unilaterally"-adverb-en "unuflanke"-adverb-eo
"malofte"-adverb-eo "seldom"-adverb-en
"seldom"-adverb-en "malofte"-adverb-eo
"timeme"-adverb-eo "shyly"-adverb-en
"shyly"-adverb-en "timeme"-adverb-eo
"strateto"-noun-eo "alley"-noun-en
"alley"-noun-en "strateto"-noun-eo
"hispana"-adjective-eo "hispanic"-adjective-en
"hispanic"-adjective-en "hispana"-adjective-eo
"universitata"-adjective-eo "college"-adjective-en
"college"-adjective-en "universitata"-adjective-eo
"furioza"-adjective-eo "frantic"-adjective-en
"frantic"-adjective-en "furioza"-adjective-eo
"ofenda"-adjective-eo "offensive"-adjective-en
"offensive"-adjective-en "ofenda"-adjective-eo
"pitoreska"-adjective-eo "quaint"-adjective-en
"quaint"-adjective-en "pitoreska"-adjective-eo
"dizerti"-verb-eo "defect"-verb-en
"defect"-verb-en "dizerti"-verb-eo
"lifeless"-adjective-en "inerta"-adjective-eo
"inerta"-adjective-eo "lifeless"-adjective-en
"monstrous"-adjective-en "monstra"-adjective-eo
"monstra"-adjective-eo "monstrous"-adjective-en
"franda"-adjective-eo "appetizing"-adjective-en
"appetizing"-adjective-en "franda"-adjective-eo
