"the other"-pronoun-en "l'altre"-pronoun-ca
"desencriptar"-verb-ca "decrypt"-verb-en
"deforest"-verb-en "desforestar"-verb-ca
"desforestar"-verb-ca "deforest"-verb-en
"degas"-verb-en "desgasar"-verb-ca
"desgasar"-verb-ca "degas"-verb-en
"depaginate"-verb-en "descompaginar"-verb-ca
"descompaginar"-verb-ca "depaginate"-verb-en
"deselect"-verb-en "desseleccionar"-verb-ca
"desseleccionar"-verb-ca "deselect"-verb-en
"desulphurise"-verb-en "dessulfurar"-verb-ca
"dessulfurar"-verb-ca "desulphurise"-verb-en
"detoxicate"-verb-en "desintoxicar"-verb-ca
"desintoxicar"-verb-ca "detoxicate"-verb-en
"disenfranchise"-verb-en "privar del dret a vot"-verb-ca
"privar del dret a vot"-verb-ca "disenfranchise"-verb-en
"disinflate"-verb-en "desunflar"-verb-ca
"desunflar"-verb-ca "disinflate"-verb-en
"desunflar"-verb-ca "uninflate"-verb-en
"uninflate"-verb-en "desunflar"-verb-ca
"disinherit"-verb-en "desheretar"-verb-ca
"desheretar"-verb-ca "disinherit"-verb-en
"emboss"-verb-en "repujar"-verb-ca
"repujar"-verb-ca "emboss"-verb-en
"fantasise"-verb-en "fantasiar"-verb-ca
"fantasiar"-verb-ca "fantasise"-verb-en
"fictionalise"-verb-en "novel·litzar"-verb-ca
"novel·litzar"-verb-ca "fictionalise"-verb-en
"fight tooth and nail"-verb-en "defensar amb dents i ungles"-verb-ca
"defensar amb dents i ungles"-verb-ca "fight tooth and nail"-verb-en
"fluidise"-verb-en "fluïditzar"-verb-ca
"fluïditzar"-verb-ca "fluidise"-verb-en
"get out of a fix"-verb-en "eixir d'un mal pas"-verb-ca
"get out of a fix"-verb-en "sortir d'un mal pas"-verb-ca
"eixir d'un mal pas"-verb-ca "get out of a fix"-verb-en
"eixir d'un mal pas"-verb-ca "get out of a jam"-verb-en
"eixir d'un mal pas"-verb-ca "get out of a tight spot"-verb-en
"eixir d'un mal pas"-verb-ca "get out of trouble"-verb-en
"sortir d'un mal pas"-verb-ca "get out of a fix"-verb-en
"sortir d'un mal pas"-verb-ca "get out of a jam"-verb-en
"sortir d'un mal pas"-verb-ca "get out of a tight spot"-verb-en
"sortir d'un mal pas"-verb-ca "get out of trouble"-verb-en
"get out of a jam"-verb-en "eixir d'un mal pas"-verb-ca
"get out of a jam"-verb-en "sortir d'un mal pas"-verb-ca
"get out of a tight spot"-verb-en "eixir d'un mal pas"-verb-ca
"get out of a tight spot"-verb-en "sortir d'un mal pas"-verb-ca
"get out of trouble"-verb-en "eixir d'un mal pas"-verb-ca
"get out of trouble"-verb-en "sortir d'un mal pas"-verb-ca
"grin"-verb-en "somriure d'orella a orella"-verb-ca
"somriure d'orella a orella"-verb-ca "grin"-verb-en
"halogenate"-verb-en "halogenar"-verb-ca
"halogenar"-verb-ca "halogenate"-verb-en
"headquarter"-verb-en "enviar a l'oficina central"-verb-ca
"enviar a l'oficina central"-verb-ca "headquarter"-verb-en
"outnumber"-verb-en "superar en quantitat"-verb-ca
"superar en quantitat"-verb-ca "outnumber"-verb-en
"overlap"-verb-en "solapar"-verb-ca
"solapar"-verb-ca "overlap"-verb-en
"perform fellatio"-verb-en "practicar una felació"-verb-ca
"practicar una felació"-verb-ca "perform fellatio"-verb-en
"antecedir"-verb-ca "predate"-verb-en
"predate"-verb-en "antecedir"-verb-ca
"preedit"-verb-en "preeditar"-verb-ca
"preeditar"-verb-ca "preedit"-verb-en
"preprogram"-verb-en "preprogramar"-verb-ca
"preprogramar"-verb-ca "preprogram"-verb-en
"randomise"-verb-en "distribuir a l'atzar"-verb-ca
"distribuir a l'atzar"-verb-ca "randomise"-verb-en
"rebrand"-verb-en "renombrar"-verb-ca
"renombrar"-verb-ca "rebrand"-verb-en
"redesignate"-verb-en "redesignar"-verb-ca
"redesignar"-verb-ca "redesignate"-verb-en
"reformat"-verb-en "reformatar"-verb-ca
"reformatar"-verb-ca "reformat"-verb-en
"reubicar"-verb-ca "resettle"-verb-en
"resettle"-verb-en "reubicar"-verb-ca
"remix"-verb-en "remesclar"-verb-ca
"remesclar"-verb-ca "remix"-verb-en
"retitle"-verb-en "retitular"-verb-ca
"retitular"-verb-ca "retitle"-verb-en
"revere"-verb-en "reverir"-verb-ca
"reverir"-verb-ca "revere"-verb-en
"sandblast"-verb-en "sorrejar"-verb-ca
"sorrejar"-verb-ca "sandblast"-verb-en
"començar de nou"-verb-ca "start anew"-verb-en
"start anew"-verb-en "començar de nou"-verb-ca
"subsume"-verb-en "subsumir"-verb-ca
"subsumir"-verb-ca "subsume"-verb-en
"supersaturate"-verb-en "sobresaturar"-verb-ca
"sobresaturar"-verb-ca "supersaturate"-verb-en
"unbalance"-verb-en "desquadrar"-verb-ca
"desquadrar"-verb-ca "unbalance"-verb-en
"unclog"-verb-en "desembossar"-verb-ca
"desembossar"-verb-ca "unclog"-verb-en
"underlet"-verb-en "sotsarrendar"-verb-ca
"sotsarrendar"-verb-ca "underlet"-verb-en
"undervalue"-verb-en "infravalorar"-verb-ca
"infravalorar"-verb-ca "undervalue"-verb-en
"Cinque Terre"-properNoun-en "Cinque Terre"-properNoun-ca
"Cinque Terre"-properNoun-ca "Cinque Terre"-properNoun-en
"Docklands"-properNoun-en "Docklands"-properNoun-ca
"Docklands"-properNoun-ca "Docklands"-properNoun-en
"Midlands"-properNoun-en "Midlands"-properNoun-ca
"Midlands"-properNoun-ca "Midlands"-properNoun-en
"Amstrad"-properNoun-en "Amstrad"-properNoun-ca
"Amstrad"-properNoun-ca "Amstrad"-properNoun-en
"Amtrak"-properNoun-en "Amtrak"-properNoun-ca
"Amtrak"-properNoun-ca "Amtrak"-properNoun-en
"Baroque"-properNoun-en "Barroc"-properNoun-ca
"Barroc"-properNoun-ca "Baroque"-properNoun-en
"Budweiser"-properNoun-en "Budweiser"-properNoun-ca
"Budweiser"-properNoun-ca "Budweiser"-properNoun-en
"Cessna"-properNoun-en "Cessna"-properNoun-ca
"Cessna"-properNoun-ca "Cessna"-properNoun-en
"Chevrolet"-properNoun-en "Chevrolet"-properNoun-ca
"Chevrolet"-properNoun-ca "Chevrolet"-properNoun-en
"Chrono Trigger"-properNoun-en "Chrono Trigger"-properNoun-ca
"Chrono Trigger"-properNoun-ca "Chrono Trigger"-properNoun-en
"Chrono"-properNoun-en "Chrono"-properNoun-ca
"Chrono"-properNoun-ca "Chrono"-properNoun-en
"ClearType"-properNoun-en "ClearType"-properNoun-ca
"ClearType"-properNoun-ca "ClearType"-properNoun-en
"Coldcut"-properNoun-en "Coldcut"-properNoun-ca
"Coldcut"-properNoun-ca "Coldcut"-properNoun-en
"Commodore"-properNoun-en "Commodore"-properNoun-ca
"Commodore"-properNoun-ca "Commodore"-properNoun-en
"Compaq"-properNoun-en "Compaq"-properNoun-ca
"Compaq"-properNoun-ca "Compaq"-properNoun-en
"Datsun"-properNoun-en "Datsun"-properNoun-ca
"Datsun"-properNoun-ca "Datsun"-properNoun-en
"Dell"-properNoun-en "Dell"-properNoun-ca
"Dell"-properNoun-ca "Dell"-properNoun-en
"Delphi"-properNoun-en "Delphi"-properNoun-ca
"Delphi"-properNoun-ca "Delphi"-properNoun-en
"Deutsche Bahn"-properNoun-en "Deutsche Bahn"-properNoun-ca
"Deutsche Bahn"-properNoun-ca "Deutsche Bahn"-properNoun-en
"Digimon"-properNoun-en "Digimon"-properNoun-ca
"Digimon"-properNoun-ca "Digimon"-properNoun-en
"DocBook"-properNoun-en "DocBook"-properNoun-ca
"DocBook"-properNoun-ca "DocBook"-properNoun-en
"Dolby"-properNoun-en "Dolby"-properNoun-ca
"Dolby"-properNoun-ca "Dolby"-properNoun-en
"DreamWorks"-properNoun-en "DreamWorks"-properNoun-ca
"DreamWorks"-properNoun-ca "DreamWorks"-properNoun-en
"Ducati"-properNoun-en "Ducati"-properNoun-ca
"Ducati"-properNoun-ca "Ducati"-properNoun-en
"Dunaliella"-properNoun-en "Dunaliella"-properNoun-ca
"Dunaliella"-properNoun-ca "Dunaliella"-properNoun-en
"Duplicati"-properNoun-en "Duplicati"-properNoun-ca
"Duplicati"-properNoun-ca "Duplicati"-properNoun-en
"Emacs"-properNoun-en "Emacs"-properNoun-ca
"Emacs"-properNoun-ca "Emacs"-properNoun-en
"Erlang"-properNoun-en "Erlang"-properNoun-ca
"Erlang"-properNoun-ca "Erlang"-properNoun-en
"EverQuest"-properNoun-en "EverQuest"-properNoun-ca
"EverQuest"-properNoun-ca "EverQuest"-properNoun-en
"Exxon"-properNoun-en "Exxon"-properNoun-ca
"Exxon"-properNoun-ca "Exxon"-properNoun-en
"FedEx"-properNoun-en "FedEx"-properNoun-ca
"FedEx"-properNoun-ca "FedEx"-properNoun-en
"FreeBSD"-properNoun-en "FreeBSD"-properNoun-ca
"FreeBSD"-properNoun-ca "FreeBSD"-properNoun-en
"Freenet"-properNoun-en "Freenet"-properNoun-ca
"Freenet"-properNoun-ca "Freenet"-properNoun-en
"Gallup"-properNoun-en "Gallup"-properNoun-ca
"Gallup"-properNoun-ca "Gallup"-properNoun-en
"GmbH"-properNoun-en "GmbH"-properNoun-ca
"GmbH"-properNoun-ca "GmbH"-properNoun-en
"Google Summer of Code"-properNoun-en "Google Summer of Code"-properNoun-ca
"Google Summer of Code"-properNoun-ca "Google Summer of Code"-properNoun-en
"Haganah"-properNoun-en "Haganah"-properNoun-ca
"Haganah"-properNoun-ca "Haganah"-properNoun-en
"HyperCard"-properNoun-en "HyperCard"-properNoun-ca
"HyperCard"-properNoun-ca "HyperCard"-properNoun-en
"Hyundai"-properNoun-en "Hyundai"-properNoun-ca
"Hyundai"-properNoun-ca "Hyundai"-properNoun-en
"Jaguar"-properNoun-en "Jaguar"-properNoun-ca
"Jaguar"-properNoun-ca "Jaguar"-properNoun-en
"JavaScript"-properNoun-en "JavaScript"-properNoun-ca
"JavaScript"-properNoun-ca "JavaScript"-properNoun-en
"Kodak"-properNoun-en "Kodak"-properNoun-ca
"Kodak"-properNoun-ca "Kodak"-properNoun-en
"Kraft"-properNoun-en "Kraft"-properNoun-ca
"Kraft"-properNoun-ca "Kraft"-properNoun-en
"Kraftwerk"-properNoun-en "Kraftwerk"-properNoun-ca
"Kraftwerk"-properNoun-ca "Kraftwerk"-properNoun-en
"Kuomintang"-properNoun-en "Kuomintang"-properNoun-ca
"Kuomintang"-properNoun-ca "Kuomintang"-properNoun-en
"LG"-properNoun-en "LG"-properNoun-ca
"LG"-properNoun-ca "LG"-properNoun-en
"LucasArts"-properNoun-en "LucasArts"-properNoun-ca
"LucasArts"-properNoun-ca "LucasArts"-properNoun-en
"Lucasfilm"-properNoun-en "Lucasfilm"-properNoun-ca
"Lucasfilm"-properNoun-ca "Lucasfilm"-properNoun-en
"Magnavox"-properNoun-en "Magnavox"-properNoun-ca
"Magnavox"-properNoun-ca "Magnavox"-properNoun-en
"MasterCard"-properNoun-en "MasterCard"-properNoun-ca
"MasterCard"-properNoun-ca "MasterCard"-properNoun-en
"Mirari"-properNoun-en "Mirari"-properNoun-ca
"Mirari"-properNoun-ca "Mirari"-properNoun-en
"Moody's"-properNoun-en "Moody's"-properNoun-ca
"Moody's"-properNoun-ca "Moody's"-properNoun-en
"Nextcloud"-properNoun-en "Nextcloud"-properNoun-ca
"Nextcloud"-properNoun-ca "Nextcloud"-properNoun-en
"Nirvana"-properNoun-en "Nirvana"-properNoun-ca
"Nirvana"-properNoun-ca "Nirvana"-properNoun-en
"Northrop Grumman"-properNoun-en "Northrop Grumman"-properNoun-ca
"Northrop Grumman"-properNoun-ca "Northrop Grumman"-properNoun-en
"Northrop"-properNoun-en "Northrop"-properNoun-ca
"Northrop"-properNoun-ca "Northrop"-properNoun-en
"OpenGL"-properNoun-en "OpenGL"-properNoun-ca
"OpenGL"-properNoun-ca "OpenGL"-properNoun-en
"OpenVMS"-properNoun-en "OpenVMS"-properNoun-ca
"OpenVMS"-properNoun-ca "OpenVMS"-properNoun-en
"PayPal"-properNoun-en "PayPal"-properNoun-ca
"PayPal"-properNoun-ca "PayPal"-properNoun-en
"Pentium"-properNoun-en "Pentium"-properNoun-ca
"Pentium"-properNoun-ca "Pentium"-properNoun-en
"Porsche"-properNoun-en "Porsche"-properNoun-ca
"Porsche"-properNoun-ca "Porsche"-properNoun-en
"RAID"-properNoun-en "RAID"-properNoun-ca
"RAID"-properNoun-ca "RAID"-properNoun-en
"RuneQuest"-properNoun-en "RuneQuest"-properNoun-ca
"RuneQuest"-properNoun-ca "RuneQuest"-properNoun-en
"Samsung"-properNoun-en "Samsung"-properNoun-ca
"Samsung"-properNoun-ca "Samsung"-properNoun-en
"Scania"-properNoun-en "Scania"-properNoun-ca
"Scania"-properNoun-ca "Scania"-properNoun-en
"Selig"-properNoun-en "Selig"-properNoun-ca
"Selig"-properNoun-ca "Selig"-properNoun-en
"Seward"-properNoun-en "Seward"-properNoun-ca
"Seward"-properNoun-ca "Seward"-properNoun-en
"Spirulina"-properNoun-en "Spirulina"-properNoun-ca
"Spirulina"-properNoun-ca "Spirulina"-properNoun-en
"Square Enix"-properNoun-en "Square Enix"-properNoun-ca
"Square Enix"-properNoun-ca "Square Enix"-properNoun-en
"Squaresoft"-properNoun-en "Squaresoft"-properNoun-ca
"Squaresoft"-properNoun-ca "Squaresoft"-properNoun-en
"StarCraft"-properNoun-en "StarCraft"-properNoun-ca
"StarCraft"-properNoun-ca "StarCraft"-properNoun-en
"Sun Microsystems"-properNoun-en "Sun Microsystems"-properNoun-ca
"Sun Microsystems"-properNoun-ca "Sun Microsystems"-properNoun-en
"Taito"-properNoun-en "Taito"-properNoun-ca
"Taito"-properNoun-ca "Taito"-properNoun-en
"Tandy"-properNoun-en "Tandy"-properNoun-ca
"Tandy"-properNoun-ca "Tandy"-properNoun-en
"Technicolor"-properNoun-en "Technicolor"-properNoun-ca
"Technicolor"-properNoun-ca "Technicolor"-properNoun-en
"Telegram"-properNoun-en "Telegram"-properNoun-ca
"Telegram"-properNoun-ca "Telegram"-properNoun-en
"The Wall Street Journal"-properNoun-en "The Wall Street Journal"-properNoun-ca
"The Wall Street Journal"-properNoun-ca "The Wall Street Journal"-properNoun-en
"TrueType"-properNoun-en "TrueType"-properNoun-ca
"TrueType"-properNoun-ca "TrueType"-properNoun-en
"Universidad Politécnica de Valencia"-properNoun-en "Universitat Politècnica de València"-properNoun-ca
"Universitat Politècnica de València"-properNoun-ca "Universidad Politécnica de Valencia"-properNoun-en
"Usenet"-properNoun-en "Usenet"-properNoun-ca
"Usenet"-properNoun-ca "Usenet"-properNoun-en
"Valve"-properNoun-en "Valve"-properNoun-ca
"Valve"-properNoun-ca "Valve"-properNoun-en
"Verizon"-properNoun-en "Verizon"-properNoun-ca
"Verizon"-properNoun-ca "Verizon"-properNoun-en
"Viacom"-properNoun-en "Viacom"-properNoun-ca
"Viacom"-properNoun-ca "Viacom"-properNoun-en
"Virgin Classics"-properNoun-en "Virgin Classics"-properNoun-ca
"Virgin Classics"-properNoun-ca "Virgin Classics"-properNoun-en
"VisiCalc"-properNoun-en "VisiCalc"-properNoun-ca
"VisiCalc"-properNoun-ca "VisiCalc"-properNoun-en
"Walmart"-properNoun-en "Walmart"-properNoun-ca
"Walmart"-properNoun-ca "Walmart"-properNoun-en
"Wehrmacht"-properNoun-en "Wehrmacht"-noun-ca
"Wehrmacht"-noun-ca "Wehrmacht"-properNoun-en
"Willkie Farr & Gallagher"-properNoun-en "Willkie Farr & Gallagher"-properNoun-ca
"Willkie Farr & Gallagher"-properNoun-ca "Willkie Farr & Gallagher"-properNoun-en
"WordStar"-properNoun-en "WordStar"-properNoun-ca
"WordStar"-properNoun-ca "WordStar"-properNoun-en
"World Bank Group"-properNoun-en "Grup Banc Mundial"-properNoun-ca
"Grup Banc Mundial"-properNoun-ca "World Bank Group"-properNoun-en
"a long way ahead"-adverb-en "molt per davant"-adverb-ca
"molt per davant"-adverb-ca "a long way ahead"-adverb-en
"above ground"-adverb-en "per sobre el terra"-adverb-ca
"per sobre el terra"-adverb-ca "above ground"-adverb-en
"above sea level"-adverb-en "per sobre el nivell del mar"-adverb-ca
"per sobre el nivell del mar"-adverb-ca "above sea level"-adverb-en
"a l'estranger"-adverb-ca "in foreign parts"-adverb-en
"in foreign parts"-adverb-en "a l'estranger"-adverb-ca
"abstractly"-adverb-en "de manera abstracta"-adverb-ca
"de manera abstracta"-adverb-ca "abstractly"-adverb-en
"a year from now"-adverb-en "d'aquí a un any"-adverb-ca
"d'aquí a un any"-adverb-ca "a year from now"-adverb-en
"acceptably"-adverb-en "de forma acceptable"-adverb-ca
"de forma acceptable"-adverb-ca "acceptably"-adverb-en
"across country"-adverb-en "camps a través"-adverb-ca
"camps a través"-adverb-ca "across country"-adverb-en
"a través de la carretera"-adverb-ca "across the street"-adverb-en
"across the street"-adverb-en "a través de la carretera"-adverb-ca
"adiabatically"-adverb-en "adiabatically"-adverb-ca
"adiabatically"-adverb-ca "adiabatically"-adverb-en
"after dark"-adverb-en "a entrada de fosc"-adverb-ca
"a entrada de fosc"-adverb-ca "after dark"-adverb-en
"after hours"-adverb-en "després de les hores de treball"-adverb-ca
"després de les hores de treball"-adverb-ca "after hours"-adverb-en
"after this fashion"-adverb-en "segons aquesta moda"-adverb-ca
"segons aquesta moda"-adverb-ca "after this fashion"-adverb-en
"again and again"-adverb-en "una i altra vegada"-adverb-ca
"una i altra vegada"-adverb-ca "again and again"-adverb-en
"agriculturally"-adverb-en "agrícolament"-adverb-ca
"agrícolament"-adverb-ca "agriculturally"-adverb-en
"aimlessly"-adverb-en "sense rumb"-adverb-ca
"sense rumb"-adverb-ca "aimlessly"-adverb-en
"tota la tardor"-adverb-ca "all fall"-adverb-en
"all fall"-adverb-en "tota la tardor"-adverb-ca
"all day long"-adverb-en "durant tot el dia"-adverb-ca
"durant tot el dia"-adverb-ca "all day long"-adverb-en
"all in good time"-adverb-en "al seu temps"-adverb-ca
"al seu temps"-adverb-ca "all in good time"-adverb-en
"al seu temps"-adverb-ca "in due course"-adverb-en
"al seu temps"-adverb-ca "in due season"-adverb-en
"in due course"-adverb-en "al seu temps"-adverb-ca
"in due season"-adverb-en "al seu temps"-adverb-ca
"all in vain"-adverb-en "tot en va"-adverb-ca
"tot en va"-adverb-ca "all in vain"-adverb-en
"all the year round"-adverb-en "durant tot l'any"-adverb-ca
"durant tot l'any"-adverb-ca "all the year round"-adverb-en
"all told"-adverb-en "tot dit"-adverb-ca
"tot dit"-adverb-ca "all told"-adverb-en
"all very well"-adverb-en "tot molt bé"-adverb-ca
"tot molt bé"-adverb-ca "all very well"-adverb-en
"all year round"-adverb-en "tot l'any"-adverb-ca
"tot l'any"-adverb-ca "all year round"-adverb-en
"tot l'any"-adverb-ca "during all the year"-adverb-en
"during all the year"-adverb-en "tot l'any"-adverb-ca
"along general lines"-adverb-en "a grans trets"-adverb-ca
"a grans trets"-adverb-ca "along general lines"-adverb-en
"a grans trets"-adverb-ca "in outline"-adverb-en
"a grans trets"-adverb-ca "roughly speaking"-adverb-en
"in outline"-adverb-en "a grans trets"-adverb-ca
"roughly speaking"-adverb-en "a grans trets"-adverb-ca
"along that line"-adverb-en "en aquesta línia"-adverb-ca
"en aquesta línia"-adverb-ca "along that line"-adverb-en
"en aquesta línia"-adverb-ca "along these lines"-adverb-en
"en aquesta línia"-adverb-ca "along this line"-adverb-en
"along these lines"-adverb-en "en aquesta línia"-adverb-ca
"along this line"-adverb-en "en aquesta línia"-adverb-ca
"along the line"-adverb-en "en algun moment"-adverb-ca
"en algun moment"-adverb-ca "along the line"-adverb-en
"along the way"-adverb-en "pel camí"-adverb-ca
"pel camí"-adverb-ca "along the way"-adverb-en
"along there"-adverb-en "per allà"-adverb-ca
"per allà"-adverb-ca "along there"-adverb-en
"per allà"-adverb-ca "around there"-adverb-en
"around there"-adverb-en "per allà"-adverb-ca
"always at your service"-adverb-en "sempre a la seua disposició"-adverb-ca
"sempre a la seua disposició"-adverb-ca "always at your service"-adverb-en
"anachronistically"-adverb-en "anacronísticament"-adverb-ca
"anacronísticament"-adverb-ca "anachronistically"-adverb-en
"and what's more"-adverb-en "i encara més"-adverb-ca
"i encara més"-adverb-ca "and what's more"-adverb-en
"i encara més"-adverb-ca "what's more"-adverb-en
"what's more"-adverb-en "i encara més"-adverb-ca
"anti-clockwise"-adverb-en "en el sentit contrari de les agulles del rellotge"-adverb-ca
"en el sentit contrari de les agulles del rellotge"-adverb-ca "anti-clockwise"-adverb-en
"en el sentit contrari de les agulles del rellotge"-adverb-ca "anticlockwise"-adverb-en
"anticlockwise"-adverb-en "en el sentit contrari de les agulles del rellotge"-adverb-ca
"any minute now"-adverb-en "en qualsevol moment"-adverb-ca
"en qualsevol moment"-adverb-ca "any minute now"-adverb-en
"en qualsevol moment"-adverb-ca "any moment now"-adverb-en
"en qualsevol moment"-adverb-ca "any time now"-adverb-en
"any moment now"-adverb-en "en qualsevol moment"-adverb-ca
"any time now"-adverb-en "en qualsevol moment"-adverb-ca
"approvingly"-adverb-en "amb aprovació"-adverb-ca
"amb aprovació"-adverb-ca "approvingly"-adverb-en
"archaically"-adverb-en "de manera arcaica"-adverb-ca
"de manera arcaica"-adverb-ca "archaically"-adverb-en
"arm in arm"-adverb-en "de bracet"-adverb-ca
"de bracet"-adverb-ca "arm in arm"-adverb-en
"around the clock"-adverb-en "de sol a sol"-adverb-ca
"de sol a sol"-adverb-ca "around the clock"-adverb-en
"around these parts"-adverb-en "per aquí a prop"-adverb-ca
"per aquí a prop"-adverb-ca "around these parts"-adverb-en
"per aquí a prop"-adverb-ca "hereabouts"-adverb-en
"hereabouts"-adverb-en "per aquí a prop"-adverb-ca
"artfully"-adverb-en "enginyosament"-adverb-ca
"enginyosament"-adverb-ca "artfully"-adverb-en
"en conseqüència"-adverb-ca "in consequence"-adverb-en
"in consequence"-adverb-en "en conseqüència"-adverb-ca
"as a favor"-adverb-en "com a favor"-adverb-ca
"com a favor"-adverb-ca "as a favor"-adverb-en
"as a matter of course"-adverb-en "de rutina"-adverb-ca
"de rutina"-adverb-ca "as a matter of course"-adverb-en
"as above"-adverb-en "com a dalt"-adverb-ca
"com a dalt"-adverb-ca "as above"-adverb-en
"as desired"-adverb-en "a voluntat"-adverb-ca
"a voluntat"-adverb-ca "as desired"-adverb-en
"as early as possible"-adverb-en "al més prompte possible"-adverb-ca
"al més prompte possible"-adverb-ca "as early as possible"-adverb-en
"as far as he is concerned"-adverb-en "per la seua part"-adverb-ca
"per la seua part"-adverb-ca "as far as he is concerned"-adverb-en
"per la seua part"-adverb-ca "as far as he's concerned"-adverb-en
"per la seua part"-adverb-ca "as far as she is concerned"-adverb-en
"per la seua part"-adverb-ca "as far as she's concerned"-adverb-en
"per la seua part"-adverb-ca "as far as they are concerned"-adverb-en
"per la seua part"-adverb-ca "as far as they're concerned"-adverb-en
"as far as he's concerned"-adverb-en "per la seua part"-adverb-ca
"as far as she is concerned"-adverb-en "per la seua part"-adverb-ca
"as far as she is concerned"-adverb-en "per part seua"-adverb-ca
"as far as she's concerned"-adverb-en "per la seua part"-adverb-ca
"as far as they are concerned"-adverb-en "per la seua part"-adverb-ca
"as far as they are concerned"-adverb-en "per part seua"-adverb-ca
"as far as they're concerned"-adverb-en "per la seua part"-adverb-ca
"as far as I am concerned"-adverb-en "pel que fa a mi"-adverb-ca
"pel que fa a mi"-adverb-ca "as far as I am concerned"-adverb-en
"pel que fa a mi"-adverb-ca "as far as I'm concerned"-adverb-en
"as far as I'm concerned"-adverb-en "pel que fa a mi"-adverb-ca
"per part seua"-adverb-ca "as far as she is concerned"-adverb-en
"per part seua"-adverb-ca "as far as they are concerned"-adverb-en
"per part seua"-adverb-ca "on her part"-adverb-en
"per part seua"-adverb-ca "on his part"-adverb-en
"per part seua"-adverb-ca "on their part"-adverb-en
"on her part"-adverb-en "per part seua"-adverb-ca
"on her part"-adverb-en "per la seua banda"-adverb-ca
"on his part"-adverb-en "per part seua"-adverb-ca
"on his part"-adverb-en "per la seua banda"-adverb-ca
"on their part"-adverb-en "per part seua"-adverb-ca
"on their part"-adverb-en "per la seua banda"-adverb-ca
"as for the rest"-adverb-en "quant a la resta"-adverb-ca
"quant a la resta"-adverb-ca "as for the rest"-adverb-en
"as it turned out"-adverb-en "tal com va anar"-adverb-ca
"tal com va anar"-adverb-ca "as it turned out"-adverb-en
"as it turns out"-adverb-en "tal com surti"-adverb-ca
"tal com surti"-adverb-ca "as it turns out"-adverb-en
"as large as life"-adverb-en "molt llarg"-adverb-ca
"molt llarg"-adverb-ca "as large as life"-adverb-en
"as of quite recently"-adverb-en "des de fa poc"-adverb-ca
"des de fa poc"-adverb-ca "as of quite recently"-adverb-en
"as per normal"-adverb-en "com és normal"-adverb-ca
"com és normal"-adverb-ca "as per normal"-adverb-en
"com és normal"-adverb-ca "as usual"-adverb-en
"as usual"-adverb-en "com és normal"-adverb-ca
"as usual"-adverb-en "com de costum"-adverb-ca
"as quick as a flash"-adverb-en "ràpid com un llamp"-adverb-ca
"ràpid com un llamp"-adverb-ca "as quick as a flash"-adverb-en
"as the case may be"-adverb-en "com pot ser el cas"-adverb-ca
"com pot ser el cas"-adverb-ca "as the case may be"-adverb-en
"as the crow flies"-adverb-en "en línia recta"-adverb-ca
"en línia recta"-adverb-ca "as the crow flies"-adverb-en
"as things stand"-adverb-en "tal com estan les coses"-adverb-ca
"tal com estan les coses"-adverb-ca "as things stand"-adverb-en
"as things stood"-adverb-en "tal com estaven les coses"-adverb-ca
"tal com estaven les coses"-adverb-ca "as things stood"-adverb-en
"com de costum"-adverb-ca "as usual"-adverb-en
"com de costum"-adverb-ca "in the usual fashion"-adverb-en
"in the usual fashion"-adverb-en "com de costum"-adverb-ca
"as years go by"-adverb-en "a mesura que passen els anys"-adverb-ca
"a mesura que passen els anys"-adverb-ca "as years go by"-adverb-en
"en terra"-adverb-ca "on shore"-adverb-en
"on shore"-adverb-en "en terra"-adverb-ca
"asynchronously"-adverb-en "de manera asíncrona"-adverb-ca
"de manera asíncrona"-adverb-ca "asynchronously"-adverb-en
"at a disadvantage"-adverb-en "en desavantatge"-adverb-ca
"en desavantatge"-adverb-ca "at a disadvantage"-adverb-en
"a l'instant"-adverb-ca "in next to no time"-adverb-en
"in next to no time"-adverb-en "a l'instant"-adverb-ca
"at a later date"-adverb-en "més avant"-adverb-ca
"més avant"-adverb-ca "at a later date"-adverb-en
"més avant"-adverb-ca "at some future date"-adverb-en
"més avant"-adverb-ca "further ahead"-adverb-en
"at some future date"-adverb-en "més avant"-adverb-ca
"further ahead"-adverb-en "més avant"-adverb-ca
"at a minimum"-adverb-en "al mínim"-adverb-ca
"al mínim"-adverb-ca "at a minimum"-adverb-en
"at a reduced price"-adverb-en "a preu reduït"-adverb-ca
"a preu reduït"-adverb-ca "at a reduced price"-adverb-en
"at a run"-adverb-en "en una correguda"-adverb-ca
"en una correguda"-adverb-ca "at a run"-adverb-en
"at a tender age"-adverb-en "en edat tendra"-adverb-ca
"en edat tendra"-adverb-ca "at a tender age"-adverb-en
"at all cost"-adverb-en "a tot preu"-adverb-ca
"a tot preu"-adverb-ca "at all cost"-adverb-en
"a tot preu"-adverb-ca "by all means"-adverb-en
"a tot preu"-adverb-ca "whatever the cost"-adverb-en
"by all means"-adverb-en "a tot preu"-adverb-ca
"whatever the cost"-adverb-en "a tot preu"-adverb-ca
"at all events"-adverb-en "en qualsevol cas"-adverb-ca
"en qualsevol cas"-adverb-ca "at all events"-adverb-en
"en qualsevol cas"-adverb-ca "whatever the case may be"-adverb-en
"whatever the case may be"-adverb-en "en qualsevol cas"-adverb-ca
"at all hours of the day and night"-adverb-en "a qualsevol hora del dia i de la nit"-adverb-ca
