"any"-determiner-en "gens de"-determiner-ca
"lleoní"-adjective-ca "leonine"-adjective-en
"leptokurtic"-adjective-en "leptocúrtic"-adjective-ca
"leptocúrtic"-adjective-ca "leptokurtic"-adjective-en
"lexematic"-adjective-en "lexemàtic"-adjective-ca
"lexemàtic"-adjective-ca "lexematic"-adjective-en
"light-hearted"-adjective-en "poc seriós"-adjective-ca
"poc seriós"-adjective-ca "light-hearted"-adjective-en
"longevous"-adjective-en "longeu"-adjective-ca
"longeu"-adjective-ca "longevous"-adjective-en
"lossy"-adjective-en "dissipat"-adjective-ca
"dissipat"-adjective-ca "lossy"-adjective-en
"lysosomal"-adjective-en "lysosòmic"-adjective-ca
"lysosòmic"-adjective-ca "lysosomal"-adjective-en
"macrocrystalline"-adjective-en "macrocristal·lí"-adjective-ca
"macrocristal·lí"-adjective-ca "macrocrystalline"-adjective-en
"malevolent"-adjective-en "malèvol"-adjective-ca
"malèvol"-adjective-ca "malevolent"-adjective-en
"manned"-adjective-en "tripulat"-adjective-ca
"tripulat"-adjective-ca "manned"-adjective-en
"marbled"-adjective-en "jaspiat"-adjective-ca
"jaspiat"-adjective-ca "marbled"-adjective-en
"matutinal"-adjective-en "matutí"-adjective-ca
"matutí"-adjective-ca "matutinal"-adjective-en
"mean"-verb-en "voler dir"-verb-ca
"voler dir"-verb-ca "mean"-verb-en
"melodramatic"-adjective-en "melodramatic"-adjective-ca
"melodramatic"-adjective-ca "melodramatic"-adjective-en
"meromorphic"-adjective-en "meromorf"-adjective-ca
"meromorf"-adjective-ca "meromorphic"-adjective-en
"mesenchymatous"-adjective-en "mesenquimàtic"-adjective-ca
"mesenquimàtic"-adjective-ca "mesenchymatous"-adjective-en
"metacarpial"-adjective-en "metacarpià"-adjective-ca
"metacarpià"-adjective-ca "metacarpial"-adjective-en
"metachromatic"-adjective-en "metacromàtic"-adjective-ca
"metacromàtic"-adjective-ca "metachromatic"-adjective-en
"metazoan"-adjective-en "metazoic"-adjective-ca
"metazoic"-adjective-ca "metazoan"-adjective-en
"miscellaneous"-adjective-en "miscel·lani"-adjective-ca
"miscel·lani"-adjective-ca "miscellaneous"-adjective-en
"missing"-adjective-en "desaparegut"-adjective-ca
"desaparegut"-adjective-ca "missing"-adjective-en
"monopolistic"-adjective-en "monopolitzador"-adjective-ca
"monopolitzador"-adjective-ca "monopolistic"-adjective-en
"morphemic"-adjective-en "morfèmic"-adjective-ca
"morfèmic"-adjective-ca "morphemic"-adjective-en
"morphometric"-adjective-en "morfomètric"-adjective-ca
"morfomètric"-adjective-ca "morphometric"-adjective-en
"morphophysiological"-adjective-en "morfofisiològic"-adjective-ca
"morfofisiològic"-adjective-ca "morphophysiological"-adjective-en
"motorised"-adjective-en "motoritzat"-adjective-ca
"motoritzat"-adjective-ca "motorised"-adjective-en
"multicentric"-adjective-en "multicentric"-adjective-ca
"multicentric"-adjective-ca "multicentric"-adjective-en
"multivitamin"-adjective-en "multivitamínic"-adjective-ca
"multivitamínic"-adjective-ca "multivitamin"-adjective-en
"nacreous"-adjective-en "nacrat"-adjective-ca
"nacrat"-adjective-ca "nacreous"-adjective-en
"necrophagous"-adjective-en "necròfag"-adjective-ca
"necròfag"-adjective-ca "necrophagous"-adjective-en
"neurophysical"-adjective-en "neurofísic"-adjective-ca
"neurofísic"-adjective-ca "neurophysical"-adjective-en
"novelesque"-adjective-en "novel·lesc"-adjective-ca
"novel·lesc"-adjective-ca "novelesque"-adjective-en
"novelistic"-adjective-en "novel·lístic"-adjective-ca
"novel·lístic"-adjective-ca "novelistic"-adjective-en
"nymphomaniac"-adjective-en "nimfòman"-adjective-ca
"nimfòman"-adjective-ca "nymphomaniac"-adjective-en
"obscure"-adjective-en "obscurir"-verb-ca
"obscurir"-verb-ca "obscure"-adjective-en
"obscurir"-verb-ca "obscure"-verb-en
"obscure"-verb-en "obscurir"-verb-ca
"obtuse"-adjective-en "toix"-adjective-ca
"toix"-adjective-ca "obtuse"-adjective-en
"olfactory"-adjective-en "olfactori"-adjective-ca
"olfactori"-adjective-ca "olfactory"-adjective-en
"oligotrophic"-adjective-en "oligotròfic"-adjective-ca
"oligotròfic"-adjective-ca "oligotrophic"-adjective-en
"olivary"-adjective-en "olivari"-adjective-ca
"olivari"-adjective-ca "olivary"-adjective-en
"ominous"-adjective-en "ominós"-adjective-ca
"ominós"-adjective-ca "ominous"-adjective-en
"oncoming"-adjective-en "venidor"-adjective-ca
"venidor"-adjective-ca "oncoming"-adjective-en
"operatic"-adjective-en "operístic"-adjective-ca
"operístic"-adjective-ca "operatic"-adjective-en
"oppressive"-adjective-en "oppressor"-adjective-ca
"oppressor"-adjective-ca "oppressive"-adjective-en
"orderly"-adjective-en "ordenat"-adjective-ca
"ordenat"-adjective-ca "orderly"-adjective-en
"orthic"-adjective-en "òrtic"-adjective-ca
"òrtic"-adjective-ca "orthic"-adjective-en
"orthochromatic"-adjective-en "ortocromàtic"-adjective-ca
"ortocromàtic"-adjective-ca "orthochromatic"-adjective-en
"orthognathic"-adjective-en "ortògnat"-adjective-ca
"ortògnat"-adjective-ca "orthognathic"-adjective-en
"ovarian"-adjective-en "ovàric"-adjective-ca
"ovàric"-adjective-ca "ovarian"-adjective-en
"overdetermined"-adjective-en "sobredeterminat"-adjective-ca
"sobredeterminat"-adjective-ca "overdetermined"-adjective-en
"overlapped"-adjective-en "fullat"-adjective-ca
"fullat"-adjective-ca "overlapped"-adjective-en
"ovoviviparous"-adjective-en "ovovivípar"-adjective-ca
"ovovivípar"-adjective-ca "ovoviviparous"-adjective-en
"oxytonic"-adjective-en "oxíton"-adjective-ca
"oxíton"-adjective-ca "oxytonic"-adjective-en
"pachic"-adjective-en "pàquic"-adjective-ca
"pàquic"-adjective-ca "pachic"-adjective-en
"palatographic"-adjective-en "palatogràfic"-adjective-ca
"palatogràfic"-adjective-ca "palatographic"-adjective-en
"palmate"-adjective-en "palmat"-adjective-ca
"palmat"-adjective-ca "palmate"-adjective-en
"panchromatic"-adjective-en "pancromàtic"-adjective-ca
"pancromàtic"-adjective-ca "panchromatic"-adjective-en
"paralinguistic"-adjective-en "paralingüístic"-adjective-ca
"paralingüístic"-adjective-ca "paralinguistic"-adjective-en
"paratactic"-adjective-en "paratàctic"-adjective-ca
"paratàctic"-adjective-ca "paratactic"-adjective-en
"parenchymatous"-adjective-en "parenquimàtic"-adjective-ca
"parenquimàtic"-adjective-ca "parenchymatous"-adjective-en
"paroxytone"-adjective-en "paroxíton"-adjective-ca
"paroxíton"-adjective-ca "paroxytone"-adjective-en
"pelvic"-adjective-en "pèlvic"-adjective-ca
"pèlvic"-adjective-ca "pelvic"-adjective-en
"peripteral"-adjective-en "perípter"-adjective-ca
"perípter"-adjective-ca "peripteral"-adjective-en
"petroferric"-adjective-en "petrofèrric"-adjective-ca
"petrofèrric"-adjective-ca "petroferric"-adjective-en
"phantasmic"-adjective-en "fantasmàtic"-adjective-ca
"fantasmàtic"-adjective-ca "phantasmic"-adjective-en
"phonostylistic"-adjective-en "fonoestilístic"-adjective-ca
"fonoestilístic"-adjective-ca "phonostylistic"-adjective-en
"photochemical"-adjective-en "fotoquímic"-adjective-ca
"fotoquímic"-adjective-ca "photochemical"-adjective-en
"photoelectric"-adjective-en "fotoelètric"-adjective-ca
"fotoelètric"-adjective-ca "photoelectric"-adjective-en
"photoelectrochemical"-adjective-en "fotoelectroquímic"-adjective-ca
"fotoelectroquímic"-adjective-ca "photoelectrochemical"-adjective-en
"photolithographic"-adjective-en "fotolitogràfic"-adjective-ca
"fotolitogràfic"-adjective-ca "photolithographic"-adjective-en
"phytophagous"-adjective-en "fitòfag"-adjective-ca
"fitòfag"-adjective-ca "phytophagous"-adjective-en
"plateresque"-adjective-en "plateresc"-adjective-ca
"plateresc"-adjective-ca "plateresque"-adjective-en
"platykurtic"-adjective-en "platicúrtic"-adjective-ca
"platicúrtic"-adjective-ca "platykurtic"-adjective-en
"playful"-adjective-en "juganer"-adjective-ca
"juganer"-adjective-ca "playful"-adjective-en
"plinthic"-adjective-en "plíntic"-adjective-ca
"plíntic"-adjective-ca "plinthic"-adjective-en
"plutocratic"-adjective-en "plutocràtic"-adjective-ca
"plutocràtic"-adjective-ca "plutocratic"-adjective-en
"poikilothermal"-adjective-en "poiquiloterm"-adjective-ca
"poiquiloterm"-adjective-ca "poikilothermal"-adjective-en
"poiquiloterm"-adjective-ca "poikilothermic"-adjective-en
"poikilothermic"-adjective-en "poiquiloterm"-adjective-ca
"pointed"-adjective-en "puntegut"-adjective-ca
"puntegut"-adjective-ca "pointed"-adjective-en
"polleniferous"-adjective-en "pol·linífer"-adjective-ca
"pol·linífer"-adjective-ca "polleniferous"-adjective-en
"polygenetic"-adjective-en "poligenètic"-adjective-ca
"poligenètic"-adjective-ca "polygenetic"-adjective-en
"polymeric"-adjective-en "polimèric"-adjective-ca
"polimèric"-adjective-ca "polymeric"-adjective-en
"polysyllabic"-adjective-en "polisíl·lab"-adjective-ca
"polisíl·lab"-adjective-ca "polysyllabic"-adjective-en
"popularising"-adjective-en "divulgador"-adjective-ca
"divulgador"-adjective-ca "popularising"-adjective-en
"populous"-adjective-en "poblat"-adjective-ca
"poblat"-adjective-ca "populous"-adjective-en
"pre-formulated"-adjective-en "preformulat"-adjective-ca
"preformulat"-adjective-ca "pre-formulated"-adjective-en
"pretonic"-adjective-en "pretònic"-adjective-ca
"pretònic"-adjective-ca "pretonic"-adjective-en
"preventive"-adjective-en "precautori"-adjective-ca
"precautori"-adjective-ca "preventive"-adjective-en
"probabilistic"-adjective-en "probabilístic"-adjective-ca
"probabilístic"-adjective-ca "probabilistic"-adjective-en
"prohibitory"-adjective-en "prohibitori"-adjective-ca
"prohibitori"-adjective-ca "prohibitory"-adjective-en
"proparoxytone"-adjective-en "esdrúixol"-adjective-ca
"proparoxytone"-adjective-en "proparoxíton"-adjective-ca
"esdrúixol"-adjective-ca "proparoxytone"-adjective-en
"proparoxíton"-adjective-ca "proparoxytone"-adjective-en
"proprietary"-adjective-en "registrat"-adjective-ca
"registrat"-adjective-ca "proprietary"-adjective-en
"prostyle"-adjective-en "pròstil"-adjective-ca
"pròstil"-adjective-ca "prostyle"-adjective-en
"protogenic"-adjective-en "protogènic"-adjective-ca
"protogènic"-adjective-ca "protogenic"-adjective-en
"protoplasmic"-adjective-en "protoplasmàtic"-adjective-ca
"protoplasmàtic"-adjective-ca "protoplasmic"-adjective-en
"psammophilous"-adjective-en "psammòfil"-adjective-ca
"psammòfil"-adjective-ca "psammophilous"-adjective-en
"pseudoprime"-adjective-en "pseudoprimer"-adjective-ca
"pseudoprimer"-adjective-ca "pseudoprime"-adjective-en
"pseudoscientific"-adjective-en "pseudocientífic"-adjective-ca
"pseudocientífic"-adjective-ca "pseudoscientific"-adjective-en
"psychoactive"-adjective-en "psicotròpic"-adjective-ca
"psicotròpic"-adjective-ca "psychoactive"-adjective-en
"psychophysiologic"-adjective-en "psicofisiològic"-adjective-ca
"psicofisiològic"-adjective-ca "psychophysiologic"-adjective-en
"psychosomatic"-adjective-en "somatopsíquic"-adjective-ca
"somatopsíquic"-adjective-ca "psychosomatic"-adjective-en
"Ptolemaic"-adjective-en "ptolemaic"-adjective-ca
"ptolemaic"-adjective-ca "Ptolemaic"-adjective-en
"quadratic"-adjective-en "quadràtic"-adjective-ca
"quadràtic"-adjective-ca "quadratic"-adjective-en
"quartic"-adjective-en "quàrtic"-adjective-ca
"quàrtic"-adjective-ca "quartic"-adjective-en
"quintic"-adjective-en "quíntic"-adjective-ca
"quíntic"-adjective-ca "quintic"-adjective-en
"quivering"-adjective-en "tremolós"-adjective-ca
"tremolós"-adjective-ca "quivering"-adjective-en
"tremolós"-adjective-ca "trembling"-adjective-en
"trembling"-adjective-en "tremolós"-adjective-ca
"quixotic"-adjective-en "quixotesc"-adjective-ca
"quixotesc"-adjective-ca "quixotic"-adjective-en
"ravening"-adjective-en "voraç"-adjective-ca
"voraç"-adjective-ca "ravening"-adjective-en
"voraç"-adjective-ca "ravenous"-adjective-en
"voraç"-adjective-ca "voracious"-adjective-en
"ravenous"-adjective-en "voraç"-adjective-ca
"voracious"-adjective-en "voraç"-adjective-ca
"recognizable"-adjective-en "reconeixedor"-adjective-ca
"reconeixedor"-adjective-ca "recognizable"-adjective-en
"reigning"-adjective-en "reinant"-adjective-ca
"reinant"-adjective-ca "reigning"-adjective-en
"reliable"-adjective-en "fidedigne"-adjective-ca
"fidedigne"-adjective-ca "reliable"-adjective-en
"fidedigne"-adjective-ca "trustworthy"-adjective-en
"trustworthy"-adjective-en "fidedigne"-adjective-ca
"renowned"-adjective-en "reconegut"-adjective-ca
"reconegut"-adjective-ca "renowned"-adjective-en
"rescissory"-adjective-en "rescissori"-adjective-ca
"rescissori"-adjective-ca "rescissory"-adjective-en
"responsive"-adjective-en "responsiu"-adjective-ca
"responsiu"-adjective-ca "responsive"-adjective-en
"retarded"-adjective-en "retardat"-adjective-ca
"retardat"-adjective-ca "retarded"-adjective-en
"reversionary"-adjective-en "reversionari"-adjective-ca
"reversionari"-adjective-ca "reversionary"-adjective-en
"rheostatic"-adjective-en "reostàtic"-adjective-ca
"reostàtic"-adjective-ca "rheostatic"-adjective-en
"rhodic"-adjective-en "ròdic"-adjective-ca
"ròdic"-adjective-ca "rhodic"-adjective-en
"rhombohedral"-adjective-en "romboèdric"-adjective-ca
"romboèdric"-adjective-ca "rhombohedral"-adjective-en
"riveting"-adjective-en "rivetat"-adjective-ca
"rivetat"-adjective-ca "riveting"-adjective-en
"rooted"-adjective-en "radicat"-adjective-ca
"radicat"-adjective-ca "rooted"-adjective-en
"rule-based"-adjective-en "basat en regles"-adjective-ca
"basat en regles"-adjective-ca "rule-based"-adjective-en
"ruled"-adjective-en "quadriculat"-adjective-ca
"ruled"-adjective-en "reglat"-adjective-ca
"quadriculat"-adjective-ca "ruled"-adjective-en
"reglat"-adjective-ca "ruled"-adjective-en
"rurban"-adjective-en "rurubà"-adjective-ca
"rurubà"-adjective-ca "rurban"-adjective-en
"sapric"-adjective-en "sàpric"-adjective-ca
"sàpric"-adjective-ca "sapric"-adjective-en
"saprophagous"-adjective-en "sapròfag"-adjective-ca
"sapròfag"-adjective-ca "saprophagous"-adjective-en
"saturated"-adjective-en "saturat"-adjective-ca
"saturat"-adjective-ca "saturated"-adjective-en
"scalene"-adjective-en "escalè"-adjective-ca
"escalè"-adjective-ca "scalene"-adjective-en
"sciophilous"-adjective-en "esciòfil"-adjective-ca
"esciòfil"-adjective-ca "sciophilous"-adjective-en
"sclerophyllous"-adjective-en "esclerofil·le"-adjective-ca
"esclerofil·le"-adjective-ca "sclerophyllous"-adjective-en
"secretive"-adjective-en "reservat"-adjective-ca
"reservat"-adjective-ca "secretive"-adjective-en
"self-centering"-adjective-en "autocentrador"-adjective-ca
"autocentrador"-adjective-ca "self-centering"-adjective-en
"self-imposed"-adjective-en "autoimposat"-adjective-ca
"autoimposat"-adjective-ca "self-imposed"-adjective-en
"self-lubricating"-adjective-en "autolubrificador"-adjective-ca
"autolubrificador"-adjective-ca "self-lubricating"-adjective-en
"semasiological"-adjective-en "semasiològic"-adjective-ca
"semasiològic"-adjective-ca "semasiological"-adjective-en
"semi-anechoic"-adjective-en "semianecoic"-adjective-ca
"semianecoic"-adjective-ca "semi-anechoic"-adjective-en
"semiaquatic"-adjective-en "semiaquàtic"-adjective-ca
"semiaquàtic"-adjective-ca "semiaquatic"-adjective-en
"semiclosed"-adjective-en "semitancat"-adjective-ca
"semitancat"-adjective-ca "semiclosed"-adjective-en
"semi-detached"-adjective-en "adossat"-adjective-ca
"adossat"-adjective-ca "semi-detached"-adjective-en
"semidiurnal"-adjective-en "semidiürn"-adjective-ca
"semidiürn"-adjective-ca "semidiurnal"-adjective-en
"sideric"-adjective-en "sidèric"-adjective-ca
"sidèric"-adjective-ca "sideric"-adjective-en
"skew"-adjective-en "torcejat"-adjective-ca
"skew"-adjective-en "esbiaixar"-verb-ca
"torcejat"-adjective-ca "skew"-adjective-en
"torcejat"-adjective-ca "skew"-verb-en
"esbiaixar"-verb-ca "skew"-adjective-en
"esbiaixar"-verb-ca "skew"-verb-en
"skew"-verb-en "torcejat"-adjective-ca
"skew"-verb-en "esbiaixar"-verb-ca
"sleeved"-adjective-en "manigut"-adjective-ca
"manigut"-adjective-ca "sleeved"-adjective-en
"somatopsychic"-adjective-en "psicosomàtic"-adjective-ca
"psicosomàtic"-adjective-ca "somatopsychic"-adjective-en
"sought-after"-adjective-en "cotitzat"-adjective-ca
"cotitzat"-adjective-ca "sought-after"-adjective-en
"South African"-adjective-en "sudafricà"-adjective-ca
"sudafricà"-adjective-ca "South African"-adjective-en
"sphagnic"-adjective-en "esfàgnic"-adjective-ca
"esfàgnic"-adjective-ca "sphagnic"-adjective-en
"splenic"-adjective-en "esplènic"-adjective-ca
"esplènic"-adjective-ca "splenic"-adjective-en
"spurious"-adjective-en "espuri"-adjective-ca
"espuri"-adjective-ca "spurious"-adjective-en
"staggered"-adjective-en "escalonat"-adjective-ca
"escalonat"-adjective-ca "staggered"-adjective-en
"steeled"-adjective-en "acerós"-adjective-ca
"acerós"-adjective-ca "steeled"-adjective-en
"stenometopic"-adjective-en "estenometòpic"-adjective-ca
"estenometòpic"-adjective-ca "stenometopic"-adjective-en
"stereotypical"-adjective-en "estereotípic"-adjective-ca
"estereotípic"-adjective-ca "stereotypical"-adjective-en
"stillborn"-adjective-en "nascut mort"-adjective-ca
"nascut mort"-adjective-ca "stillborn"-adjective-en
"stoichiometric"-adjective-en "estequiomètric"-adjective-ca
"estequiomètric"-adjective-ca "stoichiometric"-adjective-en
"stressed"-adjective-en "accentuat"-adjective-ca
"accentuat"-adjective-ca "stressed"-adjective-en
"subclavian"-adjective-en "subclavi"-adjective-ca
"subclavi"-adjective-ca "subclavian"-adjective-en
"subtractive"-adjective-en "subtractiu"-adjective-ca
"subtractiu"-adjective-ca "subtractive"-adjective-en
"succinct"-adjective-en "succint"-adjective-ca
"succint"-adjective-ca "succinct"-adjective-en
"suggestive"-adjective-en "suggeridor"-adjective-ca
"suggeridor"-adjective-ca "suggestive"-adjective-en
"sumptuary"-adjective-en "sumptuari"-adjective-ca
"sumptuari"-adjective-ca "sumptuary"-adjective-en
"sunless"-adjective-en "obac"-adjective-ca
"obac"-adjective-ca "sunless"-adjective-en
"superconducting"-adjective-en "superconductor"-adjective-ca
"superconductor"-adjective-ca "superconducting"-adjective-en
"superconductor"-adjective-ca "superconductive"-adjective-en
"superconductive"-adjective-en "superconductor"-adjective-ca
"superheterodyne"-adjective-en "superheterodí"-adjective-ca
"superheterodí"-adjective-ca "superheterodyne"-adjective-en
"supervisory"-adjective-en "supervisor"-adjective-ca
"supervisor"-adjective-ca "supervisory"-adjective-en
"supplying"-adjective-en "subministrador"-adjective-ca
"subministrador"-adjective-ca "supplying"-adjective-en
"supported"-adjective-en "suportat"-adjective-ca
"suportat"-adjective-ca "supported"-adjective-en
"supraspinous"-adjective-en "supraspinós"-adjective-ca
"supraspinós"-adjective-ca "supraspinous"-adjective-en
"surreptitious"-adjective-en "subreptici"-adjective-ca
"subreptici"-adjective-ca "surreptitious"-adjective-en
"synergetic"-adjective-en "sinergètic"-adjective-ca
"sinergètic"-adjective-ca "synergetic"-adjective-en
"tautophonic"-adjective-en "tautofònic"-adjective-ca
"tautofònic"-adjective-ca "tautophonic"-adjective-en
"tautosyllabic"-adjective-en "tautosil·làbic"-adjective-ca
"tautosil·làbic"-adjective-ca "tautosyllabic"-adjective-en
"temperate"-adjective-en "temperat"-adjective-ca
"temperat"-adjective-ca "temperate"-adjective-en
"tempting"-adjective-en "temptador"-adjective-ca
"temptador"-adjective-ca "tempting"-adjective-en
"terric"-adjective-en "tèrric"-adjective-ca
"tèrric"-adjective-ca "terric"-adjective-en
"tetartohedral"-adjective-en "tetartoèdric"-adjective-ca
"tetartoèdric"-adjective-ca "tetartohedral"-adjective-en
"thoughtful"-adjective-en "considerat"-adjective-ca
"thoughtful"-adjective-en "pensarós"-adjective-ca
"considerat"-adjective-ca "thoughtful"-adjective-en
"pensarós"-adjective-ca "thoughtful"-adjective-en
"threaded"-adjective-en "roscat"-adjective-ca
"roscat"-adjective-ca "threaded"-adjective-en
"toxigenic"-adjective-en "toxicogènic"-adjective-ca
"toxicogènic"-adjective-ca "toxigenic"-adjective-en
"trailing"-adjective-en "enfiladís"-adjective-ca
"enfiladís"-adjective-ca "trailing"-adjective-en
"transfinite"-adjective-en "transfinit"-adjective-ca
"transfinit"-adjective-ca "transfinite"-adjective-en
"transmissive"-adjective-en "transmissor"-adjective-ca
"transmissor"-adjective-ca "transmissive"-adjective-en
"transonic"-adjective-en "transònic"-adjective-ca
"transònic"-adjective-ca "transonic"-adjective-en
"truthful"-adjective-en "veraç"-adjective-ca
"veraç"-adjective-ca "truthful"-adjective-en
"two-phase"-adjective-en "bifàsic"-adjective-ca
"bifàsic"-adjective-ca "two-phase"-adjective-en
"ubiquitous"-adjective-en "ubic"-adjective-ca
"ubic"-adjective-ca "ubiquitous"-adjective-en
"ultrapure"-adjective-en "ultrapur"-adjective-ca
"ultrapur"-adjective-ca "ultrapure"-adjective-en
"unaffected"-adjective-en "no afectat"-adjective-ca
"no afectat"-adjective-ca "unaffected"-adjective-en
"unanchored"-adjective-en "desancorat"-adjective-ca
"desancorat"-adjective-ca "unanchored"-adjective-en
"unarmed"-adjective-en "desarmat"-adjective-ca
"desarmat"-adjective-ca "unarmed"-adjective-en
"unauthorized"-adjective-en "no autoritzat"-adjective-ca
"no autoritzat"-adjective-ca "unauthorized"-adjective-en
"unchanged"-adjective-en "inalterat"-adjective-ca
"inalterat"-adjective-ca "unchanged"-adjective-en
"unclear"-adjective-en "poc clar"-adjective-ca
"poc clar"-adjective-ca "unclear"-adjective-en
"uncommon"-adjective-en "poc comú"-adjective-ca
"poc comú"-adjective-ca "uncommon"-adjective-en
"unconnected"-adjective-en "inconnex"-adjective-ca
"inconnex"-adjective-ca "unconnected"-adjective-en
"inconnex"-adjective-ca "unrelated"-adjective-en
"unrelated"-adjective-en "inconnex"-adjective-ca
"unrelated"-adjective-en "no relacionat"-adjective-ca
"uncontrolled"-adjective-en "incontrolat"-adjective-ca
"incontrolat"-adjective-ca "uncontrolled"-adjective-en
"uncultured"-adjective-en "illetrat"-adjective-ca
"illetrat"-adjective-ca "uncultured"-adjective-en
"undercover"-adjective-en "infiltrat"-adjective-ca
"infiltrat"-adjective-ca "undercover"-adjective-en
"underwater"-adjective-en "subaqüàtic"-adjective-ca
"subaqüàtic"-adjective-ca "underwater"-adjective-en
"undisciplined"-adjective-en "indisciplinat"-adjective-ca
"indisciplinat"-adjective-ca "undisciplined"-adjective-en
"undisclosed"-adjective-en "no revel·lat"-adjective-ca
"no revel·lat"-adjective-ca "undisclosed"-adjective-en
"undisputed"-adjective-en "no disputat"-adjective-ca
"no disputat"-adjective-ca "undisputed"-adjective-en
"unemployed"-adjective-en "desocupat"-adjective-ca
"desocupat"-adjective-ca "unemployed"-adjective-en
"unguligrade"-adjective-en "ungulígrad"-adjective-ca
"ungulígrad"-adjective-ca "unguligrade"-adjective-en
"uniformed"-adjective-en "desinformat"-adjective-ca
"desinformat"-adjective-ca "uniformed"-adjective-en
"uninhabited"-adjective-en "deshabitat"-adjective-ca
"deshabitat"-adjective-ca "uninhabited"-adjective-en
"univocal"-adjective-en "unívoc"-adjective-ca
"unívoc"-adjective-ca "univocal"-adjective-en
"unmanned"-adjective-en "no tripulat"-adjective-ca
"no tripulat"-adjective-ca "unmanned"-adjective-en
"unproven"-adjective-en "no demostrat"-adjective-ca
"no demostrat"-adjective-ca "unproven"-adjective-en
"unpublished"-adjective-en "no publicat"-adjective-ca
"no publicat"-adjective-ca "unpublished"-adjective-en
"no relacionat"-adjective-ca "unrelated"-adjective-en
"unresolved"-adjective-en "no resolt"-adjective-ca
"no resolt"-adjective-ca "unresolved"-adjective-en
"no resolt"-adjective-ca "unsolved"-adjective-en
"unsolved"-adjective-en "no resolt"-adjective-ca
"unskilled"-adjective-en "no qualificat"-adjective-ca
"no qualificat"-adjective-ca "unskilled"-adjective-en
"unspecified"-adjective-en "no especificat"-adjective-ca
"no especificat"-adjective-ca "unspecified"-adjective-en
"unsuspecting"-adjective-en "confiat"-adjective-ca
"confiat"-adjective-ca "unsuspecting"-adjective-en
"unwanted"-adjective-en "no desitjat"-adjective-ca
"no desitjat"-adjective-ca "unwanted"-adjective-en
"unwilling"-adjective-en "poc disposat"-adjective-ca
"poc disposat"-adjective-ca "unwilling"-adjective-en
"up to date"-adjective-en "actualitzat"-adjective-ca
"actualitzat"-adjective-ca "up to date"-adjective-en
"vandalic"-adjective-en "vandàlic"-adjective-ca
"vandàlic"-adjective-ca "vandalic"-adjective-en
"venous"-adjective-en "venós"-adjective-ca
"venós"-adjective-ca "venous"-adjective-en
"vicarious"-adjective-en "vicari"-adjective-ca
"vicari"-adjective-ca "vicarious"-adjective-en
"walled"-adjective-en "emmurallat"-adjective-ca
"emmurallat"-adjective-ca "walled"-adjective-en
"wasteful"-adjective-en "malgastador"-adjective-ca
"malgastador"-adjective-ca "wasteful"-adjective-en
"withered"-adjective-en "marcit"-adjective-ca
"marcit"-adjective-ca "withered"-adjective-en
"zealous"-adjective-en "zelós"-adjective-ca
"zelós"-adjective-ca "zealous"-adjective-en
"abide by"-verb-en "atenir a"-verb-ca
"atenir a"-verb-ca "abide by"-verb-en
"agree with"-verb-en "estar d'acord amb"-verb-ca
"estar d'acord amb"-verb-ca "agree with"-verb-en
"amend"-verb-en "subsanar"-verb-ca
"subsanar"-verb-ca "amend"-verb-en
"antedate"-verb-en "antedatar"-verb-ca
"antedatar"-verb-ca "antedate"-verb-en
"be ablaze"-verb-en "estar en flames"-verb-ca
"estar en flames"-verb-ca "be ablaze"-verb-en
"be abreast"-verb-en "estar al corrent"-verb-ca
"estar al corrent"-verb-ca "be abreast"-verb-en
"be hungry"-verb-en "tenir fam"-verb-ca
"tenir fam"-verb-ca "be hungry"-verb-en
"be very sorry"-verb-en "saber molt greu"-verb-ca
"saber molt greu"-verb-ca "be very sorry"-verb-en
"bisect"-verb-en "bisecar"-verb-ca
"bisecar"-verb-ca "bisect"-verb-en
"blush"-verb-en "enrogir"-verb-ca
"enrogir"-verb-ca "blush"-verb-en
"enrogir"-verb-ca "redden"-verb-en
"redden"-verb-en "enrogir"-verb-ca
"brandish"-verb-en "brandir"-verb-ca
"brandir"-verb-ca "brandish"-verb-en
"brandir"-verb-ca "wield"-verb-en
"wield"-verb-en "brandir"-verb-ca
"burgeon"-verb-en "rebrotar"-verb-ca
"rebrotar"-verb-ca "burgeon"-verb-en
"char"-verb-en "socarrimar"-verb-ca
"socarrimar"-verb-ca "char"-verb-en
"clutter"-verb-en "desendreçar"-verb-ca
"desendreçar"-verb-ca "clutter"-verb-en
"collide"-verb-en "col·lidir"-verb-ca
"col·lidir"-verb-ca "collide"-verb-en
"computerise"-verb-en "computeritzar"-verb-ca
"computeritzar"-verb-ca "computerise"-verb-en
"condone"-verb-en "condonar"-verb-ca
"condonar"-verb-ca "condone"-verb-en
"consider"-verb-en "donar per"-verb-ca
"donar per"-verb-ca "consider"-verb-en
"construe"-verb-en "analitzar sintàcticament"-verb-ca
"analitzar sintàcticament"-verb-ca "construe"-verb-en
"convince"-verb-en "fer el pes"-verb-ca
"fer el pes"-verb-ca "convince"-verb-en
"deaden"-verb-en "esmortir"-verb-ca
"esmortir"-verb-ca "deaden"-verb-en
"decaffeinate"-verb-en "descafeïnar"-verb-ca
"descafeïnar"-verb-ca "decaffeinate"-verb-en
"declutch"-verb-en "desembragar"-verb-ca
"desembragar"-verb-ca "declutch"-verb-en
