"qualsevol"-determiner-ca "ajna"-determiner-eo
"escut"-noun-ca "ŝildo"-noun-eo
"ŝildo"-noun-eo "escut"-noun-ca
"proprieto"-noun-eo "propietat"-noun-ca
"propietat"-noun-ca "proprieto"-noun-eo
"parc"-noun-ca "parko"-noun-eo
"parko"-noun-eo "parc"-noun-ca
"krado"-noun-eo "reixa"-noun-ca
"krado"-noun-eo "graella"-noun-ca
"reixa"-noun-ca "krado"-noun-eo
"graella"-noun-ca "krado"-noun-eo
"vestiblo"-noun-eo "vestíbul"-noun-ca
"vestíbul"-noun-ca "vestiblo"-noun-eo
"loĝejo"-noun-eo "pis"-noun-ca
"loĝejo"-noun-eo "habitatge"-noun-ca
"pis"-noun-ca "loĝejo"-noun-eo
"pis"-noun-ca "etaĝo"-noun-eo
"habitatge"-noun-ca "loĝejo"-noun-eo
"etaĝo"-noun-eo "pis"-noun-ca
"terra"-noun-ca "tero"-noun-eo
"tero"-noun-eo "terra"-noun-ca
"sòl"-noun-ca "planko"-noun-eo
"planko"-noun-eo "sòl"-noun-ca
"komploto"-noun-eo "complot"-noun-ca
"complot"-noun-ca "komploto"-noun-eo
"intriga"-noun-ca "intrigo"-noun-eo
"intrigo"-noun-eo "intriga"-noun-ca
"laboristo"-noun-eo "obrer"-noun-ca
"laboristo"-noun-eo "treballador"-noun-ca
"obrer"-noun-ca "laboristo"-noun-eo
"treballador"-noun-ca "laboristo"-noun-eo
"comissió"-noun-ca "komisiono"-noun-eo
"komisiono"-noun-eo "comissió"-noun-ca
"komisio"-noun-eo "encàrrec"-noun-ca
"encàrrec"-noun-ca "komisio"-noun-eo
"exigència"-noun-ca "postulo"-noun-eo
"postulo"-noun-eo "exigència"-noun-ca
"kondiĉo"-noun-eo "condició"-noun-ca
"condició"-noun-ca "kondiĉo"-noun-eo
"escepto"-noun-eo "excepció"-noun-ca
"excepció"-noun-ca "escepto"-noun-eo
"kontrolo"-noun-eo "control"-noun-ca
"control"-noun-ca "kontrolo"-noun-eo
"aserto"-noun-eo "afirmació"-noun-ca
"afirmació"-noun-ca "aserto"-noun-eo
"regulado"-noun-eo "regulació"-noun-ca
"regulació"-noun-ca "regulado"-noun-eo
"kompanio"-noun-eo "companyia"-noun-ca
"companyia"-noun-ca "kompanio"-noun-eo
"ferro"-noun-ca "fero"-noun-eo
"fero"-noun-eo "ferro"-noun-ca
"classificació"-noun-ca "klasifiko"-noun-eo
"klasifiko"-noun-eo "classificació"-noun-ca
"daŭrigo"-noun-eo "continuació"-noun-ca
"continuació"-noun-ca "daŭrigo"-noun-eo
"spuro"-noun-eo "petjada"-noun-ca
"petjada"-noun-ca "spuro"-noun-eo
"spirito"-noun-eo "esperit"-noun-ca
"esperit"-noun-ca "spirito"-noun-eo
"ment"-noun-ca "menso"-noun-eo
"menso"-noun-eo "ment"-noun-ca
"avi"-noun-ca "avo"-noun-eo
"avo"-noun-eo "avi"-noun-ca
"pioniro"-noun-eo "pioner"-noun-ca
"pioner"-noun-ca "pioniro"-noun-eo
"avantpassat"-noun-ca "prapatro"-noun-eo
"prapatro"-noun-eo "avantpassat"-noun-ca
"influo"-noun-eo "influència"-noun-ca
"influència"-noun-ca "influo"-noun-eo
"anstataŭanto"-noun-eo "substitut"-noun-ca
"substitut"-noun-ca "anstataŭanto"-noun-eo
"konsolo"-noun-eo "consol"-noun-ca
"consol"-noun-ca "konsolo"-noun-eo
"comoditat"-noun-ca "komforto"-noun-eo
"komforto"-noun-eo "comoditat"-noun-ca
"oportunitat"-noun-ca "ŝanco"-noun-eo
"ŝanco"-noun-eo "oportunitat"-noun-ca
"tempo"-noun-eo "temps"-noun-ca
"temps"-noun-ca "tempo"-noun-eo
"temps"-noun-ca "vetero"-noun-eo
"vetero"-noun-eo "temps"-noun-ca
"època"-noun-ca "epoko"-noun-eo
"epoko"-noun-eo "època"-noun-ca
"ŝtupo"-noun-eo "esglaó"-noun-ca
"ŝtupo"-noun-eo "graó"-noun-ca
"ŝtupo"-noun-eo "escaló"-noun-ca
"esglaó"-noun-ca "ŝtupo"-noun-eo
"graó"-noun-ca "ŝtupo"-noun-eo
"escaló"-noun-ca "ŝtupo"-noun-eo
"cap"-noun-ca "kapo"-noun-eo
"kapo"-noun-eo "cap"-noun-ca
"base"-noun-ca "bazo"-noun-eo
"bazo"-noun-eo "base"-noun-ca
"fundació"-noun-ca "fondaĵo"-noun-eo
"fondaĵo"-noun-eo "fundació"-noun-ca
"col·laboració"-noun-ca "kunlaborado"-noun-eo
"kunlaborado"-noun-eo "col·laboració"-noun-ca
"kontribuo"-noun-eo "contribució"-noun-ca
"contribució"-noun-ca "kontribuo"-noun-eo
"ésser"-noun-ca "estaĵo"-noun-eo
"estaĵo"-noun-eo "ésser"-noun-ca
"domo"-noun-eo "casa"-noun-ca
"casa"-noun-ca "domo"-noun-eo
"llar"-noun-ca "hejmo"-noun-eo
"hejmo"-noun-eo "llar"-noun-ca
"sidejo"-noun-eo "seu"-noun-ca
"seu"-noun-ca "sidejo"-noun-eo
"greix"-noun-ca "graso"-noun-eo
"graso"-noun-eo "greix"-noun-ca
"alberg"-noun-ca "gastejo"-noun-eo
"gastejo"-noun-eo "alberg"-noun-ca
"gastejo"-noun-eo "hostal"-noun-ca
"hostal"-noun-ca "gastejo"-noun-eo
"alkonduko"-noun-eo "conducció"-noun-ca
"conducció"-noun-ca "alkonduko"-noun-eo
"spertulo"-noun-eo "expert"-noun-ca
"expert"-noun-ca "spertulo"-noun-eo
"expert"-noun-ca "eksperto"-noun-eo
"eksperto"-noun-eo "expert"-noun-ca
"ŝanĝo"-noun-eo "canvi"-noun-ca
"canvi"-noun-ca "ŝanĝo"-noun-eo
"repòs"-noun-ca "ripozo"-noun-eo
"ripozo"-noun-eo "repòs"-noun-ca
"espasa"-noun-ca "glavo"-noun-eo
"glavo"-noun-eo "espasa"-noun-ca
"punto"-noun-eo "punta"-noun-ca
"rando"-noun-eo "marge"-noun-ca
"rando"-noun-eo "vora"-noun-ca
"marge"-noun-ca "rando"-noun-eo
"marge"-noun-ca "marĝeno"-noun-eo
"vora"-noun-ca "rando"-noun-eo
"vora"-noun-ca "bordo"-noun-eo
"marĝeno"-noun-eo "marge"-noun-ca
"bordo"-noun-eo "vora"-noun-ca
"bordo"-noun-eo "riba"-noun-ca
"bordo"-noun-eo "ribera"-noun-ca
"riba"-noun-ca "bordo"-noun-eo
"ribera"-noun-ca "bordo"-noun-eo
"bastidor"-noun-ca "kuliso"-noun-eo
"kuliso"-noun-eo "bastidor"-noun-ca
"cançó"-noun-ca "kanto"-noun-eo
"kanto"-noun-eo "cançó"-noun-ca
"kanto"-noun-eo "cant"-noun-ca
"cant"-noun-ca "kanto"-noun-eo
"façana"-noun-ca "fasado"-noun-eo
"fasado"-noun-eo "façana"-noun-ca
"fronto"-noun-eo "front"-noun-ca
"front"-noun-ca "fronto"-noun-eo
"front"-noun-ca "frunto"-noun-eo
"frunto"-noun-eo "front"-noun-ca
"marko"-noun-eo "marca"-noun-ca
"marca"-noun-ca "marko"-noun-eo
"marca"-noun-ca "markio"-noun-eo
"markio"-noun-eo "marca"-noun-ca
"limŝtono"-noun-eo "fita"-noun-ca
"fita"-noun-ca "limŝtono"-noun-eo
"senyal"-noun-ca "signalo"-noun-eo
"signalo"-noun-eo "senyal"-noun-ca
"prognozo"-noun-eo "pronòstic"-noun-ca
"pronòstic"-noun-ca "prognozo"-noun-eo
"afiŝo"-noun-eo "cartell"-noun-ca
"cartell"-noun-ca "afiŝo"-noun-eo
"càrrec"-noun-ca "posteno"-noun-eo
"posteno"-noun-eo "càrrec"-noun-ca
"ús"-noun-ca "uzo"-noun-eo
"uzo"-noun-eo "ús"-noun-ca
"uzo"-noun-eo "utilització"-noun-ca
"ocupació"-noun-ca "okupo"-noun-eo
"ocupació"-noun-ca "okupacio"-noun-eo
"okupo"-noun-eo "ocupació"-noun-ca
"okupacio"-noun-eo "ocupació"-noun-ca
"raïm"-noun-ca "vinbero"-noun-eo
"vinbero"-noun-eo "raïm"-noun-ca
"insistència"-noun-ca "insisto"-noun-eo
"insisto"-noun-eo "insistència"-noun-ca
"emfazo"-noun-eo "èmfasi"-noun-ca
"èmfasi"-noun-ca "emfazo"-noun-eo
"inspiro"-noun-eo "inspiració"-noun-ca
"inspiració"-noun-ca "inspiro"-noun-eo
"inspiració"-noun-ca "vervo"-noun-eo
"vervo"-noun-eo "inspiració"-noun-ca
"conseqüència"-noun-ca "konsekvenco"-noun-eo
"konsekvenco"-noun-eo "conseqüència"-noun-ca
"longitud"-noun-ca "longitudo"-noun-eo
"longitud"-noun-ca "longeco"-noun-eo
"longitudo"-noun-eo "longitud"-noun-ca
"longeco"-noun-eo "longitud"-noun-ca
"regulo"-noun-eo "regla"-noun-ca
"regla"-noun-ca "regulo"-noun-eo
"agordo"-noun-eo "configuració"-noun-ca
"configuració"-noun-ca "agordo"-noun-eo
"formado"-noun-eo "formació"-noun-ca
"formació"-noun-ca "formado"-noun-eo
"modifo"-noun-eo "modificació"-noun-ca
"modificació"-noun-ca "modifo"-noun-eo
"kvalifiko"-noun-eo "qualificació"-noun-ca
"qualificació"-noun-ca "kvalifiko"-noun-eo
"solvo"-noun-eo "solució"-noun-ca
"solució"-noun-ca "solvo"-noun-eo
"desenllaç"-noun-ca "elnodiĝo"-noun-eo
"elnodiĝo"-noun-eo "desenllaç"-noun-ca
"elirejo"-noun-eo "sortida"-noun-ca
"sortida"-noun-ca "elirejo"-noun-eo
"sortida"-noun-ca "eliro"-noun-eo
"eliro"-noun-eo "sortida"-noun-ca
"sèrie"-noun-ca "serio"-noun-eo
"serio"-noun-eo "sèrie"-noun-ca
"kredo"-noun-eo "creença"-noun-ca
"creença"-noun-ca "kredo"-noun-eo
"confiança"-noun-ca "konfido"-noun-eo
"konfido"-noun-eo "confiança"-noun-ca
"problema"-noun-ca "problemo"-noun-eo
"problemo"-noun-eo "problema"-noun-ca
"ĝeno"-noun-eo "molèstia"-noun-ca
"molèstia"-noun-ca "ĝeno"-noun-eo
"pensmaniero"-noun-eo "mentalitat"-noun-ca
"mentalitat"-noun-ca "pensmaniero"-noun-eo
"pensament"-noun-ca "penso"-noun-eo
"penso"-noun-eo "pensament"-noun-ca
"bruo"-noun-eo "soroll"-noun-ca
"soroll"-noun-ca "bruo"-noun-eo
"onidiro"-noun-eo "rumor"-noun-ca
"rumor"-noun-ca "onidiro"-noun-eo
"rumor"-noun-ca "famo"-noun-eo
"famo"-noun-eo "rumor"-noun-ca
"famo"-noun-eo "fama"-noun-ca
"fama"-noun-ca "famo"-noun-eo
"avalot"-noun-ca "tumulto"-noun-eo
"tumulto"-noun-eo "avalot"-noun-ca
"llavor"-noun-ca "semo"-noun-eo
"semo"-noun-eo "llavor"-noun-ca
"guto"-noun-eo "gota"-noun-ca
"gota"-noun-ca "guto"-noun-eo
"taca"-noun-ca "makulo"-noun-eo
"makulo"-noun-eo "taca"-noun-ca
"honto"-noun-eo "vergonya"-noun-ca
"vergonya"-noun-ca "honto"-noun-eo
"origino"-noun-eo "origen"-noun-ca
"origen"-noun-ca "origino"-noun-eo
"plago"-noun-eo "plaga"-noun-ca
"plaga"-noun-ca "plago"-noun-eo
"pendent"-noun-ca "deklivo"-noun-eo
"deklivo"-noun-eo "pendent"-noun-ca
"atenció"-noun-ca "atento"-noun-eo
"atento"-noun-eo "atenció"-noun-ca
"impost"-noun-ca "imposto"-noun-eo
"imposto"-noun-eo "impost"-noun-ca
"índex"-noun-ca "indico"-noun-eo
"índex"-noun-ca "indekso"-noun-eo
"indico"-noun-eo "índex"-noun-ca
"indekso"-noun-eo "índex"-noun-ca
"sugesto"-noun-eo "suggeriment"-noun-ca
"suggeriment"-noun-ca "sugesto"-noun-eo
"herència"-noun-ca "heredaĵo"-noun-eo
"heredaĵo"-noun-eo "herència"-noun-ca
"kresko"-noun-eo "creixement"-noun-ca
"creixement"-noun-ca "kresko"-noun-eo
"ampliació"-noun-ca "pligrandigo"-noun-eo
"pligrandigo"-noun-eo "ampliació"-noun-ca
"salt"-noun-ca "salto"-noun-eo
"salto"-noun-eo "salt"-noun-ca
"ŝoto"-noun-eo "xut"-noun-ca
"xut"-noun-ca "ŝoto"-noun-eo
"punkto"-noun-eo "punt"-noun-ca
"punt"-noun-ca "punkto"-noun-eo
"gol"-noun-ca "golo"-noun-eo
"golo"-noun-eo "gol"-noun-ca
"pal"-noun-ca "fosto"-noun-eo
"fosto"-noun-eo "pal"-noun-ca
"ministerio"-noun-eo "ministeri"-noun-ca
"ministeri"-noun-ca "ministerio"-noun-eo
"ministeri"-noun-ca "ministrejo"-noun-eo
"ministrejo"-noun-eo "ministeri"-noun-ca
"municipo"-noun-eo "municipi"-noun-ca
"municipi"-noun-ca "municipo"-noun-eo
"komunumo"-noun-eo "comunitat"-noun-ca
"comunitat"-noun-ca "komunumo"-noun-eo
"flago"-noun-eo "bandera"-noun-ca
"bandera"-noun-ca "flago"-noun-eo
"fracàs"-noun-ca "fiasko"-noun-eo
"fiasko"-noun-eo "fracàs"-noun-ca
"acudit"-noun-ca "ŝerco"-noun-eo
"ŝerco"-noun-eo "acudit"-noun-ca
"ŝerco"-noun-eo "broma"-noun-ca
"broma"-noun-ca "ŝerco"-noun-eo
"elreviĝo"-noun-eo "desil·lusió"-noun-ca
"desil·lusió"-noun-ca "elreviĝo"-noun-eo
"eraro"-noun-eo "error"-noun-ca
"eraro"-noun-eo "equivocació"-noun-ca
"error"-noun-ca "eraro"-noun-eo
"equivocació"-noun-ca "eraro"-noun-eo
"irritació"-noun-ca "kolero"-noun-eo
"kolero"-noun-eo "irritació"-noun-ca
"kolero"-noun-eo "ira"-noun-ca
"ira"-noun-ca "kolero"-noun-eo
"ràbia"-noun-ca "rabio"-noun-eo
"rabio"-noun-eo "ràbia"-noun-ca
"malsano"-noun-eo "malaltia"-noun-ca
"malaltia"-noun-ca "malsano"-noun-eo
"mesaĝo"-noun-eo "missatge"-noun-ca
"missatge"-noun-ca "mesaĝo"-noun-eo
"teamo"-noun-eo "equip"-noun-ca
"equip"-noun-ca "teamo"-noun-eo
"equip"-noun-ca "skipo"-noun-eo
"skipo"-noun-eo "equip"-noun-ca
"brigado"-noun-eo "brigada"-noun-ca
"brigada"-noun-ca "brigado"-noun-eo
"misio"-noun-eo "missió"-noun-ca
"missió"-noun-ca "misio"-noun-eo
"tasca"-noun-ca "tasko"-noun-eo
"tasko"-noun-eo "tasca"-noun-ca
"obra"-noun-ca "verko"-noun-eo
"verko"-noun-eo "obra"-noun-ca
"libro"-noun-eo "llibre"-noun-ca
"llibre"-noun-ca "libro"-noun-eo
"pintura"-noun-ca "farbo"-noun-eo
"pintura"-noun-ca "pentraĵo"-noun-eo
"farbo"-noun-eo "pintura"-noun-ca
"pentraĵo"-noun-eo "pintura"-noun-ca
"color"-noun-ca "koloro"-noun-eo
"koloro"-noun-eo "color"-noun-ca
"dekoracio"-noun-eo "decoració"-noun-ca
"decoració"-noun-ca "dekoracio"-noun-eo
"juvelo"-noun-eo "joia"-noun-ca
"joia"-noun-ca "juvelo"-noun-eo
"joia"-noun-ca "ĝojo"-noun-eo
"ĝojo"-noun-eo "joia"-noun-ca
"ĝojo"-noun-eo "alegria"-noun-ca
"alegria"-noun-ca "ĝojo"-noun-eo
"sort"-noun-ca "sorto"-noun-eo
"sorto"-noun-eo "sort"-noun-ca
"hazardo"-noun-eo "atzar"-noun-ca
"atzar"-noun-ca "hazardo"-noun-eo
"organizo"-noun-eo "organització"-noun-ca
"organització"-noun-ca "organizo"-noun-eo
"organització"-noun-ca "organizado"-noun-eo
"organizado"-noun-eo "organització"-noun-ca
"knabo"-noun-eo "noi"-noun-ca
"knabo"-noun-eo "nen"-noun-ca
"knabo"-noun-eo "xic"-noun-ca
"knabo"-noun-eo "xicot"-noun-ca
"knabo"-noun-eo "xiquet"-noun-ca
"knabo"-noun-eo "nin"-noun-ca
"noi"-noun-ca "knabo"-noun-eo
"nen"-noun-ca "knabo"-noun-eo
"xic"-noun-ca "knabo"-noun-eo
"xicot"-noun-ca "knabo"-noun-eo
"xiquet"-noun-ca "knabo"-noun-eo
"nin"-noun-ca "knabo"-noun-eo
"fill"-noun-ca "filo"-noun-eo
"filo"-noun-eo "fill"-noun-ca
"infant"-noun-ca "infano"-noun-eo
"infano"-noun-eo "infant"-noun-ca
"jove"-noun-ca "junulo"-noun-eo
"junulo"-noun-eo "jove"-noun-ca
"fianĉo"-noun-eo "nuvi"-noun-ca
"nuvi"-noun-ca "fianĉo"-noun-eo
"amanto"-noun-eo "amant"-noun-ca
"amant"-noun-ca "amanto"-noun-eo
"amant"-noun-ca "geamantoj"-noun-eo
"geamantoj"-noun-eo "amant"-noun-ca
"senyor"-noun-ca "sinjoro"-noun-eo
"sinjoro"-noun-eo "senyor"-noun-ca
"donaco"-noun-eo "regal"-noun-ca
"regal"-noun-ca "donaco"-noun-eo
"directori"-noun-ca "dosierujo"-noun-eo
"dosierujo"-noun-eo "directori"-noun-ca
"administracio"-noun-eo "administració"-noun-ca
"administració"-noun-ca "administracio"-noun-eo
"intertraktado"-noun-eo "negociació"-noun-ca
"negociació"-noun-ca "intertraktado"-noun-eo
"conversa"-noun-ca "konversacio"-noun-eo
"konversacio"-noun-eo "conversa"-noun-ca
"konferenco"-noun-eo "conferència"-noun-ca
"conferència"-noun-ca "konferenco"-noun-eo
"conferència"-noun-ca "prelego"-noun-eo
"prelego"-noun-eo "conferència"-noun-ca
"febro"-noun-eo "febre"-noun-ca
"febre"-noun-ca "febro"-noun-eo
"perforto"-noun-eo "violència"-noun-ca
"violència"-noun-ca "perforto"-noun-eo
"prohibició"-noun-ca "malpermeso"-noun-eo
"malpermeso"-noun-eo "prohibició"-noun-ca
"defensa"-noun-ca "defendo"-noun-eo
"defendo"-noun-eo "defensa"-noun-ca
"sankcio"-noun-eo "sanció"-noun-ca
"sanció"-noun-ca "sankcio"-noun-eo
"càstig"-noun-ca "puno"-noun-eo
"puno"-noun-eo "càstig"-noun-ca
"kialo"-noun-eo "raó"-noun-ca
"raó"-noun-ca "kialo"-noun-eo
"eslògan"-noun-ca "slogano"-noun-eo
"slogano"-noun-eo "eslògan"-noun-ca
"pakaĵejo"-noun-eo "consigna"-noun-ca
"consigna"-noun-ca "pakaĵejo"-noun-eo
"govern"-noun-ca "registaro"-noun-eo
"registaro"-noun-eo "govern"-noun-ca
"regne"-noun-ca "reĝlando"-noun-eo
"reĝlando"-noun-eo "regne"-noun-ca
"sfero"-noun-eo "esfera"-noun-ca
"esfera"-noun-ca "sfero"-noun-eo
"bola"-noun-ca "bulo"-noun-eo
"bulo"-noun-eo "bola"-noun-ca
"cercle"-noun-ca "rondo"-noun-eo
"rondo"-noun-eo "cercle"-noun-ca
"procesio"-noun-eo "processó"-noun-ca
"processó"-noun-ca "procesio"-noun-eo
"industrio"-noun-eo "indústria"-noun-ca
"indústria"-noun-ca "industrio"-noun-eo
"entrepreno"-noun-eo "empresa"-noun-ca
"empresa"-noun-ca "entrepreno"-noun-eo
"sekureco"-noun-eo "seguretat"-noun-ca
"seguretat"-noun-ca "sekureco"-noun-eo
"garantio"-noun-eo "garantia"-noun-ca
"garantia"-noun-ca "garantio"-noun-eo
"aval"-noun-ca "avalo"-noun-eo
"avalo"-noun-eo "aval"-noun-ca
"espècimen"-noun-ca "specimeno"-noun-eo
"specimeno"-noun-eo "espècimen"-noun-ca
"specimeno"-noun-eo "mostra"-noun-ca
"mostra"-noun-ca "specimeno"-noun-eo
"gust"-noun-ca "gusto"-noun-eo
"gusto"-noun-eo "gust"-noun-ca
"provo"-noun-eo "prova"-noun-ca
"provo"-noun-eo "assaig"-noun-ca
"provo"-noun-eo "intent"-noun-ca
"prova"-noun-ca "provo"-noun-eo
"prova"-noun-ca "pruvo"-noun-eo
"assaig"-noun-ca "provo"-noun-eo
"intent"-noun-ca "provo"-noun-eo
"pruvo"-noun-eo "prova"-noun-ca
"pruvo"-noun-eo "demostració"-noun-ca
"demostració"-noun-ca "pruvo"-noun-eo
"preparado"-noun-eo "preparació"-noun-ca
"preparació"-noun-ca "preparado"-noun-eo
"creació"-noun-ca "kreo"-noun-eo
"creació"-noun-ca "kreaĵo"-noun-eo
"kreo"-noun-eo "creació"-noun-ca
"kreaĵo"-noun-eo "creació"-noun-ca
"kreaĵo"-noun-eo "criatura"-noun-ca
"criatura"-noun-ca "kreaĵo"-noun-eo
"noció"-noun-ca "nocio"-noun-eo
"nocio"-noun-eo "noció"-noun-ca
"lumo"-noun-eo "llum"-noun-ca
"llum"-noun-ca "lumo"-noun-eo
"sekcio"-noun-eo "secció"-noun-ca
"secció"-noun-ca "sekcio"-noun-eo
"alineo"-noun-eo "paràgraf"-noun-ca
"paràgraf"-noun-ca "alineo"-noun-eo
"klaŭzo"-noun-eo "clàusula"-noun-ca
"clàusula"-noun-ca "klaŭzo"-noun-eo
"cavaller"-noun-ca "kavaliro"-noun-eo
"kavaliro"-noun-eo "cavaller"-noun-ca
"parcelo"-noun-eo "parcel·la"-noun-ca
"parcel·la"-noun-ca "parcelo"-noun-eo
"breto"-noun-eo "prestatge"-noun-ca
"prestatge"-noun-ca "breto"-noun-eo
"cargol"-noun-ca "heliko"-noun-eo
"heliko"-noun-eo "cargol"-noun-ca
"vista"-noun-ca "vido"-noun-eo
"vido"-noun-eo "vista"-noun-ca
"vido"-noun-eo "visió"-noun-ca
"visió"-noun-ca "vido"-noun-eo
"escenari"-noun-ca "scenejo"-noun-eo
"scenejo"-noun-eo "escenari"-noun-ca
"skribo"-noun-eo "escriptura"-noun-ca
"escriptura"-noun-ca "skribo"-noun-eo
"medicino"-noun-eo "medicina"-noun-ca
"medicina"-noun-ca "medicino"-noun-eo
"medikamento"-noun-eo "medicament"-noun-ca
"medicament"-noun-ca "medikamento"-noun-eo
"helpo"-noun-eo "ajut"-noun-ca
"ajut"-noun-ca "helpo"-noun-eo
"kurzo"-noun-eo "cotització"-noun-ca
"cotització"-noun-ca "kurzo"-noun-eo
"peto"-noun-eo "petició"-noun-ca
"peto"-noun-eo "sol·licitud"-noun-ca
"petició"-noun-ca "peto"-noun-eo
"sol·licitud"-noun-ca "peto"-noun-eo
"kredito"-noun-eo "crèdit"-noun-ca
"crèdit"-noun-ca "kredito"-noun-eo
"subvencio"-noun-eo "subvenció"-noun-ca
"subvenció"-noun-ca "subvencio"-noun-eo
"prima"-noun-ca "premio"-noun-eo
"premio"-noun-eo "prima"-noun-ca
"premio"-noun-eo "premi"-noun-ca
"premi"-noun-ca "premio"-noun-eo
"printempo"-noun-eo "primavera"-noun-ca
"primavera"-noun-ca "printempo"-noun-eo
"gajno"-noun-eo "guany"-noun-ca
"guany"-noun-ca "gajno"-noun-eo
"preu"-noun-ca "prezo"-noun-eo
"prezo"-noun-eo "preu"-noun-ca
"tarifo"-noun-eo "tarifa"-noun-ca
"tarifa"-noun-ca "tarifo"-noun-eo
"persecució"-noun-ca "persekutado"-noun-eo
"persekutado"-noun-eo "persecució"-noun-ca
"transformació"-noun-ca "transformo"-noun-eo
"transformo"-noun-eo "transformació"-noun-ca
"monto"-noun-eo "muntanya"-noun-ca
"muntanya"-noun-ca "monto"-noun-eo
"montaro"-noun-eo "serra"-noun-ca
"serra"-noun-ca "montaro"-noun-eo
"bosc"-noun-ca "arbaro"-noun-eo
"arbaro"-noun-eo "bosc"-noun-ca
"ligno"-noun-eo "fusta"-noun-ca
"fusta"-noun-ca "ligno"-noun-eo
"homicidi"-noun-ca "murdo"-noun-eo
"murdo"-noun-eo "homicidi"-noun-ca
"murdo"-noun-eo "assassinat"-noun-ca
"assassinat"-noun-ca "murdo"-noun-eo
"destino"-noun-eo "destinació"-noun-ca
"destinació"-noun-ca "destino"-noun-eo
"futur"-noun-ca "estonteco"-noun-eo
"estonteco"-noun-eo "futur"-noun-ca
"posteulo"-noun-eo "successor"-noun-ca
"successor"-noun-ca "posteulo"-noun-eo
"branca"-noun-ca "branĉo"-noun-eo
"branĉo"-noun-eo "branca"-noun-ca
"bifurcació"-noun-ca "forko"-noun-eo
"forko"-noun-eo "bifurcació"-noun-ca
"forko"-noun-eo "forquilla"-noun-ca
"forquilla"-noun-ca "forko"-noun-eo
"posedanto"-noun-eo "posseïdor"-noun-ca
"posseïdor"-noun-ca "posedanto"-noun-eo
"propietari"-noun-ca "mastro"-noun-eo
"mastro"-noun-eo "propietari"-noun-ca
"mastro"-noun-eo "patró"-noun-ca
"patró"-noun-ca "mastro"-noun-eo
"patró"-noun-ca "patrono"-noun-eo
"patró"-noun-ca "ŝablono"-noun-eo
"patrono"-noun-eo "patró"-noun-ca
"ŝablono"-noun-eo "patró"-noun-ca
"mestre"-noun-ca "majstro"-noun-eo
"majstro"-noun-eo "mestre"-noun-ca
"plantilla"-noun-ca "personaro"-noun-eo
"personaro"-noun-eo "plantilla"-noun-ca
"personaro"-noun-eo "personal"-noun-ca
"personal"-noun-ca "personaro"-noun-eo
"reputació"-noun-ca "reputacio"-noun-eo
"reputacio"-noun-eo "reputació"-noun-ca
"renomo"-noun-eo "renom"-noun-ca
"renom"-noun-ca "renomo"-noun-eo
"stelo"-noun-eo "estel"-noun-ca
"stelo"-noun-eo "estrella"-noun-ca
"estel"-noun-ca "stelo"-noun-eo
"estrella"-noun-ca "stelo"-noun-eo
"estrella"-noun-ca "stelulo"-noun-eo
"stelulo"-noun-eo "estrella"-noun-ca
"astro"-noun-eo "astre"-noun-ca
"astre"-noun-ca "astro"-noun-eo
"turó"-noun-ca "monteto"-noun-eo
"monteto"-noun-eo "turó"-noun-ca
"policano"-noun-eo "policia"-noun-ca
"policano"-noun-eo "mosso d'esquadra"-noun-ca
"policia"-noun-ca "policano"-noun-eo
"policia"-noun-ca "polico"-noun-eo
"mosso d'esquadra"-noun-ca "policano"-noun-eo
"mosso d'esquadra"-noun-ca "polico"-noun-eo
"polico"-noun-eo "policia"-noun-ca
"polico"-noun-eo "mosso d'esquadra"-noun-ca
"funkciulo"-noun-eo "funcionari"-noun-ca
"funcionari"-noun-ca "funkciulo"-noun-eo
"oficial"-noun-ca "oficiro"-noun-eo
"oficiro"-noun-eo "oficial"-noun-ca
"konkludo"-noun-eo "conclusió"-noun-ca
"conclusió"-noun-ca "konkludo"-noun-eo
"seanco"-noun-eo "sessió"-noun-ca
"sessió"-noun-ca "seanco"-noun-eo
"sessió"-noun-ca "kunsido"-noun-eo
"kunsido"-noun-eo "sessió"-noun-ca
"producte"-noun-ca "produkto"-noun-eo
"produkto"-noun-eo "producte"-noun-ca
"sumo"-noun-eo "suma"-noun-ca
"suma"-noun-ca "sumo"-noun-eo
"quantitat"-noun-ca "kvanto"-noun-eo
"kvanto"-noun-eo "quantitat"-noun-ca
"zono"-noun-eo "cinturó"-noun-ca
"zono"-noun-eo "zona"-noun-ca
"cinturó"-noun-ca "zono"-noun-eo
"zona"-noun-ca "zono"-noun-eo
"corretja"-noun-ca "rimeno"-noun-eo
"rimeno"-noun-eo "corretja"-noun-ca
"bando"-noun-eo "banda"-noun-ca
"banda"-noun-ca "bando"-noun-eo
"strio"-noun-eo "franja"-noun-ca
"franja"-noun-ca "strio"-noun-eo
"vestit"-noun-ca "kostumo"-noun-eo
"kostumo"-noun-eo "vestit"-noun-ca
"costum"-noun-ca "kutimo"-noun-eo
"kutimo"-noun-eo "costum"-noun-ca
"porc"-noun-ca "porko"-noun-eo
"porko"-noun-eo "porc"-noun-ca
"seda"-noun-ca "silko"-noun-eo
"silko"-noun-eo "seda"-noun-ca
"manko"-noun-eo "falta"-noun-ca
"falta"-noun-ca "manko"-noun-eo
"efekto"-noun-eo "efecte"-noun-ca
"efecte"-noun-ca "efekto"-noun-eo
"sukceso"-noun-eo "èxit"-noun-ca
