"neniu"-determiner-eo "ninguno"-determiner-es
"pakaĵejo"-noun-eo "consigna"-noun-es
"consigna"-noun-es "pakaĵejo"-noun-eo
"pedagogía"-noun-es "pedagogio"-noun-eo
"pedagogio"-noun-eo "pedagogía"-noun-es
"infanejo"-noun-eo "guardería"-noun-es
"guardería"-noun-es "infanejo"-noun-eo
"agrupación"-noun-es "grupigo"-noun-eo
"grupigo"-noun-eo "agrupación"-noun-es
"álamo"-noun-es "poplo"-noun-eo
"poplo"-noun-eo "álamo"-noun-es
"píldora"-noun-es "pilolo"-noun-eo
"pilolo"-noun-eo "píldora"-noun-es
"diamante"-noun-es "diamanto"-noun-eo
"diamanto"-noun-eo "diamante"-noun-es
"ábaco"-noun-es "abako"-noun-eo
"abako"-noun-eo "ábaco"-noun-es
"legua"-noun-es "leŭgo"-noun-eo
"leŭgo"-noun-eo "legua"-noun-es
"segundo"-noun-es "sekundo"-noun-eo
"sekundo"-noun-eo "segundo"-noun-es
"frato"-noun-eo "hermano"-noun-es
"hermano"-noun-es "frato"-noun-eo
"monje"-noun-es "monaĥo"-noun-eo
"monaĥo"-noun-eo "monje"-noun-es
"eclesiástico"-noun-es "kleriko"-noun-eo
"kleriko"-noun-eo "eclesiástico"-noun-es
"kleriko"-noun-eo "clérigo"-noun-es
"clérigo"-noun-es "kleriko"-noun-eo
"bala"-noun-es "kuglo"-noun-eo
"kuglo"-noun-eo "bala"-noun-es
"poesía"-noun-es "poezio"-noun-eo
"poezio"-noun-eo "poesía"-noun-es
"poemo"-noun-eo "poema"-noun-es
"poema"-noun-es "poemo"-noun-eo
"verso"-noun-es "verso"-noun-eo
"verso"-noun-eo "verso"-noun-es
"sekvenco"-noun-eo "secuencia"-noun-es
"secuencia"-noun-es "sekvenco"-noun-eo
"kastelo"-noun-eo "castillo"-noun-es
"castillo"-noun-es "kastelo"-noun-eo
"horizonte"-noun-es "horizonto"-noun-eo
"horizonto"-noun-eo "horizonte"-noun-es
"camión"-noun-es "ŝarĝaŭto"-noun-eo
"camión"-noun-es "kamiono"-noun-eo
"ŝarĝaŭto"-noun-eo "camión"-noun-es
"kamiono"-noun-eo "camión"-noun-es
"pajlo"-noun-eo "paja"-noun-es
"paja"-noun-es "pajlo"-noun-eo
"espuma"-noun-es "ŝaŭmo"-noun-eo
"ŝaŭmo"-noun-eo "espuma"-noun-es
"nebulo"-noun-eo "niebla"-noun-es
"niebla"-noun-es "nebulo"-noun-eo
"kalumnio"-noun-eo "calumnia"-noun-es
"calumnia"-noun-es "kalumnio"-noun-eo
"kaoso"-noun-eo "caos"-noun-es
"caos"-noun-es "kaoso"-noun-eo
"kaverno"-noun-eo "cueva"-noun-es
"cueva"-noun-es "kaverno"-noun-eo
"groto"-noun-eo "gruta"-noun-es
"gruta"-noun-es "groto"-noun-eo
"leche"-noun-es "lakto"-noun-eo
"lakto"-noun-eo "leche"-noun-es
"veturilo"-noun-eo "vehículo"-noun-es
"vehículo"-noun-es "veturilo"-noun-eo
"ajo"-noun-es "ajlo"-noun-eo
"ajlo"-noun-eo "ajo"-noun-es
"cebolla"-noun-es "cepo"-noun-eo
"cepo"-noun-eo "cebolla"-noun-es
"manía"-noun-es "manio"-noun-eo
"manio"-noun-eo "manía"-noun-es
"pendiente"-noun-es "orelringo"-noun-eo
"pendiente"-noun-es "deklivo"-noun-eo
"orelringo"-noun-eo "pendiente"-noun-es
"deklivo"-noun-eo "pendiente"-noun-es
"deklivo"-noun-eo "ladera"-noun-es
"deklivo"-noun-eo "vertiente"-noun-es
"ladera"-noun-es "deklivo"-noun-eo
"vertiente"-noun-es "deklivo"-noun-eo
"matiz"-noun-es "nuanco"-noun-eo
"nuanco"-noun-eo "matiz"-noun-es
"intérprete"-noun-es "interpretisto"-noun-eo
"interpretisto"-noun-eo "intérprete"-noun-es
"huésped"-noun-es "gasto"-noun-eo
"gasto"-noun-eo "huésped"-noun-es
"decano"-noun-es "dekano"-noun-eo
"dekano"-noun-eo "decano"-noun-es
"presidente"-noun-es "prezidanto"-noun-eo
"presidente"-noun-es "prezidento"-noun-eo
"prezidanto"-noun-eo "presidente"-noun-es
"prezidento"-noun-eo "presidente"-noun-es
"altavoz"-noun-es "laŭtparolilo"-noun-eo
"laŭtparolilo"-noun-eo "altavoz"-noun-es
"interlocutor"-noun-es "interparolanto"-noun-eo
"interparolanto"-noun-eo "interlocutor"-noun-es
"noche"-noun-es "nokto"-noun-eo
"nokto"-noun-eo "noche"-noun-es
"mediodía"-noun-es "tagmezo"-noun-eo
"tagmezo"-noun-eo "mediodía"-noun-es
"feria"-noun-es "foiro"-noun-eo
"foiro"-noun-eo "feria"-noun-es
"portavoz"-noun-es "proparolanto"-noun-eo
"proparolanto"-noun-eo "portavoz"-noun-es
"jugador"-noun-es "ludanto"-noun-eo
"ludanto"-noun-eo "jugador"-noun-es
"protagonista"-noun-es "ĉefrolulo"-noun-eo
"ĉefrolulo"-noun-eo "protagonista"-noun-es
"héroe"-noun-es "heroo"-noun-eo
"heroo"-noun-eo "héroe"-noun-es
"oreja"-noun-es "orelo"-noun-eo
"orelo"-noun-eo "oreja"-noun-es
"barón"-noun-es "barono"-noun-eo
"barono"-noun-eo "barón"-noun-es
"pie"-noun-es "piedo"-noun-eo
"piedo"-noun-eo "pie"-noun-es
"sofá"-noun-es "sofo"-noun-eo
"sofo"-noun-eo "sofá"-noun-es
"prezidanteco"-noun-eo "presidencia"-noun-es
"presidencia"-noun-es "prezidanteco"-noun-eo
"cenicero"-noun-es "cindrujo"-noun-eo
"cindrujo"-noun-eo "cenicero"-noun-es
"sodio"-noun-es "natrio"-noun-eo
"natrio"-noun-eo "sodio"-noun-es
"centeno"-noun-es "sekalo"-noun-eo
"sekalo"-noun-eo "centeno"-noun-es
"siglo"-noun-es "jarcento"-noun-eo
"jarcento"-noun-eo "siglo"-noun-es
"mundo"-noun-es "mondo"-noun-eo
"mondo"-noun-eo "mundo"-noun-es
"padrino"-noun-es "baptopatro"-noun-eo
"baptopatro"-noun-eo "padrino"-noun-es
"monasterio"-noun-es "monaĥejo"-noun-eo
"monaĥejo"-noun-eo "monasterio"-noun-es
"starigo"-noun-eo "establecimiento"-noun-es
"establecimiento"-noun-es "starigo"-noun-eo
"establecimiento"-noun-es "establo"-noun-eo
"establo"-noun-eo "establecimiento"-noun-es
"conciencia"-noun-es "konscienco"-noun-eo
"konscienco"-noun-eo "conciencia"-noun-es
"exilio"-noun-es "ekzilo"-noun-eo
"ekzilo"-noun-eo "exilio"-noun-es
"rescisión"-noun-es "nuligo"-noun-eo
"nuligo"-noun-eo "rescisión"-noun-es
"nuligo"-noun-eo "cancelación"-noun-es
"cancelación"-noun-es "nuligo"-noun-eo
"sincereco"-noun-eo "sinceridad"-noun-es
"sinceridad"-noun-es "sincereco"-noun-eo
"travidebleco"-noun-eo "transparencia"-noun-es
"transparencia"-noun-es "travidebleco"-noun-eo
"malkovro"-noun-eo "descubrimiento"-noun-es
"descubrimiento"-noun-es "malkovro"-noun-eo
"trovo"-noun-eo "hallazgo"-noun-es
"hallazgo"-noun-es "trovo"-noun-eo
"premo"-noun-eo "presión"-noun-es
"presión"-noun-es "premo"-noun-eo
"kongreso"-noun-eo "congreso"-noun-es
"congreso"-noun-es "kongreso"-noun-eo
"inteligenteco"-noun-eo "inteligencia"-noun-es
"inteligencia"-noun-es "inteligenteco"-noun-eo
"venĝo"-noun-eo "venganza"-noun-es
"venganza"-noun-es "venĝo"-noun-eo
"represalia"-noun-es "reprezalio"-noun-eo
"reprezalio"-noun-eo "represalia"-noun-es
"ĉeesto"-noun-eo "presencia"-noun-es
"ĉeesto"-noun-eo "asistencia"-noun-es
"presencia"-noun-es "ĉeesto"-noun-eo
"asistencia"-noun-es "ĉeesto"-noun-eo
"tesoro"-noun-es "trezoro"-noun-eo
"trezoro"-noun-eo "tesoro"-noun-es
"símbolo"-noun-es "simbolo"-noun-eo
"simbolo"-noun-eo "símbolo"-noun-es
"difino"-noun-eo "definición"-noun-es
"definición"-noun-es "difino"-noun-eo
"determino"-noun-eo "determinación"-noun-es
"determinación"-noun-es "determino"-noun-eo
"postvivado"-noun-eo "supervivencia"-noun-es
"supervivencia"-noun-es "postvivado"-noun-eo
"intruso"-noun-es "entrudulo"-noun-eo
"entrudulo"-noun-eo "intruso"-noun-es
"metro"-noun-es "metro"-noun-eo
"metro"-noun-eo "metro"-noun-es
"kancero"-noun-eo "cáncer"-noun-es
"cáncer"-noun-es "kancero"-noun-eo
"toro"-noun-es "taŭro"-noun-eo
"taŭro"-noun-eo "toro"-noun-es
"globulo"-noun-eo "glóbulo"-noun-es
"glóbulo"-noun-es "globulo"-noun-eo
"kupolo"-noun-eo "cúpula"-noun-es
"cúpula"-noun-es "kupolo"-noun-eo
"labio"-noun-es "lipo"-noun-eo
"lipo"-noun-eo "labio"-noun-es
"cocina"-noun-es "kuirejo"-noun-eo
"kuirejo"-noun-eo "cocina"-noun-es
"cocinero"-noun-es "kuiristo"-noun-eo
"kuiristo"-noun-eo "cocinero"-noun-es
"bañera"-noun-es "banujo"-noun-eo
"banujo"-noun-eo "bañera"-noun-es
"bano"-noun-eo "baño"-noun-es
"baño"-noun-es "bano"-noun-eo
"lago"-noun-es "lago"-noun-eo
"lago"-noun-eo "lago"-noun-es
"magistrado"-noun-es "juĝisto"-noun-eo
"juĝisto"-noun-eo "magistrado"-noun-es
"juĝisto"-noun-eo "juez"-noun-es
"juez"-noun-es "juĝisto"-noun-eo
"bistec"-noun-es "bifsteko"-noun-eo
"bifsteko"-noun-eo "bistec"-noun-es
"lato"-noun-eo "listón"-noun-es
"listón"-noun-es "lato"-noun-eo
"fibra"-noun-es "fibro"-noun-eo
"fibro"-noun-eo "fibra"-noun-es
"túnica"-noun-es "tuniko"-noun-eo
"tuniko"-noun-eo "túnica"-noun-es
"tolaĵo"-noun-eo "lencería"-noun-es
"lencería"-noun-es "tolaĵo"-noun-eo
"almohada"-noun-es "kapkuseno"-noun-eo
"kapkuseno"-noun-eo "almohada"-noun-es
"vela"-noun-es "kandelo"-noun-eo
"vela"-noun-es "velo"-noun-eo
"kandelo"-noun-eo "vela"-noun-es
"velo"-noun-eo "vela"-noun-es
"fresa"-noun-es "frago"-noun-eo
"frago"-noun-eo "fresa"-noun-es
"vango"-noun-eo "mejilla"-noun-es
"mejilla"-noun-es "vango"-noun-eo
"faceta"-noun-es "faceto"-noun-eo
"faceto"-noun-eo "faceta"-noun-es
"malkapablo"-noun-eo "incapacidad"-noun-es
"incapacidad"-noun-es "malkapablo"-noun-eo
"obsesión"-noun-es "obsedo"-noun-eo
"obsedo"-noun-eo "obsesión"-noun-es
"indigno"-noun-eo "indignación"-noun-es
"indignación"-noun-es "indigno"-noun-eo
"botella"-noun-es "botelo"-noun-eo
"botelo"-noun-eo "botella"-noun-es
"ensalada"-noun-es "salato"-noun-eo
"salato"-noun-eo "ensalada"-noun-es
"anticipo"-noun-eo "anticipación"-noun-es
"anticipo"-noun-eo "antelación"-noun-es
"anticipación"-noun-es "anticipo"-noun-eo
"antelación"-noun-es "anticipo"-noun-eo
"agenteco"-noun-eo "agencia"-noun-es
"agencia"-noun-es "agenteco"-noun-eo
"agencia"-noun-es "agentejo"-noun-eo
"agentejo"-noun-eo "agencia"-noun-es
"sensor"-noun-es "sensilo"-noun-eo
"sensilo"-noun-eo "sensor"-noun-es
"administrador"-noun-es "administranto"-noun-eo
"administranto"-noun-eo "administrador"-noun-es
"asalariado"-noun-es "salajrulo"-noun-eo
"salajrulo"-noun-eo "asalariado"-noun-es
"politikisto"-noun-eo "político"-noun-es
"político"-noun-es "politikisto"-noun-eo
"política"-noun-es "politiko"-noun-eo
"politiko"-noun-eo "política"-noun-es
"póliza"-noun-es "poliso"-noun-eo
"poliso"-noun-eo "póliza"-noun-es
"intermediario"-noun-es "peranto"-noun-eo
"peranto"-noun-eo "intermediario"-noun-es
"representante"-noun-es "reprezentanto"-noun-eo
"reprezentanto"-noun-eo "representante"-noun-es
"torĉo"-noun-eo "antorcha"-noun-es
"antorcha"-noun-es "torĉo"-noun-eo
"llama"-noun-es "flamo"-noun-eo
"flamo"-noun-eo "llama"-noun-es
"sustantivo"-noun-es "substantivo"-noun-eo
"substantivo"-noun-eo "sustantivo"-noun-es
"perfil"-noun-es "profilo"-noun-eo
"profilo"-noun-eo "perfil"-noun-es
"gloria"-noun-es "gloro"-noun-eo
"gloro"-noun-eo "gloria"-noun-es
"peso"-noun-es "pezo"-noun-eo
"pezo"-noun-eo "peso"-noun-es
"puntuación"-noun-es "interpunkcio"-noun-eo
"interpunkcio"-noun-eo "puntuación"-noun-es
"veintena"-noun-es "dudeko"-noun-eo
"dudeko"-noun-eo "veintena"-noun-es
"urbanizado"-noun-eo "urbanización"-noun-es
"urbanización"-noun-es "urbanizado"-noun-eo
"apología"-noun-es "apologio"-noun-eo
"apologio"-noun-eo "apología"-noun-es
"foca"-noun-es "foko"-noun-eo
"foko"-noun-eo "foca"-noun-es
"fermo"-noun-eo "cierre"-noun-es
"cierre"-noun-es "fermo"-noun-eo
"lojaleco"-noun-eo "lealtad"-noun-es
"lealtad"-noun-es "lojaleco"-noun-eo
"aliĝo"-noun-eo "adhesión"-noun-es
"adhesión"-noun-es "aliĝo"-noun-eo
"curva"-noun-es "kurbo"-noun-eo
"kurbo"-noun-eo "curva"-noun-es
"sistema"-noun-es "sistemo"-noun-eo
"sistemo"-noun-eo "sistema"-noun-es
"universo"-noun-es "universo"-noun-eo
"universo"-noun-eo "universo"-noun-es
"doctrina"-noun-es "doktrino"-noun-eo
"doktrino"-noun-eo "doctrina"-noun-es
"codo"-noun-es "kubuto"-noun-eo
"kubuto"-noun-eo "codo"-noun-es
"cine"-noun-es "kino"-noun-eo
"kino"-noun-eo "cine"-noun-es
"película"-noun-es "filmo"-noun-eo
"filmo"-noun-eo "película"-noun-es
"filmo"-noun-eo "film"-noun-es
"film"-noun-es "filmo"-noun-eo
"legado"-noun-eo "lectura"-noun-es
"lectura"-noun-es "legado"-noun-eo
"interpretación"-noun-es "interpreto"-noun-eo
"interpretación"-noun-es "interpretado"-noun-eo
"interpreto"-noun-eo "interpretación"-noun-es
"interpretado"-noun-eo "interpretación"-noun-es
"actividad"-noun-es "aktiveco"-noun-eo
"aktiveco"-noun-eo "actividad"-noun-es
"crisis"-noun-es "krizo"-noun-eo
"krizo"-noun-eo "crisis"-noun-es
"emergencia"-noun-es "kriz-okazo"-noun-eo
"kriz-okazo"-noun-eo "emergencia"-noun-es
"urĝaĵo"-noun-eo "urgencia"-noun-es
"urgencia"-noun-es "urĝaĵo"-noun-eo
"hasto"-noun-eo "precipitación"-noun-es
"hasto"-noun-eo "prisa"-noun-es
"precipitación"-noun-es "hasto"-noun-eo
"prisa"-noun-es "hasto"-noun-eo
"kandidateco"-noun-eo "candidatura"-noun-es
"candidatura"-noun-es "kandidateco"-noun-eo
"fecha"-noun-es "dato"-noun-eo
"dato"-noun-eo "fecha"-noun-es
"conocimiento"-noun-es "kono"-noun-eo
"kono"-noun-eo "conocimiento"-noun-es
"ventana"-noun-es "fenestro"-noun-eo
"fenestro"-noun-eo "ventana"-noun-es
"espejo"-noun-es "spegulo"-noun-eo
"spegulo"-noun-eo "espejo"-noun-es
"resfriado"-noun-es "malvarmumo"-noun-eo
"malvarmumo"-noun-eo "resfriado"-noun-es
"kataro"-noun-eo "catarro"-noun-es
"catarro"-noun-es "kataro"-noun-eo
"frío"-noun-es "malvarmo"-noun-eo
"malvarmo"-noun-eo "frío"-noun-es
"malvarmeco"-noun-eo "frialdad"-noun-es
"frialdad"-noun-es "malvarmeco"-noun-eo
"hielo"-noun-es "glacio"-noun-eo
"glacio"-noun-eo "hielo"-noun-es
"montro-fenestro"-noun-eo "escaparate"-noun-es
"escaparate"-noun-es "montro-fenestro"-noun-eo
"escaparate"-noun-es "montrofenestro"-noun-eo
"montrofenestro"-noun-eo "escaparate"-noun-es
"cirugía"-noun-es "kirurgio"-noun-eo
"kirurgio"-noun-eo "cirugía"-noun-es
"financiación"-noun-es "financado"-noun-eo
"financado"-noun-eo "financiación"-noun-es
"disciplina"-noun-es "disciplino"-noun-eo
"disciplino"-noun-eo "disciplina"-noun-es
"rueda"-noun-es "rado"-noun-eo
"rado"-noun-eo "rueda"-noun-es
"carne"-noun-es "karno"-noun-eo
"karno"-noun-eo "carne"-noun-es
"hígado"-noun-es "hepato"-noun-eo
"hepato"-noun-eo "hígado"-noun-es
"pasteĉo"-noun-eo "paté"-noun-es
"paté"-noun-es "pasteĉo"-noun-eo
"cornisa"-noun-es "kornico"-noun-eo
"kornico"-noun-eo "cornisa"-noun-es
"rajtigo"-noun-eo "habilitación"-noun-es
"rajtigo"-noun-eo "autorización"-noun-es
"habilitación"-noun-es "rajtigo"-noun-eo
"autorización"-noun-es "rajtigo"-noun-eo
"repertorio"-noun-es "repertuaro"-noun-eo
"repertuaro"-noun-eo "repertorio"-noun-es
"katalogo"-noun-eo "catálogo"-noun-es
"catálogo"-noun-es "katalogo"-noun-eo
"censo"-noun-es "censo"-noun-eo
"censo"-noun-eo "censo"-noun-es
"servilleta"-noun-es "buŝtuko"-noun-eo
"buŝtuko"-noun-eo "servilleta"-noun-es
"inkludo"-noun-eo "inclusión"-noun-es
"inclusión"-noun-es "inkludo"-noun-eo
"clima"-noun-es "klimato"-noun-eo
"klimato"-noun-eo "clima"-noun-es
"kronometro"-noun-eo "cronómetro"-noun-es
"cronómetro"-noun-es "kronometro"-noun-eo
"ĉeko"-noun-eo "cheque"-noun-es
"cheque"-noun-es "ĉeko"-noun-eo
"talón"-noun-es "kalkano"-noun-eo
"kalkano"-noun-eo "talón"-noun-es
"kalkanumo"-noun-eo "tacón"-noun-es
"tacón"-noun-es "kalkanumo"-noun-eo
"pastor"-noun-es "paŝtisto"-noun-eo
"paŝtisto"-noun-eo "pastor"-noun-es
"pastro"-noun-eo "sacerdote"-noun-es
"pastro"-noun-eo "cura"-noun-es
"sacerdote"-noun-es "pastro"-noun-eo
"cura"-noun-es "pastro"-noun-eo
"droga"-noun-es "drogo"-noun-eo
"drogo"-noun-eo "droga"-noun-es
"medikamento"-noun-eo "medicamento"-noun-es
"medicamento"-noun-es "medikamento"-noun-eo
"medicina"-noun-es "medicino"-noun-eo
"medicino"-noun-eo "medicina"-noun-es
"pulpo"-noun-es "polpo"-noun-eo
"polpo"-noun-eo "pulpo"-noun-es
"collar"-noun-es "koliero"-noun-eo
"koliero"-noun-eo "collar"-noun-es
"árbol"-noun-es "arbo"-noun-eo
"arbo"-noun-eo "árbol"-noun-es
"mástil"-noun-es "masto"-noun-eo
"masto"-noun-eo "mástil"-noun-es
"miel"-noun-es "mielo"-noun-eo
"mielo"-noun-eo "miel"-noun-es
"arrecife"-noun-es "rifo"-noun-eo
"rifo"-noun-eo "arrecife"-noun-es
"TTT-ejo"-noun-eo "web"-noun-es
"web"-noun-es "TTT-ejo"-noun-eo
"local"-noun-es "ejo"-noun-eo
"ejo"-noun-eo "local"-noun-es
"lugar"-noun-es "loko"-noun-eo
"loko"-noun-eo "lugar"-noun-es
"loko"-noun-eo "sitio"-noun-es
"loko"-noun-eo "puesto"-noun-es
"loko"-noun-eo "paraje"-noun-es
"sitio"-noun-es "loko"-noun-eo
"bota"-noun-es "boto"-noun-eo
"boto"-noun-eo "bota"-noun-es
"fizionomio"-noun-eo "fisonomía"-noun-es
"fisonomía"-noun-es "fizionomio"-noun-eo
"aspecto"-noun-es "aspekto"-noun-eo
"aspekto"-noun-eo "aspecto"-noun-es
"coma"-noun-es "komo"-noun-eo
"komo"-noun-eo "coma"-noun-es
"fandado"-noun-eo "fusión"-noun-es
"fusión"-noun-es "fandado"-noun-eo
"skanilo"-noun-eo "escáner"-noun-es
"escáner"-noun-es "skanilo"-noun-eo
"boletín"-noun-es "bulteno"-noun-eo
"bulteno"-noun-eo "boletín"-noun-es
"neceseco"-noun-eo "necesidad"-noun-es
"necesidad"-noun-es "neceseco"-noun-eo
"necesidad"-noun-es "neceso"-noun-eo
"neceso"-noun-eo "necesidad"-noun-es
"panadería"-noun-es "bakejo"-noun-eo
"bakejo"-noun-eo "panadería"-noun-es
"marihuana"-noun-es "mariĥuano"-noun-eo
"mariĥuano"-noun-eo "marihuana"-noun-es
"paz"-noun-es "paco"-noun-eo
"paco"-noun-eo "paz"-noun-es
"aserto"-noun-eo "afirmación"-noun-es
"afirmación"-noun-es "aserto"-noun-eo
"forgeso"-noun-eo "olvido"-noun-es
"olvido"-noun-es "forgeso"-noun-eo
"parabrisas"-noun-es "ventŝirmilo"-noun-eo
"ventŝirmilo"-noun-eo "parabrisas"-noun-es
"pantalla"-noun-es "ekrano"-noun-eo
"ekrano"-noun-eo "pantalla"-noun-es
"kvalito"-noun-eo "calidad"-noun-es
"kvalito"-noun-eo "cualidad"-noun-es
"calidad"-noun-es "kvalito"-noun-eo
"cualidad"-noun-es "kvalito"-noun-eo
"amistad"-noun-es "amikeco"-noun-eo
"amikeco"-noun-eo "amistad"-noun-es
"balkono"-noun-eo "balcón"-noun-es
"balcón"-noun-es "balkono"-noun-eo
"premisa"-noun-es "premiso"-noun-eo
"premiso"-noun-eo "premisa"-noun-es
"catedral"-noun-es "katedralo"-noun-eo
"katedralo"-noun-eo "catedral"-noun-es
"manipulado"-noun-eo "manipulación"-noun-es
"manipulación"-noun-es "manipulado"-noun-eo
"confección"-noun-es "konfekcio"-noun-eo
"konfekcio"-noun-eo "confección"-noun-es
"supereco"-noun-eo "superioridad"-noun-es
"superioridad"-noun-es "supereco"-noun-eo
"prioritato"-noun-eo "prioridad"-noun-es
"prioridad"-noun-es "prioritato"-noun-eo
"prefero"-noun-eo "preferencia"-noun-es
"prefero"-noun-eo "predilección"-noun-es
"preferencia"-noun-es "prefero"-noun-eo
"predilección"-noun-es "prefero"-noun-eo
"evolución"-noun-es "evoluo"-noun-eo
"evoluo"-noun-eo "evolución"-noun-es
"libro"-noun-es "libro"-noun-eo
"libro"-noun-eo "libro"-noun-es
"redactor"-noun-es "redaktisto"-noun-eo
"redaktisto"-noun-eo "redactor"-noun-es
"identificación"-noun-es "identigo"-noun-eo
"identigo"-noun-eo "identificación"-noun-es
"licor"-noun-es "likvoro"-noun-eo
"likvoro"-noun-eo "licor"-noun-es
"loĝanto"-noun-eo "habitante"-noun-es
"habitante"-noun-es "loĝanto"-noun-eo
"virgulino"-noun-eo "virgen"-noun-es
"virgen"-noun-es "virgulino"-noun-eo
"ĉasisto"-noun-eo "cazador"-noun-es
"cazador"-noun-es "ĉasisto"-noun-eo
"príncipe"-noun-es "princo"-noun-eo
"princo"-noun-eo "príncipe"-noun-es
"juventud"-noun-es "juneco"-noun-eo
"juneco"-noun-eo "juventud"-noun-es
"amigo"-noun-es "amiko"-noun-eo
"amiko"-noun-eo "amigo"-noun-es
"atún"-noun-es "tinuso"-noun-eo
"tinuso"-noun-eo "atún"-noun-es
"paĝo"-noun-eo "página"-noun-es
"página"-noun-es "paĝo"-noun-eo
"albañil"-noun-es "masonisto"-noun-eo
"masonisto"-noun-eo "albañil"-noun-es
"isla"-noun-es "insulo"-noun-eo
"insulo"-noun-eo "isla"-noun-es
"tribuno"-noun-eo "tribuna"-noun-es
"tribuna"-noun-es "tribuno"-noun-eo
"plataforma"-noun-es "platformo"-noun-eo
"platformo"-noun-eo "plataforma"-noun-es
"envidia"-noun-es "envio"-noun-eo
"envio"-noun-eo "envidia"-noun-es
"capricho"-noun-es "kaprico"-noun-eo
"kaprico"-noun-eo "capricho"-noun-es
"gratificación"-noun-es "gratifiko"-noun-eo
"gratifiko"-noun-eo "gratificación"-noun-es
"suplemento"-noun-es "suplemento"-noun-eo
"suplemento"-noun-eo "suplemento"-noun-es
"dependencia"-noun-es "dependeco"-noun-eo
"dependeco"-noun-eo "dependencia"-noun-es
"crónica"-noun-es "kroniko"-noun-eo
"kroniko"-noun-eo "crónica"-noun-es
"capitán"-noun-es "kapitano"-noun-eo
"kapitano"-noun-eo "capitán"-noun-es
"apóstol"-noun-es "apostolo"-noun-eo
"apostolo"-noun-eo "apóstol"-noun-es
"notario"-noun-eo "notario"-noun-es
"notario"-noun-es "notario"-noun-eo
"marinero"-noun-es "maristo"-noun-eo
"maristo"-noun-eo "marinero"-noun-es
"patrulla"-noun-es "patrolo"-noun-eo
"patrolo"-noun-eo "patrulla"-noun-es
"frakcio"-noun-eo "facción"-noun-es
"frakcio"-noun-eo "fracción"-noun-es
"frakcio"-noun-eo "quebrado"-noun-es
"facción"-noun-es "frakcio"-noun-eo
"fracción"-noun-es "frakcio"-noun-eo
"quebrado"-noun-es "frakcio"-noun-eo
"electricidad"-noun-es "elektro"-noun-eo
"elektro"-noun-eo "electricidad"-noun-es
"borrador"-noun-es "malneto"-noun-eo
"malneto"-noun-eo "borrador"-noun-es
"kukaĵo"-noun-eo "pastel"-noun-es
"pastel"-noun-es "kukaĵo"-noun-eo
"tarta"-noun-es "torto"-noun-eo
"torto"-noun-eo "tarta"-noun-es
"torto"-noun-eo "torta"-noun-es
"torta"-noun-es "torto"-noun-eo
"kokaino"-noun-eo "cocaína"-noun-es
"cocaína"-noun-es "kokaino"-noun-eo
"caucho"-noun-es "kaŭĉuko"-noun-eo
"kaŭĉuko"-noun-eo "caucho"-noun-es
"chicle"-noun-es "maĉgumo"-noun-eo
"maĉgumo"-noun-eo "chicle"-noun-es
"distrikto"-noun-eo "distrito"-noun-es
"distrito"-noun-es "distrikto"-noun-eo
"barbiro"-noun-eo "barbero"-noun-es
"barbero"-noun-es "barbiro"-noun-eo
"peluquero"-noun-es "frizisto"-noun-eo
"frizisto"-noun-eo "peluquero"-noun-es
"cuartel"-noun-es "kazerno"-noun-eo
"kazerno"-noun-eo "cuartel"-noun-es
"chasis"-noun-es "ĉasio"-noun-eo
"ĉasio"-noun-eo "chasis"-noun-es
"perímetro"-noun-es "perimetro"-noun-eo
"perimetro"-noun-eo "perímetro"-noun-es
"sector"-noun-es "sektoro"-noun-eo
"sektoro"-noun-eo "sector"-noun-es
"voĉdonanto"-noun-eo "votante"-noun-es
"votante"-noun-es "voĉdonanto"-noun-eo
"expulsión"-noun-es "elpelo"-noun-eo
"elpelo"-noun-eo "expulsión"-noun-es
"manifesto"-noun-eo "manifiesto"-noun-es
"manifiesto"-noun-es "manifesto"-noun-eo
"trotuaro"-noun-eo "acera"-noun-es
"acera"-noun-es "trotuaro"-noun-eo
"neegaleco"-noun-eo "desigualdad"-noun-es
"desigualdad"-noun-es "neegaleco"-noun-eo
"apodo"-noun-es "alnomo"-noun-eo
"alnomo"-noun-eo "apodo"-noun-es
"colofón"-noun-es "kolofono"-noun-eo
"kolofono"-noun-eo "colofón"-noun-es
"oso"-noun-es "urso"-noun-eo
"urso"-noun-eo "oso"-noun-es
"topo"-noun-es "talpo"-noun-eo
"talpo"-noun-eo "topo"-noun-es
"hacha"-noun-es "hakilo"-noun-eo
"hakilo"-noun-eo "hacha"-noun-es
"inauguración"-noun-es "inaŭguro"-noun-eo
"inaŭguro"-noun-eo "inauguración"-noun-es
"enfermero"-noun-es "flegisto"-noun-eo
"flegisto"-noun-eo "enfermero"-noun-es
"naŭzo"-noun-eo "repugnancia"-noun-es
"naŭzo"-noun-eo "asco"-noun-es
"repugnancia"-noun-es "naŭzo"-noun-eo
"asco"-noun-es "naŭzo"-noun-eo
"malamo"-noun-eo "odio"-noun-es
"odio"-noun-es "malamo"-noun-eo
"risa"-noun-es "ridado"-noun-eo
"ridado"-noun-eo "risa"-noun-es
"jaro"-noun-eo "año"-noun-es
"año"-noun-es "jaro"-noun-eo
"pejzaĝo"-noun-eo "paisaje"-noun-es
"paisaje"-noun-es "pejzaĝo"-noun-eo
"mito"-noun-eo "mito"-noun-es
