"cualquier"-determiner-es "whatsoever"-determiner-en
"erizo de mar"-noun-es "sea urchin"-noun-en
"abode"-noun-en "morada"-noun-es
"morada"-noun-es "abode"-noun-en
"trade unionist"-noun-en "sindicalista"-noun-es
"sindicalista"-noun-es "trade unionist"-noun-en
"sindicalista"-noun-es "labour unionist"-noun-en
"sindicalista"-noun-es "syndicalist"-noun-en
"labour unionist"-noun-en "sindicalista"-noun-es
"syndicalist"-noun-en "sindicalista"-noun-es
"curly endive"-noun-en "escarola"-noun-es
"escarola"-noun-es "curly endive"-noun-en
"escarola"-noun-es "escarole"-noun-en
"escarole"-noun-en "escarola"-noun-es
"double bass"-noun-en "contrabajo"-noun-es
"contrabajo"-noun-es "double bass"-noun-en
"bass drum"-noun-en "bombo"-noun-es
"bombo"-noun-es "bass drum"-noun-en
"con man"-noun-en "timador"-noun-es
"con man"-noun-en "estafador"-noun-es
"timador"-noun-es "con man"-noun-en
"timador"-noun-es "con woman"-noun-en
"estafador"-noun-es "con man"-noun-en
"estafador"-noun-es "con woman"-noun-en
"con woman"-noun-en "timador"-noun-es
"con woman"-noun-en "estafador"-noun-es
"abominable"-adjective-en "abominable"-adjective-es
"abominable"-adjective-es "abominable"-adjective-en
"despistado"-adjective-es "absentminded"-adjective-en
"absentminded"-adjective-en "despistado"-adjective-es
"abolition"-noun-en "abolición"-noun-es
"abolición"-noun-es "abolition"-noun-en
"wild boar"-noun-en "jabalí"-noun-es
"jabalí"-noun-es "wild boar"-noun-en
"aborigine"-noun-en "aborigen"-noun-es
"aborigen"-noun-es "aborigine"-noun-en
"declinator"-noun-en "declinatorio"-noun-es
"declinatorio"-noun-es "declinator"-noun-en
"sprint"-noun-en "sprint"-noun-es
"sprint"-noun-es "sprint"-noun-en
"boat race"-noun-en "regata"-noun-es
"regata"-noun-es "boat race"-noun-en
"trainera"-noun-en "trainera"-noun-es
"trainera"-noun-es "trainera"-noun-en
"ikurrina"-noun-en "ikurriña"-noun-es
"ikurriña"-noun-es "ikurrina"-noun-en
"authorisation for therapeutic use"-noun-en "AUT"-noun-es
"AUT"-noun-es "authorisation for therapeutic use"-noun-en
"Mecos"-properNoun-en "Mecos"-properNoun-es
"Mecos"-properNoun-es "Mecos"-properNoun-en
"Santiago de Compostela"-properNoun-en "Santiago de Compostela"-properNoun-es
"Santiago de Compostela"-properNoun-es "Santiago de Compostela"-properNoun-en
"Outón"-properNoun-en "Outón"-properNoun-es
"Outón"-properNoun-es "Outón"-properNoun-en
"Sestao"-properNoun-en "Sestao"-properNoun-es
"Sestao"-properNoun-es "Sestao"-properNoun-en
"Liébana"-properNoun-en "Liébana"-noun-es
"Liébana"-properNoun-en "Liébana"-properNoun-es
"Liébana"-noun-es "Liébana"-properNoun-en
"Liébana"-properNoun-es "Liébana"-properNoun-en
"Gorliz"-properNoun-en "Gorliz"-properNoun-es
"Gorliz"-properNoun-es "Gorliz"-properNoun-en
"Aiete"-properNoun-en "Aiete"-properNoun-es
"Aiete"-properNoun-es "Aiete"-properNoun-en
"rowing sports club"-noun-en "SDR"-noun-es
"SDR"-noun-es "rowing sports club"-noun-en
"Moaña"-properNoun-en "Moaña"-properNoun-es
"Moaña"-properNoun-es "Moaña"-properNoun-en
"Euskadi"-properNoun-en "Euskadi"-properNoun-es
"Euskadi"-properNoun-es "Euskadi"-properNoun-en
"Pontevedra"-properNoun-en "Pontevedra"-properNoun-es
"Pontevedra"-properNoun-es "Pontevedra"-properNoun-en
"Oiartzun"-properNoun-en "Oiartzun"-properNoun-es
"Oiartzun"-properNoun-es "Oiartzun"-properNoun-en
"Mikeo"-noun-en "Mikeo"-properNoun-es
"Mikeo"-properNoun-es "Mikeo"-noun-en
"Mikeo"-properNoun-es "Mikeo"-properNoun-en
"Mikeo"-properNoun-en "Mikeo"-properNoun-es
"Pazos"-noun-en "Pazos"-noun-es
"Pazos"-noun-en "Pazos"-properNoun-es
"Pazos"-noun-es "Pazos"-noun-en
"Pazos"-noun-es "Pazos"-properNoun-en
"Pazos"-properNoun-es "Pazos"-noun-en
"Pazos"-properNoun-es "Pazos"-properNoun-en
"Pazos"-properNoun-en "Pazos"-noun-es
"Pazos"-properNoun-en "Pazos"-properNoun-es
"Riveiro"-noun-en "Riveiro"-noun-es
"Riveiro"-noun-en "Riveiro"-properNoun-es
"Riveiro"-noun-es "Riveiro"-noun-en
"Riveiro"-noun-es "Riveiro"-properNoun-en
"Riveiro"-properNoun-es "Riveiro"-noun-en
"Riveiro"-properNoun-es "Riveiro"-properNoun-en
"Riveiro"-properNoun-en "Riveiro"-noun-es
"Riveiro"-properNoun-en "Riveiro"-properNoun-es
"Maritxalar"-noun-en "Maritxalar"-properNoun-es
"Maritxalar"-properNoun-es "Maritxalar"-noun-en
"Maritxalar"-properNoun-es "Maritxalar"-properNoun-en
"Maritxalar"-properNoun-en "Maritxalar"-properNoun-es
"Garai"-noun-en "Garai"-properNoun-es
"Garai"-properNoun-es "Garai"-noun-en
"Garai"-properNoun-es "Garai"-properNoun-en
"Garai"-properNoun-en "Garai"-properNoun-es
"Arruabarrena"-noun-en "Arruabarrena"-properNoun-es
"Arruabarrena"-properNoun-es "Arruabarrena"-noun-en
"Arruabarrena"-properNoun-es "Arruabarrena"-properNoun-en
"Arruabarrena"-properNoun-en "Arruabarrena"-properNoun-es
"Guzman"-noun-en "Guzman"-noun-es
"Guzman"-noun-en "Guzman"-properNoun-es
"Guzman"-noun-es "Guzman"-noun-en
"Guzman"-noun-es "Guzman"-properNoun-en
"Guzman"-properNoun-es "Guzman"-noun-en
"Guzman"-properNoun-es "Guzman"-properNoun-en
"Guzman"-properNoun-en "Guzman"-noun-es
"Guzman"-properNoun-en "Guzman"-properNoun-es
"Aranaga"-noun-en "Aranaga"-properNoun-es
"Aranaga"-properNoun-es "Aranaga"-noun-en
"Aranaga"-properNoun-es "Aranaga"-properNoun-en
"Aranaga"-properNoun-en "Aranaga"-properNoun-es
"Olasagasti"-noun-en "Olasagasti"-properNoun-es
"Olasagasti"-properNoun-es "Olasagasti"-noun-en
"Olasagasti"-properNoun-es "Olasagasti"-properNoun-en
"Olasagasti"-properNoun-en "Olasagasti"-properNoun-es
"Aranegi"-noun-en "Aranegi"-properNoun-es
"Aranegi"-properNoun-es "Aranegi"-noun-en
"Aranegi"-properNoun-es "Aranegi"-properNoun-en
"Aranegi"-properNoun-en "Aranegi"-properNoun-es
"Lete"-noun-en "Lete"-properNoun-es
"Lete"-properNoun-es "Lete"-noun-en
"Lete"-properNoun-es "Lete"-properNoun-en
"Lete"-properNoun-en "Lete"-properNoun-es
"Revolvo"-noun-en "Revolvo"-properNoun-es
"Revolvo"-properNoun-es "Revolvo"-noun-en
"Revolvo"-properNoun-es "Revolvo"-properNoun-en
"Revolvo"-properNoun-en "Revolvo"-properNoun-es
"Souto"-noun-en "Souto"-noun-es
"Souto"-noun-en "Souto"-properNoun-es
"Souto"-noun-es "Souto"-noun-en
"Souto"-noun-es "Souto"-properNoun-en
"Souto"-properNoun-es "Souto"-noun-en
"Souto"-properNoun-es "Souto"-properNoun-en
"Souto"-properNoun-en "Souto"-noun-es
"Souto"-properNoun-en "Souto"-properNoun-es
"Cotado"-noun-en "Cotado"-properNoun-es
"Cotado"-properNoun-es "Cotado"-noun-en
"Cotado"-properNoun-es "Cotado"-properNoun-en
"Cotado"-properNoun-en "Cotado"-properNoun-es
"Anglada"-noun-en "Anglada"-noun-es
"Anglada"-noun-en "Anglada"-properNoun-es
"Anglada"-noun-es "Anglada"-noun-en
"Anglada"-noun-es "Anglada"-properNoun-en
"Anglada"-properNoun-es "Anglada"-noun-en
"Anglada"-properNoun-es "Anglada"-properNoun-en
"Anglada"-properNoun-en "Anglada"-noun-es
"Anglada"-properNoun-en "Anglada"-properNoun-es
"Brizuela"-noun-en "Brizuela"-properNoun-es
"Brizuela"-properNoun-es "Brizuela"-noun-en
"Brizuela"-properNoun-es "Brizuela"-properNoun-en
"Brizuela"-properNoun-en "Brizuela"-properNoun-es
"Hijazo"-noun-en "Hijazo"-properNoun-es
"Hijazo"-properNoun-es "Hijazo"-noun-en
"Hijazo"-properNoun-es "Hijazo"-properNoun-en
"Hijazo"-properNoun-en "Hijazo"-properNoun-es
"Urien"-noun-en "Urien"-properNoun-es
"Urien"-properNoun-es "Urien"-noun-en
"Urien"-properNoun-es "Urien"-properNoun-en
"Urien"-properNoun-en "Urien"-properNoun-es
"Oribe"-noun-en "Oribe"-properNoun-es
"Oribe"-properNoun-es "Oribe"-noun-en
"Oribe"-properNoun-es "Oribe"-properNoun-en
"Oribe"-properNoun-en "Oribe"-properNoun-es
"Bravo"-noun-en "Bravo"-noun-es
"Bravo"-noun-en "Bravo"-properNoun-es
"Bravo"-noun-es "Bravo"-noun-en
"Bravo"-noun-es "Bravo"-properNoun-en
"Bravo"-properNoun-es "Bravo"-noun-en
"Bravo"-properNoun-es "Bravo"-properNoun-en
"Bravo"-properNoun-en "Bravo"-noun-es
"Bravo"-properNoun-en "Bravo"-properNoun-es
"Torrado"-noun-en "Torrado"-noun-es
"Torrado"-noun-en "Torrado"-properNoun-es
"Torrado"-noun-es "Torrado"-noun-en
"Torrado"-noun-es "Torrado"-properNoun-en
"Torrado"-properNoun-es "Torrado"-noun-en
"Torrado"-properNoun-es "Torrado"-properNoun-en
"Torrado"-properNoun-en "Torrado"-noun-es
"Torrado"-properNoun-en "Torrado"-properNoun-es
"Silva"-noun-en "Silva"-noun-es
"Silva"-noun-en "Silva"-properNoun-es
"Silva"-noun-es "Silva"-noun-en
"Silva"-noun-es "Silva"-properNoun-en
"Silva"-properNoun-es "Silva"-noun-en
"Silva"-properNoun-es "Silva"-properNoun-en
"Silva"-properNoun-en "Silva"-noun-es
"Silva"-properNoun-en "Silva"-properNoun-es
"Sanz"-noun-en "Sanz"-noun-es
"Sanz"-noun-en "Sanz"-properNoun-es
"Sanz"-noun-es "Sanz"-noun-en
"Sanz"-noun-es "Sanz"-properNoun-en
"Sanz"-properNoun-es "Sanz"-noun-en
"Sanz"-properNoun-es "Sanz"-properNoun-en
"Sanz"-properNoun-en "Sanz"-noun-es
"Sanz"-properNoun-en "Sanz"-properNoun-es
"Tenorio"-noun-en "Tenorio"-noun-es
"Tenorio"-noun-en "Tenorio"-properNoun-es
"Tenorio"-noun-es "Tenorio"-noun-en
"Tenorio"-noun-es "Tenorio"-properNoun-en
"Tenorio"-properNoun-es "Tenorio"-noun-en
"Tenorio"-properNoun-es "Tenorio"-properNoun-en
"Tenorio"-properNoun-en "Tenorio"-noun-es
"Tenorio"-properNoun-en "Tenorio"-properNoun-es
"Legarreta"-noun-en "Legarreta"-properNoun-es
"Legarreta"-properNoun-es "Legarreta"-noun-en
"Legarreta"-properNoun-es "Legarreta"-properNoun-en
"Legarreta"-properNoun-en "Legarreta"-properNoun-es
"Illarramendi"-noun-en "Illarramendi"-properNoun-es
"Illarramendi"-properNoun-es "Illarramendi"-noun-en
"Illarramendi"-properNoun-es "Illarramendi"-properNoun-en
"Illarramendi"-properNoun-en "Illarramendi"-properNoun-es
"Lasa"-noun-en "Lasa"-properNoun-es
"Lasa"-properNoun-es "Lasa"-noun-en
"Lasa"-properNoun-es "Lasa"-properNoun-en
"Lasa"-properNoun-en "Lasa"-properNoun-es
"Hoyo"-noun-en "Hoyo"-noun-es
"Hoyo"-noun-en "Hoyo"-properNoun-es
"Hoyo"-noun-es "Hoyo"-noun-en
"Hoyo"-noun-es "Hoyo"-properNoun-en
"Hoyo"-properNoun-es "Hoyo"-noun-en
"Hoyo"-properNoun-es "Hoyo"-properNoun-en
"Hoyo"-properNoun-en "Hoyo"-noun-es
"Hoyo"-properNoun-en "Hoyo"-properNoun-es
"anti-doping"-adjective-en "antidopaje"-adjective-es
"anti-doping"-adjective-en "antidoping"-adjective-es
"antidopaje"-adjective-es "anti-doping"-adjective-en
"antidoping"-adjective-es "anti-doping"-adjective-en
"Riveira"-properNoun-en "Riveira"-properNoun-es
"Riveira"-properNoun-es "Riveira"-properNoun-en
"Boiro"-properNoun-en "Boiro"-properNoun-es
"Boiro"-properNoun-es "Boiro"-properNoun-en
"scored"-adjective-en "puntuable"-adjective-es
"puntuable"-adjective-es "scored"-adjective-en
"tending"-adjective-en "tendente"-adjective-es
"tendente"-adjective-es "tending"-adjective-en
"ETB"-noun-en "ETB"-noun-es
"ETB"-noun-es "ETB"-noun-en
"Cudeyo"-properNoun-en "Cudeyo"-properNoun-es
"Cudeyo"-properNoun-es "Cudeyo"-properNoun-en
"Vigo"-properNoun-en "Vigo"-noun-es
"Vigo"-properNoun-en "Vigo"-properNoun-es
"Vigo"-noun-es "Vigo"-properNoun-en
"Vigo"-properNoun-es "Vigo"-properNoun-en
"Santander"-properNoun-en "Santander"-noun-es
"Santander"-properNoun-en "Santander"-properNoun-es
"Santander"-noun-es "Santander"-properNoun-en
"Santander"-properNoun-es "Santander"-properNoun-en
"Portugalete"-properNoun-en "Portugalete"-properNoun-es
"Portugalete"-properNoun-es "Portugalete"-properNoun-en
"Gipuzkoa"-properNoun-en "Gipuzkoa"-properNoun-es
"Gipuzkoa"-properNoun-es "Gipuzkoa"-properNoun-en
"O Grove"-properNoun-en "O Grove"-properNoun-es
"O Grove"-properNoun-es "O Grove"-properNoun-en
"Ogrove"-properNoun-en "Ogrove"-properNoun-es
"Ogrove"-properNoun-es "Ogrove"-properNoun-en
"Getxo"-properNoun-en "Getxo"-properNoun-es
"Getxo"-properNoun-es "Getxo"-properNoun-en
"back-water turn"-noun-en "ciaboga"-noun-es
"ciaboga"-noun-es "back-water turn"-noun-en
"insurance policy"-noun-en "póliza de seguros"-noun-es
"póliza de seguros"-noun-es "insurance policy"-noun-en
"Barbanza"-properNoun-en "Barbanza"-properNoun-es
"Barbanza"-properNoun-es "Barbanza"-properNoun-en
"Biscay"-properNoun-en "Bizkaia"-properNoun-es
"Bizkaia"-properNoun-es "Biscay"-properNoun-en
"Pereira"-properNoun-en "Pereira"-noun-es
"Pereira"-properNoun-en "Pereira"-properNoun-es
"Pereira"-noun-es "Pereira"-properNoun-en
"Pereira"-properNoun-es "Pereira"-properNoun-en
"Joxemi"-properNoun-en "Joxemi"-properNoun-es
"Joxemi"-properNoun-es "Joxemi"-properNoun-en
"Joserra"-properNoun-en "Joserra"-properNoun-es
"Joserra"-properNoun-es "Joserra"-properNoun-en
"Antton"-properNoun-en "Antton"-properNoun-es
"Antton"-properNoun-es "Antton"-properNoun-en
"Igon"-properNoun-en "Igon"-properNoun-es
"Igon"-properNoun-es "Igon"-properNoun-en
"Karlos"-properNoun-en "Karlos"-properNoun-es
"Karlos"-properNoun-es "Karlos"-properNoun-en
"Xoxe"-properNoun-en "Xoxe"-properNoun-es
"Xoxe"-properNoun-es "Xoxe"-properNoun-en
"referee's"-adjective-en "arbitral"-adjective-es
"arbitral"-adjective-es "referee's"-adjective-en
"fnac"-properNoun-en "fnac"-properNoun-es
"fnac"-properNoun-es "fnac"-properNoun-en
"Pontevedran"-adjective-en "pontevedrés"-adjective-es
"pontevedrés"-adjective-es "Pontevedran"-adjective-en
"list of winners"-noun-en "palmarés"-noun-es
"palmarés"-noun-es "list of winners"-noun-en
"Noja"-properNoun-en "Noja"-properNoun-es
"Noja"-properNoun-es "Noja"-properNoun-en
"Lepanto"-properNoun-en "Lepanto"-properNoun-es
"Lepanto"-properNoun-es "Lepanto"-properNoun-en
"Algorta"-properNoun-en "Algorta"-properNoun-es
"Algorta"-properNoun-es "Algorta"-properNoun-en
"San Sebastián"-properNoun-en "San Sebastián"-properNoun-es
"San Sebastián"-properNoun-es "San Sebastián"-properNoun-en
"Aiestaran"-noun-en "Aiestaran"-properNoun-es
"Aiestaran"-properNoun-es "Aiestaran"-noun-en
"Aiestaran"-properNoun-es "Aiestaran"-properNoun-en
"Aiestaran"-properNoun-en "Aiestaran"-properNoun-es
"Zabala"-noun-en "Zabala"-noun-es
"Zabala"-noun-en "Zabala"-properNoun-es
"Zabala"-noun-es "Zabala"-noun-en
"Zabala"-noun-es "Zabala"-properNoun-en
"Zabala"-properNoun-es "Zabala"-noun-en
"Zabala"-properNoun-es "Zabala"-properNoun-en
"Zabala"-properNoun-en "Zabala"-noun-es
"Zabala"-properNoun-en "Zabala"-properNoun-es
"Navalón"-noun-en "Navalón"-noun-es
"Navalón"-noun-en "Navalón"-properNoun-es
"Navalón"-noun-es "Navalón"-noun-en
"Navalón"-noun-es "Navalón"-properNoun-en
"Navalón"-properNoun-es "Navalón"-noun-en
"Navalón"-properNoun-es "Navalón"-properNoun-en
"Navalón"-properNoun-en "Navalón"-noun-es
"Navalón"-properNoun-en "Navalón"-properNoun-es
"Marcano"-noun-en "Marcano"-properNoun-es
"Marcano"-properNoun-es "Marcano"-noun-en
"Marcano"-properNoun-es "Marcano"-properNoun-en
"Marcano"-properNoun-en "Marcano"-properNoun-es
"Korta"-noun-en "Korta"-properNoun-es
"Korta"-properNoun-es "Korta"-noun-en
"Korta"-properNoun-es "Korta"-properNoun-en
"Korta"-properNoun-en "Korta"-properNoun-es
"Legarretaetxeberría"-noun-en "Legarretaetxeberría"-properNoun-es
"Legarretaetxeberría"-properNoun-es "Legarretaetxeberría"-noun-en
"Legarretaetxeberría"-properNoun-es "Legarretaetxeberría"-properNoun-en
"Legarretaetxeberría"-properNoun-en "Legarretaetxeberría"-properNoun-es
"Oñate"-noun-en "Oñate"-noun-es
"Oñate"-noun-en "Oñate"-properNoun-es
"Oñate"-noun-es "Oñate"-noun-en
"Oñate"-noun-es "Oñate"-properNoun-en
"Oñate"-properNoun-es "Oñate"-noun-en
"Oñate"-properNoun-es "Oñate"-properNoun-en
"Oñate"-properNoun-en "Oñate"-noun-es
"Oñate"-properNoun-en "Oñate"-properNoun-es
"Prat"-noun-en "Prat"-noun-es
"Prat"-noun-en "Prat"-properNoun-es
"Prat"-noun-es "Prat"-noun-en
"Prat"-noun-es "Prat"-properNoun-en
"Prat"-properNoun-es "Prat"-noun-en
"Prat"-properNoun-es "Prat"-properNoun-en
"Prat"-properNoun-en "Prat"-noun-es
"Prat"-properNoun-en "Prat"-properNoun-es
"television of the Basque Country"-properNoun-en "Euskal Telebista"-properNoun-es
"Euskal Telebista"-properNoun-es "television of the Basque Country"-properNoun-en
"Donostia"-properNoun-en "Donostia"-properNoun-es
"Donostia"-properNoun-es "Donostia"-properNoun-en
"Getaria"-properNoun-en "Getaria"-properNoun-es
"Getaria"-properNoun-es "Getaria"-properNoun-en
"Guarnizo"-properNoun-en "Guarnizo"-properNoun-es
"Guarnizo"-properNoun-es "Guarnizo"-properNoun-en
"Saragossa"-properNoun-en "Zaragoza"-noun-es
"Saragossa"-properNoun-en "Zaragoza"-properNoun-es
"Zaragoza"-noun-es "Saragossa"-properNoun-en
"Zaragoza"-properNoun-es "Saragossa"-properNoun-en
"Barakaldo"-properNoun-en "Barakaldo"-properNoun-es
"Barakaldo"-properNoun-es "Barakaldo"-properNoun-en
"Nervión"-properNoun-en "Nervión"-properNoun-es
"Nervión"-properNoun-es "Nervión"-properNoun-en
"Meira"-noun-en "Meira"-properNoun-es
"Meira"-properNoun-es "Meira"-noun-en
"Meira"-properNoun-es "Meira"-properNoun-en
"Meira"-properNoun-en "Meira"-properNoun-es
"Brazomar"-properNoun-en "Brazomar"-properNoun-es
"Brazomar"-properNoun-es "Brazomar"-properNoun-en
"Donostia-San Sebastián"-properNoun-en "Donostia-San Sebastián"-properNoun-es
"Donostia-San Sebastián"-properNoun-es "Donostia-San Sebastián"-properNoun-en
"Pasai Donibane"-properNoun-en "Pasai Donibane"-properNoun-es
"Pasai Donibane"-properNoun-es "Pasai Donibane"-properNoun-en
"Muguruza"-noun-en "Muguruza"-properNoun-es
"Muguruza"-properNoun-es "Muguruza"-noun-en
"Muguruza"-properNoun-es "Muguruza"-properNoun-en
"Muguruza"-properNoun-en "Muguruza"-properNoun-es
"Mugartegi"-noun-en "Mugartegi"-properNoun-es
"Mugartegi"-properNoun-es "Mugartegi"-noun-en
"Mugartegi"-properNoun-es "Mugartegi"-properNoun-en
"Mugartegi"-properNoun-en "Mugartegi"-properNoun-es
"Lertxundi"-noun-en "Lertxundi"-properNoun-es
"Lertxundi"-properNoun-es "Lertxundi"-noun-en
"Lertxundi"-properNoun-es "Lertxundi"-properNoun-en
"Lertxundi"-properNoun-en "Lertxundi"-properNoun-es
"Prieto"-noun-en "Prieto"-noun-es
"Prieto"-noun-en "Prieto"-properNoun-es
"Prieto"-noun-es "Prieto"-noun-en
"Prieto"-noun-es "Prieto"-properNoun-en
"Prieto"-properNoun-es "Prieto"-noun-en
"Prieto"-properNoun-es "Prieto"-properNoun-en
"Prieto"-properNoun-en "Prieto"-noun-es
"Prieto"-properNoun-en "Prieto"-properNoun-es
"Hidalgo"-noun-en "Hidalgo"-noun-es
"Hidalgo"-noun-en "Hidalgo"-properNoun-es
"Hidalgo"-noun-es "Hidalgo"-noun-en
"Hidalgo"-noun-es "Hidalgo"-properNoun-en
"Hidalgo"-properNoun-es "Hidalgo"-noun-en
"Hidalgo"-properNoun-es "Hidalgo"-properNoun-en
"Hidalgo"-properNoun-en "Hidalgo"-noun-es
"Hidalgo"-properNoun-en "Hidalgo"-properNoun-es
"Usabiaga"-noun-en "Usabiaga"-properNoun-es
"Usabiaga"-properNoun-es "Usabiaga"-noun-en
"Usabiaga"-properNoun-es "Usabiaga"-properNoun-en
"Usabiaga"-properNoun-en "Usabiaga"-properNoun-es
"Millán"-noun-en "Millán"-noun-es
"Millán"-noun-en "Millán"-properNoun-es
"Millán"-noun-es "Millán"-noun-en
"Millán"-noun-es "Millán"-properNoun-en
"Millán"-properNoun-es "Millán"-noun-en
"Millán"-properNoun-es "Millán"-properNoun-en
"Millán"-properNoun-en "Millán"-noun-es
"Millán"-properNoun-en "Millán"-properNoun-es
"Colomer"-noun-en "Colomer"-noun-es
"Colomer"-noun-en "Colomer"-properNoun-es
"Colomer"-noun-es "Colomer"-noun-en
"Colomer"-noun-es "Colomer"-properNoun-en
"Colomer"-properNoun-es "Colomer"-noun-en
"Colomer"-properNoun-es "Colomer"-properNoun-en
"Colomer"-properNoun-en "Colomer"-noun-es
"Colomer"-properNoun-en "Colomer"-properNoun-es
"Lasartean"-adjective-en "lasartearra"-adjective-es
"lasartearra"-adjective-es "Lasartean"-adjective-en
"unalterable"-adjective-en "inalterable"-adjective-es
"inalterable"-adjective-es "unalterable"-adjective-en
"vice-chancellor"-noun-en "vicerrector"-noun-es
"vicerrector"-noun-es "vice-chancellor"-noun-en
"exultant"-adjective-en "pletórico"-adjective-es
"pletórico"-adjective-es "exultant"-adjective-en
"haematological"-adjective-en "hematológico"-adjective-es
"hematológico"-adjective-es "haematological"-adjective-en
"assembly's"-adjective-en "asambleario"-adjective-es
"asambleario"-adjective-es "assembly's"-adjective-en
"doping"-adjective-en "dopante"-adjective-es
"dopante"-adjective-es "doping"-adjective-en
"day before"-noun-en "víspera"-noun-es
"víspera"-noun-es "day before"-noun-en
"buoy"-noun-en "boya"-noun-es
"buoy"-noun-en "baliza"-noun-es
"boya"-noun-es "buoy"-noun-en
"baliza"-noun-es "buoy"-noun-en
"port side"-noun-en "babor"-noun-es
"babor"-noun-es "port side"-noun-en
"oar"-noun-en "remo"-noun-es
"remo"-noun-es "oar"-noun-en
"olympic game"-noun-en "olimpiada"-noun-es
"olympic game"-noun-en "juegos olímpicos"-noun-es
"olimpiada"-noun-es "olympic game"-noun-en
"olimpiada"-noun-es "Olympics"-noun-en
"juegos olímpicos"-noun-es "olympic game"-noun-en
"Olympics"-noun-en "olimpiada"-noun-es
"pistol shot"-noun-en "pistoletazo"-noun-es
"pistoletazo"-noun-es "pistol shot"-noun-en
"inlet"-noun-en "ensenada"-noun-es
"ensenada"-noun-es "inlet"-noun-en
"Riveiran"-adjective-en "riveirense"-adjective-es
"riveirense"-adjective-es "Riveiran"-adjective-en
"president of the Basque Country"-noun-en "lehendakari"-noun-es
"lehendakari"-noun-es "president of the Basque Country"-noun-en
"fans"-noun-en "afición"-noun-es
"afición"-noun-es "fans"-noun-en
"forcefulness"-noun-en "contundencia"-noun-es
"contundencia"-noun-es "forcefulness"-noun-en
"Kerejeta"-noun-en "Kerejeta"-properNoun-es
"Kerejeta"-properNoun-es "Kerejeta"-noun-en
"Kerejeta"-properNoun-es "Kerejeta"-properNoun-en
"Kerejeta"-properNoun-en "Kerejeta"-properNoun-es
"Abando"-properNoun-en "Abando"-properNoun-es
"Abando"-properNoun-es "Abando"-properNoun-en
"Reizabal"-noun-en "Reizabal"-properNoun-es
"Reizabal"-properNoun-es "Reizabal"-noun-en
"Reizabal"-properNoun-es "Reizabal"-properNoun-en
"Reizabal"-properNoun-en "Reizabal"-properNoun-es
"Rua"-noun-en "Rua"-noun-es
"Rua"-noun-en "Rua"-properNoun-es
"Rua"-noun-es "Rua"-noun-en
"Rua"-noun-es "Rua"-properNoun-en
"Rua"-properNoun-es "Rua"-noun-en
"Rua"-properNoun-es "Rua"-properNoun-en
"Rua"-properNoun-en "Rua"-noun-es
"Rua"-properNoun-en "Rua"-properNoun-es
"Poza"-noun-en "Poza"-noun-es
"Poza"-noun-en "Poza"-properNoun-es
"Poza"-noun-es "Poza"-noun-en
"Poza"-noun-es "Poza"-properNoun-en
"Poza"-properNoun-es "Poza"-noun-en
"Poza"-properNoun-es "Poza"-properNoun-en
"Poza"-properNoun-en "Poza"-noun-es
"Poza"-properNoun-en "Poza"-properNoun-es
"Pombo"-noun-en "Pombo"-noun-es
"Pombo"-noun-en "Pombo"-properNoun-es
"Pombo"-noun-es "Pombo"-noun-en
"Pombo"-noun-es "Pombo"-properNoun-en
"Pombo"-properNoun-es "Pombo"-noun-en
"Pombo"-properNoun-es "Pombo"-properNoun-en
"Pombo"-properNoun-en "Pombo"-noun-es
"Pombo"-properNoun-en "Pombo"-properNoun-es
"Juaristi"-noun-en "Juaristi"-properNoun-es
"Juaristi"-properNoun-es "Juaristi"-noun-en
"Juaristi"-properNoun-es "Juaristi"-properNoun-en
"Juaristi"-properNoun-en "Juaristi"-properNoun-es
"Ayestaran"-noun-en "Ayestaran"-properNoun-es
"Ayestaran"-properNoun-es "Ayestaran"-noun-en
"Ayestaran"-properNoun-es "Ayestaran"-properNoun-en
"Ayestaran"-properNoun-en "Ayestaran"-properNoun-es
"Goienetxea"-noun-en "Goienetxea"-properNoun-es
"Goienetxea"-properNoun-es "Goienetxea"-noun-en
"Goienetxea"-properNoun-es "Goienetxea"-properNoun-en
"Goienetxea"-properNoun-en "Goienetxea"-properNoun-es
"Pena"-noun-en "Pena"-noun-es
"Pena"-noun-en "Pena"-properNoun-es
"Pena"-noun-es "Pena"-noun-en
"Pena"-noun-es "Pena"-properNoun-en
"Pena"-properNoun-es "Pena"-noun-en
"Pena"-properNoun-es "Pena"-properNoun-en
"Pena"-properNoun-en "Pena"-noun-es
"Pena"-properNoun-en "Pena"-properNoun-es
"Moreira"-noun-en "Moreira"-noun-es
"Moreira"-noun-en "Moreira"-properNoun-es
"Moreira"-noun-es "Moreira"-noun-en
"Moreira"-noun-es "Moreira"-properNoun-en
"Moreira"-properNoun-es "Moreira"-noun-en
"Moreira"-properNoun-es "Moreira"-properNoun-en
"Moreira"-properNoun-en "Moreira"-noun-es
"Moreira"-properNoun-en "Moreira"-properNoun-es
"Arrupe"-noun-en "Arrupe"-properNoun-es
"Arrupe"-properNoun-es "Arrupe"-noun-en
"Arrupe"-properNoun-es "Arrupe"-properNoun-en
"Arrupe"-properNoun-en "Arrupe"-properNoun-es
"Anduela"-noun-en "Anduela"-properNoun-es
"Anduela"-properNoun-es "Anduela"-noun-en
"Anduela"-properNoun-es "Anduela"-properNoun-en
"Anduela"-properNoun-en "Anduela"-properNoun-es
