"cuando"-relativePronoun-es "quan"-relativePronoun-oc
"Vila-real"-properNoun-oc "Vila-real"-properNoun-es
"Villarreal"-properNoun-es "Vila-real"-properNoun-oc
"Vila-real"-properNoun-es "Vila-real"-properNoun-oc
"Viladecans"-properNoun-oc "Viladecans"-properNoun-es
"Viladecans"-properNoun-es "Viladecans"-properNoun-oc
"Vinaròs"-properNoun-oc "Vinaroz"-properNoun-es
"Vinaròs"-properNoun-oc "Vinaròs"-properNoun-es
"Vinaroz"-properNoun-es "Vinaròs"-properNoun-oc
"Vinaròs"-properNoun-es "Vinaròs"-properNoun-oc
"Xaló"-properNoun-oc "Jalón"-properNoun-es
"Xaló"-properNoun-oc "Xaló"-properNoun-es
"Jalón"-properNoun-es "Xaló"-properNoun-oc
"Xaló"-properNoun-es "Xaló"-properNoun-oc
"Xest"-properNoun-oc "Xest"-properNoun-es
"Xest"-properNoun-oc "Cheste"-properNoun-es
"Xest"-properNoun-es "Xest"-properNoun-oc
"Cheste"-properNoun-es "Xest"-properNoun-oc
"Xirivella"-properNoun-oc "Chirivella"-properNoun-es
"Xirivella"-properNoun-oc "Xirivella"-properNoun-es
"Chirivella"-properNoun-es "Xirivella"-properNoun-oc
"Xirivella"-properNoun-es "Xirivella"-properNoun-oc
"Xàbia"-properNoun-oc "Jávea"-properNoun-es
"Xàbia"-properNoun-oc "Xàbia"-properNoun-es
"Jávea"-properNoun-es "Xàbia"-properNoun-oc
"Xàbia"-properNoun-es "Xàbia"-properNoun-oc
"Xàtiva"-properNoun-oc "Játiva"-properNoun-es
"Xàtiva"-properNoun-oc "Xàtiva"-properNoun-es
"Játiva"-properNoun-es "Xàtiva"-properNoun-oc
"Xàtiva"-properNoun-es "Xàtiva"-properNoun-oc
"Yébenes"-properNoun-oc "Yébenes"-properNoun-es
"Yébenes"-properNoun-es "Yébenes"-properNoun-oc
"Zeta"-properNoun-oc "Zeta"-properNoun-es
"Zeta"-properNoun-es "Zeta"-properNoun-oc
"Àneu"-properNoun-oc "Àneu"-properNoun-es
"Àneu"-properNoun-es "Àneu"-properNoun-oc
"Àvila"-properNoun-oc "Ávila"-properNoun-es
"Ávila"-properNoun-es "Àvila"-properNoun-oc
"Ángela"-properNoun-oc "Ángela"-properNoun-es
"Ángela"-properNoun-es "Ángela"-properNoun-oc
"Óscar"-properNoun-oc "Óscar"-properNoun-es
"Óscar"-properNoun-es "Óscar"-properNoun-oc
"CCOO"-noun-oc "CCOO"-noun-es
"CCOO"-noun-es "CCOO"-noun-oc
"CEE"-noun-oc "CEE"-noun-es
"CEE"-noun-es "CEE"-noun-oc
"IRPF"-noun-oc "IRPF"-noun-es
"IRPF"-noun-es "IRPF"-noun-oc
"PSPV"-noun-oc "PSPV"-noun-es
"PSPV"-noun-es "PSPV"-noun-oc
"UME"-noun-oc "UME"-noun-es
"UME"-noun-es "UME"-noun-oc
"acampada"-noun-oc "acampada"-noun-es
"acampada"-noun-es "acampada"-noun-oc
"acta"-noun-oc "acta"-noun-es
"acta"-noun-es "acta"-noun-oc
"ajuntament"-noun-oc "alcaldía"-noun-es
"ajuntament"-noun-oc "ayuntamiento"-noun-es
"alcaldía"-noun-es "ajuntament"-noun-oc
"ayuntamiento"-noun-es "ajuntament"-noun-oc
"alumnat"-noun-oc "alumnado"-noun-es
"alumnado"-noun-es "alumnat"-noun-oc
"aprofitament"-noun-oc "aprovechamiento"-noun-es
"aprovechamiento"-noun-es "aprofitament"-noun-oc
"artesania"-noun-oc "artesanía"-noun-es
"artesanía"-noun-es "artesania"-noun-oc
"assentament"-noun-oc "asentamiento"-noun-es
"asentamiento"-noun-es "assentament"-noun-oc
"assessor"-noun-oc "asesor"-noun-es
"asesor"-noun-es "assessor"-noun-oc
"autovia"-noun-oc "autovía"-noun-es
"autovía"-noun-es "autovia"-noun-oc
"b"-noun-oc "b"-noun-es
"b"-noun-es "b"-noun-oc
"balanç"-noun-oc "balance"-noun-es
"balance"-noun-es "balanç"-noun-oc
"balneari"-noun-oc "balneario"-noun-es
"balneario"-noun-es "balneari"-noun-oc
"barranc"-noun-oc "barranco"-noun-es
"barranco"-noun-es "barranc"-noun-oc
"barreja"-noun-oc "mezcla"-noun-es
"mezcla"-noun-es "barreja"-noun-oc
"cens"-noun-oc "censo"-noun-es
"censo"-noun-es "cens"-noun-oc
"cessament"-noun-oc "cese"-noun-es
"cese"-noun-es "cessament"-noun-oc
"comarca"-noun-oc "comarca"-noun-es
"comarca"-noun-es "comarca"-noun-oc
"compromís"-noun-oc "compromiso"-noun-es
"compromiso"-noun-es "compromís"-noun-oc
"confiança"-noun-oc "confianza"-noun-es
"confianza"-noun-es "confiança"-noun-oc
"consens"-noun-oc "consenso"-noun-es
"consenso"-noun-es "consens"-noun-oc
"consumidor"-noun-oc "consumidor"-noun-es
"consumidor"-noun-es "consumidor"-noun-oc
"criador"-noun-oc "criador"-noun-es
"criador"-noun-es "criador"-noun-oc
"d"-noun-oc "d"-noun-es
"d"-noun-es "d"-noun-oc
"desgràcia"-noun-oc "desgracia"-noun-es
"desgracia"-noun-es "desgràcia"-noun-oc
"directiu"-noun-oc "directivo"-noun-es
"directivo"-noun-es "directiu"-noun-oc
"embotit"-noun-oc "embutido"-noun-es
"embutido"-noun-es "embotit"-noun-oc
"entrenador"-noun-oc "entrenador"-noun-es
"entrenador"-noun-es "entrenador"-noun-oc
"envàs"-noun-oc "envase"-noun-es
"envase"-noun-es "envàs"-noun-oc
"ermita"-noun-oc "ermita"-noun-es
"ermita"-noun-es "ermita"-noun-oc
"subsanación"-noun-es "esmena"-noun-oc
"estand"-noun-oc "estand"-noun-es
"estand"-noun-es "estand"-noun-oc
"estona"-noun-oc "rato"-noun-es
"rato"-noun-es "estona"-noun-oc
"expositor"-noun-oc "expositor"-noun-es
"expositor"-noun-es "expositor"-noun-oc
"f"-noun-oc "f"-noun-es
"f"-noun-es "f"-noun-oc
"finca"-noun-oc "finca"-noun-es
"finca"-noun-es "finca"-noun-oc
"fiscalia"-noun-oc "fiscalía"-noun-es
"fiscalía"-noun-es "fiscalia"-noun-oc
"foment"-noun-oc "fomento"-noun-es
"fomento"-noun-es "foment"-noun-oc
"fotògraf"-noun-oc "fotógrafo"-noun-es
"fotógrafo"-noun-es "fotògraf"-noun-oc
"g"-noun-oc "g"-noun-es
"g"-noun-es "g"-noun-oc
"guardia"-noun-es "guàrdia"-noun-oc
"guàrdia"-noun-oc "guardia"-noun-es
"gestor"-noun-oc "gestor"-noun-es
"gestor"-noun-es "gestor"-noun-oc
"mozo"-noun-es "mosso"-noun-oc
"mosso"-noun-oc "mozo"-noun-es
"incís"-noun-oc "inciso"-noun-es
"inciso"-noun-es "incís"-noun-oc
"investigador"-noun-oc "investigador"-noun-es
"investigador"-noun-es "investigador"-noun-oc
"isard"-noun-oc "rebeco"-noun-es
"rebeco"-noun-es "isard"-noun-oc
"transformador"-noun-oc "transformador"-noun-es
"transformador"-noun-es "transformador"-noun-oc
"malestar"-noun-oc "malestar"-noun-es
"malestar"-noun-es "malestar"-noun-oc
"masurca"-noun-oc "mazurca"-noun-es
"mazurca"-noun-es "masurca"-noun-oc
"n"-noun-oc "n"-noun-es
"n"-noun-es "n"-noun-oc
"ordenament"-noun-oc "ordenamiento"-noun-es
"ordenamiento"-noun-es "ordenament"-noun-oc
"patinador"-noun-oc "patinador"-noun-es
"patinador"-noun-es "patinador"-noun-oc
"permuta"-noun-oc "permuta"-noun-es
"permuta"-noun-es "permuta"-noun-oc
"permís"-noun-oc "permiso"-noun-es
"permiso"-noun-es "permís"-noun-oc
"ponent"-noun-oc "poniente"-noun-es
"poniente"-noun-es "ponent"-noun-oc
"suministro"-noun-es "subministrament"-noun-oc
"subministrament"-noun-oc "suministro"-noun-es
"professorat"-noun-oc "profesorado"-noun-es
"profesorado"-noun-es "professorat"-noun-oc
"ramaderia"-noun-oc "ganadería"-noun-es
"ganadería"-noun-es "ramaderia"-noun-oc
"requisit"-noun-oc "requisito"-noun-es
"requisito"-noun-es "requisit"-noun-oc
"salut"-noun-oc "salud"-noun-es
"salud"-noun-es "salut"-noun-oc
"secretaria"-noun-oc "secretaría"-noun-es
"secretaría"-noun-es "secretaria"-noun-oc
"senderisme"-noun-oc "senderismo"-noun-es
"senderismo"-noun-es "senderisme"-noun-oc
"t"-noun-oc "t"-noun-es
"t"-noun-es "t"-noun-oc
"tardor"-noun-oc "otoño"-noun-es
"otoño"-noun-es "tardor"-noun-oc
"traspàs"-noun-oc "traspaso"-noun-es
"traspaso"-noun-es "traspàs"-noun-oc
"v"-noun-oc "v"-noun-es
"v"-noun-es "v"-noun-oc
"w"-noun-oc "w"-noun-es
"w"-noun-es "w"-noun-oc
"x"-noun-oc "x"-noun-es
"x"-noun-es "x"-noun-oc
"anís"-noun-oc "anís"-noun-es
"anís"-noun-es "anís"-noun-oc
"cria"-noun-oc "cría"-noun-es
"cría"-noun-es "cria"-noun-oc
"umbría"-noun-es "obaga"-noun-oc
"obaga"-noun-oc "umbría"-noun-es
"restaurador"-noun-oc "restaurador"-noun-es
"restaurador"-noun-es "restaurador"-noun-oc
"solana"-noun-oc "solana"-noun-es
"solana"-noun-es "solana"-noun-oc
"tast"-noun-oc "cata"-noun-es
"cata"-noun-es "tast"-noun-oc
"timbre"-noun-oc "timbre"-noun-es
"timbre"-noun-es "timbre"-noun-oc
"ah"-interjection-oc "ah"-interjection-es
"ah"-interjection-es "ah"-interjection-oc
"acreditatiu"-adjective-oc "acreditativo"-adjective-es
"acreditativo"-adjective-es "acreditatiu"-adjective-oc
"adquisitiu"-adjective-oc "adquisitivo"-adjective-es
"adquisitivo"-adjective-es "adquisitiu"-adjective-oc
"mucho"-determiner-es "gaire"-determiner-oc
"mucho"-determiner-es "guaire"-determiner-oc
"mucho"-determiner-es "molt"-determiner-oc
"gaire"-determiner-oc "mucho"-determiner-es
"guaire"-determiner-oc "mucho"-determiner-es
"molt"-determiner-oc "mucho"-determiner-es
"ex"-adjective-oc "ex"-adjective-es
"ex"-adjective-es "ex"-adjective-oc
"jubilat"-adjective-oc "jubilado"-adjective-es
"jubilado"-adjective-es "jubilat"-adjective-oc
"nerviós"-adjective-oc "nervioso"-adjective-es
"nervioso"-adjective-es "nerviós"-adjective-oc
"sombrío"-adjective-es "ombrívol"-adjective-oc
"ombrívol"-adjective-oc "sombrío"-adjective-es
"optatiu"-adjective-oc "optativo"-adjective-es
"optativo"-adjective-es "optatiu"-adjective-oc
"plenari"-adjective-oc "plenario"-adjective-es
"plenario"-adjective-es "plenari"-adjective-oc
"sièisau"-adjective-oc "sexto"-adjective-es
"sexto"-adjective-es "sièisau"-adjective-oc
"sexto"-adjective-es "siesen"-adjective-oc
"siesen"-adjective-oc "sexto"-adjective-es
"quiet"-adjective-oc "quieto"-adjective-es
"quieto"-adjective-es "quiet"-adjective-oc
"salvador"-adjective-oc "salvador"-adjective-es
"salvador"-adjective-es "salvador"-adjective-oc
"sancionador"-adjective-oc "sancionador"-adjective-es
"sancionador"-adjective-es "sancionador"-adjective-oc
"tant"-adjective-oc "tanto"-adjective-es
"tanto"-adjective-es "tant"-adjective-oc
"post"-adjective-oc "post"-adjective-es
"post"-adjective-es "post"-adjective-oc
"viari"-adjective-oc "viario"-adjective-es
"viario"-adjective-es "viari"-adjective-oc
"i a"-verb-oc "hay"-verb-es
"hay"-verb-es "i a"-verb-oc
"voler"-modal-oc "querer"-modal-es
"querer"-modal-es "voler"-modal-oc
"aliñar"-verb-es "amanir"-verb-oc
"ablandar"-verb-es "estovar"-verb-oc
"estovar"-verb-oc "ablandar"-verb-es
"computar"-verb-oc "computar"-verb-es
"computar"-verb-es "computar"-verb-oc
"estar"-verb-oc "estar"-verb-es
"estar"-verb-es "estar"-verb-oc
"extorsionar"-verb-oc "extorsionar"-verb-es
"extorsionar"-verb-es "extorsionar"-verb-oc
"impartir"-verb-oc "impartir"-verb-es
"impartir"-verb-es "impartir"-verb-oc
"interaccionar"-verb-oc "interaccionar"-verb-es
"interaccionar"-verb-es "interaccionar"-verb-oc
"matricular"-verb-oc "matricular"-verb-es
"matricular"-verb-es "matricular"-verb-oc
"negar a"-verb-oc "negar a"-verb-es
"negar a"-verb-es "negar a"-verb-oc
"prescindir"-verb-oc "prescindir"-verb-es
"prescindir"-verb-es "prescindir"-verb-oc
"en casa"-adverb-es "en casa"-adverb-oc
"en casa"-adverb-oc "en casa"-adverb-es
"al matin"-adverb-oc "por la mañana"-adverb-es
"por la mañana"-adverb-es "al matin"-adverb-oc
"apropiadament"-adverb-oc "apropiadamente"-adverb-es
"apropiadamente"-adverb-es "apropiadament"-adverb-oc
"atau madeish"-adverb-oc "asimismo"-adverb-es
"asimismo"-adverb-es "atau madeish"-adverb-oc
"asimismo"-adverb-es "aital meteis"-adverb-oc
"aital meteis"-adverb-oc "asimismo"-adverb-es
"atentament"-adverb-oc "atentamente"-adverb-es
"atentamente"-adverb-es "atentament"-adverb-oc
"de sobres"-adverb-oc "de sobra"-adverb-es
"de sobra"-adverb-es "de sobres"-adverb-oc
"degudament"-adverb-oc "en debida forma"-adverb-es
"degudament"-adverb-oc "debidamente"-adverb-es
"en debida forma"-adverb-es "degudament"-adverb-oc
"debidamente"-adverb-es "degudament"-adverb-oc
"deman passat"-adverb-oc "pasado mañana"-adverb-es
"pasado mañana"-adverb-es "deman passat"-adverb-oc
"normativament"-adverb-oc "normativamente"-adverb-es
"normativamente"-adverb-es "normativament"-adverb-oc
"por segunda vez"-adverb-es "per dusau còp"-adverb-oc
"por segunda vez"-adverb-es "per dusau viatge"-adverb-oc
"per dusau còp"-adverb-oc "por segunda vez"-adverb-es
"per dusau viatge"-adverb-oc "por segunda vez"-adverb-es
"prèviament"-adverb-oc "previamente"-adverb-es
"previamente"-adverb-es "prèviament"-adverb-oc
"solidàriament"-adverb-oc "solidariamente"-adverb-es
"solidariamente"-adverb-es "solidàriament"-adverb-oc
"como máximo"-adverb-es "coma maxim"-adverb-oc
"coma maxim"-adverb-oc "como máximo"-adverb-es
"dins aqueste cas"-adverb-oc "en este caso"-adverb-es
"en este caso"-adverb-es "dins aqueste cas"-adverb-oc
"en este caso"-adverb-es "en aguest cas"-adverb-oc
"en aguest cas"-adverb-oc "en este caso"-adverb-es
