"despacio"-adverb-es "peu à peu"-adverb-fr
"Borja"-properNoun-es "Borja"-noun-fr
"Borja"-noun-fr "Borja"-properNoun-es
"Isabelle"-noun-fr "Isabelle"-properNoun-es
"Isabelle"-properNoun-es "Isabelle"-noun-fr
"Gérard"-properNoun-es "Gérard"-noun-fr
"Gérard"-noun-fr "Gérard"-properNoun-es
"Guillermo"-properNoun-es "Guillermo"-noun-fr
"Guillermo"-noun-fr "Guillermo"-properNoun-es
"Guillaume"-properNoun-es "Guillaume"-noun-fr
"Guillaume"-noun-fr "Guillaume"-properNoun-es
"Guillem"-properNoun-es "Guillem"-noun-fr
"Guillem"-noun-fr "Guillem"-properNoun-es
"Jésus"-properNoun-fr "Jesús"-properNoun-es
"Jesús"-properNoun-es "Jésus"-properNoun-fr
"Laurence"-noun-fr "Laurence"-properNoun-es
"Laurence"-properNoun-es "Laurence"-noun-fr
"Nicolau"-properNoun-es "Nicolau"-noun-fr
"Nicolau"-noun-fr "Nicolau"-properNoun-es
"Philip"-properNoun-es "Philip"-noun-fr
"Philip"-noun-fr "Philip"-properNoun-es
"Philippe"-noun-fr "Philippe"-properNoun-es
"Philippe"-properNoun-es "Philippe"-noun-fr
"Santiago"-properNoun-es "Santiago"-noun-fr
"Santiago"-noun-fr "Santiago"-properNoun-es
"Parker"-properNoun-es "Parker"-noun-fr
"Parker"-noun-fr "Parker"-properNoun-es
"Richardson"-properNoun-es "Richardson"-noun-fr
"Richardson"-noun-fr "Richardson"-properNoun-es
"Adams"-properNoun-es "Adams"-noun-fr
"Adams"-noun-fr "Adams"-properNoun-es
"Roberts"-properNoun-es "Roberts"-noun-fr
"Roberts"-noun-fr "Roberts"-properNoun-es
"Jones"-properNoun-es "Jones"-noun-fr
"Jones"-noun-fr "Jones"-properNoun-es
"Brown"-properNoun-es "Brown"-noun-fr
"Brown"-noun-fr "Brown"-properNoun-es
"Johnson"-properNoun-es "Johnson"-noun-fr
"Johnson"-noun-fr "Johnson"-properNoun-es
"Miller"-properNoun-es "Miller"-noun-fr
"Miller"-noun-fr "Miller"-properNoun-es
"Smith"-properNoun-es "Smith"-noun-fr
"Smith"-noun-fr "Smith"-properNoun-es
"Thomson"-properNoun-es "Thomson"-noun-fr
"Thomson"-noun-fr "Thomson"-properNoun-es
"Wilson"-properNoun-es "Wilson"-noun-fr
"Wilson"-noun-fr "Wilson"-properNoun-es
"Young"-properNoun-es "Young"-noun-fr
"Young"-noun-fr "Young"-properNoun-es
"York"-properNoun-es "York"-noun-fr
"York"-noun-fr "York"-properNoun-es
"Arménie"-properNoun-fr "Armenia"-properNoun-es
"Armenia"-properNoun-es "Arménie"-properNoun-fr
"Barcelona"-properNoun-es "Barcelona"-properNoun-fr
"Barcelona"-properNoun-es "Barcelona"-noun-fr
"Barcelona"-properNoun-fr "Barcelona"-properNoun-es
"Barcelona"-noun-fr "Barcelona"-properNoun-es
"Camerún"-properNoun-es "Cameron"-noun-fr
"Cameron"-noun-fr "Camerún"-properNoun-es
"Israel"-properNoun-es "Israël"-noun-fr
"Israel"-properNoun-es "Israel"-properNoun-fr
"Israël"-noun-fr "Israel"-properNoun-es
"Israel"-properNoun-fr "Israel"-properNoun-es
"Madrid"-properNoun-es "Madrid"-noun-fr
"Madrid"-noun-fr "Madrid"-properNoun-es
"Milà"-properNoun-es "Milà"-noun-fr
"Milà"-noun-fr "Milà"-properNoun-es
"Milà"-noun-fr "Milán"-properNoun-es
"Milán"-properNoun-es "Milà"-noun-fr
"Monaco"-noun-fr "Mónaco"-properNoun-es
"Mónaco"-properNoun-es "Monaco"-noun-fr
"Montenegro"-properNoun-es "Montenegro"-noun-fr
"Montenegro"-properNoun-es "Montenegro"-properNoun-fr
"Montenegro"-noun-fr "Montenegro"-properNoun-es
"Montenegro"-properNoun-fr "Montenegro"-properNoun-es
"Navarra"-properNoun-es "Navarra"-properNoun-fr
"Navarra"-properNoun-es "Navarra"-noun-fr
"Navarra"-properNoun-fr "Navarra"-properNoun-es
"Navarra"-noun-fr "Navarra"-properNoun-es
"Nigeria"-properNoun-es "Nigéria"-properNoun-fr
"Nigéria"-properNoun-fr "Nigeria"-properNoun-es
"Roma"-properNoun-es "Roma"-noun-fr
"Roma"-properNoun-es "Roma"-properNoun-fr
"Roma"-noun-fr "Roma"-properNoun-es
"Roma"-properNoun-fr "Roma"-properNoun-es
"Washington"-properNoun-es "Washington"-noun-fr
"Washington"-noun-fr "Washington"-properNoun-es
"suyo"-adjective-es "à lui"-adjective-fr
"suyo"-adjective-es "à elle"-adjective-fr
"suyo"-adjective-es "à eux"-adjective-fr
"à lui"-adjective-fr "suyo"-adjective-es
"à elle"-adjective-fr "suyo"-adjective-es
"à eux"-adjective-fr "suyo"-adjective-es
"Apple"-properNoun-es "Apple"-noun-fr
"Apple"-noun-fr "Apple"-properNoun-es
"desgraciadamente"-adverb-es "regrettablement"-adverb-fr
"regrettablement"-adverb-fr "desgraciadamente"-adverb-es
"a mano"-adverb-es "manuellement"-adverb-fr
"manuellement"-adverb-fr "a mano"-adverb-es
"en cachette"-adverb-fr "en secreto"-adverb-es
"en secreto"-adverb-es "en cachette"-adverb-fr
"en secreto"-adverb-es "secrètement"-adverb-fr
"en secreto"-adverb-es "à la dérobée"-adverb-fr
"secrètement"-adverb-fr "en secreto"-adverb-es
"à la dérobée"-adverb-fr "en secreto"-adverb-es
"dentro"-adverb-es "au-dedans"-adverb-fr
"au-dedans"-adverb-fr "dentro"-adverb-es
"previsiblemente"-adverb-es "prévisiblement"-adverb-fr
"prévisiblement"-adverb-fr "previsiblemente"-adverb-es
"Anglada"-properNoun-es "Anglada"-noun-fr
"Anglada"-noun-fr "Anglada"-properNoun-es
"Bravo"-properNoun-es "Bravo"-noun-fr
"Bravo"-noun-fr "Bravo"-properNoun-es
"Silva"-properNoun-es "Silva"-noun-fr
"Silva"-noun-fr "Silva"-properNoun-es
"Sanz"-properNoun-es "Sanz"-noun-fr
"Sanz"-noun-fr "Sanz"-properNoun-es
"Vigo"-properNoun-es "Vigo"-noun-fr
"Vigo"-noun-fr "Vigo"-properNoun-es
"Santander"-properNoun-es "Santander"-noun-fr
"Santander"-noun-fr "Santander"-properNoun-es
"Pereira"-properNoun-es "Pereira"-noun-fr
"Pereira"-noun-fr "Pereira"-properNoun-es
"Prat"-properNoun-es "Prat"-noun-fr
"Prat"-noun-fr "Prat"-properNoun-es
"Prieto"-properNoun-es "Prieto"-noun-fr
"Prieto"-noun-fr "Prieto"-properNoun-es
"Hidalgo"-properNoun-es "Hidalgo"-noun-fr
"Hidalgo"-noun-fr "Hidalgo"-properNoun-es
"Millán"-properNoun-es "Millán"-noun-fr
"Millán"-noun-fr "Millán"-properNoun-es
"Colomer"-properNoun-es "Colomer"-noun-fr
"Colomer"-noun-fr "Colomer"-properNoun-es
"Becerril"-properNoun-es "Becerril"-noun-fr
"Becerril"-noun-fr "Becerril"-properNoun-es
"Salgado"-properNoun-es "Salgado"-noun-fr
"Salgado"-noun-fr "Salgado"-properNoun-es
"Nadal"-properNoun-es "Nadal"-noun-fr
"Nadal"-noun-fr "Nadal"-properNoun-es
"Llorente"-properNoun-es "Llorente"-noun-fr
"Llorente"-noun-fr "Llorente"-properNoun-es
"Bardem"-properNoun-es "Bardem"-noun-fr
"Bardem"-noun-fr "Bardem"-properNoun-es
"Rossi"-properNoun-es "Rossi"-noun-fr
"Rossi"-noun-fr "Rossi"-properNoun-es
"Montilla"-properNoun-es "Montilla"-noun-fr
"Montilla"-noun-fr "Montilla"-properNoun-es
"veto"-noun-es "véto"-noun-fr
"véto"-noun-fr "veto"-noun-es
"Ripoll"-properNoun-es "Ripoll"-noun-fr
"Ripoll"-noun-fr "Ripoll"-properNoun-es
"Medina"-properNoun-es "Medina"-noun-fr
"Medina"-properNoun-es "Medina"-properNoun-fr
"Medina"-noun-fr "Medina"-properNoun-es
"Medina"-properNoun-fr "Medina"-properNoun-es
"Girona"-noun-fr "Girona"-properNoun-es
"Girona"-noun-fr "Gerona"-properNoun-es
"Girona"-properNoun-es "Girona"-noun-fr
"Girona"-properNoun-es "Girona"-properNoun-fr
"Gerona"-properNoun-es "Girona"-noun-fr
"Gerona"-properNoun-es "Girona"-properNoun-fr
"Girona"-properNoun-fr "Girona"-properNoun-es
"Girona"-properNoun-fr "Gerona"-properNoun-es
"Hollande"-noun-fr "Holanda"-properNoun-es
"Holanda"-properNoun-es "Hollande"-noun-fr
"Marseille"-noun-fr "Marsella"-properNoun-es
"Marsella"-properNoun-es "Marseille"-noun-fr
"Montserrat"-properNoun-es "Montserrat"-noun-fr
"Montserrat"-noun-fr "Montserrat"-properNoun-es
"Múrcia"-properNoun-fr "Murcia"-properNoun-es
"Murcia"-properNoun-es "Múrcia"-properNoun-fr
"Murcia"-properNoun-es "Múrcia"-noun-fr
"Murcia"-properNoun-es "Murcia"-noun-fr
"Múrcia"-noun-fr "Murcia"-properNoun-es
"Murcia"-noun-fr "Murcia"-properNoun-es
"Paco"-properNoun-es "Paco"-noun-fr
"Paco"-noun-fr "Paco"-properNoun-es
"Pasqual"-properNoun-es "Pasqual"-noun-fr
"Pasqual"-noun-fr "Pasqual"-properNoun-es
"Sabadell"-properNoun-es "Sabadell"-noun-fr
"Sabadell"-noun-fr "Sabadell"-properNoun-es
"Tarragona"-properNoun-es "Tarragona"-noun-fr
"Tarragona"-properNoun-es "Tarragona"-properNoun-fr
"Tarragona"-noun-fr "Tarragona"-properNoun-es
"Tarragona"-properNoun-fr "Tarragona"-properNoun-es
"Américain"-noun-fr "americano"-noun-es
"americano"-noun-es "Américain"-noun-fr
"Romano"-properNoun-es "Romano"-noun-fr
"Romano"-noun-fr "Romano"-properNoun-es
"hormiga"-noun-es "formica"-noun-fr
"formica"-noun-fr "hormiga"-noun-es
"biólogo"-noun-es "biologue"-noun-fr
"biologue"-noun-fr "biólogo"-noun-es
"saignement"-noun-fr "hemorragia"-noun-es
"hemorragia"-noun-es "saignement"-noun-fr
"bacalao"-noun-es "cabillaud"-noun-fr
"cabillaud"-noun-fr "bacalao"-noun-es
"duende"-noun-es "farfadet"-noun-fr
"farfadet"-noun-fr "duende"-noun-es
"beso"-noun-es "bise"-noun-fr
"bise"-noun-fr "beso"-noun-es
"península"-noun-es "presqu'île"-noun-fr
"presqu'île"-noun-fr "península"-noun-es
"sardina"-noun-es "pilchard"-noun-fr
"pilchard"-noun-fr "sardina"-noun-es
"ladrón"-noun-es "cambrioleur"-noun-fr
"cambrioleur"-noun-fr "ladrón"-noun-es
"israelí"-noun-es "Israélien"-noun-fr
"Israélien"-noun-fr "israelí"-noun-es
"Canarien"-noun-fr "canario"-noun-es
"canario"-noun-es "Canarien"-noun-fr
"Chilien"-noun-fr "chileno"-noun-es
"chileno"-noun-es "Chilien"-noun-fr
"Indien"-noun-fr "indio"-noun-es
"indio"-noun-es "Indien"-noun-fr
"Libanais"-noun-fr "libanés"-noun-es
"libanés"-noun-es "Libanais"-noun-fr
"operativo"-adjective-es "opératif"-adjective-fr
"opératif"-adjective-fr "operativo"-adjective-es
"Sevilla"-properNoun-es "Sevilla"-noun-fr
"Sevilla"-properNoun-es "Sevilla"-properNoun-fr
"Sevilla"-noun-fr "Sevilla"-properNoun-es
"Sevilla"-properNoun-fr "Sevilla"-properNoun-es
"adelgazar"-verb-es "maigrir"-verb-fr
"maigrir"-verb-fr "adelgazar"-verb-es
"Abascal"-properNoun-es "Abascal"-noun-fr
"Abascal"-noun-fr "Abascal"-properNoun-es
"Almunia"-properNoun-es "Almunia"-noun-fr
"Almunia"-noun-fr "Almunia"-properNoun-es
"Abellán"-properNoun-es "Abellán"-noun-fr
"Abellán"-noun-fr "Abellán"-properNoun-es
"Acebes"-properNoun-es "Acebes"-noun-fr
"Acebes"-noun-fr "Acebes"-properNoun-es
"Acebo"-properNoun-es "Acebo"-noun-fr
"Acebo"-noun-fr "Acebo"-properNoun-es
"Alcaraz"-properNoun-es "Alcaraz"-noun-fr
"Alcaraz"-noun-fr "Alcaraz"-properNoun-es
"Acosta"-properNoun-es "Acosta"-noun-fr
"Acosta"-noun-fr "Acosta"-properNoun-es
"Aguirre"-properNoun-es "Aguirre"-noun-fr
"Aguirre"-noun-fr "Aguirre"-properNoun-es
"Aguado"-properNoun-es "Aguado"-noun-fr
"Aguado"-noun-fr "Aguado"-properNoun-es
"Agulló"-properNoun-es "Agulló"-noun-fr
"Agulló"-noun-fr "Agulló"-properNoun-es
"Alarcón"-properNoun-es "Alarcón"-noun-fr
"Alarcón"-noun-fr "Alarcón"-properNoun-es
"Albelda"-properNoun-es "Albelda"-noun-fr
"Albelda"-noun-fr "Albelda"-properNoun-es
"Aleixandre"-properNoun-es "Aleixandre"-noun-fr
"Aleixandre"-noun-fr "Aleixandre"-properNoun-es
"Albero"-properNoun-es "Albero"-noun-fr
"Albero"-noun-fr "Albero"-properNoun-es
"Alcántara"-properNoun-es "Alcántara"-noun-fr
"Alcántara"-noun-fr "Alcántara"-properNoun-es
"Albiol"-properNoun-es "Albiol"-noun-fr
"Albiol"-noun-fr "Albiol"-properNoun-es
"Alfaro"-properNoun-es "Alfaro"-noun-fr
"Alfaro"-noun-fr "Alfaro"-properNoun-es
"Algarra"-properNoun-es "Algarra"-noun-fr
"Algarra"-noun-fr "Algarra"-properNoun-es
"Almodóvar"-properNoun-es "Almodóvar"-noun-fr
"Almodóvar"-noun-fr "Almodóvar"-properNoun-es
"Cruise"-properNoun-es "Cruise"-noun-fr
"Cruise"-noun-fr "Cruise"-properNoun-es
"Disney"-properNoun-es "Disney"-noun-fr
"Disney"-noun-fr "Disney"-properNoun-es
"Eastwood"-properNoun-es "Eastwood"-noun-fr
"Eastwood"-noun-fr "Eastwood"-properNoun-es
"Johansson"-properNoun-es "Johansson"-noun-fr
"Johansson"-noun-fr "Johansson"-properNoun-es
"Lenin"-properNoun-es "Lenin"-properNoun-fr
"Lenin"-properNoun-es "Lénine"-noun-fr
"Lenin"-properNoun-es "Lenin"-noun-fr
"Lenin"-properNoun-fr "Lenin"-properNoun-es
"Lénine"-noun-fr "Lenin"-properNoun-es
"Lenin"-noun-fr "Lenin"-properNoun-es
"Nobel"-noun-fr "Nobel"-properNoun-es
"Nobel"-properNoun-es "Nobel"-noun-fr
"Schumacher"-properNoun-es "Schumacher"-noun-fr
"Schumacher"-noun-fr "Schumacher"-properNoun-es
"Aguilera"-properNoun-es "Aguilera"-noun-fr
"Aguilera"-noun-fr "Aguilera"-properNoun-es
"Tarantino"-properNoun-es "Tarantino"-noun-fr
"Tarantino"-noun-fr "Tarantino"-properNoun-es
"Arafat"-properNoun-es "Arafat"-noun-fr
"Arafat"-noun-fr "Arafat"-properNoun-es
"Kidman"-properNoun-es "Kidman"-noun-fr
"Kidman"-noun-fr "Kidman"-properNoun-es
"Marchena"-properNoun-es "Marchena"-noun-fr
"Marchena"-noun-fr "Marchena"-properNoun-es
"Aznar"-properNoun-es "Aznar"-noun-fr
"Aznar"-noun-fr "Aznar"-properNoun-es
"Gore"-properNoun-es "Gore"-noun-fr
"Gore"-noun-fr "Gore"-properNoun-es
"Rubalcaba"-properNoun-es "Rubalcaba"-noun-fr
"Rubalcaba"-noun-fr "Rubalcaba"-properNoun-es
"Atutxa"-properNoun-es "Atutxa"-noun-fr
"Atutxa"-noun-fr "Atutxa"-properNoun-es
"Bilbao"-properNoun-es "Bilbao"-noun-fr
"Bilbao"-noun-fr "Bilbao"-properNoun-es
"Castro"-properNoun-es "Castro"-noun-fr
"Castro"-noun-fr "Castro"-properNoun-es
"Hussein"-properNoun-es "Hussein"-noun-fr
"Hussein"-noun-fr "Hussein"-properNoun-es
"Ibarretxe"-properNoun-es "Ibarretxe"-noun-fr
"Ibarretxe"-noun-fr "Ibarretxe"-properNoun-es
"Martinez"-properNoun-es "Martinez"-noun-fr
"Martinez"-noun-fr "Martinez"-properNoun-es
"Otegi"-properNoun-es "Otegi"-noun-fr
"Otegi"-noun-fr "Otegi"-properNoun-es
"Sáez"-properNoun-es "Sáez"-noun-fr
"Sáez"-noun-fr "Sáez"-properNoun-es
"Bush"-properNoun-es "Bush"-noun-fr
"Bush"-noun-fr "Bush"-properNoun-es
"Barroso"-properNoun-es "Barroso"-noun-fr
"Barroso"-noun-fr "Barroso"-properNoun-es
"Michel"-properNoun-es "Michel"-noun-fr
"Michel"-noun-fr "Michel"-properNoun-es
"Milosevic"-properNoun-es "Milosevic"-noun-fr
"Milosevic"-noun-fr "Milosevic"-properNoun-es
"Armstrong"-properNoun-es "Armstrong"-noun-fr
"Armstrong"-noun-fr "Armstrong"-properNoun-es
"Colom"-properNoun-es "Colom"-noun-fr
"Colom"-noun-fr "Colom"-properNoun-es
"Coloma"-properNoun-es "Coloma"-noun-fr
"Coloma"-noun-fr "Coloma"-properNoun-es
"Díaz"-properNoun-es "Díaz"-noun-fr
"Díaz"-noun-fr "Díaz"-properNoun-es
"Díez"-properNoun-es "Díez"-noun-fr
"Díez"-noun-fr "Díez"-properNoun-es
"Doménech"-properNoun-es "Doménech"-noun-fr
"Doménech"-noun-fr "Doménech"-properNoun-es
"Domínguez"-properNoun-es "Domínguez"-noun-fr
"Domínguez"-noun-fr "Domínguez"-properNoun-es
"Durán"-properNoun-es "Durán"-noun-fr
"Durán"-noun-fr "Durán"-properNoun-es
"Estévez"-properNoun-es "Estévez"-noun-fr
"Estévez"-noun-fr "Estévez"-properNoun-es
"Gálvez"-properNoun-es "Gálvez"-noun-fr
"Gálvez"-noun-fr "Gálvez"-properNoun-es
"Giménez"-properNoun-es "Giménez"-noun-fr
"Giménez"-noun-fr "Giménez"-properNoun-es
"Gómez"-properNoun-es "Gómez"-noun-fr
"Gómez"-noun-fr "Gómez"-properNoun-es
"Gutiérrez"-properNoun-es "Gutiérrez"-noun-fr
"Gutiérrez"-noun-fr "Gutiérrez"-properNoun-es
"Heras"-properNoun-es "Heras"-noun-fr
"Heras"-noun-fr "Heras"-properNoun-es
"Hernández"-properNoun-es "Hernández"-noun-fr
"Hernández"-noun-fr "Hernández"-properNoun-es
"Ibáñez"-properNoun-es "Ibáñez"-noun-fr
"Ibáñez"-noun-fr "Ibáñez"-properNoun-es
"Jiménez"-properNoun-es "Jiménez"-noun-fr
"Jiménez"-noun-fr "Jiménez"-properNoun-es
"Méndez"-properNoun-es "Méndez"-noun-fr
"Méndez"-noun-fr "Méndez"-properNoun-es
"Menéndez"-properNoun-es "Menéndez"-noun-fr
"Menéndez"-noun-fr "Menéndez"-properNoun-es
"Mozart"-properNoun-es "Mozart"-noun-fr
"Mozart"-noun-fr "Mozart"-properNoun-es
"Olivares"-properNoun-es "Olivares"-noun-fr
"Olivares"-noun-fr "Olivares"-properNoun-es
"Olivier"-properNoun-es "Olivier"-noun-fr
"Olivier"-noun-fr "Olivier"-properNoun-es
"Ortiz"-properNoun-es "Ortiz"-noun-fr
"Ortiz"-noun-fr "Ortiz"-properNoun-es
"Picasso"-properNoun-es "Picasso"-noun-fr
"Picasso"-noun-fr "Picasso"-properNoun-es
"Potter"-properNoun-es "Potter"-noun-fr
"Potter"-noun-fr "Potter"-properNoun-es
"Putin"-properNoun-es "Poutine"-noun-fr
"Putin"-properNoun-es "Putin"-noun-fr
"Poutine"-noun-fr "Putin"-properNoun-es
"Putin"-noun-fr "Putin"-properNoun-es
"Ramírez"-properNoun-es "Ramírez"-noun-fr
"Ramírez"-noun-fr "Ramírez"-properNoun-es
"Ratzinger"-properNoun-es "Ratzinger"-noun-fr
"Ratzinger"-noun-fr "Ratzinger"-properNoun-es
"Sánchez"-properNoun-es "Sánchez"-noun-fr
"Sánchez"-noun-fr "Sánchez"-properNoun-es
"Schröder"-properNoun-es "Schröder"-noun-fr
"Schröder"-noun-fr "Schröder"-properNoun-es
"Scorsese"-properNoun-es "Scorsese"-noun-fr
"Scorsese"-noun-fr "Scorsese"-properNoun-es
"Shakespeare"-properNoun-es "Shakespeare"-noun-fr
"Shakespeare"-noun-fr "Shakespeare"-properNoun-es
"Suárez"-properNoun-es "Suárez"-noun-fr
"Suárez"-noun-fr "Suárez"-properNoun-es
"Voltaire"-properNoun-es "Voltaire"-noun-fr
"Voltaire"-noun-fr "Voltaire"-properNoun-es
"Wilde"-properNoun-es "Wilde"-noun-fr
"Wilde"-noun-fr "Wilde"-properNoun-es
"Clinton"-properNoun-es "Clinton"-noun-fr
"Clinton"-noun-fr "Clinton"-properNoun-es
"Fernández"-properNoun-es "Fernández"-noun-fr
"Fernández"-noun-fr "Fernández"-properNoun-es
"Franco"-properNoun-es "Franco"-noun-fr
"Franco"-noun-fr "Franco"-properNoun-es
"Garcia"-properNoun-es "Garcia"-noun-fr
"Garcia"-noun-fr "Garcia"-properNoun-es
"García"-properNoun-es "García"-noun-fr
"García"-noun-fr "García"-properNoun-es
"González"-properNoun-es "González"-noun-fr
"González"-noun-fr "González"-properNoun-es
"Kennedy"-properNoun-es "Kennedy"-noun-fr
"Kennedy"-noun-fr "Kennedy"-properNoun-es
"López"-properNoun-es "López"-noun-fr
"López"-noun-fr "López"-properNoun-es
"Maragall"-properNoun-es "Maragall"-noun-fr
"Maragall"-noun-fr "Maragall"-properNoun-es
"Montesinos"-properNoun-es "Montesinos"-noun-fr
"Montesinos"-noun-fr "Montesinos"-properNoun-es
"Obama"-properNoun-es "Obama"-noun-fr
"Obama"-noun-fr "Obama"-properNoun-es
"Pujol"-properNoun-es "Pujol"-noun-fr
"Pujol"-noun-fr "Pujol"-properNoun-es
"Zapatero"-properNoun-es "Zapatero"-noun-fr
"Zapatero"-noun-fr "Zapatero"-properNoun-es
"Pérez"-properNoun-es "Pérez"-noun-fr
"Pérez"-noun-fr "Pérez"-properNoun-es
"Rodríguez"-properNoun-es "Rodríguez"-noun-fr
"Rodríguez"-noun-fr "Rodríguez"-properNoun-es
"Ruiz"-properNoun-es "Ruiz"-noun-fr
"Ruiz"-noun-fr "Ruiz"-properNoun-es
"Hitler"-properNoun-es "Hitler"-noun-fr
"Hitler"-noun-fr "Hitler"-properNoun-es
"Ferrari"-properNoun-es "Ferrari"-noun-fr
"Ferrari"-noun-fr "Ferrari"-properNoun-es
"Forcada"-properNoun-es "Forcada"-noun-fr
"Forcada"-noun-fr "Forcada"-properNoun-es
"Ford"-properNoun-es "Ford"-noun-fr
"Ford"-noun-fr "Ford"-properNoun-es
"Gates"-properNoun-es "Gates"-noun-fr
"Gates"-noun-fr "Gates"-properNoun-es
"Marx"-properNoun-es "Marx"-noun-fr
"Marx"-noun-fr "Marx"-properNoun-es
"Balboa"-properNoun-es "Balboa"-noun-fr
"Balboa"-noun-fr "Balboa"-properNoun-es
"Calderón"-properNoun-es "Calderón"-noun-fr
"Calderón"-noun-fr "Calderón"-properNoun-es
"Márquez"-properNoun-es "Márquez"-noun-fr
"Márquez"-noun-fr "Márquez"-properNoun-es
"Robledo"-properNoun-es "Robledo"-noun-fr
"Robledo"-noun-fr "Robledo"-properNoun-es
"Merino"-properNoun-es "Merino"-noun-fr
"Merino"-noun-fr "Merino"-properNoun-es
"Osuna"-properNoun-es "Osuna"-noun-fr
"Osuna"-noun-fr "Osuna"-properNoun-es
"Núñez"-properNoun-es "Núñez"-noun-fr
"Núñez"-noun-fr "Núñez"-properNoun-es
"Abad"-properNoun-es "Abad"-noun-fr
"Abad"-noun-fr "Abad"-properNoun-es
"Martínez"-properNoun-es "Martínez"-noun-fr
"Martínez"-noun-fr "Martínez"-properNoun-es
"Alonso"-properNoun-es "Alonso"-noun-fr
"Alonso"-noun-fr "Alonso"-properNoun-es
"Aranda"-properNoun-es "Aranda"-noun-fr
"Aranda"-noun-fr "Aranda"-properNoun-es
"Arce"-properNoun-es "Arce"-noun-fr
"Arce"-noun-fr "Arce"-properNoun-es
"Arjona"-properNoun-es "Arjona"-noun-fr
"Arjona"-noun-fr "Arjona"-properNoun-es
"Artigas"-properNoun-es "Artigas"-noun-fr
"Artigas"-noun-fr "Artigas"-properNoun-es
"Arévalo"-properNoun-es "Arévalo"-noun-fr
"Arévalo"-noun-fr "Arévalo"-properNoun-es
"Aura"-properNoun-es "Aura"-noun-fr
"Aura"-noun-fr "Aura"-properNoun-es
"Baeza"-properNoun-es "Baeza"-noun-fr
"Baeza"-noun-fr "Baeza"-properNoun-es
"Belinchón"-properNoun-es "Belinchón"-noun-fr
"Belinchón"-noun-fr "Belinchón"-properNoun-es
"Berlanga"-properNoun-es "Berlanga"-noun-fr
"Berlanga"-noun-fr "Berlanga"-properNoun-es
"Bobadilla"-properNoun-es "Bobadilla"-noun-fr
"Bobadilla"-noun-fr "Bobadilla"-properNoun-es
"Bosco"-properNoun-es "Bosco"-noun-fr
"Bosco"-noun-fr "Bosco"-properNoun-es
"Cano"-properNoun-es "Cano"-noun-fr
"Cano"-noun-fr "Cano"-properNoun-es
"Carballo"-properNoun-es "Carballo"-noun-fr
"Carballo"-noun-fr "Carballo"-properNoun-es
"Carmona"-properNoun-es "Carmona"-noun-fr
"Carmona"-noun-fr "Carmona"-properNoun-es
"Carrillo"-properNoun-es "Carrillo"-noun-fr
"Carrillo"-noun-fr "Carrillo"-properNoun-es
"Casanova"-properNoun-es "Casanova"-noun-fr
"Casanova"-noun-fr "Casanova"-properNoun-es
"Cervantes"-properNoun-es "Cervantes"-noun-fr
"Cervantes"-noun-fr "Cervantes"-properNoun-es
"Chamorro"-properNoun-es "Chamorro"-noun-fr
"Chamorro"-noun-fr "Chamorro"-properNoun-es
"Checa"-properNoun-es "Checa"-noun-fr
"Checa"-noun-fr "Checa"-properNoun-es
"Chirac"-properNoun-es "Chirac"-noun-fr
"Chirac"-noun-fr "Chirac"-properNoun-es
"Cid"-properNoun-es "Cid"-noun-fr
"Cid"-noun-fr "Cid"-properNoun-es
"Cisneros"-properNoun-es "Cisneros"-noun-fr
"Cisneros"-noun-fr "Cisneros"-properNoun-es
"Contreras"-properNoun-es "Contreras"-noun-fr
"Contreras"-noun-fr "Contreras"-properNoun-es
"Dalí"-properNoun-es "Dalí"-noun-fr
"Dalí"-noun-fr "Dalí"-properNoun-es
"Ferreira"-properNoun-es "Ferreira"-noun-fr
"Ferreira"-noun-fr "Ferreira"-properNoun-es
"Ferrero"-properNoun-es "Ferrero"-noun-fr
"Ferrero"-noun-fr "Ferrero"-properNoun-es
"Gascón"-properNoun-es "Gascón"-noun-fr
"Gascón"-noun-fr "Gascón"-properNoun-es
"Gaudí"-properNoun-es "Gaudí"-noun-fr
"Gaudí"-noun-fr "Gaudí"-properNoun-es
"Goya"-properNoun-es "Goya"-noun-fr
"Goya"-noun-fr "Goya"-properNoun-es
"Indurain"-properNoun-es "Indurain"-noun-fr
"Indurain"-noun-fr "Indurain"-properNoun-es
"Jara"-properNoun-es "Jara"-noun-fr
"Jara"-noun-fr "Jara"-properNoun-es
"Juárez"-properNoun-es "Juárez"-noun-fr
"Juárez"-noun-fr "Juárez"-properNoun-es
"Lafuente"-properNoun-es "Lafuente"-noun-fr
"Lafuente"-noun-fr "Lafuente"-properNoun-es
"Lozoya"-properNoun-es "Lozoya"-noun-fr
"Lozoya"-noun-fr "Lozoya"-properNoun-es
"Milá"-properNoun-es "Milá"-noun-fr
"Milá"-noun-fr "Milá"-properNoun-es
"Miranda"-properNoun-es "Miranda"-noun-fr
"Miranda"-noun-fr "Miranda"-properNoun-es
"Moratinos"-properNoun-es "Moratinos"-noun-fr
"Moratinos"-noun-fr "Moratinos"-properNoun-es
"Moya"-properNoun-es "Moya"-noun-fr
"Moya"-noun-fr "Moya"-properNoun-es
"Moyá"-properNoun-es "Moyá"-noun-fr
"Moyá"-noun-fr "Moyá"-properNoun-es
"Murillo"-properNoun-es "Murillo"-noun-fr
"Murillo"-noun-fr "Murillo"-properNoun-es
"Muñoz"-properNoun-es "Muñoz"-noun-fr
