"avoir l'habitude de"-verb-fr "tener la costumbre de"-verb-es
"escudriñar"-verb-es "scruter"-verb-fr
"Bar-le-Duc"-properNoun-fr "Bar-le-Duc"-properNoun-es
"Bar-le-Duc"-properNoun-es "Bar-le-Duc"-properNoun-fr
"D'Alema"-properNoun-fr "D'Alema"-properNoun-es
"D'Alema"-properNoun-es "D'Alema"-properNoun-fr
"élocution"-noun-fr "elocución"-noun-es
"elocución"-noun-es "élocution"-noun-fr
"Moriarti"-properNoun-fr "Moriarti"-properNoun-es
"Moriarti"-properNoun-es "Moriarti"-properNoun-fr
"Bastille"-properNoun-fr "Bastilla"-properNoun-es
"Bastille"-properNoun-fr "La Bastilla"-properNoun-es
"Bastilla"-properNoun-es "Bastille"-properNoun-fr
"La Bastilla"-properNoun-es "Bastille"-properNoun-fr
"circulant"-adjective-fr "circulante"-adjective-es
"circulante"-adjective-es "circulant"-adjective-fr
"République du Congo"-properNoun-fr "República del Congo"-properNoun-es
"República del Congo"-properNoun-es "République du Congo"-properNoun-fr
"Aurillac"-properNoun-fr "Aurillac"-properNoun-es
"Aurillac"-properNoun-es "Aurillac"-properNoun-fr
"québécois"-adjective-fr "quebequés"-adjective-es
"quebequés"-adjective-es "québécois"-adjective-fr
"Nicanor"-properNoun-fr "Nicanor"-properNoun-es
"Nicanor"-properNoun-es "Nicanor"-properNoun-fr
"dans peu de temps"-adverb-fr "dentro de poco tiempo"-adverb-es
"dentro de poco tiempo"-adverb-es "dans peu de temps"-adverb-fr
"réévaluation"-noun-fr "reevaluación"-noun-es
"reevaluación"-noun-es "réévaluation"-noun-fr
"sauvagement"-adverb-fr "salvajemente"-adverb-es
"salvajemente"-adverb-es "sauvagement"-adverb-fr
"AEPD"-noun-fr "AEPD"-noun-es
"AEPD"-noun-es "AEPD"-noun-fr
"Loeb"-properNoun-fr "Loeb"-properNoun-es
"Loeb"-properNoun-es "Loeb"-properNoun-fr
"Nouvelle-Castille"-properNoun-fr "Nueva Castilla"-properNoun-es
"Nouvelle-Castille"-properNoun-fr "Castilla La Nueva"-properNoun-es
"Nueva Castilla"-properNoun-es "Nouvelle-Castille"-properNoun-fr
"Castilla La Nueva"-properNoun-es "Nouvelle-Castille"-properNoun-fr
"Fribourg"-properNoun-fr "Friburgo"-properNoun-es
"Friburgo"-properNoun-es "Fribourg"-properNoun-fr
"Sébastien"-properNoun-fr "Sébastien"-properNoun-es
"Sébastien"-properNoun-es "Sébastien"-properNoun-fr
"Lysimaque"-properNoun-fr "Lisímaco"-properNoun-es
"Lisímaco"-properNoun-es "Lysimaque"-properNoun-fr
"Agúndez"-properNoun-fr "Agúndez"-properNoun-es
"Agúndez"-properNoun-es "Agúndez"-properNoun-fr
"Dalaï lama"-properNoun-fr "Dalái Lama"-properNoun-es
"Dalái Lama"-properNoun-es "Dalaï lama"-properNoun-fr
"Saltillo"-properNoun-fr "Saltillo"-properNoun-es
"Saltillo"-properNoun-es "Saltillo"-properNoun-fr
"aérostatique"-adjective-fr "aerostático"-adjective-es
"aerostático"-adjective-es "aérostatique"-adjective-fr
"décret royal"-noun-fr "RD"-noun-es
"RD"-noun-es "décret royal"-noun-fr
"Iraizoz"-properNoun-fr "Iraizoz"-properNoun-es
"Iraizoz"-properNoun-es "Iraizoz"-properNoun-fr
"médaillé"-adjective-fr "condecorado"-adjective-es
"condecorado"-adjective-es "médaillé"-adjective-fr
"Massimiliano"-properNoun-fr "Massimiliano"-properNoun-es
"Massimiliano"-properNoun-es "Massimiliano"-properNoun-fr
"Stanford"-properNoun-fr "Stanford"-properNoun-es
"Stanford"-properNoun-es "Stanford"-properNoun-fr
"Thermopyles"-properNoun-fr "Termópilas"-properNoun-es
"Termópilas"-properNoun-es "Thermopyles"-properNoun-fr
"UCI"-noun-fr "UCI"-noun-es
"UCI"-noun-es "UCI"-noun-fr
"comme par exemple"-adverb-fr "como por ejemplo"-adverb-es
"como por ejemplo"-adverb-es "comme par exemple"-adverb-fr
"Alexandro"-properNoun-fr "Alexandro"-properNoun-es
"Alexandro"-properNoun-es "Alexandro"-properNoun-fr
"faute de"-preposition-fr "por falta de"-preposition-es
"por falta de"-preposition-es "faute de"-preposition-fr
"côte"-noun-fr "chuletón"-noun-es
"chuletón"-noun-es "côte"-noun-fr
"Knesset"-properNoun-fr "Knesset"-properNoun-es
"Knesset"-properNoun-es "Knesset"-properNoun-fr
"lacération"-noun-fr "laceración"-noun-es
"laceración"-noun-es "lacération"-noun-fr
"Serbie"-properNoun-fr "Serbie"-properNoun-es
"Serbie"-properNoun-es "Serbie"-properNoun-fr
"Châlons-en-Champagne"-properNoun-fr "Châlons-en-Champagne"-properNoun-es
"Châlons-en-Champagne"-properNoun-es "Châlons-en-Champagne"-properNoun-fr
"troublé"-adjective-fr "revuelto"-adjective-es
"revuelto"-adjective-es "troublé"-adjective-fr
"Afallah"-properNoun-fr "Afallah"-properNoun-es
"Afallah"-properNoun-es "Afallah"-properNoun-fr
"Allier"-properNoun-fr "Allier"-properNoun-es
"Allier"-properNoun-es "Allier"-properNoun-fr
"Martine"-properNoun-fr "Martine"-properNoun-es
"Martine"-properNoun-es "Martine"-properNoun-fr
"Lens"-properNoun-fr "Lens"-properNoun-es
"Lens"-properNoun-es "Lens"-properNoun-fr
"sérier"-verb-fr "seriar"-verb-es
"seriar"-verb-es "sérier"-verb-fr
"Mirco"-properNoun-fr "Mirco"-properNoun-es
"Mirco"-properNoun-es "Mirco"-properNoun-fr
"Las Vegas"-properNoun-fr "Las Vegas"-properNoun-es
"Las Vegas"-properNoun-es "Las Vegas"-properNoun-fr
"Alzamora"-properNoun-fr "Alzamora"-properNoun-es
"Alzamora"-properNoun-es "Alzamora"-properNoun-fr
"radicalité"-noun-fr "radicalidad"-noun-es
"radicalidad"-noun-es "radicalité"-noun-fr
"Birman"-noun-fr "Birmano"-noun-es
"Birmano"-noun-es "Birman"-noun-fr
"Raul"-properNoun-fr "Raul"-properNoun-es
"Raul"-properNoun-es "Raul"-properNoun-fr
"Ruben"-properNoun-fr "Ruben"-properNoun-es
"Ruben"-properNoun-es "Ruben"-properNoun-fr
"EPSV"-noun-fr "EPSV"-noun-es
"EPSV"-noun-es "EPSV"-noun-fr
"carliste"-adjective-fr "calista"-adjective-es
"calista"-adjective-es "carliste"-adjective-fr
"Susperregi"-properNoun-fr "Susperregi"-properNoun-es
"Susperregi"-properNoun-es "Susperregi"-properNoun-fr
"joueur"-adjective-fr "jugador"-adjective-es
"jugador"-adjective-es "joueur"-adjective-fr
"Vaucluse"-properNoun-fr "Vaucluse"-properNoun-es
"Vaucluse"-properNoun-es "Vaucluse"-properNoun-fr
"dix-huitième"-adjective-fr "decimoctavo"-adjective-es
"decimoctavo"-adjective-es "dix-huitième"-adjective-fr
"Léonard de Vinci"-properNoun-fr "Leonardo da Vinci"-properNoun-es
"Leonardo da Vinci"-properNoun-es "Léonard de Vinci"-properNoun-fr
"délégué"-adjective-fr "delegado"-adjective-es
"delegado"-adjective-es "délégué"-adjective-fr
"entreprenant"-adjective-fr "emprendedor"-adjective-es
"emprendedor"-adjective-es "entreprenant"-adjective-fr
"insensé"-adjective-fr "insensato"-adjective-es
"insensato"-adjective-es "insensé"-adjective-fr
"Isère"-properNoun-fr "Isère"-properNoun-es
"Isère"-properNoun-es "Isère"-properNoun-fr
"Arnaud"-properNoun-fr "Arnaud"-properNoun-es
"Arnaud"-properNoun-es "Arnaud"-properNoun-fr
"Allegrini"-properNoun-fr "Allegrini"-properNoun-es
"Allegrini"-properNoun-es "Allegrini"-properNoun-fr
"Mediapro"-properNoun-fr "Mediapro"-properNoun-es
"Mediapro"-properNoun-es "Mediapro"-properNoun-fr
"Auch"-properNoun-fr "Auch"-properNoun-es
"Auch"-properNoun-es "Auch"-properNoun-fr
"Styrie"-properNoun-fr "Estiria"-properNoun-es
"Estiria"-properNoun-es "Styrie"-properNoun-fr
"Zoroastre"-properNoun-fr "Zoroastro"-properNoun-es
"Zoroastro"-properNoun-es "Zoroastre"-properNoun-fr
"Dunkerque"-properNoun-fr "Dunkerque"-properNoun-es
"Dunkerque"-properNoun-es "Dunkerque"-properNoun-fr
"Francis Bacon"-properNoun-fr "Francis Bacon"-properNoun-es
"Francis Bacon"-properNoun-es "Francis Bacon"-properNoun-fr
"sélectionneur"-adjective-fr "seleccionador"-adjective-es
"seleccionador"-adjective-es "sélectionneur"-adjective-fr
"François Fillon"-properNoun-fr "François Fillon"-properNoun-es
"François Fillon"-properNoun-es "François Fillon"-properNoun-fr
"Bild"-properNoun-fr "Bild"-properNoun-es
"Bild"-properNoun-es "Bild"-properNoun-fr
"percepteur"-noun-fr "perceptor"-noun-es
"perceptor"-noun-es "percepteur"-noun-fr
"Rick"-properNoun-fr "Rick"-properNoun-es
"Rick"-properNoun-es "Rick"-properNoun-fr
"Antenne 2"-properNoun-fr "Antenne 2"-properNoun-es
"Antenne 2"-properNoun-es "Antenne 2"-properNoun-fr
"Gari"-properNoun-fr "Gari"-properNoun-es
"Gari"-properNoun-es "Gari"-properNoun-fr
"Bettini"-properNoun-fr "Bettini"-properNoun-es
"Bettini"-properNoun-es "Bettini"-properNoun-fr
"CHA"-noun-fr "CHA"-noun-es
"CHA"-noun-es "CHA"-noun-fr
"Chelsea"-properNoun-fr "Chelsea"-properNoun-es
"Chelsea"-properNoun-es "Chelsea"-properNoun-fr
"Saône"-properNoun-fr "Saona"-properNoun-es
"Saona"-properNoun-es "Saône"-properNoun-fr
"Gary"-properNoun-fr "Gary"-properNoun-es
"Gary"-properNoun-es "Gary"-properNoun-fr
"cimenter"-verb-fr "cimentar"-verb-es
"cimenter"-verb-fr "cementar"-verb-es
"cimentar"-verb-es "cimenter"-verb-fr
"cementar"-verb-es "cimenter"-verb-fr
"Edgar Allan Poe"-properNoun-fr "Edgar Allan Poe"-properNoun-es
"Edgar Allan Poe"-properNoun-es "Edgar Allan Poe"-properNoun-fr
"Ratisbonne"-properNoun-fr "Ratisbona"-properNoun-es
"Ratisbona"-properNoun-es "Ratisbonne"-properNoun-fr
"assainir"-verb-fr "sanear"-verb-es
"sanear"-verb-es "assainir"-verb-fr
"femme"-noun-fr "fémina"-noun-es
"fémina"-noun-es "femme"-noun-fr
"Aierbe"-properNoun-fr "Aierbe"-properNoun-es
"Aierbe"-properNoun-es "Aierbe"-properNoun-fr
"Canberra"-properNoun-fr "Canberra"-properNoun-es
"Canberra"-properNoun-es "Canberra"-properNoun-fr
"Michele"-properNoun-fr "Michele"-properNoun-es
"Michele"-properNoun-es "Michele"-properNoun-fr
"aubergiste"-noun-fr "ventero"-noun-es
"ventero"-noun-es "aubergiste"-noun-fr
"Aleandro"-properNoun-fr "Aleandro"-properNoun-es
"Aleandro"-properNoun-es "Aleandro"-properNoun-fr
"Jens"-properNoun-fr "Jens"-properNoun-es
"Jens"-properNoun-es "Jens"-properNoun-fr
"Haute-Égypte"-properNoun-fr "Alto Egipto"-properNoun-es
"Alto Egipto"-properNoun-es "Haute-Égypte"-properNoun-fr
"Haute-Saône"-properNoun-fr "Alto Saona"-properNoun-es
"Alto Saona"-properNoun-es "Haute-Saône"-properNoun-fr
"souligner"-verb-fr "hacer incapié"-verb-es
"hacer incapié"-verb-es "souligner"-verb-fr
"juguler"-verb-fr "yugular"-verb-es
"yugular"-verb-es "juguler"-verb-fr
"Hailé Selassié"-properNoun-fr "Hailé Selasie"-properNoun-es
"Hailé Selasie"-properNoun-es "Hailé Selassié"-properNoun-fr
"îlot"-noun-fr "isleta"-noun-es
"isleta"-noun-es "îlot"-noun-fr
"Bourbons"-properNoun-fr "Borbones"-properNoun-es
"Borbones"-properNoun-es "Bourbons"-properNoun-fr
"Gérald"-properNoun-fr "Gérald"-properNoun-es
"Gérald"-properNoun-es "Gérald"-properNoun-fr
"Colonna"-properNoun-fr "Colonna"-properNoun-es
"Colonna"-properNoun-es "Colonna"-properNoun-fr
"Amadeus"-properNoun-fr "Amadeus"-properNoun-es
"Amadeus"-properNoun-es "Amadeus"-properNoun-fr
"Arcachon"-properNoun-fr "Arcachón"-properNoun-es
"Arcachón"-properNoun-es "Arcachon"-properNoun-fr
"Indre-et-Loire"-properNoun-fr "Indre y Loira"-properNoun-es
"Indre y Loira"-properNoun-es "Indre-et-Loire"-properNoun-fr
"protection"-noun-fr "cobijo"-noun-es
"cobijo"-noun-es "protection"-noun-fr
"Ripa"-properNoun-fr "Ripa"-properNoun-es
"Ripa"-properNoun-es "Ripa"-properNoun-fr
"le cas échéant"-adverb-fr "en su caso"-adverb-es
"le cas échéant"-adverb-fr "si fuera necesario"-adverb-es
"en su caso"-adverb-es "le cas échéant"-adverb-fr
"si fuera necesario"-adverb-es "le cas échéant"-adverb-fr
"Mbabane"-properNoun-fr "Mbabane"-properNoun-es
"Mbabane"-properNoun-es "Mbabane"-properNoun-fr
"Villepinte"-properNoun-fr "Villepinte"-properNoun-es
"Villepinte"-properNoun-es "Villepinte"-properNoun-fr
"Vieille-Castille"-properNoun-fr "Castilla La Vieja"-properNoun-es
"Castilla La Vieja"-properNoun-es "Vieille-Castille"-properNoun-fr
"Ardennes"-properNoun-fr "Ardenas"-properNoun-es
"Ardenas"-properNoun-es "Ardennes"-properNoun-fr
"frété"-adjective-fr "fletado"-adjective-es
"fletado"-adjective-es "frété"-adjective-fr
"Xunta"-properNoun-fr "Xunta"-properNoun-es
"Xunta"-properNoun-es "Xunta"-properNoun-fr
"Toussaint"-properNoun-fr "Todos los Santos"-properNoun-es
"Todos los Santos"-properNoun-es "Toussaint"-properNoun-fr
"reçu"-noun-fr "resguardo"-noun-es
"resguardo"-noun-es "reçu"-noun-fr
"houspiller"-verb-fr "abroncar"-verb-es
"abroncar"-verb-es "houspiller"-verb-fr
"txupinazo"-noun-es "coup de feu"-noun-fr
"coup de feu"-noun-fr "txupinazo"-noun-es
"coup de feu"-noun-fr "chupinazo"-noun-es
"chupinazo"-noun-es "coup de feu"-noun-fr
"Nantes"-properNoun-fr "Nantes"-properNoun-es
"Nantes"-properNoun-es "Nantes"-properNoun-fr
"Mâcon"-properNoun-fr "Mâcon"-properNoun-es
"Mâcon"-properNoun-es "Mâcon"-properNoun-fr
"Pentagone"-properNoun-fr "Pentágono"-properNoun-es
"Pentágono"-properNoun-es "Pentagone"-properNoun-fr
"Andreiev"-properNoun-fr "Andreiev"-properNoun-es
"Andreiev"-properNoun-es "Andreiev"-properNoun-fr
"antibiotique"-adjective-fr "antibiótico"-adjective-es
"antibiótico"-adjective-es "antibiotique"-adjective-fr
"Katsav"-properNoun-fr "Katsav"-properNoun-es
"Katsav"-properNoun-es "Katsav"-properNoun-fr
"insoutenabilité"-noun-fr "insostenibilidad"-noun-es
"insostenibilidad"-noun-es "insoutenabilité"-noun-fr
"Etxeberri"-properNoun-fr "Etxeberri"-properNoun-es
"Etxeberri"-properNoun-es "Etxeberri"-properNoun-fr
"MSN"-properNoun-fr "MSN"-properNoun-es
"MSN"-properNoun-es "MSN"-properNoun-fr
"Littell"-properNoun-fr "Littell"-properNoun-es
"Littell"-properNoun-es "Littell"-properNoun-fr
"La Rochelle"-properNoun-fr "La Rochelle"-properNoun-es
"La Rochelle"-properNoun-es "La Rochelle"-properNoun-fr
"Aar"-properNoun-fr "Aar"-properNoun-es
"Aar"-properNoun-es "Aar"-properNoun-fr
"Bairiki"-properNoun-fr "Bairiki"-properNoun-es
"Bairiki"-properNoun-es "Bairiki"-properNoun-fr
"concessionnaire"-adjective-fr "concesionario"-adjective-es
"concesionario"-adjective-es "concessionnaire"-adjective-fr
"embourber"-verb-fr "atascar"-verb-es
"atascar"-verb-es "embourber"-verb-fr
"atascar"-verb-es "encrasser"-verb-fr
"atascar"-verb-es "barricader"-verb-fr
"atascar"-verb-es "boucher"-verb-fr
"encrasser"-verb-fr "atascar"-verb-es
"barricader"-verb-fr "atascar"-verb-es
"boucher"-verb-fr "atascar"-verb-es
"Am"-properNoun-fr "Am"-properNoun-es
"Am"-properNoun-es "Am"-properNoun-fr
"coffre-fort"-noun-fr "caja de caudales"-noun-es
"caja de caudales"-noun-es "coffre-fort"-noun-fr
"Adjani"-properNoun-fr "Adjani"-properNoun-es
"Adjani"-properNoun-es "Adjani"-properNoun-fr
"Aix-les-Bains"-properNoun-fr "Aix-les-Bains"-properNoun-es
"Aix-les-Bains"-properNoun-es "Aix-les-Bains"-properNoun-fr
"Zugasti"-properNoun-fr "Zugasti"-properNoun-es
"Zugasti"-properNoun-es "Zugasti"-properNoun-fr
"imaginaire"-noun-fr "imaginario"-noun-es
"imaginario"-noun-es "imaginaire"-noun-fr
"Ferenc"-properNoun-fr "Ferenc"-properNoun-es
"Ferenc"-properNoun-es "Ferenc"-properNoun-fr
"innocuité"-noun-fr "inocuidad"-noun-es
"inocuidad"-noun-es "innocuité"-noun-fr
"Errazti"-properNoun-fr "Errazti"-properNoun-es
"Errazti"-properNoun-es "Errazti"-properNoun-fr
"piédestal"-noun-fr "pedestal"-noun-es
"pedestal"-noun-es "piédestal"-noun-fr
"Alsace"-properNoun-fr "Alsace"-properNoun-es
"Alsace"-properNoun-es "Alsace"-properNoun-fr
"Cardiff"-properNoun-fr "Cardiff"-properNoun-es
"Cardiff"-properNoun-es "Cardiff"-properNoun-fr
"usufruit"-noun-fr "uso y disfrute"-noun-es
"uso y disfrute"-noun-es "usufruit"-noun-fr
"Aqualung"-properNoun-fr "Aqualung"-properNoun-es
"Aqualung"-properNoun-es "Aqualung"-properNoun-fr
"Castries"-properNoun-fr "Castries"-properNoun-es
"Castries"-properNoun-es "Castries"-properNoun-fr
"Alpine"-properNoun-fr "Alpine"-properNoun-es
"Alpine"-properNoun-es "Alpine"-properNoun-fr
"merci"-noun-fr "gracias"-noun-es
"gracias"-noun-es "merci"-noun-fr
"vernisseur"-noun-fr "barnizador"-noun-es
"barnizador"-noun-es "vernisseur"-noun-fr
"éludable"-adjective-fr "eludible"-adjective-es
"eludible"-adjective-es "éludable"-adjective-fr
"à juste titre"-adverb-fr "con toda la razón"-adverb-es
"con toda la razón"-adverb-es "à juste titre"-adverb-fr
"trésor public"-noun-fr "hacienda pública"-noun-es
"trésor public"-noun-fr "tesoro público"-noun-es
"hacienda pública"-noun-es "trésor public"-noun-fr
"tesoro público"-noun-es "trésor public"-noun-fr
"à cet effet"-adverb-fr "a tal efecto"-adverb-es
"a tal efecto"-adverb-es "à cet effet"-adverb-fr
"létalité"-noun-fr "letalidad"-noun-es
"letalidad"-noun-es "létalité"-noun-fr
"Vienne"-properNoun-fr "Vienne"-properNoun-es
"Vienne"-properNoun-es "Vienne"-properNoun-fr
"Aranbarri"-properNoun-fr "Aranbarri"-properNoun-es
"Aranbarri"-properNoun-es "Aranbarri"-properNoun-fr
"Canaan"-properNoun-fr "Canaán"-properNoun-es
"Canaán"-properNoun-es "Canaan"-properNoun-fr
"AVT"-noun-fr "AVT"-noun-es
"AVT"-noun-es "AVT"-noun-fr
"Abidal"-properNoun-fr "Abidal"-properNoun-es
"Abidal"-properNoun-es "Abidal"-properNoun-fr
"obsession"-noun-fr "obsessión"-noun-es
"obsessión"-noun-es "obsession"-noun-fr
"Aquilino"-properNoun-fr "Aquilino"-properNoun-es
"Aquilino"-properNoun-es "Aquilino"-properNoun-fr
"Menezes"-properNoun-fr "Menezes"-properNoun-es
"Menezes"-properNoun-es "Menezes"-properNoun-fr
"dépositaire"-noun-fr "depositario"-noun-es
"depositario"-noun-es "dépositaire"-noun-fr
"devant"-noun-fr "delantera"-noun-es
"delantera"-noun-es "devant"-noun-fr
"Doug"-properNoun-fr "Doug"-properNoun-es
"Doug"-properNoun-es "Doug"-properNoun-fr
"Midi-Pyrénées"-properNoun-fr "Mediodía Pirineos"-properNoun-es
"Midi-Pyrénées"-properNoun-fr "Midi-Pyrénées"-properNoun-es
"Mediodía Pirineos"-properNoun-es "Midi-Pyrénées"-properNoun-fr
"Midi-Pyrénées"-properNoun-es "Midi-Pyrénées"-properNoun-fr
"autoévaluation"-noun-fr "autoevaluación"-noun-es
"autoevaluación"-noun-es "autoévaluation"-noun-fr
"démobilisation"-noun-fr "desmobilización"-noun-es
"desmobilización"-noun-es "démobilisation"-noun-fr
"Reader"-properNoun-fr "Reader"-properNoun-es
"Reader"-properNoun-es "Reader"-properNoun-fr
"Rony"-properNoun-fr "Rony"-properNoun-es
"Rony"-properNoun-es "Rony"-properNoun-fr
"Txabarri"-properNoun-fr "Txabarri"-properNoun-es
"Txabarri"-properNoun-es "Txabarri"-properNoun-fr
"Urumea"-properNoun-fr "Urumea"-properNoun-es
"Urumea"-properNoun-es "Urumea"-properNoun-fr
"faire allusion à"-verb-fr "aludir a"-verb-es
"aludir a"-verb-es "faire allusion à"-verb-fr
"alcoolisé"-adjective-fr "alcoholizado"-adjective-es
"alcoholizado"-adjective-es "alcoolisé"-adjective-fr
"Alpes-Maritimes"-properNoun-fr "Alpes Marítimos"-properNoun-es
"Alpes-Maritimes"-properNoun-fr "Alpes-Maritimes"-properNoun-es
"Alpes Marítimos"-properNoun-es "Alpes-Maritimes"-properNoun-fr
"Alpes-Maritimes"-properNoun-es "Alpes-Maritimes"-properNoun-fr
"voyageur"-adjective-fr "viajero"-adjective-es
"viajero"-adjective-es "voyageur"-adjective-fr
"Andreev"-properNoun-fr "Andreev"-properNoun-es
"Andreev"-properNoun-es "Andreev"-properNoun-fr
"Gainsbourg"-properNoun-fr "Gainsbourg"-properNoun-es
"Gainsbourg"-properNoun-es "Gainsbourg"-properNoun-fr
"Gucci"-properNoun-fr "Gucci"-properNoun-es
"Gucci"-properNoun-es "Gucci"-properNoun-fr
"parallèle"-noun-fr "paralelo"-noun-es
"paralelo"-noun-es "parallèle"-noun-fr
"vitupération"-noun-fr "vituperación"-noun-es
"vituperación"-noun-es "vitupération"-noun-fr
"renaître"-verb-fr "renacer"-verb-es
"renacer"-verb-es "renaître"-verb-fr
"Moselle"-properNoun-fr "Mosela"-properNoun-es
"Mosela"-properNoun-es "Moselle"-properNoun-fr
"Malacca"-properNoun-fr "Malaca"-properNoun-es
"Malaca"-properNoun-es "Malacca"-properNoun-fr
"bénéficiaire"-adjective-fr "beneficiario"-adjective-es
"bénéficiaire"-adjective-fr "ganancial"-adjective-es
"beneficiario"-adjective-es "bénéficiaire"-adjective-fr
"ganancial"-adjective-es "bénéficiaire"-adjective-fr
"Joël"-properNoun-fr "Joël"-properNoun-es
"Joël"-properNoun-es "Joël"-properNoun-fr
"anticipé"-adjective-fr "anticipado"-adjective-es
"anticipado"-adjective-es "anticipé"-adjective-fr
"pressurisation"-noun-fr "presurización"-noun-es
"presurización"-noun-es "pressurisation"-noun-fr
"Orion"-properNoun-fr "Orion"-properNoun-es
"Orion"-properNoun-es "Orion"-properNoun-fr
"bon"-adjective-fr "acertado"-adjective-es
"acertado"-adjective-es "bon"-adjective-fr
"Habib Bourguiba"-properNoun-fr "Habib Burguiba"-properNoun-es
"Habib Burguiba"-properNoun-es "Habib Bourguiba"-properNoun-fr
"Alban"-properNoun-fr "Alban"-properNoun-es
"Alban"-properNoun-es "Alban"-properNoun-fr
"Ancien Testament"-properNoun-fr "Antiguo Testamento"-properNoun-es
"Antiguo Testamento"-properNoun-es "Ancien Testament"-properNoun-fr
"empiler"-verb-fr "apiñar"-verb-es
"apiñar"-verb-es "empiler"-verb-fr
"Anxo Quintana"-properNoun-fr "Anxo Quintana"-properNoun-es
"Anxo Quintana"-properNoun-es "Anxo Quintana"-properNoun-fr
"Materazzi"-properNoun-fr "Materazzi"-properNoun-es
"Materazzi"-properNoun-es "Materazzi"-properNoun-fr
"Crimée"-properNoun-fr "Crimea"-properNoun-es
"Crimea"-properNoun-es "Crimée"-properNoun-fr
"LPR"-noun-fr "LPR"-noun-es
"LPR"-noun-es "LPR"-noun-fr
"Agirrezabal"-properNoun-fr "Agirrezabal"-properNoun-es
"Agirrezabal"-properNoun-es "Agirrezabal"-properNoun-fr
"Iraola"-properNoun-fr "Iraola"-properNoun-es
"Iraola"-properNoun-es "Iraola"-properNoun-fr
"Trentin"-properNoun-fr "Trentin"-properNoun-es
"Trentin"-properNoun-es "Trentin"-properNoun-fr
"puérilité"-noun-fr "puerilidad"-noun-es
"puerilidad"-noun-es "puérilité"-noun-fr
"ravitailleur"-noun-fr "abastecedor"-noun-es
"abastecedor"-noun-es "ravitailleur"-noun-fr
"navigabilité"-noun-fr "navegabilidad"-noun-es
"navegabilidad"-noun-es "navigabilité"-noun-fr
"Juanito"-properNoun-fr "Juanito"-properNoun-es
"Juanito"-properNoun-es "Juanito"-properNoun-fr
"Besancenot"-properNoun-fr "Besancenot"-properNoun-es
"Besancenot"-properNoun-es "Besancenot"-properNoun-fr
"Lourdes"-properNoun-fr "Lourdes"-properNoun-es
"Lourdes"-properNoun-es "Lourdes"-properNoun-fr
"Gasquet"-properNoun-fr "Gasquet"-properNoun-es
"Gasquet"-properNoun-es "Gasquet"-properNoun-fr
"Antía"-properNoun-fr "Antía"-properNoun-es
"Antía"-properNoun-es "Antía"-properNoun-fr
"Pervez"-properNoun-fr "Pervez"-properNoun-es
"Pervez"-properNoun-es "Pervez"-properNoun-fr
"crack"-noun-fr "crack"-noun-es
"crack"-noun-es "crack"-noun-fr
"faiblir"-verb-fr "amainar"-verb-es
"amainar"-verb-es "faiblir"-verb-fr
"Akira"-properNoun-fr "Akira"-properNoun-es
"Akira"-properNoun-es "Akira"-properNoun-fr
"vascularisation"-noun-fr "vascularización"-noun-es
"vascularización"-noun-es "vascularisation"-noun-fr
"XP"-properNoun-fr "XP"-properNoun-es
"XP"-properNoun-es "XP"-properNoun-fr
"Joumblatt"-properNoun-fr "Joumblatt"-properNoun-es
"Joumblatt"-properNoun-es "Joumblatt"-properNoun-fr
"CAF"-noun-fr "CAF"-noun-es
"CAF"-noun-es "CAF"-noun-fr
"Likoud"-properNoun-fr "Likud"-properNoun-es
"Likud"-properNoun-es "Likoud"-properNoun-fr
"biomédical"-adjective-fr "biomédico"-adjective-es
"biomédico"-adjective-es "biomédical"-adjective-fr
"commandite"-noun-fr "comandita"-noun-es
"comandita"-noun-es "commandite"-noun-fr
"Arenberg"-properNoun-fr "Arenberg"-properNoun-es
"Arenberg"-properNoun-es "Arenberg"-properNoun-fr
"Alphand"-properNoun-fr "Alphand"-properNoun-es
"Alphand"-properNoun-es "Alphand"-properNoun-fr
"Maes"-properNoun-fr "Maes"-properNoun-es
"Maes"-properNoun-es "Maes"-properNoun-fr
"Susan"-properNoun-fr "Susan"-properNoun-es
"Susan"-properNoun-es "Susan"-properNoun-fr
"Aranzadi"-properNoun-fr "Aranzadi"-properNoun-es
"Aranzadi"-properNoun-es "Aranzadi"-properNoun-fr
"silurien"-adjective-fr "siluriano"-adjective-es
"silurien"-adjective-fr "silúrico"-adjective-es
"siluriano"-adjective-es "silurien"-adjective-fr
"silúrico"-adjective-es "silurien"-adjective-fr
"mer de Chine orientale"-properNoun-fr "Mar de China Oriental"-properNoun-es
"Mar de China Oriental"-properNoun-es "mer de Chine orientale"-properNoun-fr
"Aebersold"-properNoun-fr "Aebersold"-properNoun-es
"Aebersold"-properNoun-es "Aebersold"-properNoun-fr
"Alfons"-properNoun-fr "Alfons"-properNoun-es
"Alfons"-properNoun-es "Alfons"-properNoun-fr
"Florence"-properNoun-fr "Florence"-properNoun-es
"Florence"-properNoun-es "Florence"-properNoun-fr
"typologiquement"-adverb-fr "tipológicamente"-adverb-es
"tipológicamente"-adverb-es "typologiquement"-adverb-fr
"Aldezabal"-properNoun-fr "Aldezabal"-properNoun-es
"Aldezabal"-properNoun-es "Aldezabal"-properNoun-fr
"Taoufik"-properNoun-fr "Taoufik"-properNoun-es
"Taoufik"-properNoun-es "Taoufik"-properNoun-fr
"eurobourse"-noun-fr "eurobolsa"-noun-es
