"l"-noun-oc "l"-noun-es
"comandament"-noun-oc "mando"-noun-es
"mando"-noun-es "comandament"-noun-oc
"comando"-noun-oc "comando"-noun-es
"comando"-noun-es "comando"-noun-oc
"comentari"-noun-oc "comentario"-noun-es
"comentario"-noun-es "comentari"-noun-oc
"comercio"-noun-es "comèrç"-noun-oc
"comèrç"-noun-oc "comercio"-noun-es
"comici"-noun-oc "comicio"-noun-es
"comicio"-noun-es "comici"-noun-oc
"comité"-noun-es "comitè"-noun-oc
"comitè"-noun-oc "comité"-noun-es
"complement"-noun-oc "complemento"-noun-es
"complemento"-noun-es "complement"-noun-oc
"compliment"-noun-oc "cumplimiento"-noun-es
"cumplimiento"-noun-es "compliment"-noun-oc
"cuenta"-noun-es "compde"-noun-oc
"compde"-noun-oc "cuenta"-noun-es
"comtat"-noun-oc "condado"-noun-es
"condado"-noun-es "comtat"-noun-oc
"concèpte"-noun-oc "concepto"-noun-es
"concepto"-noun-es "concèpte"-noun-oc
"condicionante"-noun-es "condicionament"-noun-oc
"conselh"-noun-oc "junta"-noun-es
"junta"-noun-es "conselh"-noun-oc
"junta"-noun-es "junta"-noun-oc
"junta"-noun-oc "junta"-noun-es
"contacte"-noun-oc "contacto"-noun-es
"contacto"-noun-es "contacte"-noun-oc
"continent"-noun-oc "continente"-noun-es
"continente"-noun-es "continent"-noun-oc
"contracte"-noun-oc "contrato"-noun-es
"contrato"-noun-es "contracte"-noun-oc
"contrafòrt"-noun-oc "contrafuerte"-noun-es
"contrafuerte"-noun-es "contrafòrt"-noun-oc
"convent"-noun-oc "convento"-noun-es
"convento"-noun-es "convent"-noun-oc
"convòi"-noun-oc "convoy"-noun-es
"convoy"-noun-es "convòi"-noun-oc
"copyright"-noun-oc "copyright"-noun-es
"copyright"-noun-es "copyright"-noun-oc
"coratge"-noun-oc "valentía"-noun-es
"coratge"-noun-oc "coraje"-noun-es
"valentía"-noun-es "coratge"-noun-oc
"valentía"-noun-es "valença"-noun-oc
"coraje"-noun-es "coratge"-noun-oc
"coraje"-noun-es "encoratjament"-noun-oc
"valença"-noun-oc "valentía"-noun-es
"encoratjament"-noun-oc "coraje"-noun-es
"còr"-noun-oc "corazón"-noun-es
"còr"-noun-oc "coro"-noun-es
"corazón"-noun-es "còr"-noun-oc
"coro"-noun-es "còr"-noun-oc
"correder"-noun-oc "corredor"-noun-es
"correder"-noun-oc "pasadizo"-noun-es
"corredor"-noun-es "correder"-noun-oc
"pasadizo"-noun-es "correder"-noun-oc
"corrent"-noun-oc "corriente"-noun-es
"corriente"-noun-es "corrent"-noun-oc
"conjunto"-noun-es "conjonch"-noun-oc
"conjunto"-noun-es "conjunt"-noun-oc
"conjunto"-noun-es "amàs"-noun-oc
"conjunto"-noun-es "ensem"-noun-oc
"conjonch"-noun-oc "conjunto"-noun-es
"conjunt"-noun-oc "conjunto"-noun-es
"amàs"-noun-oc "conjunto"-noun-es
"ensem"-noun-oc "conjunto"-noun-es
"cors"-noun-oc "decurso"-noun-es
"decurso"-noun-es "cors"-noun-oc
"curso"-noun-es "curs"-noun-oc
"curs"-noun-oc "curso"-noun-es
"cuchillo"-noun-es "ganivet"-noun-oc
"cuchillo"-noun-es "guinhauet"-noun-oc
"ganivet"-noun-oc "cuchillo"-noun-es
"guinhauet"-noun-oc "cuchillo"-noun-es
"coton"-noun-oc "algodón"-noun-es
"algodón"-noun-es "coton"-noun-oc
"crédito"-noun-es "crèdit"-noun-oc
"crèdit"-noun-oc "crédito"-noun-es
"crubament"-noun-oc "cobro"-noun-es
"cobro"-noun-es "crubament"-noun-oc
"culhièr"-noun-oc "cuchara"-noun-es
"cuchara"-noun-es "culhièr"-noun-oc
"cuchara"-noun-es "culhièir"-noun-oc
"cuchara"-noun-es "culhèra"-noun-oc
"culhièir"-noun-oc "cuchara"-noun-es
"culhèra"-noun-oc "cuchara"-noun-es
"damatge"-noun-oc "daño"-noun-es
"daño"-noun-es "damatge"-noun-oc
"debat"-noun-oc "debate"-noun-es
"debate"-noun-es "debat"-noun-oc
"debut"-noun-oc "debut"-noun-es
"debut"-noun-es "debut"-noun-oc
"delicia"-noun-es "delícia"-noun-oc
"delícia"-noun-oc "delicia"-noun-es
"delicte"-noun-oc "delito"-noun-es
"delito"-noun-es "delicte"-noun-oc
"deliri"-noun-oc "delirio"-noun-es
"delirio"-noun-es "deliri"-noun-oc
"departament"-noun-oc "departamento"-noun-es
"departamento"-noun-es "departament"-noun-oc
"depósito"-noun-es "depaus"-noun-oc
"depaus"-noun-oc "depósito"-noun-es
"derbí"-noun-oc "derbi"-noun-es
"derbi"-noun-es "derbí"-noun-oc
"desastre"-noun-oc "debacle"-noun-es
"desastre"-noun-oc "desastre"-noun-es
"debacle"-noun-es "desastre"-noun-oc
"desastre"-noun-es "desastre"-noun-oc
"desequilibri"-noun-oc "desequilibrio"-noun-es
"desequilibrio"-noun-es "desequilibri"-noun-oc
"desesperación"-noun-es "desesperança"-noun-oc
"desesperança"-noun-oc "desesperación"-noun-es
"desfiament"-noun-oc "desafío"-noun-es
"desafío"-noun-es "desfiament"-noun-oc
"desafío"-noun-es "desfisament"-noun-oc
"desafío"-noun-es "provocacion"-noun-oc
"desafío"-noun-es "düèl"-noun-oc
"desfisament"-noun-oc "desafío"-noun-es
"provocacion"-noun-oc "desafío"-noun-es
"düèl"-noun-oc "desafío"-noun-es
"düèl"-noun-oc "duelo"-noun-es
"desir"-noun-oc "gana"-noun-es
"gana"-noun-es "desir"-noun-oc
"gana"-noun-es "ganes"-noun-oc
"ganes"-noun-oc "gana"-noun-es
"deslotjament"-noun-oc "desalojo"-noun-es
"desalojo"-noun-es "deslotjament"-noun-oc
"despartiment"-noun-oc "reparto"-noun-es
"reparto"-noun-es "despartiment"-noun-oc
"reparto"-noun-es "repartiment"-noun-oc
"repartiment"-noun-oc "reparto"-noun-es
"desplaçament"-noun-oc "desplazamiento"-noun-es
"desplazamiento"-noun-es "desplaçament"-noun-oc
"desplegament"-noun-oc "despliegue"-noun-es
"despliegue"-noun-es "desplegament"-noun-oc
"destin"-noun-oc "destino"-noun-es
"destino"-noun-es "destin"-noun-oc
"deteriorament"-noun-oc "deterioro"-noun-es
"deterioro"-noun-es "deteriorament"-noun-oc
"deute"-noun-oc "adeudo"-noun-es
"adeudo"-noun-es "deute"-noun-oc
"deber"-noun-es "déuer"-noun-oc
"déuer"-noun-oc "deber"-noun-es
"diagnostic"-noun-oc "diagnosis"-noun-es
"diagnosis"-noun-es "diagnostic"-noun-oc
"diari"-noun-oc "diario"-noun-es
"diario"-noun-es "diari"-noun-oc
"diario"-noun-es "jornal"-noun-oc
"diario"-noun-es "jornau"-noun-oc
"jornal"-noun-oc "diario"-noun-es
"jornau"-noun-oc "diario"-noun-es
"diccionari"-noun-oc "diccionario"-noun-es
"diccionario"-noun-es "diccionari"-noun-oc
"diftong"-noun-oc "diftongo"-noun-es
"diftongo"-noun-es "diftong"-noun-oc
"dispositiu"-noun-oc "dispositivo"-noun-es
"dispositivo"-noun-es "dispositiu"-noun-oc
"dissabte"-noun-oc "sábado"-noun-es
"sábado"-noun-es "dissabte"-noun-oc
"dobte"-noun-oc "duda"-noun-es
"duda"-noun-es "dobte"-noun-oc
"duda"-noun-es "dubte"-noun-oc
"dubte"-noun-oc "duda"-noun-es
"document"-noun-oc "documento"-noun-es
"documento"-noun-es "document"-noun-oc
"documentari"-noun-oc "documental"-noun-es
"documental"-noun-es "documentari"-noun-oc
"documental"-noun-es "documentau"-noun-oc
"documentau"-noun-oc "documental"-noun-es
"domeni"-noun-oc "dominio"-noun-es
"dominio"-noun-es "domeni"-noun-oc
"dominio"-noun-es "domini"-noun-oc
"dominio"-noun-es "domèni"-noun-oc
"domini"-noun-oc "dominio"-noun-es
"domèni"-noun-oc "dominio"-noun-es
"domicili"-noun-oc "domicilio"-noun-es
"domicilio"-noun-es "domicili"-noun-oc
"domicilio"-noun-es "abitança"-noun-oc
"abitança"-noun-oc "domicilio"-noun-es
"don"-noun-oc "donativo"-noun-es
"don"-noun-oc "do"-noun-es
"don"-noun-oc "don"-noun-es
"donativo"-noun-es "don"-noun-oc
"do"-noun-es "don"-noun-oc
"don"-noun-es "don"-noun-oc
"dopatge"-noun-oc "doping"-noun-es
"dopatge"-noun-oc "dopaje"-noun-es
"doping"-noun-es "dopatge"-noun-oc
"dopaje"-noun-es "dopatge"-noun-oc
"drac"-noun-oc "dragón"-noun-es
"dragón"-noun-es "drac"-noun-oc
"chico"-noun-es "gojat"-noun-oc
"gojat"-noun-oc "chico"-noun-es
"gojat"-noun-oc "chiquillo"-noun-es
"gojat"-noun-oc "muchacho"-noun-es
"edart"-noun-oc "casualidad"-noun-es
"casualidad"-noun-es "edart"-noun-oc
"edicte"-noun-oc "edicto"-noun-es
"edicto"-noun-es "edicte"-noun-oc
"edificio"-noun-es "bastissa"-noun-oc
"bastissa"-noun-oc "edificio"-noun-es
"electrodomestic"-noun-oc "electrodoméstico"-noun-es
"electrodoméstico"-noun-es "electrodomestic"-noun-oc
"electrodoméstico"-noun-es "electrodomètge"-noun-oc
"electrodomètge"-noun-oc "electrodoméstico"-noun-es
"element"-noun-oc "elemento"-noun-es
"elemento"-noun-es "element"-noun-oc
"elògi"-noun-oc "elogio"-noun-es
"elogio"-noun-es "elògi"-noun-oc
"embut"-noun-oc "tapujo"-noun-es
"tapujo"-noun-es "embut"-noun-oc
"emicicle"-noun-oc "hemiciclo"-noun-es
"hemiciclo"-noun-es "emicicle"-noun-oc
"emplec"-noun-oc "uso"-noun-es
"uso"-noun-es "emplec"-noun-oc
"uso"-noun-es "us"-noun-oc
"empleo"-noun-es "aucupacion"-noun-oc
"aucupacion"-noun-oc "empleo"-noun-es
"us"-noun-oc "uso"-noun-es
"endurziment"-noun-oc "endurecimiento"-noun-es
"endurecimiento"-noun-es "endurziment"-noun-oc
"enriquiment"-noun-oc "enriquecimiento"-noun-es
"enriquecimiento"-noun-es "enriquiment"-noun-oc
"ensenhador"-noun-oc "índice"-noun-es
"índice"-noun-es "ensenhador"-noun-oc
"entendement"-noun-oc "entendimiento"-noun-es
"entendimiento"-noun-es "entendement"-noun-oc
"enterrament"-noun-oc "enterramiento"-noun-es
"enterramiento"-noun-es "enterrament"-noun-oc
"entorn"-noun-oc "cercanía"-noun-es
"cercanía"-noun-es "entorn"-noun-oc
"cercanía"-noun-es "proximitat"-noun-oc
"proximitat"-noun-oc "cercanía"-noun-es
"proximitat"-noun-oc "proximidad"-noun-es
"entraïnament"-noun-oc "entrenamiento"-noun-es
"entrenamiento"-noun-es "entraïnament"-noun-oc
"entrenamiento"-noun-es "entrainament"-noun-oc
"entrainament"-noun-oc "entrenamiento"-noun-es
"enviament"-noun-oc "envío"-noun-es
"envío"-noun-es "enviament"-noun-oc
"envío"-noun-es "mand"-noun-oc
"envío"-noun-es "enviada"-noun-oc
"envío"-noun-es "mandadís"-noun-oc
"mand"-noun-oc "envío"-noun-es
"enviada"-noun-oc "envío"-noun-es
"mandadís"-noun-oc "envío"-noun-es
"epilòg"-noun-oc "epílogo"-noun-es
"epílogo"-noun-es "epilòg"-noun-oc
"epicentre"-noun-oc "epicentro"-noun-es
"epicentro"-noun-es "epicentre"-noun-oc
"equilibri"-noun-oc "equilibrio"-noun-es
"equilibrio"-noun-es "equilibri"-noun-oc
"equipament"-noun-oc "equipamiento"-noun-es
"equipamiento"-noun-es "equipament"-noun-oc
"esbaussament"-noun-oc "derrumbamiento"-noun-es
"derrumbamiento"-noun-es "esbaussament"-noun-oc
"derrumbamiento"-noun-es "esbaus"-noun-oc
"esbaus"-noun-oc "derrumbamiento"-noun-es
"escalfament"-noun-oc "calentamiento"-noun-es
"calentamiento"-noun-es "escalfament"-noun-oc
"calentamiento"-noun-es "calfament"-noun-oc
"calentamiento"-noun-es "escauhament"-noun-oc
"calfament"-noun-oc "calentamiento"-noun-es
"escauhament"-noun-oc "calentamiento"-noun-es
"escanèr"-noun-oc "escáner"-noun-es
"escáner"-noun-es "escanèr"-noun-oc
"escenari"-noun-oc "escenario"-noun-es
"escenario"-noun-es "escenari"-noun-oc
"escenario"-noun-es "scenari"-noun-oc
"scenari"-noun-oc "escenario"-noun-es
"esclariment"-noun-oc "esclarecimiento"-noun-es
"esclarecimiento"-noun-es "esclariment"-noun-oc
"esclat"-noun-oc "chasquido"-noun-es
"chasquido"-noun-es "esclat"-noun-oc
"esclòp"-noun-oc "zueco"-noun-es
"zueco"-noun-es "esclòp"-noun-oc
"escrancament"-noun-oc "colapso"-noun-es
"colapso"-noun-es "escrancament"-noun-oc
"colapso"-noun-es "colapse"-noun-oc
"colapso"-noun-es "collapsus"-noun-oc
"colapse"-noun-oc "colapso"-noun-es
"collapsus"-noun-oc "colapso"-noun-es
"escrit"-noun-oc "escrito"-noun-es
"escrito"-noun-es "escrit"-noun-oc
"escut"-noun-oc "escudo"-noun-es
"escudo"-noun-es "escut"-noun-oc
"esfòrç"-noun-oc "esfuerzo"-noun-es
"esfuerzo"-noun-es "esfòrç"-noun-oc
"mirada"-noun-es "guardar"-noun-oc
"mirada"-noun-es "uelhada"-noun-oc
"guardar"-noun-oc "mirada"-noun-es
"uelhada"-noun-oc "mirada"-noun-es
"hospital"-noun-es "espitau"-noun-oc
"espitau"-noun-oc "hospital"-noun-es
"herramienta"-noun-es "esturment"-noun-oc
"herramienta"-noun-es "estrument"-noun-oc
"herramienta"-noun-es "airina"-noun-oc
"esturment"-noun-oc "herramienta"-noun-es
"estrument"-noun-oc "herramienta"-noun-es
"airina"-noun-oc "herramienta"-noun-es
"esquí"-noun-oc "esquí"-noun-es
"esquí"-noun-es "esquí"-noun-oc
"sud"-noun-oc "sur"-noun-es
"sur"-noun-es "sud"-noun-oc
"establiment"-noun-oc "establecimiento"-noun-es
"establecimiento"-noun-es "establiment"-noun-oc
"estalvi"-noun-oc "ahorro"-noun-es
"ahorro"-noun-es "estalvi"-noun-oc
"ahorro"-noun-es "estauviament"-noun-oc
"estauviament"-noun-oc "ahorro"-noun-es
"estanh"-noun-oc "laguna"-noun-es
"estanh"-noun-oc "estanque"-noun-es
"estanh"-noun-oc "estaño"-noun-es
"laguna"-noun-es "estanh"-noun-oc
"estanque"-noun-es "estanh"-noun-oc
"estaño"-noun-es "estanh"-noun-oc
"estat"-noun-oc "estado"-noun-es
"estado"-noun-es "estat"-noun-oc
"estatut"-noun-oc "estatuto"-noun-es
"estatuto"-noun-es "estatut"-noun-oc
"estil"-noun-oc "estilo"-noun-es
"estilo"-noun-es "estil"-noun-oc
"estudi"-noun-oc "estudio"-noun-es
"estudio"-noun-es "estudi"-noun-oc
"estriuet"-noun-oc "retorno"-noun-es
"retorno"-noun-es "estriuet"-noun-oc
"retorno"-noun-es "repic"-noun-oc
"retorno"-noun-es "tornada"-noun-oc
"repic"-noun-oc "retorno"-noun-es
"tornada"-noun-oc "retorno"-noun-es
"instrumento"-noun-es "instrument"-noun-oc
"instrument"-noun-oc "instrumento"-noun-es
"euro"-noun-es "euro"-noun-oc
"euro"-noun-oc "euro"-noun-es
"exemplar"-noun-oc "ejemplar"-noun-es
"ejemplar"-noun-es "exemplar"-noun-oc
"exemple"-noun-oc "ejemplo"-noun-es
"ejemplo"-noun-es "exemple"-noun-oc
"exercici"-noun-oc "ejercicio"-noun-es
"ejercicio"-noun-es "exercici"-noun-oc
"fanal"-noun-oc "farol"-noun-es
"fanal"-noun-oc "farola"-noun-es
"farol"-noun-es "fanal"-noun-oc
"farol"-noun-es "lantèrna"-noun-oc
"farol"-noun-es "fanau"-noun-oc
"farola"-noun-es "fanal"-noun-oc
"farola"-noun-es "lantèrna"-noun-oc
"farola"-noun-es "fanau"-noun-oc
"lantèrna"-noun-oc "farol"-noun-es
"lantèrna"-noun-oc "farola"-noun-es
"fanau"-noun-oc "farol"-noun-es
"fanau"-noun-oc "farola"-noun-es
"fàstic"-noun-oc "asco"-noun-es
"asco"-noun-es "fàstic"-noun-oc
"asco"-noun-es "hàstic"-noun-oc
"asco"-noun-es "fàsti"-noun-oc
"asco"-noun-es "hàsti"-noun-oc
"hàstic"-noun-oc "asco"-noun-es
"fàsti"-noun-oc "asco"-noun-es
"hàsti"-noun-oc "asco"-noun-es
"febrero"-noun-es "hereuèr"-noun-oc
"hereuèr"-noun-oc "febrero"-noun-es
"hierro"-noun-es "hèr"-noun-oc
"hèr"-noun-oc "hierro"-noun-es
"festival"-noun-es "festivau"-noun-oc
"festivau"-noun-oc "festival"-noun-es
"filtre"-noun-oc "boquilla"-noun-es
"filtre"-noun-oc "filtro"-noun-es
"boquilla"-noun-es "filtre"-noun-oc
"filtro"-noun-es "filtre"-noun-oc
"forfait"-noun-oc "abono"-noun-es
"abono"-noun-es "forfait"-noun-oc
"abono"-noun-es "forfet"-noun-oc
"abono"-noun-es "abonament"-noun-oc
"abono"-noun-es "abonatge"-noun-oc
"forfet"-noun-oc "abono"-noun-es
"abonament"-noun-oc "abono"-noun-es
"abonatge"-noun-oc "abono"-noun-es
"queso"-noun-es "hormatge"-noun-oc
"hormatge"-noun-oc "queso"-noun-es
"formulari"-noun-oc "formulario"-noun-es
"formulario"-noun-es "formulari"-noun-oc
"fragment"-noun-oc "fragmento"-noun-es
"fragmento"-noun-es "fragment"-noun-oc
"fraire"-noun-oc "fraile"-noun-es
"fraile"-noun-es "fraire"-noun-oc
"frente"-noun-es "tèsta"-noun-oc
"tèsta"-noun-oc "frente"-noun-es
"futur"-noun-oc "futuro"-noun-es
"futuro"-noun-es "futur"-noun-oc
"gach"-noun-oc "comida"-noun-es
"gach"-noun-oc "víveres"-noun-es
"comida"-noun-es "gach"-noun-oc
"comida"-noun-es "manjar"-noun-oc
"comida"-noun-es "minjar"-noun-oc
"comida"-noun-es "parva"-noun-oc
"víveres"-noun-es "gach"-noun-oc
"manjar"-noun-oc "comida"-noun-es
"minjar"-noun-oc "comida"-noun-es
"parva"-noun-oc "comida"-noun-es
"gai"-noun-oc "arrendajo"-noun-es
"arrendajo"-noun-es "gai"-noun-oc
"gas"-noun-oc "gas"-noun-es
"gas"-noun-es "gas"-noun-oc
"gatge"-noun-oc "prenda"-noun-es
"gatge"-noun-oc "garantía"-noun-es
"prenda"-noun-es "gatge"-noun-oc
"prenda"-noun-es "pèça"-noun-oc
"garantía"-noun-es "gatge"-noun-oc
"garantía"-noun-es "garantia"-noun-oc
"pèça"-noun-oc "prenda"-noun-es
"garantia"-noun-oc "garantía"-noun-es
"gaudiment"-noun-oc "disfrute"-noun-es
"disfrute"-noun-es "gaudiment"-noun-oc
"genòma"-noun-oc "genoma"-noun-es
"genoma"-noun-es "genòma"-noun-oc
"glaç"-noun-oc "hielo"-noun-es
"hielo"-noun-es "glaç"-noun-oc
"hielo"-noun-es "glaça"-noun-oc
"hielo"-noun-es "gèu"-noun-oc
"glaça"-noun-oc "hielo"-noun-es
"gèu"-noun-oc "hielo"-noun-es
"globilhon"-noun-oc "glóbulo"-noun-es
"glóbulo"-noun-es "globilhon"-noun-oc
"lápiz"-noun-es "creion"-noun-oc
"creion"-noun-oc "lápiz"-noun-es
"grèuge"-noun-oc "agravio"-noun-es
"agravio"-noun-es "grèuge"-noun-oc
"zorro"-noun-es "aguinèu"-noun-oc
"zorro"-noun-es "mandra"-noun-oc
"zorro"-noun-es "vop"-noun-oc
"aguinèu"-noun-oc "zorro"-noun-es
"mandra"-noun-oc "zorro"-noun-es
"vop"-noun-oc "zorro"-noun-es
"illon"-noun-oc "islote"-noun-es
"islote"-noun-es "illon"-noun-oc
"islote"-noun-es "illòt"-noun-oc
"illòt"-noun-oc "islote"-noun-es
"impacte"-noun-oc "impacto"-noun-es
"impacto"-noun-es "impacte"-noun-oc
"impòrt"-noun-oc "importe"-noun-es
"importe"-noun-es "impòrt"-noun-oc
"incendi"-noun-oc "incendio"-noun-es
"incendio"-noun-es "incendi"-noun-oc
"incentiu"-noun-oc "incentivo"-noun-es
"incentivo"-noun-es "incentiu"-noun-oc
"incompliment"-noun-oc "incumplimiento"-noun-es
"incumplimiento"-noun-es "incompliment"-noun-oc
"indici"-noun-oc "indicio"-noun-es
"indicio"-noun-es "indici"-noun-oc
"inici"-noun-oc "inicio"-noun-es
"inicio"-noun-es "inici"-noun-oc
"institut"-noun-oc "instituto"-noun-es
"instituto"-noun-es "institut"-noun-oc
"interrogatòri"-noun-oc "interrogatorio"-noun-es
"interrogatorio"-noun-es "interrogatòri"-noun-oc
"inventari"-noun-oc "inventario"-noun-es
"inventario"-noun-es "inventari"-noun-oc
"itinerari"-noun-oc "itinerario"-noun-es
"itinerario"-noun-es "itinerari"-noun-oc
"invierno"-noun-es "iuèrn"-noun-oc
"iuèrn"-noun-oc "invierno"-noun-es
"judici"-noun-oc "juicio"-noun-es
"juicio"-noun-es "judici"-noun-oc
"julio"-noun-es "juriol"-noun-oc
"juriol"-noun-oc "julio"-noun-es
"lançament"-noun-oc "lanzamiento"-noun-es
"lanzamiento"-noun-es "lançament"-noun-oc
"lavabo"-noun-oc "cuarto de aseo"-noun-es
"lavabo"-noun-oc "cuartos de aseo"-noun-es
"lavabo"-noun-oc "lavabo"-noun-es
"cuarto de aseo"-noun-es "lavabo"-noun-oc
"cuarto de aseo"-noun-es "lauamans"-noun-oc
"cuartos de aseo"-noun-es "lavabo"-noun-oc
"cuartos de aseo"-noun-es "lauamans"-noun-oc
"lavabo"-noun-es "lavabo"-noun-oc
"lavabo"-noun-es "lauamans"-noun-oc
"lauamans"-noun-oc "cuarto de aseo"-noun-es
"lauamans"-noun-oc "cuartos de aseo"-noun-es
"lauamans"-noun-oc "lavabo"-noun-es
"léser"-noun-oc "ocio"-noun-es
"ocio"-noun-es "léser"-noun-oc
"ocio"-noun-es "òci"-noun-oc
"òci"-noun-oc "ocio"-noun-es
"ligam"-noun-oc "atadura"-noun-es
"ligam"-noun-oc "ligazón"-noun-es
"ligam"-noun-oc "vínculo"-noun-es
"atadura"-noun-es "ligam"-noun-oc
"ligazón"-noun-es "ligam"-noun-oc
"vínculo"-noun-es "ligam"-noun-oc
"vínculo"-noun-es "liam"-noun-oc
"liam"-noun-oc "vínculo"-noun-es
"libret"-noun-oc "libreto"-noun-es
"libreto"-noun-es "libret"-noun-oc
"licèu"-noun-oc "liceo"-noun-es
"liceo"-noun-es "licèu"-noun-oc
"lideratge"-noun-oc "liderazgo"-noun-es
"liderazgo"-noun-es "lideratge"-noun-oc
"linhatge"-noun-oc "casta"-noun-es
"casta"-noun-es "linhatge"-noun-oc
"apellido"-noun-es "nom de familha"-noun-oc
"apellido"-noun-es "cognòm"-noun-oc
"nom de familha"-noun-oc "apellido"-noun-es
"cognòm"-noun-oc "apellido"-noun-es
"liròt"-noun-oc "trapo"-noun-es
"trapo"-noun-es "liròt"-noun-oc
"litigi"-noun-oc "litigio"-noun-es
"litigio"-noun-es "litigi"-noun-oc
"lòt"-noun-oc "lote"-noun-es
"lote"-noun-es "lòt"-noun-oc
"lucre"-noun-oc "lucro"-noun-es
"lucro"-noun-es "lucre"-noun-oc
"luòc"-noun-oc "puesto"-noun-es
"puesto"-noun-es "luòc"-noun-oc
"puesto"-noun-es "lòc"-noun-oc
"lòc"-noun-oc "puesto"-noun-es
"lòc"-noun-oc "sitio"-noun-es
"lugar"-noun-es "sit"-noun-oc
"lugar"-noun-es "endret"-noun-oc
"sit"-noun-oc "lugar"-noun-es
"sit"-noun-oc "sitio"-noun-es
"endret"-noun-oc "lugar"-noun-es
"sitio"-noun-es "lòc"-noun-oc
"sitio"-noun-es "sit"-noun-oc
"sitio"-noun-es "luec"-noun-oc
"luec"-noun-oc "sitio"-noun-es
"magnat"-noun-oc "magnate"-noun-es
"magnate"-noun-es "magnat"-noun-oc
"mainatjon"-noun-oc "bebé"-noun-es
"bebé"-noun-es "mainatjon"-noun-oc
"malbarat"-noun-oc "derroche"-noun-es
"derroche"-noun-es "malbarat"-noun-oc
"malcontentament"-noun-oc "descontento"-noun-es
"descontento"-noun-es "malcontentament"-noun-oc
"manament"-noun-oc "mandato"-noun-es
"mandato"-noun-es "manament"-noun-oc
"mandato"-noun-es "mandament"-noun-oc
"mandato"-noun-es "mandat"-noun-oc
"mandato"-noun-es "govèrnament"-noun-oc
"mandament"-noun-oc "mandato"-noun-es
"mandat"-noun-oc "mandato"-noun-es
"govèrnament"-noun-oc "mandato"-noun-es
"mantenimiento"-noun-es "mantenença"-noun-oc
"mantenença"-noun-oc "mantenimiento"-noun-es
"manuscrit"-noun-oc "manuscrito"-noun-es
"manuscrito"-noun-es "manuscrit"-noun-oc
"marc"-noun-oc "marco"-noun-es
"marco"-noun-es "marc"-noun-oc
"margue"-noun-oc "mango"-noun-es
"mango"-noun-es "margue"-noun-oc
"mango"-noun-es "mange"-noun-oc
"mange"-noun-oc "mango"-noun-es
"maridatge"-noun-oc "casamiento"-noun-es
"casamiento"-noun-es "maridatge"-noun-oc
"màster"-noun-oc "máster"-noun-es
"máster"-noun-es "màster"-noun-oc
"máster"-noun-es "mastèr"-noun-oc
"mastèr"-noun-oc "máster"-noun-es
"melon"-noun-oc "melón"-noun-es
"melón"-noun-es "melon"-noun-oc
"mercat"-noun-oc "mercado"-noun-es
"mercado"-noun-es "mercat"-noun-oc
"metal"-noun-es "metau"-noun-oc
"metau"-noun-oc "metal"-noun-es
"metro"-noun-es "mètro"-noun-oc
"mètro"-noun-oc "metro"-noun-es
"miracle"-noun-oc "milagro"-noun-es
"milagro"-noun-es "miracle"-noun-oc
"mocader"-noun-oc "pañuelo"-noun-es
"pañuelo"-noun-es "mocader"-noun-oc
"pañuelo"-noun-es "mocador"-noun-oc
"mocador"-noun-oc "pañuelo"-noun-es
"modem"-noun-oc "modem"-noun-es
"modem"-noun-es "modem"-noun-oc
"mundo"-noun-es "món"-noun-oc
"mundo"-noun-es "mon"-noun-oc
"món"-noun-oc "mundo"-noun-es
"mon"-noun-oc "mundo"-noun-es
"señor"-noun-es "mossur"-noun-oc
"mossur"-noun-oc "señor"-noun-es
"mossen"-noun-oc "padre"-noun-es
"padre"-noun-es "mossen"-noun-oc
"padre"-noun-es "mossèn"-noun-oc
"padre"-noun-es "pair"-noun-oc
"padre"-noun-es "pare"-noun-oc
"mossèn"-noun-oc "padre"-noun-es
"pair"-noun-oc "padre"-noun-es
"pare"-noun-oc "padre"-noun-es
"motiu"-noun-oc "motivo"-noun-es
"motivo"-noun-es "motiu"-noun-oc
"mot"-noun-oc "palabra"-noun-es
"palabra"-noun-es "mot"-noun-oc
"palabra"-noun-es "paraula"-noun-oc
"paraula"-noun-oc "palabra"-noun-es
"moton"-noun-oc "carnero"-noun-es
"carnero"-noun-es "moton"-noun-oc
"carnero"-noun-es "mardan"-noun-oc
"mardan"-noun-oc "carnero"-noun-es
"motor"-noun-oc "motor"-noun-es
"motor"-noun-es "motor"-noun-oc
"nadal"-noun-oc "navidad"-noun-es
"navidad"-noun-es "nadal"-noun-oc
"navidad"-noun-es "nadau"-noun-oc
"nadau"-noun-oc "navidad"-noun-es
"neutron"-noun-oc "neutrón"-noun-es
"neutrón"-noun-es "neutron"-noun-oc
"nombre"-noun-oc "número"-noun-es
"número"-noun-es "nombre"-noun-oc
"olocaust"-noun-oc "holocausto"-noun-es
"holocausto"-noun-es "olocaust"-noun-oc
"òli"-noun-oc "óleo"-noun-es
"óleo"-noun-es "òli"-noun-oc
"oncle"-noun-oc "tío"-noun-es
"tío"-noun-es "oncle"-noun-oc
"ordenador"-noun-es "ordinador"-noun-oc
"ordinador"-noun-oc "ordenador"-noun-es
"òrdi"-noun-oc "cebada"-noun-es
"cebada"-noun-es "òrdi"-noun-oc
"cebada"-noun-es "uerdi"-noun-oc
"uerdi"-noun-oc "cebada"-noun-es
"orden"-noun-es "orde"-noun-oc
