"n'importe quel"-determiner-fr "qualsevol"-determiner-ca
"service"-noun-fr "servei"-noun-ca
"servei"-noun-ca "service"-noun-fr
"coup"-noun-fr "cop"-noun-ca
"cop"-noun-ca "coup"-noun-fr
"cop"-noun-ca "fois"-noun-fr
"fois"-noun-fr "cop"-noun-ca
"fois"-noun-fr "vegada"-noun-ca
"vegada"-noun-ca "fois"-noun-fr
"tir"-noun-ca "tir"-noun-fr
"tir"-noun-fr "tir"-noun-ca
"tir"-noun-fr "xut"-noun-ca
"xut"-noun-ca "tir"-noun-fr
"circulation"-noun-fr "circulació"-noun-ca
"circulació"-noun-ca "circulation"-noun-fr
"solc"-noun-ca "sillon"-noun-fr
"sillon"-noun-fr "solc"-noun-ca
"immoble"-noun-ca "immeuble"-noun-fr
"immeuble"-noun-fr "immoble"-noun-ca
"parc"-noun-fr "parc"-noun-ca
"parc"-noun-ca "parc"-noun-fr
"inversió"-noun-ca "investissement"-noun-fr
"investissement"-noun-fr "inversió"-noun-ca
"combat"-noun-ca "combat"-noun-fr
"combat"-noun-fr "combat"-noun-ca
"lutte"-noun-fr "pugna"-noun-ca
"lutte"-noun-fr "lluita"-noun-ca
"pugna"-noun-ca "lutte"-noun-fr
"lluita"-noun-ca "lutte"-noun-fr
"desordre"-noun-ca "désordre"-noun-fr
"désordre"-noun-fr "desordre"-noun-ca
"avalot"-noun-ca "vacarme"-noun-fr
"vacarme"-noun-fr "avalot"-noun-ca
"soroll"-noun-ca "bruit"-noun-fr
"bruit"-noun-fr "soroll"-noun-ca
"rumor"-noun-ca "rumeur"-noun-fr
"rumeur"-noun-fr "rumor"-noun-ca
"son"-noun-fr "so"-noun-ca
"so"-noun-ca "son"-noun-fr
"intérêt"-noun-fr "interès"-noun-ca
"interès"-noun-ca "intérêt"-noun-fr
"expert"-noun-fr "expert"-noun-ca
"expert"-noun-fr "perit"-noun-ca
"expert"-noun-ca "expert"-noun-fr
"perit"-noun-ca "expert"-noun-fr
"sollicitude"-noun-fr "sol·licitud"-noun-ca
"sol·licitud"-noun-ca "sollicitude"-noun-fr
"installation"-noun-fr "instal·lació"-noun-ca
"instal·lació"-noun-ca "installation"-noun-fr
"aménagement"-noun-fr "disposició"-noun-ca
"disposició"-noun-ca "aménagement"-noun-fr
"disposició"-noun-ca "allant"-noun-fr
"disposició"-noun-ca "disposition"-noun-fr
"allant"-noun-fr "disposició"-noun-ca
"disposition"-noun-fr "disposició"-noun-ca
"implantation"-noun-fr "implantació"-noun-ca
"implantació"-noun-ca "implantation"-noun-fr
"réalisation"-noun-fr "realització"-noun-ca
"realització"-noun-ca "réalisation"-noun-fr
"llançament"-noun-ca "lancement"-noun-fr
"lancement"-noun-fr "llançament"-noun-ca
"test"-noun-ca "test"-noun-fr
"test"-noun-fr "test"-noun-ca
"prova"-noun-ca "essai"-noun-fr
"prova"-noun-ca "preuve"-noun-fr
"prova"-noun-ca "épreuve"-noun-fr
"essai"-noun-fr "prova"-noun-ca
"essai"-noun-fr "assaig"-noun-ca
"preuve"-noun-fr "prova"-noun-ca
"épreuve"-noun-fr "prova"-noun-ca
"échantillon"-noun-fr "mostra"-noun-ca
"mostra"-noun-ca "échantillon"-noun-fr
"goût"-noun-fr "gust"-noun-ca
"gust"-noun-ca "goût"-noun-fr
"guide"-noun-fr "guia"-noun-ca
"guia"-noun-ca "guide"-noun-fr
"fantaisie"-noun-fr "fantasia"-noun-ca
"fantasia"-noun-ca "fantaisie"-noun-fr
"aparició"-noun-ca "apparition"-noun-fr
"apparition"-noun-fr "aparició"-noun-ca
"phénomène"-noun-fr "fenomen"-noun-ca
"fenomen"-noun-ca "phénomène"-noun-fr
"transacció"-noun-ca "transaction"-noun-fr
"transaction"-noun-fr "transacció"-noun-ca
"sortida"-noun-ca "sortie"-noun-fr
"sortida"-noun-ca "issue"-noun-fr
"sortie"-noun-fr "sortida"-noun-ca
"sortie"-noun-fr "eixida"-noun-ca
"issue"-noun-fr "sortida"-noun-ca
"eixida"-noun-ca "sortie"-noun-fr
"passeig"-noun-ca "balade"-noun-fr
"passeig"-noun-ca "promenade"-noun-fr
"balade"-noun-fr "passeig"-noun-ca
"promenade"-noun-fr "passeig"-noun-ca
"cruïlla"-noun-ca "carrefour"-noun-fr
"carrefour"-noun-fr "cruïlla"-noun-ca
"col·loqui"-noun-ca "colloque"-noun-fr
"colloque"-noun-fr "col·loqui"-noun-ca
"exhibició"-noun-ca "exhibition"-noun-fr
"exhibition"-noun-fr "exhibició"-noun-ca
"exposition"-noun-fr "exposició"-noun-ca
"exposició"-noun-ca "exposition"-noun-fr
"conferència"-noun-ca "conférence"-noun-fr
"conferència"-noun-ca "assise"-noun-fr
"conférence"-noun-fr "conferència"-noun-ca
"assise"-noun-fr "conferència"-noun-ca
"variant"-noun-ca "variante"-noun-fr
"variante"-noun-fr "variant"-noun-ca
"leçon"-noun-fr "lliçó"-noun-ca
"lliçó"-noun-ca "leçon"-noun-fr
"classe"-noun-ca "classe"-noun-fr
"classe"-noun-fr "classe"-noun-ca
"rang"-noun-fr "rang"-noun-ca
"rang"-noun-ca "rang"-noun-fr
"groupe"-noun-fr "grup"-noun-ca
"grup"-noun-ca "groupe"-noun-fr
"projecte"-noun-ca "projet"-noun-fr
"projet"-noun-fr "projecte"-noun-ca
"corrent"-noun-ca "courant"-noun-fr
"courant"-noun-fr "corrent"-noun-ca
"fracció"-noun-ca "fraction"-noun-fr
"fraction"-noun-fr "fracció"-noun-ca
"paper"-noun-ca "papier"-noun-fr
"papier"-noun-fr "paper"-noun-ca
"rol"-noun-ca "rôle"-noun-fr
"rôle"-noun-fr "rol"-noun-ca
"destitution"-noun-fr "destitució"-noun-ca
"destitució"-noun-ca "destitution"-noun-fr
"explosió"-noun-ca "explosion"-noun-fr
"explosion"-noun-fr "explosió"-noun-ca
"franja"-noun-ca "frange"-noun-fr
"frange"-noun-fr "franja"-noun-ca
"fracàs"-noun-ca "échec"-noun-fr
"échec"-noun-fr "fracàs"-noun-ca
"plaisanterie"-noun-fr "broma"-noun-ca
"broma"-noun-ca "plaisanterie"-noun-fr
"llit"-noun-ca "lit"-noun-fr
"lit"-noun-fr "llit"-noun-ca
"lieu"-noun-fr "lloc"-noun-ca
"lloc"-noun-ca "lieu"-noun-fr
"lloc"-noun-ca "endroit"-noun-fr
"lloc"-noun-ca "site"-noun-fr
"endroit"-noun-fr "lloc"-noun-ca
"site"-noun-fr "lloc"-noun-ca
"espai"-noun-ca "espace"-noun-fr
"espace"-noun-fr "espai"-noun-ca
"blanc"-noun-ca "blanc"-noun-fr
"blanc"-noun-ca "cible"-noun-fr
"blanc"-noun-fr "blanc"-noun-ca
"cible"-noun-fr "blanc"-noun-ca
"graella"-noun-ca "gril"-noun-fr
"gril"-noun-fr "graella"-noun-ca
"grille"-noun-fr "reixa"-noun-ca
"reixa"-noun-ca "grille"-noun-fr
"entrée"-noun-fr "entrada"-noun-ca
"entrada"-noun-ca "entrée"-noun-fr
"salle"-noun-fr "sala"-noun-ca
"sala"-noun-ca "salle"-noun-fr
"saló"-noun-ca "salon"-noun-fr
"salon"-noun-fr "saló"-noun-ca
"livre"-noun-fr "llibre"-noun-ca
"llibre"-noun-ca "livre"-noun-fr
"escenari"-noun-ca "plateau"-noun-fr
"plateau"-noun-fr "escenari"-noun-ca
"plateau"-noun-fr "safata"-noun-ca
"safata"-noun-ca "plateau"-noun-fr
"scène"-noun-fr "escena"-noun-ca
"escena"-noun-ca "scène"-noun-fr
"publication"-noun-fr "publicació"-noun-ca
"publicació"-noun-ca "publication"-noun-fr
"editorial"-noun-ca "éditorial"-noun-fr
"éditorial"-noun-fr "editorial"-noun-ca
"rédaction"-noun-fr "redacció"-noun-ca
"redacció"-noun-ca "rédaction"-noun-fr
"redacció"-noun-ca "redaction"-noun-fr
"redaction"-noun-fr "redacció"-noun-ca
"écriture"-noun-fr "escriptura"-noun-ca
"escriptura"-noun-ca "écriture"-noun-fr
"drame"-noun-fr "drama"-noun-ca
"drama"-noun-ca "drame"-noun-fr
"ordre"-noun-fr "ordre"-noun-ca
"ordre"-noun-ca "ordre"-noun-fr
"devise"-noun-fr "divisa"-noun-ca
"divisa"-noun-ca "devise"-noun-fr
"moneda"-noun-ca "monnaie"-noun-fr
"monnaie"-noun-fr "moneda"-noun-ca
"consigne"-noun-fr "consigna"-noun-ca
"consigna"-noun-ca "consigne"-noun-fr
"gouvernement"-noun-fr "govern"-noun-ca
"govern"-noun-ca "gouvernement"-noun-fr
"hegemonia"-noun-ca "hégémonie"-noun-fr
"hégémonie"-noun-fr "hegemonia"-noun-ca
"affiche"-noun-fr "cartell"-noun-ca
"cartell"-noun-ca "affiche"-noun-fr
"potència"-noun-ca "puissance"-noun-fr
"puissance"-noun-fr "potència"-noun-ca
"pouvoir"-noun-fr "poder"-noun-ca
"poder"-noun-ca "pouvoir"-noun-fr
"conducció"-noun-ca "conduite"-noun-fr
"conduite"-noun-fr "conducció"-noun-ca
"conduite"-noun-fr "conducta"-noun-ca
"conducta"-noun-ca "conduite"-noun-fr
"direction"-noun-fr "direcció"-noun-ca
"direcció"-noun-ca "direction"-noun-fr
"adresse"-noun-fr "adreça"-noun-ca
"adreça"-noun-ca "adresse"-noun-fr
"logement"-noun-fr "allotjament"-noun-ca
"allotjament"-noun-ca "logement"-noun-fr
"allotjament"-noun-ca "hébergement"-noun-fr
"hébergement"-noun-fr "allotjament"-noun-ca
"caméra"-noun-fr "càmera"-noun-ca
"càmera"-noun-ca "caméra"-noun-fr
"cambra"-noun-ca "chambre"-noun-fr
"chambre"-noun-fr "cambra"-noun-ca
"chambre"-noun-fr "habitació"-noun-ca
"habitació"-noun-ca "chambre"-noun-fr
"habitació"-noun-ca "habitation"-noun-fr
"habitation"-noun-fr "habitació"-noun-ca
"fête"-noun-fr "festa"-noun-ca
"festa"-noun-ca "fête"-noun-fr
"comiat"-noun-ca "adieu"-noun-fr
"adieu"-noun-fr "comiat"-noun-ca
"excès"-noun-fr "excés"-noun-ca
"excés"-noun-ca "excès"-noun-fr
"amant"-noun-ca "amant"-noun-fr
"amant"-noun-fr "amant"-noun-ca
"maître"-noun-fr "mestre"-noun-ca
"mestre"-noun-ca "maître"-noun-fr
"advocat"-noun-ca "avocat"-noun-fr
"avocat"-noun-fr "advocat"-noun-ca
"licence"-noun-fr "llicència"-noun-ca
"llicència"-noun-ca "licence"-noun-fr
"fiancé"-noun-fr "xicot"-noun-ca
"fiancé"-noun-fr "promès"-noun-ca
"fiancé"-noun-fr "nuvi"-noun-ca
"promès"-noun-ca "fiancé"-noun-fr
"nuvi"-noun-ca "fiancé"-noun-fr
"matrimoni"-noun-ca "mariage"-noun-fr
"mariage"-noun-fr "matrimoni"-noun-ca
"mariage"-noun-fr "casament"-noun-ca
"casament"-noun-ca "mariage"-noun-fr
"sexe"-noun-fr "sexe"-noun-ca
"sexe"-noun-ca "sexe"-noun-fr
"genre"-noun-fr "gènere"-noun-ca
"gènere"-noun-ca "genre"-noun-fr
"punt"-noun-ca "point"-noun-fr
"point"-noun-fr "punt"-noun-ca
"escargot"-noun-fr "cargol"-noun-ca
"cargol"-noun-ca "escargot"-noun-fr
"faute"-noun-fr "falta"-noun-ca
"falta"-noun-ca "faute"-noun-fr
"falta"-noun-ca "manque"-noun-fr
"manque"-noun-fr "falta"-noun-ca
"defecte"-noun-ca "défaut"-noun-fr
"défaut"-noun-fr "defecte"-noun-ca
"decadència"-noun-ca "déclin"-noun-fr
"déclin"-noun-fr "decadència"-noun-ca
"presentador"-noun-ca "présentateur"-noun-fr
"présentateur"-noun-fr "presentador"-noun-ca
"ouest"-noun-fr "oest"-noun-ca
"oest"-noun-ca "ouest"-noun-fr
"mort"-noun-fr "mort"-noun-ca
"mort"-noun-ca "mort"-noun-fr
"pròrroga"-noun-ca "prorogation"-noun-fr
"prorogation"-noun-fr "pròrroga"-noun-ca
"elevació"-noun-ca "élévation"-noun-fr
"élévation"-noun-fr "elevació"-noun-ca
"augment"-noun-ca "augmentation"-noun-fr
"augmentation"-noun-fr "augment"-noun-ca
"ampliació"-noun-ca "agrandissement"-noun-fr
"ampliació"-noun-ca "acroissement"-noun-fr
"agrandissement"-noun-fr "ampliació"-noun-ca
"acroissement"-noun-fr "ampliació"-noun-ca
"creixement"-noun-ca "croissance"-noun-fr
"croissance"-noun-fr "creixement"-noun-ca
"chute"-noun-fr "caiguda"-noun-ca
"caiguda"-noun-ca "chute"-noun-fr
"cascada"-noun-ca "cascade"-noun-fr
"cascade"-noun-fr "cascada"-noun-ca
"afecció"-noun-ca "affection"-noun-fr
"affection"-noun-fr "afecció"-noun-ca
"estimation"-noun-fr "estimació"-noun-ca
"estimació"-noun-ca "estimation"-noun-fr
"valoració"-noun-ca "expertise"-noun-fr
"expertise"-noun-fr "valoració"-noun-ca
"avaluació"-noun-ca "évaluation"-noun-fr
"évaluation"-noun-fr "avaluació"-noun-ca
"inclinació"-noun-ca "inclination"-noun-fr
"inclination"-noun-fr "inclinació"-noun-ca
"tendance"-noun-fr "tendència"-noun-ca
"tendència"-noun-ca "tendance"-noun-fr
"anell"-noun-ca "anneau"-noun-fr
"anneau"-noun-fr "anell"-noun-ca
"coin"-noun-fr "racó"-noun-ca
"coin"-noun-fr "cantonada"-noun-ca
"racó"-noun-ca "coin"-noun-fr
"cantonada"-noun-ca "coin"-noun-fr
"côté"-noun-fr "costat"-noun-ca
"costat"-noun-ca "côté"-noun-fr
"surface"-noun-fr "superfície"-noun-ca
"superfície"-noun-ca "surface"-noun-fr
"cara"-noun-ca "face"-noun-fr
"cara"-noun-ca "visage"-noun-fr
"face"-noun-fr "cara"-noun-ca
"visage"-noun-fr "cara"-noun-ca
"visage"-noun-fr "rostre"-noun-ca
"rostre"-noun-ca "visage"-noun-fr
"aspect"-noun-fr "aspecte"-noun-ca
"aspecte"-noun-ca "aspect"-noun-fr
"aire"-noun-ca "air"-noun-fr
"air"-noun-fr "aire"-noun-ca
"caractère"-noun-fr "caràcter"-noun-ca
"caractère"-noun-fr "geni"-noun-ca
"caràcter"-noun-ca "caractère"-noun-fr
"geni"-noun-ca "caractère"-noun-fr
"geni"-noun-ca "génie"-noun-fr
"génie"-noun-fr "geni"-noun-ca
"nature"-noun-fr "naturalesa"-noun-ca
"naturalesa"-noun-ca "nature"-noun-fr
"essència"-noun-ca "essence"-noun-fr
"essence"-noun-fr "essència"-noun-ca
"essence"-noun-fr "gasolina"-noun-ca
"essence"-noun-fr "benzina"-noun-ca
"gasolina"-noun-ca "essence"-noun-fr
"benzina"-noun-ca "essence"-noun-fr
"jus"-noun-fr "suc"-noun-ca
"suc"-noun-ca "jus"-noun-fr
"substance"-noun-fr "substància"-noun-ca
"substància"-noun-ca "substance"-noun-fr
"degré"-noun-fr "grau"-noun-ca
"grau"-noun-ca "degré"-noun-fr
"échelon"-noun-fr "esglaó"-noun-ca
"échelon"-noun-fr "graó"-noun-ca
"échelon"-noun-fr "escaló"-noun-ca
"esglaó"-noun-ca "échelon"-noun-fr
"graó"-noun-ca "échelon"-noun-fr
"escaló"-noun-ca "échelon"-noun-fr
"escala"-noun-ca "échelle"-noun-fr
"escala"-noun-ca "escalier"-noun-fr
"échelle"-noun-fr "escala"-noun-ca
"escalier"-noun-fr "escala"-noun-ca
"classification"-noun-fr "classificació"-noun-ca
"classificació"-noun-ca "classification"-noun-fr
"classificació"-noun-ca "classement"-noun-fr
"classement"-noun-fr "classificació"-noun-ca
"certificació"-noun-ca "certification"-noun-fr
"certification"-noun-fr "certificació"-noun-ca
"graduació"-noun-ca "graduation"-noun-fr
"graduation"-noun-fr "graduació"-noun-ca
"pont"-noun-fr "pont"-noun-ca
"pont"-noun-ca "pont"-noun-fr
"accès"-noun-fr "accés"-noun-ca
"accés"-noun-ca "accès"-noun-fr
"mie"-noun-fr "molla"-noun-ca
"molla"-noun-ca "mie"-noun-fr
"bloqueig"-noun-ca "blocage"-noun-fr
"blocage"-noun-fr "bloqueig"-noun-ca
"interrupció"-noun-ca "interruption"-noun-fr
"interruption"-noun-fr "interrupció"-noun-ca
"bloc"-noun-ca "bloc"-noun-fr
"bloc"-noun-fr "bloc"-noun-ca
"barrera"-noun-ca "barrière"-noun-fr
"barrière"-noun-fr "barrera"-noun-ca
"campana"-noun-ca "cloche"-noun-fr
"cloche"-noun-fr "campana"-noun-ca
"sèrie"-noun-ca "série"-noun-fr
"série"-noun-fr "sèrie"-noun-ca
"épée"-noun-fr "espasa"-noun-ca
"espasa"-noun-ca "épée"-noun-fr
"ventall"-noun-ca "éventail"-noun-fr
"éventail"-noun-fr "ventall"-noun-ca
"plana"-noun-ca "plaine"-noun-fr
"plaine"-noun-fr "plana"-noun-ca
"mapa"-noun-ca "carte"-noun-fr
"carte"-noun-fr "mapa"-noun-ca
"carte"-noun-fr "targeta"-noun-ca
"targeta"-noun-ca "carte"-noun-fr
"lettre"-noun-fr "lletra"-noun-ca
"lettre"-noun-fr "carta"-noun-ca
"lletra"-noun-ca "lettre"-noun-fr
"carta"-noun-ca "lettre"-noun-fr
"carton"-noun-fr "cartró"-noun-ca
"cartró"-noun-ca "carton"-noun-fr
"esquema"-noun-ca "schéma"-noun-fr
"schéma"-noun-fr "esquema"-noun-ca
"plan"-noun-fr "pla"-noun-ca
"pla"-noun-ca "plan"-noun-fr
"pala"-noun-ca "pelle"-noun-fr
"pelle"-noun-fr "pala"-noun-ca
"spectre"-noun-fr "espectre"-noun-ca
"espectre"-noun-ca "spectre"-noun-fr
"fantôme"-noun-fr "fantasma"-noun-ca
"fantasma"-noun-ca "fantôme"-noun-fr
"amenaça"-noun-ca "menace"-noun-fr
"menace"-noun-fr "amenaça"-noun-ca
"héritage"-noun-fr "herència"-noun-ca
"herència"-noun-ca "héritage"-noun-fr
"successió"-noun-ca "succession"-noun-fr
"succession"-noun-fr "successió"-noun-ca
"bé"-noun-ca "bien"-noun-fr
"bien"-noun-fr "bé"-noun-ca
"patrimoni"-noun-ca "patrimoine"-noun-fr
"patrimoine"-noun-fr "patrimoni"-noun-ca
"possession"-noun-fr "possessió"-noun-ca
"possessió"-noun-ca "possession"-noun-fr
"to"-noun-ca "ton"-noun-fr
"ton"-noun-fr "to"-noun-ca
"couleur"-noun-fr "color"-noun-ca
"color"-noun-ca "couleur"-noun-fr
"cap"-noun-ca "chef"-noun-fr
"cap"-noun-ca "cap"-noun-fr
"cap"-noun-ca "tête"-noun-fr
"chef"-noun-fr "cap"-noun-ca
"cap"-noun-fr "cap"-noun-ca
"tête"-noun-fr "cap"-noun-ca
"front"-noun-fr "front"-noun-ca
"front"-noun-ca "front"-noun-fr
"quartier"-noun-fr "barri"-noun-ca
"barri"-noun-ca "quartier"-noun-fr
"regne"-noun-ca "royaume"-noun-fr
"royaume"-noun-fr "regne"-noun-ca
"cadran"-noun-fr "esfera"-noun-ca
"esfera"-noun-ca "cadran"-noun-fr
"esfera"-noun-ca "sphère"-noun-fr
"sphère"-noun-fr "esfera"-noun-ca
"globus"-noun-ca "globe"-noun-fr
"globe"-noun-fr "globus"-noun-ca
"dansa"-noun-ca "danse"-noun-fr
"danse"-noun-fr "dansa"-noun-ca
"boule"-noun-fr "bola"-noun-ca
"bola"-noun-ca "boule"-noun-fr
"rellotge"-noun-ca "horloge"-noun-fr
"horloge"-noun-fr "rellotge"-noun-ca
"comédie"-noun-fr "comèdia"-noun-ca
"comèdia"-noun-ca "comédie"-noun-fr
"districte"-noun-ca "district"-noun-fr
"districte"-noun-ca "arrondissement"-noun-fr
"district"-noun-fr "districte"-noun-ca
"arrondissement"-noun-fr "districte"-noun-ca
"filet"-noun-fr "xarxa"-noun-ca
"xarxa"-noun-ca "filet"-noun-fr
"xarxa"-noun-ca "réseau"-noun-fr
"réseau"-noun-fr "xarxa"-noun-ca
"voile"-noun-fr "vel"-noun-ca
"vel"-noun-ca "voile"-noun-fr
"conseil"-noun-fr "consell"-noun-ca
"consell"-noun-ca "conseil"-noun-fr
"pintura"-noun-ca "peinture"-noun-fr
"peinture"-noun-fr "pintura"-noun-ca
"taverne"-noun-fr "taverna"-noun-ca
"taverna"-noun-ca "taverne"-noun-fr
"auberge"-noun-fr "alberg"-noun-ca
"alberg"-noun-ca "auberge"-noun-fr
"café"-noun-fr "cafè"-noun-ca
"cafè"-noun-ca "café"-noun-fr
"prisonnier"-noun-fr "presoner"-noun-ca
"prisonnier"-noun-fr "pres"-noun-ca
"presoner"-noun-ca "prisonnier"-noun-fr
"pres"-noun-ca "prisonnier"-noun-fr
"sanction"-noun-fr "sanció"-noun-ca
"sanció"-noun-ca "sanction"-noun-fr
"esforç"-noun-ca "effort"-noun-fr
"effort"-noun-fr "esforç"-noun-ca
"irritation"-noun-fr "irritació"-noun-ca
"irritació"-noun-ca "irritation"-noun-fr
"vergonya"-noun-ca "honte"-noun-fr
"honte"-noun-fr "vergonya"-noun-ca
"taca"-noun-ca "tache"-noun-fr
"tache"-noun-fr "taca"-noun-ca
"fàstic"-noun-ca "dégoût"-noun-fr
"dégoût"-noun-fr "fàstic"-noun-ca
"bagul"-noun-ca "malle"-noun-fr
"malle"-noun-fr "bagul"-noun-ca
"maleta"-noun-ca "valise"-noun-fr
"valise"-noun-fr "maleta"-noun-ca
"fulla"-noun-ca "feuille"-noun-fr
"feuille"-noun-fr "fulla"-noun-ca
"feuille"-noun-fr "full"-noun-ca
"full"-noun-ca "feuille"-noun-fr
"fitxa"-noun-ca "jeton"-noun-fr
"jeton"-noun-fr "fitxa"-noun-ca
"disc"-noun-ca "disque"-noun-fr
"disque"-noun-fr "disc"-noun-ca
"pointe"-noun-fr "punta"-noun-ca
"punta"-noun-ca "pointe"-noun-fr
"occasion"-noun-fr "ocasió"-noun-ca
"ocasió"-noun-ca "occasion"-noun-fr
"cas"-noun-ca "cas"-noun-fr
"cas"-noun-fr "cas"-noun-ca
"situation"-noun-fr "situació"-noun-ca
"situació"-noun-ca "situation"-noun-fr
"posició"-noun-ca "position"-noun-fr
"position"-noun-fr "posició"-noun-ca
"inquiétude"-noun-fr "inquietud"-noun-ca
"inquietud"-noun-ca "inquiétude"-noun-fr
"febre"-noun-ca "fièvre"-noun-fr
"fièvre"-noun-fr "febre"-noun-ca
"violence"-noun-fr "violència"-noun-ca
"violència"-noun-ca "violence"-noun-fr
"mur"-noun-fr "mur"-noun-ca
"mur"-noun-ca "mur"-noun-fr
"interval"-noun-ca "intervalle"-noun-fr
"intervalle"-noun-fr "interval"-noun-ca
"tristesse"-noun-fr "tristesa"-noun-ca
"tristesa"-noun-ca "tristesse"-noun-fr
"défense"-noun-fr "defensa"-noun-ca
"defensa"-noun-ca "défense"-noun-fr
"rebuig"-noun-ca "refus"-noun-fr
"refus"-noun-fr "rebuig"-noun-ca
"punition"-noun-fr "càstig"-noun-ca
"càstig"-noun-ca "punition"-noun-fr
"prison"-noun-fr "presó"-noun-ca
"presó"-noun-ca "prison"-noun-fr
"pile"-noun-fr "pila"-noun-ca
"pila"-noun-ca "pile"-noun-fr
"cèl·lula"-noun-ca "cellule"-noun-fr
"cellule"-noun-fr "cèl·lula"-noun-ca
"prohibició"-noun-ca "interdiction"-noun-fr
"prohibició"-noun-ca "prohibition"-noun-fr
"interdiction"-noun-fr "prohibició"-noun-ca
"prohibition"-noun-fr "prohibició"-noun-ca
"denúncia"-noun-ca "dénonciation"-noun-fr
"dénonciation"-noun-fr "denúncia"-noun-ca
"plainte"-noun-fr "queixa"-noun-ca
"queixa"-noun-ca "plainte"-noun-fr
"conflit"-noun-fr "conflicte"-noun-ca
"conflicte"-noun-ca "conflit"-noun-fr
"habilitation"-noun-fr "habilitació"-noun-ca
"habilitació"-noun-ca "habilitation"-noun-fr
"autorisation"-noun-fr "autorització"-noun-ca
"autorització"-noun-ca "autorisation"-noun-fr
"procés"-noun-ca "procès"-noun-fr
"procés"-noun-ca "processus"-noun-fr
"procès"-noun-fr "procés"-noun-ca
"processus"-noun-fr "procés"-noun-ca
"ofensa"-noun-ca "offense"-noun-fr
"offense"-noun-fr "ofensa"-noun-ca
"insulte"-noun-fr "insult"-noun-ca
"insult"-noun-ca "insulte"-noun-fr
"drac"-noun-ca "dragon"-noun-fr
"dragon"-noun-fr "drac"-noun-ca
"diable"-noun-fr "diable"-noun-ca
"diable"-noun-ca "diable"-noun-fr
"dimoni"-noun-ca "démon"-noun-fr
"démon"-noun-fr "dimoni"-noun-ca
"rage"-noun-fr "ràbia"-noun-ca
"ràbia"-noun-ca "rage"-noun-fr
"colère"-noun-fr "ira"-noun-ca
"colère"-noun-fr "còlera"-noun-ca
"ira"-noun-ca "colère"-noun-fr
"còlera"-noun-ca "colère"-noun-fr
"habilitat"-noun-ca "habilité"-noun-fr
"habilité"-noun-fr "habilitat"-noun-ca
"match"-noun-fr "partit"-noun-ca
"partit"-noun-ca "match"-noun-fr
"partit"-noun-ca "parti"-noun-fr
"parti"-noun-fr "partit"-noun-ca
"mirada"-noun-ca "regard"-noun-fr
"regard"-noun-fr "mirada"-noun-ca
"regard"-noun-fr "esguard"-noun-ca
"esguard"-noun-ca "regard"-noun-fr
"nourriture"-noun-fr "aliment"-noun-ca
"aliment"-noun-ca "nourriture"-noun-fr
"lot"-noun-ca "lot"-noun-fr
"lot"-noun-fr "lot"-noun-ca
"part"-noun-ca "partie"-noun-fr
"partie"-noun-fr "part"-noun-ca
"naixement"-noun-ca "naissance"-noun-fr
"naissance"-noun-fr "naixement"-noun-ca
"création"-noun-fr "creació"-noun-ca
"creació"-noun-ca "création"-noun-fr
"funcionament"-noun-ca "fonctionnement"-noun-fr
"fonctionnement"-noun-fr "funcionament"-noun-ca
"rapidité"-noun-fr "rapidesa"-noun-ca
"rapidesa"-noun-ca "rapidité"-noun-fr
"velocitat"-noun-ca "vitesse"-noun-fr
"velocitat"-noun-ca "vélocité"-noun-fr
"vitesse"-noun-fr "velocitat"-noun-ca
"vélocité"-noun-fr "velocitat"-noun-ca
"marche"-noun-fr "marxa"-noun-ca
"marxa"-noun-ca "marche"-noun-fr
"opération"-noun-fr "operació"-noun-ca
"operació"-noun-ca "opération"-noun-fr
"régulation"-noun-fr "regulació"-noun-ca
"regulació"-noun-ca "régulation"-noun-fr
"régime"-noun-fr "règim"-noun-ca
"règim"-noun-ca "régime"-noun-fr
"alimentation"-noun-fr "alimentació"-noun-ca
"alimentació"-noun-ca "alimentation"-noun-fr
"manteniment"-noun-ca "maintien"-noun-fr
"manteniment"-noun-ca "entretien"-noun-fr
"maintien"-noun-fr "manteniment"-noun-ca
"entretien"-noun-fr "manteniment"-noun-ca
"cession"-noun-fr "cessió"-noun-ca
"cessió"-noun-ca "cession"-noun-fr
"concessió"-noun-ca "concession"-noun-fr
"concession"-noun-fr "concessió"-noun-ca
"fondation"-noun-fr "fundació"-noun-ca
"fundació"-noun-ca "fondation"-noun-fr
"provisió"-noun-ca "provision"-noun-fr
"provision"-noun-fr "provisió"-noun-ca
"femella"-noun-ca "femelle"-noun-fr
"femelle"-noun-fr "femella"-noun-ca
"support"-noun-fr "suport"-noun-ca
"suport"-noun-ca "support"-noun-fr
"recolzament"-noun-ca "appui"-noun-fr
"appui"-noun-fr "recolzament"-noun-ca
"refugi"-noun-ca "refuge"-noun-fr
"refuge"-noun-fr "refugi"-noun-ca
"port"-noun-ca "port"-noun-fr
"port"-noun-fr "port"-noun-ca
"col"-noun-fr "coll"-noun-ca
"coll"-noun-ca "col"-noun-fr
"coll"-noun-ca "cou"-noun-fr
"cou"-noun-fr "coll"-noun-ca
"vallée"-noun-fr "vall"-noun-ca
"vall"-noun-ca "vallée"-noun-fr
"vall"-noun-ca "val"-noun-fr
"val"-noun-fr "vall"-noun-ca
"gorge"-noun-fr "gola"-noun-ca
"gola"-noun-ca "gorge"-noun-fr
