"l"-noun-oc "l"-noun-es
"unitat"-noun-oc "unidad"-noun-es
"universitat"-noun-oc "universidad"-noun-es
"utilitat"-noun-oc "utilidad"-noun-es
"variabilitat"-noun-oc "variabilidad"-noun-es
"varietat"-noun-oc "variedad"-noun-es
"velocitat"-noun-oc "velocidad"-noun-es
"viabilitat"-noun-oc "viabilidad"-noun-es
"visibilitat"-noun-oc "visibilidad"-noun-es
"vitalitat"-noun-oc "vitalidad"-noun-es
"volentat"-noun-oc "voluntad"-noun-es
"volontat"-noun-oc "voluntad"-noun-es
"abiletat"-noun-oc "habilidad"-noun-es
"sostenibilitat"-noun-oc "sostenibilidad"-noun-es
"professionalitat"-noun-oc "profesionalidad"-noun-es
"vertut"-noun-oc "virtud"-noun-es
"atmosfèra"-noun-oc "atmósfera"-noun-es
"esfèra"-noun-oc "esfera"-noun-es
"abitud"-noun-oc "hábito"-noun-es
"abitud"-noun-oc "habitud"-noun-es
"actitud"-noun-oc "actitud"-noun-es
"altitud"-noun-oc "altitud"-noun-es
"aptitud"-noun-oc "aptitud"-noun-es
"certitud"-noun-oc "certeza"-noun-es
"incertitud"-noun-oc "incertidumbre"-noun-es
"latitud"-noun-oc "latitud"-noun-es
"magnitud"-noun-oc "magnitud"-noun-es
"plenitud"-noun-oc "plenitud"-noun-es
"servitud"-noun-oc "servidumbre"-noun-es
"similitud"-noun-oc "similaridad"-noun-es
"similitud"-noun-oc "similitud"-noun-es
"sollicitud"-noun-oc "solicitud"-noun-es
"solitud"-noun-oc "soledad"-noun-es
"neuritud"-noun-oc "alimento"-noun-es
"sòr"-noun-oc "hermano"-noun-es
"sòrre"-noun-oc "hermano"-noun-es
"abséncia"-noun-oc "ausencia"-noun-es
"afluéncia"-noun-oc "afluencia"-noun-es
"agéncia"-noun-oc "agencia"-noun-es
"apertenéncia"-noun-oc "pertenencia"-noun-es
"assisténcia"-noun-oc "asistencia"-noun-es
"transcendéncia"-noun-oc "transcendencia"-noun-es
"transcendéncia"-noun-oc "trascendencia"-noun-es
"transparéncia"-noun-oc "transparencia"-noun-es
"caracteristica"-noun-oc "característica"-noun-es
"dialectica"-noun-oc "dialéctica"-noun-es
"etica"-noun-oc "ética"-noun-es
"gramatica"-noun-oc "gramática"-noun-es
"politica"-noun-oc "política"-noun-es
"abelha"-noun-oc "abeja"-noun-es
"abraçada"-noun-oc "abrazo"-noun-es
"academia"-noun-oc "academia"-noun-es
"adretia"-noun-oc "destreza"-noun-es
"agenda"-noun-oc "dietario"-noun-es
"agenda"-noun-oc "agenda"-noun-es
"agènda"-noun-oc "agenda"-noun-es
"agricultura"-noun-oc "agricultura"-noun-es
"agulha"-noun-oc "aguja"-noun-es
"ahlama"-noun-oc "llama"-noun-es
"aiga"-noun-oc "agua"-noun-es
"aira"-noun-oc "área"-noun-es
"ajuda"-noun-oc "ayuda"-noun-es
"ala"-noun-oc "ala"-noun-es
"alarma"-noun-oc "alarma"-noun-es
"allergia"-noun-oc "alergia"-noun-es
"almòina"-noun-oc "limosna"-noun-es
"amassada"-noun-oc "encuentro"-noun-es
"ambaissada"-noun-oc "embajada"-noun-es
"ambulància"-noun-oc "ambulancia"-noun-es
"amnistia"-noun-oc "amnistía"-noun-es
"amplada"-noun-oc "anchura"-noun-es
"anchòia"-noun-oc "anchoa"-noun-es
"anecdòta"-noun-oc "anécdota"-noun-es
"angoisha"-noun-oc "angustia"-noun-es
"angónia"-noun-oc "angustia"-noun-es
"anma"-noun-oc "alma"-noun-es
"annada"-noun-oc "año"-noun-es
"anomalia"-noun-oc "anomalía"-noun-es
"ànsia"-noun-oc "ansiedad"-noun-es
"ànsia"-noun-oc "congoja"-noun-es
"ànsia"-noun-oc "ansia"-noun-es
"antena"-noun-oc "antena"-noun-es
"antologia"-noun-oc "antología"-noun-es
"aparència"-noun-oc "apariencia"-noun-es
"aranha"-noun-oc "araña"-noun-es
"arca"-noun-oc "baúl"-noun-es
"arca"-noun-oc "arca"-noun-es
"arena"-noun-oc "arena"-noun-es
"argèla"-noun-oc "arcilla"-noun-es
"arma"-noun-oc "alma"-noun-es
"arma"-noun-oc "arma"-noun-es
"armada"-noun-oc "armada"-noun-es
"armada"-noun-oc "ejército"-noun-es
"armonia"-noun-oc "armonía"-noun-es
"arquitectura"-noun-oc "arquitectura"-noun-es
"arrevirada"-noun-oc "traducción"-noun-es
"revirada"-noun-oc "traducción"-noun-es
"arrevirador"-noun-oc "traductor"-noun-es
"revirador"-noun-oc "traductor"-noun-es
"arriquesa"-noun-oc "riqueza"-noun-es
"riquesa"-noun-oc "riqueza"-noun-es
"assemblada"-noun-oc "asamblea"-noun-es
"assignatura"-noun-oc "asignatura"-noun-es
"astronomia"-noun-oc "astronomía"-noun-es
"audiéncia"-noun-oc "audiencia"-noun-es
"aufèrta"-noun-oc "oferta"-noun-es
"auferta"-noun-oc "oferta"-noun-es
"aufriment"-noun-oc "ofrecimiento"-noun-es
"aurelha"-noun-oc "oreja"-noun-es
"aurièira"-noun-oc "borde"-noun-es
"aurièira"-noun-oc "margen"-noun-es
"automobila"-noun-oc "automóvil"-noun-es
"autonomia"-noun-oc "autonomía"-noun-es
"autoria"-noun-oc "autoría"-noun-es
"avalanca"-noun-oc "alud"-noun-es
"avaria"-noun-oc "avería"-noun-es
"avenguda"-noun-oc "avenida"-noun-es
"aventura"-noun-oc "andanza"-noun-es
"aventura"-noun-oc "aventura"-noun-es
"badinada"-noun-oc "broma"-noun-es
"bagueta"-noun-oc "batuta"-noun-es
"baia"-noun-oc "bahía"-noun-es
"bala"-noun-oc "bala"-noun-es
"balança"-noun-oc "balanza"-noun-es
"balena"-noun-oc "ballena"-noun-es
"balustrada"-noun-oc "barandilla"-noun-es
"banda"-noun-oc "banda"-noun-es
"banqueta"-noun-oc "banquillo"-noun-es
"barana"-noun-oc "barandilla"-noun-es
"baranda"-noun-oc "barandilla"-noun-es
"barba"-noun-oc "barba"-noun-es
"barca"-noun-oc "barca"-noun-es
"baroniá"-noun-oc "baronía"-noun-es
"barra"-noun-oc "barra"-noun-es
"barraca"-noun-oc "choza"-noun-es
"barraca"-noun-oc "barraca"-noun-es
"barraca"-noun-oc "chabola"-noun-es
"barradissa"-noun-oc "seto"-noun-es
"barradissa"-noun-oc "valla"-noun-es
"barramenta"-noun-oc "barrera"-noun-es
"barrèra"-noun-oc "barrera"-noun-es
"barrièira"-noun-oc "barrera"-noun-es
"barrièra"-noun-oc "barrera"-noun-es
"basa"-noun-oc "base"-noun-es
"bastenda"-noun-oc "construcción"-noun-es
"batalha"-noun-oc "batalla"-noun-es
"batèsta"-noun-oc "batalla"-noun-es
"beguda"-noun-oc "bebida"-noun-es
"belesa"-noun-oc "belleza"-noun-es
"beleta"-noun-oc "bleda"-noun-es
"beleta"-noun-oc "acelga"-noun-es
"beresa"-noun-oc "belleza"-noun-es
"bèstia"-noun-oc "bestia"-noun-es
"beuenda"-noun-oc "bebida"-noun-es
"bevenda"-noun-oc "bebida"-noun-es
"bibliotèca"-noun-oc "biblioteca"-noun-es
"bicicleta"-noun-oc "bicicleta"-noun-es
"biciclèta"-noun-oc "bicicleta"-noun-es
"biga"-noun-oc "viga"-noun-es
"biomedecina"-noun-oc "biomedicina"-noun-es
"blanda"-noun-oc "salamandra"-noun-es
"boca"-noun-oc "boca"-noun-es
"bohada"-noun-oc "ráfaga"-noun-es
"bola"-noun-oc "bola"-noun-es
"bòla"-noun-oc "bola"-noun-es
"boquèra"-noun-oc "desembocadura"-noun-es
"bòrda"-noun-oc "cuadra"-noun-es
"bòrda"-noun-oc "establo"-noun-es
"bòria"-noun-oc "granja"-noun-es
"borsa"-noun-oc "beca"-noun-es
"borsa"-noun-oc "bolsa"-noun-es
"bossa"-noun-oc "bolsa"-noun-es
"bossa"-noun-oc "bolso"-noun-es
"bòta"-noun-oc "bota"-noun-es
"botelha"-noun-oc "botella"-noun-es
"botiga"-noun-oc "tienda"-noun-es
"bòxa"-noun-oc "boxeo"-noun-es
"braçada"-noun-oc "abrazo"-noun-es
"branca"-noun-oc "rama"-noun-es
"brega"-noun-oc "querella"-noun-es
"brigada"-noun-oc "brigada"-noun-es
"bruèissa"-noun-oc "bruja"-noun-es
"cabana"-noun-oc "cabaña"-noun-es
"cabeladura"-noun-oc "melena"-noun-es
"cabeladura"-noun-oc "cabellera"-noun-es
"cabra"-noun-oc "cabra"-noun-es
"cacilha"-noun-oc "caza"-noun-es
"cadièra"-noun-oc "silla"-noun-es
"cagaraula"-noun-oc "caracol"-noun-es
"cajada"-noun-oc "muleta"-noun-es
"camba"-noun-oc "pierna"-noun-es
"cambra"-noun-oc "cuarto"-noun-es
"cramba"-noun-oc "cuarto"-noun-es
"camèra"-noun-oc "cámara"-noun-es
"camerà"-noun-oc "cámara"-noun-es
"camisa"-noun-oc "camisa"-noun-es
"camiseta"-noun-oc "camiseta"-noun-es
"campana"-noun-oc "campana"-noun-es
"cana"-noun-oc "caña"-noun-es
"candidatura"-noun-oc "candidatura"-noun-es
"canèla"-noun-oc "grifo"-noun-es
"caneladura"-noun-oc "ranura"-noun-es
"caneladura"-noun-oc "canalera"-noun-es
"canerada"-noun-oc "encañado"-noun-es
"canerada"-noun-oc "tubería"-noun-es
"canerada"-noun-oc "cañería"-noun-es
"capa"-noun-oc "capa"-noun-es
"capèla"-noun-oc "capilla"-noun-es
"capitada"-noun-oc "éxito"-noun-es
"capitada"-noun-oc "tino"-noun-es
"capitada"-noun-oc "acierto"-noun-es
"cara"-noun-oc "rostro"-noun-es
"cara"-noun-oc "cara"-noun-es
"caravana"-noun-oc "caravana"-noun-es
"carbata"-noun-oc "corbata"-noun-es
"caricatura"-noun-oc "caricatura"-noun-es
"carpa"-noun-oc "carpa"-noun-es
"carretèra"-noun-oc "carretera"-noun-es
"carretièira"-noun-oc "carretera"-noun-es
"carretièra"-noun-oc "carretera"-noun-es
"carrièra"-noun-oc "carrera"-noun-es
"carròta"-noun-oc "zanahoria"-noun-es
"carta"-noun-oc "tarjeta"-noun-es
"carta"-noun-oc "carta"-noun-es
"casc"-noun-oc "casco"-noun-es
"casèrna"-noun-oc "cuartel"-noun-es
"casqueta"-noun-oc "gorra"-noun-es
"castèl"-noun-oc "castillo"-noun-es
"casuda"-noun-oc "caída"-noun-es
"catastròfa"-noun-oc "catástrofe"-noun-es
"catedrala"-noun-oc "catedral"-noun-es
"categoria"-noun-oc "categoría"-noun-es
"cauna"-noun-oc "cueva"-noun-es
"causa"-noun-oc "causa"-noun-es
"causa"-noun-oc "cosa"-noun-es
"causida"-noun-oc "tría"-noun-es
"cauva"-noun-oc "cueva"-noun-es
"cavala"-noun-oc "yegua"-noun-es
"cavilha"-noun-oc "tobillo"-noun-es
"cellula"-noun-oc "célula"-noun-es
"centena"-noun-oc "centenar"-noun-es
"centenat"-noun-oc "centenar"-noun-es
"cera"-noun-oc "cera"-noun-es
"ceramica"-noun-oc "cerámica"-noun-es
"ceremònia"-noun-oc "ceremonia"-noun-es
"cervesa"-noun-oc "cerveza"-noun-es
"chemenèia"-noun-oc "chimenea"-noun-es
"chifra"-noun-oc "cifra"-noun-es
"cilha"-noun-oc "ceja"-noun-es
"cinquantena"-noun-oc "cincuentena"-noun-es
"cinta"-noun-oc "cinta"-noun-es
"circonstància"-noun-oc "circunstancia"-noun-es
"cirurgia"-noun-oc "cirugía"-noun-es
"ciutadania"-noun-oc "ciudadanía"-noun-es
"classa"-noun-oc "clase"-noun-es
"clausula"-noun-oc "cláusula"-noun-es
"clinica"-noun-oc "clínica"-noun-es
"coa"-noun-oc "rabo"-noun-es
"coa"-noun-oc "cola"-noun-es
"cobertura"-noun-oc "cobertura"-noun-es
"cocaïna"-noun-oc "cocaína"-noun-es
"cocha"-noun-oc "capa"-noun-es
"coeréncia"-noun-oc "coherencia"-noun-es
"colomna"-noun-oc "columna"-noun-es
"colonia"-noun-oc "colonia"-noun-es
"colònia"-noun-oc "colonia"-noun-es
"comanda"-noun-oc "encargo"-noun-es
"comanda"-noun-oc "recado"-noun-es
"comèdia"-noun-oc "comedia"-noun-es
"competéncia"-noun-oc "competencia"-noun-es
"conferéncia"-noun-oc "conferencia"-noun-es
"conjontura"-noun-oc "coyuntura"-noun-es
"conquista"-noun-oc "conquista"-noun-es
"consciéncia"-noun-oc "consciencia"-noun-es
"consciéncia"-noun-oc "conciencia"-noun-es
"consigna"-noun-oc "consigna"-noun-es
"consonanta"-noun-oc "consonante"-noun-es
"constància"-noun-oc "constancia"-noun-es
"consulta"-noun-oc "consulta"-noun-es
"controvèrsia"-noun-oc "controversia"-noun-es
"contundéncia"-noun-oc "contundencia"-noun-es
"contunha"-noun-oc "continuación"-noun-es
"convèrsa"-noun-oc "conversación"-noun-es
"convivéncia"-noun-oc "convivencia"-noun-es
"convocatòria"-noun-oc "convocatoria"-noun-es
"copa"-noun-oc "copa"-noun-es
"còpia"-noun-oc "copia"-noun-es
"corba"-noun-oc "curva"-noun-es
"còrda"-noun-oc "cuerda"-noun-es
"cordelada"-noun-oc "retahíla"-noun-es
"corona"-noun-oc "corona"-noun-es
"correspondéncia"-noun-oc "correspondencia"-noun-es
"correja"-noun-oc "correa"-noun-es
"cortina"-noun-oc "telón"-noun-es
"cortina"-noun-oc "cortina"-noun-es
"cosedura"-noun-oc "costura"-noun-es
"cosina"-noun-oc "cocina"-noun-es
"còsta"-noun-oc "costa"-noun-es
"còsta"-noun-oc "cuesta"-noun-es
"còta"-noun-oc "cota"-noun-es
"craba"-noun-oc "cabra"-noun-es
"creatura"-noun-oc "crío"-noun-es
"creatura"-noun-oc "criatura"-noun-es
"crèma"-noun-oc "crema"-noun-es
"cubèrta"-noun-oc "cubierta"-noun-es
"cueisha"-noun-oc "muslo"-noun-es
"cuèissa"-noun-oc "muslo"-noun-es
"cultura"-noun-oc "cultura"-noun-es
"caissa"-noun-oc "caja"-noun-es
"creissença"-noun-oc "crecimiento"-noun-es
"dama"-noun-oc "dama"-noun-es
"darreria"-noun-oc "fin"-noun-es
"data"-noun-oc "fecha"-noun-es
"dauna"-noun-oc "dama"-noun-es
"decada"-noun-oc "década"-noun-es
"decebuda"-noun-oc "decepción"-noun-es
"defensa"-noun-oc "defensa"-noun-es
"deficiéncia"-noun-oc "deficiencia"-noun-es
"delinquéncia"-noun-oc "delincuencia"-noun-es
"demana"-noun-oc "demanda"-noun-es
"demanda"-noun-oc "demanda"-noun-es
"democracia"-noun-oc "democracia"-noun-es
"democràcia"-noun-oc "democracia"-noun-es
"denóncia"-noun-oc "denuncia"-noun-es
"dent"-noun-oc "diente"-noun-es
"dependéncia"-noun-oc "dependencia"-noun-es
"derrota"-noun-oc "derrota"-noun-es
"desbocadura"-noun-oc "desembocadura"-noun-es
"desbranda"-noun-oc "derrota"-noun-es
"descenuda"-noun-oc "descenso"-noun-es
"desculpa"-noun-oc "disculpa"-noun-es
"desena"-noun-oc "decena"-noun-es
"desencusa"-noun-oc "pretexto"-noun-es
"desencusa"-noun-oc "excusa"-noun-es
"desfilada"-noun-oc "desfile"-noun-es
"descobèrta"-noun-oc "descubrimiento"-noun-es
"desfortuna"-noun-oc "adversidad"-noun-es
"despensa"-noun-oc "gasto"-noun-es
"devisa"-noun-oc "divisa"-noun-es
"dictatura"-noun-oc "dictadura"-noun-es
"dictadura"-noun-oc "dictadura"-noun-es
"diferéncia"-noun-oc "diferencia"-noun-es
"intrada"-noun-oc "ingreso"-noun-es
"intrada"-noun-oc "entrada"-noun-es
"diplomacia"-noun-oc "diplomacia"-noun-es
"disciplina"-noun-oc "disciplina"-noun-es
"discordància"-noun-oc "discrepancia"-noun-es
"discotèca"-noun-oc "discoteca"-noun-es
"distància"-noun-oc "distancia"-noun-es
"divergéncia"-noun-oc "divergencia"-noun-es
"doana"-noun-oc "aduana"-noun-es
"dobertura"-noun-oc "apertura"-noun-es
"doctrina"-noun-oc "doctrina"-noun-es
"donada"-noun-oc "dato"-noun-es
"dòna"-noun-oc "señor"-noun-es
"dotzena"-noun-oc "docena"-noun-es
"drecha"-noun-oc "derecha"-noun-es
"dreita"-noun-oc "derecha"-noun-es
"dubertura"-noun-oc "obertura"-noun-es
"dubertura"-noun-oc "apertura"-noun-es
"durada"-noun-oc "duración"-noun-es
"ecologia"-noun-oc "ecología"-noun-es
"economia"-noun-oc "economía"-noun-es
"ectara"-noun-oc "hectárea"-noun-es
"edat"-noun-oc "edad"-noun-es
"eficàcia"-noun-oc "eficacia"-noun-es
"eficiéncia"-noun-oc "eficiencia"-noun-es
"elegància"-noun-oc "elegancia"-noun-es
"elision"-noun-oc "elisión"-noun-es
"embocadura"-noun-oc "desembocadura"-noun-es
"embraçada"-noun-oc "abrazo"-noun-es
"emergéncia"-noun-oc "emergencia"-noun-es
"emorragia"-noun-oc "hemorragia"-noun-es
"emorràgia"-noun-oc "hemorragia"-noun-es
"empara"-noun-oc "amparo"-noun-es
"empresa"-noun-oc "empresa"-noun-es
"encausa"-noun-oc "causa"-noun-es
"enciclopèdia"-noun-oc "enciclopedia"-noun-es
"energia"-noun-oc "energía"-noun-es
"enfància"-noun-oc "infancia"-noun-es
"enfasi"-noun-oc "énfasis"-noun-es
"engolòpa"-noun-oc "sobre"-noun-es
"enquèsta"-noun-oc "encuesta"-noun-es
"entrepresa"-noun-oc "empresa"-noun-es
"entrevista"-noun-oc "entrevista"-noun-es
"enveja"-noun-oc "envidia"-noun-es
"envergadura"-noun-oc "envergadura"-noun-es
"envolopa"-noun-oc "sobre"-noun-es
"epòca"-noun-oc "época"-noun-es
"equipa"-noun-oc "equipo"-noun-es
"èrba"-noun-oc "hierba"-noun-es
"escala"-noun-oc "escala"-noun-es
"escala"-noun-oc "escalera"-noun-es
"escalada"-noun-oc "escalada"-noun-es
"escampeta"-noun-oc "fuga"-noun-es
"escampeta"-noun-oc "escobilla"-noun-es
"escòla"-noun-oc "escuela"-noun-es
"escomesa"-noun-oc "apuesta"-noun-es
"escometuda"-noun-oc "acometida"-noun-es
"escritura"-noun-oc "escritura"-noun-es
"escultura"-noun-oc "escultura"-noun-es
"escurina"-noun-oc "oscuridad"-noun-es
"esparjuda"-noun-oc "dispersión"-noun-es
"espasa"-noun-oc "espada"-noun-es
"espatarnada"-noun-oc "caída"-noun-es
"espatla"-noun-oc "hombro"-noun-es
"espatla"-noun-oc "paletilla"-noun-es
"espècia"-noun-oc "especie"-noun-es
"esperança"-noun-oc "esperanza"-noun-es
"espina"-noun-oc "raspa"-noun-es
"espina"-noun-oc "espina"-noun-es
"espleita"-noun-oc "explotación"-noun-es
"espròva"-noun-oc "prueba"-noun-es
"esquèrra"-noun-oc "izquierda"-noun-es
"esquipa"-noun-oc "equipo"-noun-es
"esséncia"-noun-oc "esencia"-noun-es
"estapa"-noun-oc "etapa"-noun-es
"estatua"-noun-oc "estatua"-noun-es
"estela"-noun-oc "estrella"-noun-es
"estenduda"-noun-oc "extensión"-noun-es
"estenuda"-noun-oc "extensión"-noun-es
"estienguda"-noun-oc "extensión"-noun-es
"estienuda"-noun-oc "extensión"-noun-es
"estrada"-noun-oc "carretera"-noun-es
"estrategia"-noun-oc "estrategia"-noun-es
"estrea"-noun-oc "estreno"-noun-es
"estructura"-noun-oc "estructura"-noun-es
"etapa"-noun-oc "etapa"-noun-es
"etiqueta"-noun-oc "etiqueta"-noun-es
"euforia"-noun-oc "euforia"-noun-es
"evidéncia"-noun-oc "evidencia"-noun-es
"excelléncia"-noun-oc "excelencia"-noun-es
"excusa"-noun-oc "excusa"-noun-es
"exigéncia"-noun-oc "exigencia"-noun-es
"existéncia"-noun-oc "existencia"-noun-es
"expectativa"-noun-oc "expectativa"-noun-es
"experiéncia"-noun-oc "veteranía"-noun-es
"experiéncia"-noun-oc "experimento"-noun-es
"experiéncia"-noun-oc "experiencia"-noun-es
"fabrica"-noun-oc "fábrica"-noun-es
"façada"-noun-oc "fachada"-noun-es
"fàcia"-noun-oc "cara"-noun-es
"facieta"-noun-oc "faceta"-noun-es
"factura"-noun-oc "factura"-noun-es
"fada"-noun-oc "hada"-noun-es
"falhida"-noun-oc "bancarrota"-noun-es
"falhida"-noun-oc "quiebra"-noun-es
"falhita"-noun-oc "quiebra"-noun-es
"falta"-noun-oc "falta"-noun-es
"familha"-noun-oc "familia"-noun-es
"fanga"-noun-oc "barro"-noun-es
"fantasia"-noun-oc "fantasía"-noun-es
"farina"-noun-oc "harina"-noun-es
"haria"-noun-oc "harina"-noun-es
"farmacia"-noun-oc "farmacia"-noun-es
"farsa"-noun-oc "farsa"-noun-es
"fasa"-noun-oc "fase"-noun-es
"fauna"-noun-oc "fauna"-noun-es
"faussada"-noun-oc "error"-noun-es
"fauta"-noun-oc "culpa"-noun-es
"fauta"-noun-oc "falta"-noun-es
"feblesa"-noun-oc "debilidad"-noun-es
"femna"-noun-oc "mujer"-noun-es
"fendasclada"-noun-oc "grieta"-noun-es
"fenèstra"-noun-oc "ventana"-noun-es
"fièra"-noun-oc "feria"-noun-es
"fièira"-noun-oc "feria"-noun-es
"figa"-noun-oc "higo"-noun-es
"figura"-noun-oc "figura"-noun-es
"fila"-noun-oc "hilera"-noun-es
"fila"-noun-oc "fila"-noun-es
"filmotèca"-noun-oc "filmoteca"-noun-es
"finèstra"-noun-oc "ventana"-noun-es
"fira"-noun-oc "feria"-noun-es
"firma"-noun-oc "firma"-noun-es
"fisonomia"-noun-oc "fisonomía"-noun-es
"flama"-noun-oc "llama"-noun-es
"flaüta"-noun-oc "flauta"-noun-es
"flòra"-noun-oc "flora"-noun-es
"flòta"-noun-oc "flota"-noun-es
"forgoneta"-noun-oc "furgoneta"-noun-es
"forma"-noun-oc "horma"-noun-es
"forma"-noun-oc "forma"-noun-es
"fòrma"-noun-oc "forma"-noun-es
"formiga"-noun-oc "hormiga"-noun-es
"formula"-noun-oc "fórmula"-noun-es
"forqueta"-noun-oc "tenedor"-noun-es
"fortalesa"-noun-oc "fortaleza"-noun-es
"fortuna"-noun-oc "fortuna"-noun-es
"fotocòpia"-noun-oc "fotocopia"-noun-es
"fractura"-noun-oc "fractura"-noun-es
"frairesa"-noun-oc "fraternidad"-noun-es
"frasa"-noun-oc "frase"-noun-es
"frequéncia"-noun-oc "frecuencia"-noun-es
"frontièra"-noun-oc "frontera"-noun-es
"frontièira"-noun-oc "frontera"-noun-es
"gàbia"-noun-oc "jaula"-noun-es
"galejada"-noun-oc "broma"-noun-es
"galariá"-noun-oc "galería"-noun-es
"galaria"-noun-oc "galería"-noun-es
"galeria"-noun-oc "galería"-noun-es
"galina"-noun-oc "gallina"-noun-es
"gamma"-noun-oc "gama"-noun-es
"garantia"-noun-oc "garantía"-noun-es
"gargamèla"-noun-oc "garganta"-noun-es
"gasolina"-noun-oc "gasolina"-noun-es
"gastronomia"-noun-oc "gastronomía"-noun-es
"gauta"-noun-oc "mejilla"-noun-es
"gentilesa"-noun-oc "gentileza"-noun-es
"geréncia"-noun-oc "gerencia"-noun-es
"gimnastica"-noun-oc "gimnasia"-noun-es
"giqueta"-noun-oc "chaqueta"-noun-es
"glaça"-noun-oc "hielo"-noun-es
"glèisa"-noun-oc "iglesia"-noun-es
"glòria"-noun-oc "gloria"-noun-es
"goma"-noun-oc "goma"-noun-es
"gorjada"-noun-oc "trago"-noun-es
"gota"-noun-oc "gota"-noun-es
"gràcia"-noun-oc "gracia"-noun-es
"granessa"-noun-oc "grandeza"-noun-es
"greda"-noun-oc "yeso"-noun-es
"gripa"-noun-oc "gripe"-noun-es
"grua"-noun-oc "grúa"-noun-es
"guarderia"-noun-oc "guardería"-noun-es
"guèrra"-noun-oc "guerra"-noun-es
"guerrilha"-noun-oc "guerrilla"-noun-es
"guitarra"-noun-oc "guitarra"-noun-es
"guitèra"-noun-oc "pereza"-noun-es
"hita"-noun-oc "hito"-noun-es
"hostaleria"-noun-oc "hostelería"-noun-es
"husteria"-noun-oc "carpintería"-noun-es
"icòna"-noun-oc "icono"-noun-es
"idèa"-noun-oc "idea"-noun-es
"idiosincràsia"-noun-oc "idiosincrasia"-noun-es
"ierarquia"-noun-oc "jerarquía"-noun-es
"ignorància"-noun-oc "ignorancia"-noun-es
"ilha"-noun-oc "isla"-noun-es
"illa"-noun-oc "isla"-noun-es
"importància"-noun-oc "relevancia"-noun-es
"importància"-noun-oc "importancia"-noun-es
"impoténcia"-noun-oc "impotencia"-noun-es
"incidéncia"-noun-oc "incidencia"-noun-es
"inclusion"-noun-oc "inclusión"-noun-es
"incognita"-noun-oc "incógnita"-noun-es
"independéncia"-noun-oc "independencia"-noun-es
"indiferéncia"-noun-oc "indiferencia"-noun-es
"industria"-noun-oc "industria"-noun-es
"indústria"-noun-oc "industria"-noun-es
"inercia"-noun-oc "inercia"-noun-es
"inèrcia"-noun-oc "inercia"-noun-es
"infamia"-noun-oc "infamia"-noun-es
"influéncia"-noun-oc "influencia"-noun-es
"informatica"-noun-oc "informática"-noun-es
"infraestructura"-noun-oc "infraestructura"-noun-es
"infrastructura"-noun-oc "infraestructura"-noun-es
"injustícia"-noun-oc "injusticia"-noun-es
"innocéncia"-noun-oc "inocencia"-noun-es
"insisténcia"-noun-oc "insistencia"-noun-es
"instància"-noun-oc "instancia"-noun-es
"insurgéncia"-noun-oc "insurgencia"-noun-es
"intelligéncia"-noun-oc "inteligencia"-noun-es
"interferéncia"-noun-oc "interferencia"-noun-es
"intriga"-noun-oc "intriga"-noun-es
"investidura"-noun-oc "investidura"-noun-es
"ipocrisia"-noun-oc "hipocresía"-noun-es
"ira"-noun-oc "ira"-noun-es
"ironia"-noun-oc "ironía"-noun-es
"iscla"-noun-oc "isla"-noun-es
"isla"-noun-oc "isla"-noun-es
"istòria"-noun-oc "historia"-noun-es
"joenessa"-noun-oc "juventud"-noun-es
"joensa"-noun-oc "juventud"-noun-es
"jòia"-noun-oc "alegría"-noun-es
"jòia"-noun-oc "joya"-noun-es
"joinessa"-noun-oc "juventud"-noun-es
"jonqueta"-noun-oc "boga"-noun-es
"jornada"-noun-oc "jornada"-noun-es
"jungla"-noun-oc "jungla"-noun-es
"junta"-noun-oc "junta"-noun-es
"jurisprudéncia"-noun-oc "jurisprudencia"-noun-es
"justícia"-noun-oc "justicia"-noun-es
"languidura"-noun-oc "añoranza"-noun-es
"lauseta"-noun-oc "alondra"-noun-es
"lèbre"-noun-oc "liebre"-noun-es
"lecaria"-noun-oc "chuchería"-noun-es
"lecaria"-noun-oc "golosina"-noun-es
"lectura"-noun-oc "lectura"-noun-es
"legenda"-noun-oc "leyenda"-noun-es
"legislatura"-noun-oc "legislatura"-noun-es
"lentilha"-noun-oc "lenteja"-noun-es
"letra"-noun-oc "letra"-noun-es
"librariá"-noun-oc "librería"-noun-es
"licéncia"-noun-oc "licencia"-noun-es
"limpiesa"-noun-oc "limpieza"-noun-es
"linha"-noun-oc "raya"-noun-es
"linha"-noun-oc "renglón"-noun-es
"linha"-noun-oc "línea"-noun-es
"lista"-noun-oc "lista"-noun-es
"listra"-noun-oc "lista"-noun-es
"literatura"-noun-oc "literatura"-noun-es
"longada"-noun-oc "longitud"-noun-es
"lòsa"-noun-oc "losa"-noun-es
"loteria"-noun-oc "lotería"-noun-es
"lucha"-noun-oc "pugna"-noun-es
"lucha"-noun-oc "lucha"-noun-es
"luita"-noun-oc "lucha"-noun-es
"luta"-noun-oc "pugna"-noun-es
"luta"-noun-oc "lucha"-noun-es
"luna"-noun-oc "luna"-noun-es
"madama"-noun-oc "señor"-noun-es
"màfia"-noun-oc "mafia"-noun-es
"magia"-noun-oc "magia"-noun-es
"mainadesa"-noun-oc "niñez"-noun-es
"maissa"-noun-oc "mandíbula"-noun-es
"majorana"-noun-oc "orégano"-noun-es
"majuscula"-noun-oc "mayúscula"-noun-es
"mala"-noun-oc "maleta"-noun-es
