"a càrrec de"-preposition-ca "a la carga de"-preposition-oc
"quart"-adjective-ca "quate"-adjective-oc
"quart"-adjective-ca "quatre"-adjective-oc
"quatre"-adjective-oc "quart"-adjective-ca
"dètz"-adjective-oc "desè"-adjective-ca
"desè"-adjective-ca "dètz"-adjective-oc
"far prene consciéncia"-verb-oc "conscienciar"-verb-ca
"conscienciar"-verb-ca "far prene consciéncia"-verb-oc
"conscienciar"-verb-ca "hèr préner consciéncia"-verb-oc
"conscienciar"-verb-ca "prene consciéncia"-verb-oc
"conscienciar"-verb-ca "préner consciéncia"-verb-oc
"hèr préner consciéncia"-verb-oc "conscienciar"-verb-ca
"prene consciéncia"-verb-oc "conscienciar"-verb-ca
"préner consciéncia"-verb-oc "conscienciar"-verb-ca
"ciclon"-noun-oc "cicló"-noun-ca
"cicló"-noun-ca "ciclon"-noun-oc
"reutilizacion"-noun-oc "reutilització"-noun-ca
"reutilització"-noun-ca "reutilizacion"-noun-oc
"far una denóncia"-verb-oc "presentar una denúncia"-verb-ca
"presentar una denúncia"-verb-ca "far una denóncia"-verb-oc
"presentar una denúncia"-verb-ca "hèr ua denóncia"-verb-oc
"hèr ua denóncia"-verb-oc "presentar una denúncia"-verb-ca
"raciau"-adjective-oc "racial"-adjective-ca
"racial"-adjective-ca "raciau"-adjective-oc
"racial"-adjective-ca "racial"-adjective-oc
"racial"-adjective-oc "racial"-adjective-ca
"multiraciau"-adjective-oc "multiracial"-adjective-ca
"multiracial"-adjective-ca "multiraciau"-adjective-oc
"multiracial"-adjective-ca "multiracial"-adjective-oc
"multiracial"-adjective-oc "multiracial"-adjective-ca
"piramidau"-adjective-oc "piramidal"-adjective-ca
"piramidal"-adjective-ca "piramidau"-adjective-oc
"piramidal"-adjective-ca "piramidal"-adjective-oc
"piramidal"-adjective-oc "piramidal"-adjective-ca
"meridionau"-adjective-oc "meridional"-adjective-ca
"meridional"-adjective-ca "meridionau"-adjective-oc
"meridional"-adjective-ca "meridional"-adjective-oc
"meridional"-adjective-oc "meridional"-adjective-ca
"ancestrau"-adjective-oc "ancestral"-adjective-ca
"ancestral"-adjective-ca "ancestrau"-adjective-oc
"ancestral"-adjective-ca "ancestral"-adjective-oc
"ancestral"-adjective-oc "ancestral"-adjective-ca
"genitau"-adjective-oc "genital"-adjective-ca
"genital"-adjective-ca "genitau"-adjective-oc
"genital"-adjective-ca "genital"-adjective-oc
"genital"-adjective-oc "genital"-adjective-ca
"intemporau"-adjective-oc "intemporal"-adjective-ca
"intemporal"-adjective-ca "intemporau"-adjective-oc
"intemporal"-adjective-ca "intemporal"-adjective-oc
"intemporal"-adjective-oc "intemporal"-adjective-ca
"imparciau"-adjective-oc "imparcial"-adjective-ca
"imparciau"-adjective-oc "neutral"-adjective-ca
"imparcial"-adjective-ca "imparciau"-adjective-oc
"imparcial"-adjective-ca "imparcial"-adjective-oc
"neutral"-adjective-ca "imparciau"-adjective-oc
"neutral"-adjective-ca "imparcial"-adjective-oc
"neutral"-adjective-ca "neutrau"-adjective-oc
"neutral"-adjective-ca "neutral"-adjective-oc
"imparcial"-adjective-oc "imparcial"-adjective-ca
"imparcial"-adjective-oc "neutral"-adjective-ca
"neutrau"-adjective-oc "neutral"-adjective-ca
"neutral"-adjective-oc "neutral"-adjective-ca
"frivolitat"-noun-oc "frivolitat"-noun-ca
"frivolitat"-noun-ca "frivolitat"-noun-oc
"numeral"-adjective-oc "numeral"-adjective-ca
"numeral"-adjective-ca "numeral"-adjective-oc
"entosiasmant"-adjective-oc "engrescador"-adjective-ca
"engrescador"-adjective-ca "entosiasmant"-adjective-oc
"anequeliment"-noun-oc "anihilació"-noun-ca
"anihilació"-noun-ca "anequeliment"-noun-oc
"vin de champanha"-noun-oc "xampany"-noun-ca
"xampany"-noun-ca "vin de champanha"-noun-oc
"amanita"-noun-oc "amanita"-noun-ca
"amanita"-noun-ca "amanita"-noun-oc
"fosforescent"-adjective-oc "fosforescent"-adjective-ca
"fosforescent"-adjective-ca "fosforescent"-adjective-oc
"encara un còp"-adverb-oc "una vegada més"-adverb-ca
"una vegada més"-adverb-ca "encara un còp"-adverb-oc
"una vegada més"-adverb-ca "encara un viatge"-adverb-oc
"encara un viatge"-adverb-oc "una vegada més"-adverb-ca
"punt d'enguarda"-noun-oc "punt de vista"-noun-ca
"punt de vista"-noun-ca "punt d'enguarda"-noun-oc
"minuscula"-noun-oc "minúscula"-noun-ca
"minúscula"-noun-ca "minuscula"-noun-oc
"careta"-noun-oc "màscara"-noun-ca
"careta"-noun-oc "careta"-noun-ca
"màscara"-noun-ca "careta"-noun-oc
"careta"-noun-ca "careta"-noun-oc
"rossegada"-noun-oc "arrossegament"-noun-ca
"arrossegament"-noun-ca "rossegada"-noun-oc
"permenar"-verb-oc "passejar"-verb-ca
"passejar"-verb-ca "permenar"-verb-oc
"emmagazinar"-verb-oc "emmagatzemar"-verb-ca
"emmagatzemar"-verb-ca "emmagazinar"-verb-oc
"celh"-noun-oc "gruix"-noun-ca
"gruix"-noun-ca "celh"-noun-oc
"maqui"-noun-oc "maqui"-noun-ca
"maqui"-noun-ca "maqui"-noun-oc
"jogador de tennis"-noun-oc "tennista"-noun-ca
"tennista"-noun-ca "jogador de tennis"-noun-oc
"tennista"-noun-ca "jogaire de tennis"-noun-oc
"jogaire de tennis"-noun-oc "tennista"-noun-ca
"desbordar"-verb-oc "desbordar"-verb-ca
"desbordar"-verb-ca "desbordar"-verb-oc
"represalhar"-verb-oc "represaliar"-verb-ca
"represaliar"-verb-ca "represalhar"-verb-oc
"Trinitat"-properNoun-oc "Trinitat"-properNoun-ca
"Trinitat"-properNoun-ca "Trinitat"-properNoun-oc
"barralh"-noun-oc "clos"-noun-ca
"barralh"-noun-oc "estacada"-noun-ca
"clos"-noun-ca "barralh"-noun-oc
"estacada"-noun-ca "barralh"-noun-oc
"orientatiu"-adjective-oc "orientatiu"-adjective-ca
"orientatiu"-adjective-ca "orientatiu"-adjective-oc
"ciratge"-noun-oc "betum"-noun-ca
"betum"-noun-ca "ciratge"-noun-oc
"desproporcionat"-adjective-oc "desproporcionat"-adjective-ca
"desproporcionat"-adjective-ca "desproporcionat"-adjective-oc
"presa de decisions"-noun-oc "presa de decisions"-noun-ca
"presa de decisions"-noun-ca "presa de decisions"-noun-oc
"presa de decisions"-noun-ca "prenuda de decisions"-noun-oc
"prenuda de decisions"-noun-oc "presa de decisions"-noun-ca
"trasmeteire"-noun-oc "transmissor"-noun-ca
"transmissor"-noun-ca "trasmeteire"-noun-oc
"peirèr"-noun-oc "pedrer"-noun-ca
"pedrer"-noun-ca "peirèr"-noun-oc
"tèish"-noun-oc "teix"-noun-ca
"teix"-noun-ca "tèish"-noun-oc
"betrèles"-noun-oc "elàstics"-noun-ca
"elàstics"-noun-ca "betrèles"-noun-oc
"junhent"-noun-oc "guionet"-noun-ca
"guionet"-noun-ca "junhent"-noun-oc
"viscerau"-adjective-oc "visceral"-adjective-ca
"visceral"-adjective-ca "viscerau"-adjective-oc
"visceral"-adjective-ca "visceral"-adjective-oc
"visceral"-adjective-oc "visceral"-adjective-ca
"madridista"-adjective-oc "madridista"-adjective-ca
"madridista"-adjective-ca "madridista"-adjective-oc
"afrairar"-verb-oc "agermanar"-verb-ca
"agermanar"-verb-ca "afrairar"-verb-oc
"emmagazinatge"-noun-oc "emmagatzematge"-noun-ca
"emmagatzematge"-noun-ca "emmagazinatge"-noun-oc
"caravirar"-verb-oc "desfigurar"-verb-ca
"desfigurar"-verb-ca "caravirar"-verb-oc
"destracar"-verb-oc "fer malbé"-verb-ca
"fer malbé"-verb-ca "destracar"-verb-oc
"fer malbé"-verb-ca "espatracar"-verb-oc
"fer malbé"-verb-ca "estropiar"-verb-oc
"espatracar"-verb-oc "fer malbé"-verb-ca
"estropiar"-verb-oc "fer malbé"-verb-ca
"esgarrar"-verb-oc "esguerrar"-verb-ca
"esguerrar"-verb-ca "esgarrar"-verb-oc
"despenjar"-verb-oc "despenjar"-verb-ca
"despenjar"-verb-ca "despenjar"-verb-oc
"matricula"-noun-oc "matrícula"-noun-ca
"matrícula"-noun-ca "matricula"-noun-oc
"mespresaire"-adjective-oc "despectiu"-adjective-ca
"despectiu"-adjective-ca "mespresaire"-adjective-oc
"gargalhar"-verb-oc "expectorar"-verb-ca
"expectorar"-verb-ca "gargalhar"-verb-oc
"esperdigalhar"-verb-oc "espavilar"-verb-ca
"espavilar"-verb-ca "esperdigalhar"-verb-oc
"petar"-verb-oc "petar"-verb-ca
"petar"-verb-ca "petar"-verb-oc
"licenciar"-verb-oc "llicenciar"-verb-ca
"llicenciar"-verb-ca "licenciar"-verb-oc
"mal educar"-verb-oc "malcriar"-verb-ca
"malcriar"-verb-ca "mal educar"-verb-oc
"malcriar"-verb-ca "mau educar"-verb-oc
"mau educar"-verb-oc "malcriar"-verb-ca
"illusionar"-verb-oc "il·lusionar"-verb-ca
"il·lusionar"-verb-ca "illusionar"-verb-oc
"SIDA"-noun-oc "SIDA"-noun-ca
"SIDA"-noun-ca "SIDA"-noun-oc
"lengua d'òc"-noun-oc "llengua d'oc"-noun-ca
"llengua d'oc"-noun-ca "lengua d'òc"-noun-oc
"mesestimar"-verb-oc "menystenir"-verb-ca
"menystenir"-verb-ca "mesestimar"-verb-oc
"mesfisant"-adjective-oc "desconfiat"-adjective-ca
"desconfiat"-adjective-ca "mesfisant"-adjective-oc
"aret"-noun-oc "àries"-noun-ca
"àries"-noun-ca "aret"-noun-oc
"persistent"-adjective-oc "persistent"-adjective-ca
"persistent"-adjective-ca "persistent"-adjective-oc
"esquist"-adjective-oc "exquisit"-adjective-ca
"exquisit"-adjective-ca "esquist"-adjective-oc
"bòrd"-adjective-oc "bord"-adjective-ca
"bord"-adjective-ca "bòrd"-adjective-oc
"desempresoar"-verb-oc "excarcerar"-verb-ca
"excarcerar"-verb-ca "desempresoar"-verb-oc
"excarcerar"-verb-ca "desempresonar"-verb-oc
"desempresonar"-verb-oc "excarcerar"-verb-ca
"estupefasent"-adjective-oc "estupefaent"-adjective-ca
"estupefaent"-adjective-ca "estupefasent"-adjective-oc
"trafegaire"-noun-oc "traficant"-noun-ca
"traficant"-noun-ca "trafegaire"-noun-oc
"narcotrafegaire"-noun-oc "narcotraficant"-noun-ca
"narcotraficant"-noun-ca "narcotrafegaire"-noun-oc
"fraccionament"-noun-oc "fraccionament"-noun-ca
"fraccionament"-noun-ca "fraccionament"-noun-oc
"uniforme"-noun-oc "uniforme"-noun-ca
"uniforme"-noun-ca "uniforme"-noun-oc
"Segre"-properNoun-oc "Segre"-properNoun-ca
"Segre"-properNoun-ca "Segre"-properNoun-oc
"cresible"-adjective-oc "creïble"-adjective-ca
"creïble"-adjective-ca "cresible"-adjective-oc
"rambalh"-noun-oc "aldarull"-noun-ca
"rambalh"-noun-oc "enrenou"-noun-ca
"rambalh"-noun-oc "desgavell"-noun-ca
"aldarull"-noun-ca "rambalh"-noun-oc
"enrenou"-noun-ca "rambalh"-noun-oc
"desgavell"-noun-ca "rambalh"-noun-oc
"endarrieratge"-noun-oc "endarreriment"-noun-ca
"endarreriment"-noun-ca "endarrieratge"-noun-oc
"humarau"-noun-oc "golfes"-noun-ca
"golfes"-noun-ca "humarau"-noun-oc
"Ascensió"-properNoun-oc "Ascensió"-properNoun-ca
"Ascensió"-properNoun-ca "Ascensió"-properNoun-oc
"publicitar"-verb-oc "publicitar"-verb-ca
"publicitar"-verb-ca "publicitar"-verb-oc
"eth Caire"-properNoun-oc "el Caire"-properNoun-ca
"el Caire"-properNoun-ca "eth Caire"-properNoun-oc
"el Caire"-properNoun-ca "lo Caire"-properNoun-oc
"el Caire"-properNoun-ca "lo Grand Caire"-properNoun-oc
"lo Caire"-properNoun-oc "el Caire"-properNoun-ca
"lo Grand Caire"-properNoun-oc "el Caire"-properNoun-ca
"Garraf"-properNoun-oc "Garraf"-properNoun-ca
"Garraf"-properNoun-ca "Garraf"-properNoun-oc
"asteroide"-noun-oc "asteroide"-noun-ca
"asteroide"-noun-ca "asteroide"-noun-oc
"reüsir"-verb-oc "reeixir"-verb-ca
"reeixir"-verb-ca "reüsir"-verb-oc
"miraclós"-adjective-oc "miraculós"-adjective-ca
"miraculós"-adjective-ca "miraclós"-adjective-oc
"privadança"-noun-oc "privadesa"-noun-ca
"privadesa"-noun-ca "privadança"-noun-oc
"setantia"-noun-oc "setantena"-noun-ca
"setantena"-noun-ca "setantia"-noun-oc
"setantena"-noun-ca "setantena"-noun-oc
"setantena"-noun-oc "setantena"-noun-ca
"sifilis"-noun-oc "sífilis"-noun-ca
"sífilis"-noun-ca "sifilis"-noun-oc
"Inca"-properNoun-oc "Inca"-properNoun-ca
"Inca"-properNoun-ca "Inca"-properNoun-oc
"predominantaments"-adverb-oc "predominantment"-adverb-ca
"predominantment"-adverb-ca "predominantaments"-adverb-oc
"predominantment"-adverb-ca "predominantament"-adverb-oc
"predominantament"-adverb-oc "predominantment"-adverb-ca
"Elisabet"-properNoun-oc "Elisabet"-properNoun-ca
"Elisabet"-properNoun-ca "Elisabet"-properNoun-oc
"Mèca"-properNoun-oc "Meca"-properNoun-ca
"Meca"-properNoun-ca "Mèca"-properNoun-oc
"Eugeni"-properNoun-oc "Eugeni"-properNoun-ca
"Eugeni"-properNoun-ca "Eugeni"-properNoun-oc
"clau de vòuta"-noun-oc "clau de volta"-noun-ca
"clau de volta"-noun-ca "clau de vòuta"-noun-oc
"clau de volta"-noun-ca "clau de vòlta"-noun-oc
"clau de vòlta"-noun-oc "clau de volta"-noun-ca
"rómper"-verb-oc "rompre"-verb-ca
"rompre"-verb-ca "rómper"-verb-oc
"rompre"-verb-ca "rompre"-verb-oc
"rompre"-verb-oc "rompre"-verb-ca
"Emirats Arabs Unidi"-properNoun-oc "Emirats Àrabs Units"-properNoun-ca
"Emirats Àrabs Units"-properNoun-ca "Emirats Arabs Unidi"-properNoun-oc
"Emirats Àrabs Units"-properNoun-ca "Emirats Arabes Units"-properNoun-oc
"Emirats Àrabs Units"-properNoun-ca "Emirats Arabs Units"-properNoun-oc
"Emirats Àrabs Units"-properNoun-ca "Emirats Arabis Units"-properNoun-oc
"Emirats Àrabs Units"-properNoun-ca "Emirats Arabes Units*"-properNoun-oc
"Emirats Arabes Units"-properNoun-oc "Emirats Àrabs Units"-properNoun-ca
"Emirats Arabs Units"-properNoun-oc "Emirats Àrabs Units"-properNoun-ca
"Emirats Arabis Units"-properNoun-oc "Emirats Àrabs Units"-properNoun-ca
"Emirats Arabes Units*"-properNoun-oc "Emirats Àrabs Units"-properNoun-ca
"Dominica"-properNoun-oc "Dominica"-properNoun-ca
"Dominica"-properNoun-ca "Dominica"-properNoun-oc
"Ruanda"-properNoun-oc "Ruanda"-properNoun-ca
"Ruanda"-properNoun-ca "Ruanda"-properNoun-oc
"falha"-noun-oc "falla"-noun-ca
"falla"-noun-ca "falha"-noun-oc
"Acre"-properNoun-oc "Acre"-properNoun-ca
"Acre"-properNoun-ca "Acre"-properNoun-oc
"l'Alguer"-properNoun-oc "l'Alguer"-properNoun-ca
"l'Alguer"-properNoun-ca "l'Alguer"-properNoun-oc
"acusat de recepcion"-noun-oc "acusament de recepció"-noun-ca
"acusament de recepció"-noun-ca "acusat de recepcion"-noun-oc
"acusament de recepció"-noun-ca "acusament de recepcion"-noun-oc
"acusament de recepcion"-noun-oc "acusament de recepció"-noun-ca
"far concurréncia"-verb-oc "competir"-verb-ca
"competir"-verb-ca "far concurréncia"-verb-oc
"competir"-verb-ca "hèr concurréncia"-verb-oc
"hèr concurréncia"-verb-oc "competir"-verb-ca
"mont de pietat"-noun-oc "mont de pietat"-noun-ca
"mont de pietat"-noun-ca "mont de pietat"-noun-oc
"deishar anar"-verb-oc "deixar anar"-verb-ca
"deixar anar"-verb-ca "deishar anar"-verb-oc
"deixar anar"-verb-ca "daissar anar"-verb-oc
"daissar anar"-verb-oc "deixar anar"-verb-ca
"venir efectiu"-verb-oc "tenir efecte"-verb-ca
"tenir efecte"-verb-ca "venir efectiu"-verb-oc
"tenir efecte"-verb-ca "vier efectiu"-verb-oc
"tenir efecte"-verb-ca "prene efièch"-verb-oc
"tenir efecte"-verb-ca "prene efèit"-verb-oc
"vier efectiu"-verb-oc "tenir efecte"-verb-ca
"prene efièch"-verb-oc "tenir efecte"-verb-ca
"prene efèit"-verb-oc "tenir efecte"-verb-ca
"far d'efièch"-verb-oc "fer efecte"-verb-ca
"fer efecte"-verb-ca "far d'efièch"-verb-oc
"fer efecte"-verb-ca "hèr efècte"-verb-oc
"hèr efècte"-verb-oc "fer efecte"-verb-ca
"trobar de manca"-verb-oc "trobar a faltar"-verb-ca
"trobar a faltar"-verb-ca "trobar de manca"-verb-oc
"trobar a faltar"-verb-ca "aver de manca"-verb-oc
"trobar a faltar"-verb-ca "auer de manca"-verb-oc
"trobar a faltar"-verb-ca "trobar a mens"-verb-oc
"trobar a faltar"-verb-ca "trobar mens"-verb-oc
"trobar a faltar"-verb-ca "trobar a mancar"-verb-oc
"aver de manca"-verb-oc "trobar a faltar"-verb-ca
"auer de manca"-verb-oc "trobar a faltar"-verb-ca
"trobar a mens"-verb-oc "trobar a faltar"-verb-ca
"trobar mens"-verb-oc "trobar a faltar"-verb-ca
"trobar a mancar"-verb-oc "trobar a faltar"-verb-ca
"aver talent"-verb-oc "tenir gana"-verb-ca
"tenir gana"-verb-ca "aver talent"-verb-oc
"tenir gana"-verb-ca "auer hame"-verb-oc
"auer hame"-verb-oc "tenir gana"-verb-ca
"subafluent"-noun-oc "subafluent"-noun-ca
"subafluent"-noun-ca "subafluent"-noun-oc
"subalpin"-adjective-oc "subalpí"-adjective-ca
"subalpí"-adjective-ca "subalpin"-adjective-oc
"sublingual"-adjective-oc "sublingual"-adjective-ca
"sublingual"-adjective-ca "sublingual"-adjective-oc
"sublingual"-adjective-ca "sublinguau"-adjective-oc
"sublinguau"-adjective-oc "sublingual"-adjective-ca
"subsonic"-adjective-oc "subsònic"-adjective-ca
"subsònic"-adjective-ca "subsonic"-adjective-oc
"suburban"-adjective-oc "suburbà"-adjective-ca
"suburbà"-adjective-ca "suburban"-adjective-oc
"Adriatica"-properNoun-oc "Adriàtic"-properNoun-ca
"Adriàtic"-properNoun-ca "Adriatica"-properNoun-oc
"Alacantin"-properNoun-oc "Alacantí"-properNoun-ca
"Alacantí"-properNoun-ca "Alacantin"-properNoun-oc
"Al Dawha"-properNoun-oc "Doha"-properNoun-ca
"Doha"-properNoun-ca "Al Dawha"-properNoun-oc
"Alcoian"-properNoun-oc "Alcoià"-properNoun-ca
"Alcoià"-properNoun-ca "Alcoian"-properNoun-oc
"Aleutianas"-properNoun-oc "Aleutianes"-properNoun-ca
"Aleutianes"-properNoun-ca "Aleutianas"-properNoun-oc
"Almaty"-properNoun-oc "Almaty"-properNoun-ca
"Almaty"-properNoun-oc "Alma-Ata"-properNoun-ca
"Almaty"-properNoun-ca "Almaty"-properNoun-oc
"Almaty"-properNoun-ca "Alma Ata"-properNoun-oc
"Alma-Ata"-properNoun-ca "Almaty"-properNoun-oc
"Alma Ata"-properNoun-oc "Almaty"-properNoun-ca
"Amazonas"-properNoun-oc "Amazones"-properNoun-ca
"Amazones"-properNoun-ca "Amazonas"-properNoun-oc
"Amodarià"-properNoun-oc "Amudarià"-properNoun-ca
"Amudarià"-properNoun-ca "Amodarià"-properNoun-oc
"Artic"-properNoun-oc "Àrtic"-properNoun-ca
"Àrtic"-properNoun-ca "Artic"-properNoun-oc
"Ausona"-properNoun-oc "Osona"-properNoun-ca
"Osona"-properNoun-ca "Ausona"-properNoun-oc
"Balearas"-properNoun-oc "Balears"-properNoun-ca
"Balears"-properNoun-ca "Balearas"-properNoun-oc
"Bas Camp"-properNoun-oc "Baix Camp"-properNoun-ca
"Baix Camp"-properNoun-ca "Bas Camp"-properNoun-oc
"Baix Camp"-properNoun-ca "Baish Camp"-properNoun-oc
"Baish Camp"-properNoun-oc "Baix Camp"-properNoun-ca
"Bas Empordan"-properNoun-oc "Baix Empordà"-properNoun-ca
"Baix Empordà"-properNoun-ca "Bas Empordan"-properNoun-oc
"Baix Empordà"-properNoun-ca "Baish Empordan"-properNoun-oc
"Baish Empordan"-properNoun-oc "Baix Empordà"-properNoun-ca
"Bas Llobregat"-properNoun-oc "Baix Llobregat"-properNoun-ca
"Baix Llobregat"-properNoun-ca "Bas Llobregat"-properNoun-oc
"Baix Llobregat"-properNoun-ca "Baish Llobregat"-properNoun-oc
"Baish Llobregat"-properNoun-oc "Baix Llobregat"-properNoun-ca
"Bas Maestrat"-properNoun-oc "Baix Maestrat"-properNoun-ca
"Baix Maestrat"-properNoun-ca "Bas Maestrat"-properNoun-oc
"Baix Maestrat"-properNoun-ca "Baish Maestrat"-properNoun-oc
"Baish Maestrat"-properNoun-oc "Baix Maestrat"-properNoun-ca
"Bas Penedés"-properNoun-oc "Baix Penedès"-properNoun-ca
"Baix Penedès"-properNoun-ca "Bas Penedés"-properNoun-oc
"Baix Penedès"-properNoun-ca "Baish Penedés"-properNoun-oc
"Baish Penedés"-properNoun-oc "Baix Penedès"-properNoun-ca
"Bas Segura"-properNoun-oc "Baix Segura"-properNoun-ca
"Baix Segura"-properNoun-ca "Bas Segura"-properNoun-oc
"Baix Segura"-properNoun-ca "Baish Segura"-properNoun-oc
"Baish Segura"-properNoun-oc "Baix Segura"-properNoun-ca
"Bas Vinalopó"-properNoun-oc "Baix Vinalopó"-properNoun-ca
"Baix Vinalopó"-properNoun-ca "Bas Vinalopó"-properNoun-oc
"Baix Vinalopó"-properNoun-ca "Baish Vinalopó"-properNoun-oc
"Baish Vinalopó"-properNoun-oc "Baix Vinalopó"-properNoun-ca
"Bas Èbre"-properNoun-oc "Baix Ebre"-properNoun-ca
"Baix Ebre"-properNoun-ca "Bas Èbre"-properNoun-oc
"Baix Ebre"-properNoun-ca "Baish Èbre"-properNoun-oc
"Baish Èbre"-properNoun-oc "Baix Ebre"-properNoun-ca
"Bashcortostan"-properNoun-oc "Baixkortostan"-properNoun-ca
"Baixkortostan"-properNoun-ca "Bashcortostan"-properNoun-oc
"Berguedan"-properNoun-oc "Berguedà"-properNoun-ca
"Berguedà"-properNoun-ca "Berguedan"-properNoun-oc
"Berrí"-properNoun-oc "Berry"-properNoun-ca
"Berry"-properNoun-ca "Berrí"-properNoun-oc
"Bishkek"-properNoun-oc "Bixkek"-properNoun-ca
"Bixkek"-properNoun-ca "Bishkek"-properNoun-oc
"Bissau"-properNoun-oc "Bissau"-properNoun-ca
"Bissau"-properNoun-ca "Bissau"-properNoun-oc
"Bombai"-properNoun-oc "Bombai"-properNoun-ca
"Bombai"-properNoun-ca "Bombai"-properNoun-oc
"Boriatia"-properNoun-oc "Buriàtia"-properNoun-ca
"Buriàtia"-properNoun-ca "Boriatia"-properNoun-oc
"Brasília"-properNoun-oc "Brasília"-properNoun-ca
"Brasília"-properNoun-ca "Brasília"-properNoun-oc
"Brazzaville"-properNoun-oc "Brazzaville"-properNoun-ca
"Brazzaville"-properNoun-ca "Brazzaville"-properNoun-oc
"Breissa"-properNoun-oc "Brescia"-properNoun-ca
"Brescia"-properNoun-ca "Breissa"-properNoun-oc
"Bressa"-properNoun-oc "Bresse"-properNoun-ca
"Bresse"-properNoun-ca "Bressa"-properNoun-oc
"Bridgetown"-properNoun-oc "Bridgetown"-properNoun-ca
"Bridgetown"-properNoun-ca "Bridgetown"-properNoun-oc
"Britània"-properNoun-oc "Britània"-properNoun-ca
"Britània"-properNoun-ca "Britània"-properNoun-oc
"Bucovina"-properNoun-oc "Bucovina"-properNoun-ca
"Bucovina"-properNoun-ca "Bucovina"-properNoun-oc
"Bujumbura"-properNoun-oc "Bujumbura"-properNoun-ca
"Bujumbura"-properNoun-ca "Bujumbura"-properNoun-oc
"Bòna"-properNoun-oc "Bona"-properNoun-ca
"Bona"-properNoun-ca "Bòna"-properNoun-oc
"Calcuta"-properNoun-oc "Calcuta"-properNoun-ca
"Calcuta"-properNoun-ca "Calcuta"-properNoun-oc
"Calmoquia"-properNoun-oc "Calmúquia"-properNoun-ca
"Calmúquia"-properNoun-ca "Calmoquia"-properNoun-oc
"Cambrai"-properNoun-oc "Cambrai"-properNoun-ca
"Cambrai"-properNoun-ca "Cambrai"-properNoun-oc
"Camp de Morvedre"-properNoun-oc "Camp de Morvedre"-properNoun-ca
"Camp de Morvedre"-properNoun-ca "Camp de Morvedre"-properNoun-oc
"Camp de Túria"-properNoun-oc "Camp de Túria"-properNoun-ca
"Camp de Túria"-properNoun-ca "Camp de Túria"-properNoun-oc
"Campfranc"-properNoun-oc "Canfranc"-properNoun-ca
"Canfranc"-properNoun-ca "Campfranc"-properNoun-oc
"Cantàbria"-properNoun-oc "Cantàbria"-properNoun-ca
"Cantàbria"-properNoun-ca "Cantàbria"-properNoun-oc
"Carpats"-properNoun-oc "Carpats"-properNoun-ca
"Carpats"-properNoun-ca "Carpats"-properNoun-oc
"Carrara"-properNoun-oc "Carrara"-properNoun-ca
"Carrara"-properNoun-ca "Carrara"-properNoun-oc
"Castelha e Leon"-properNoun-oc "Castella i Lleó"-properNoun-ca
"Castella i Lleó"-properNoun-ca "Castelha e Leon"-properNoun-oc
"Castelha la Nòva"-properNoun-oc "Castella la Nova"-properNoun-ca
"Castella la Nova"-properNoun-ca "Castelha la Nòva"-properNoun-oc
"Castelha la Vièlha"-properNoun-oc "Castella la Vella"-properNoun-ca
"Castella la Vella"-properNoun-ca "Castelha la Vièlha"-properNoun-oc
"Castelha-La Mancha"-properNoun-oc "Castella-la Manxa"-properNoun-ca
"Castella-la Manxa"-properNoun-ca "Castelha-La Mancha"-properNoun-oc
"Castella-la Manxa"-properNoun-ca "Castelha la Mancha"-properNoun-oc
"Castelha la Mancha"-properNoun-oc "Castella-la Manxa"-properNoun-ca
"Castelhon de la Plana"-properNoun-oc "Castelló de la Plana"-properNoun-ca
"Castelló de la Plana"-properNoun-ca "Castelhon de la Plana"-properNoun-oc
"Castries"-properNoun-oc "Castries"-properNoun-ca
"Castries"-properNoun-ca "Castries"-properNoun-oc
"Catalonha Nòrd"-properNoun-oc "Catalunya Nord"-properNoun-ca
"Catalunya Nord"-properNoun-ca "Catalonha Nòrd"-properNoun-oc
"Cefalònia"-properNoun-oc "Cefalònia"-properNoun-ca
"Cefalònia"-properNoun-ca "Cefalònia"-properNoun-oc
"Chequia"-properNoun-oc "Txèquia"-properNoun-ca
"Txèquia"-properNoun-ca "Chequia"-properNoun-oc
"Cicladas"-properNoun-oc "Cíclades"-properNoun-ca
"Cíclades"-properNoun-ca "Cicladas"-properNoun-oc
"Cirenaïca"-properNoun-oc "Cirenaica"-properNoun-ca
"Cirenaica"-properNoun-ca "Cirenaïca"-properNoun-oc
"Clunhic"-properNoun-oc "Cluny"-properNoun-ca
"Cluny"-properNoun-ca "Clunhic"-properNoun-oc
"Colonha"-properNoun-oc "Colònia"-properNoun-ca
"Colònia"-properNoun-ca "Colonha"-properNoun-oc
"Comtat"-properNoun-oc "Comtat"-properNoun-ca
"Comtat"-properNoun-ca "Comtat"-properNoun-oc
"Conca de Barberà"-properNoun-oc "Conca de Barberà"-properNoun-ca
"Conca de Barberà"-properNoun-ca "Conca de Barberà"-properNoun-oc
"Corint"-properNoun-oc "Corint"-properNoun-ca
"Corint"-properNoun-ca "Corint"-properNoun-oc
"Còme"-properNoun-oc "Como"-properNoun-ca
"Como"-properNoun-ca "Còme"-properNoun-oc
"Còs"-properNoun-oc "Cos"-properNoun-ca
"Cos"-properNoun-ca "Còs"-properNoun-oc
"Daguestan"-properNoun-oc "Daguestan"-properNoun-ca
"Daguestan"-properNoun-ca "Daguestan"-properNoun-oc
"Dardanèls"-properNoun-oc "Dardanels"-properNoun-ca
