"Aalst"-properNoun-eo "Aalst"-properNoun-fr
"licou"-noun-fr "ĉirkaŭkolo"-noun-eo
"ĉirkaŭmuro"-noun-eo "mur d'enceinte"-noun-fr
"mur d'enceinte"-noun-fr "ĉirkaŭmuro"-noun-eo
"ĉirkaŭnaĝi"-verb-eo "contourner en nageant"-verb-fr
"contourner en nageant"-verb-fr "ĉirkaŭnaĝi"-verb-eo
"ĉirkaŭparoli"-verb-eo "faire des circonlocutions"-verb-fr
"faire des circonlocutions"-verb-fr "ĉirkaŭparoli"-verb-eo
"ĉirkaŭparolo"-noun-eo "circonlocution"-noun-fr
"circonlocution"-noun-fr "ĉirkaŭparolo"-noun-eo
"ĉirkaŭpeli"-verb-eo "ballotter"-verb-fr
"ballotter"-verb-fr "ĉirkaŭpeli"-verb-eo
"ĉirkaŭskribita"-adjective-eo "circonscrit"-adjective-fr
"circonscrit"-adjective-fr "ĉirkaŭskribita"-adjective-eo
"ĉirkaŭstari"-verb-eo "dresser autour de"-verb-fr
"dresser autour de"-verb-fr "ĉirkaŭstari"-verb-eo
"périurbain"-adjective-fr "ĉirkaŭurba"-adjective-eo
"cirkonferenca angulo"-noun-eo "angle inscrit"-noun-fr
"angle inscrit"-noun-fr "cirkonferenca angulo"-noun-eo
"cirkonstanca komplemento"-noun-eo "complément circonstanciel"-noun-fr
"complément circonstanciel"-noun-fr "cirkonstanca komplemento"-noun-eo
"cirsio"-noun-eo "cirse"-noun-fr
"cirse"-noun-fr "cirsio"-noun-eo
"ciruso"-noun-eo "cirrus"-noun-fr
"cirrus"-noun-fr "ciruso"-noun-eo
"cisoido"-noun-eo "cissoïde"-noun-fr
"cissoïde"-noun-fr "cisoido"-noun-eo
"ĉitage"-adverb-eo "ce jour-ci"-adverb-fr
"ce jour-ci"-adverb-fr "ĉitage"-adverb-eo
"citizo"-noun-eo "cytise"-noun-fr
"cytise"-noun-fr "citizo"-noun-eo
"cytise"-noun-fr "laburno"-noun-eo
"laburno"-noun-eo "cytise"-noun-fr
"citologiisto"-noun-eo "cytologiste"-noun-fr
"citologiisto"-noun-eo "cytologue"-noun-fr
"cytologiste"-noun-fr "citologiisto"-noun-eo
"cytologiste"-noun-fr "citologo"-noun-eo
"cytologue"-noun-fr "citologiisto"-noun-eo
"cytologue"-noun-fr "citologo"-noun-eo
"citologo"-noun-eo "cytologiste"-noun-fr
"citologo"-noun-eo "cytologue"-noun-fr
"citronnier"-noun-fr "citronujo"-noun-eo
"citronujo"-noun-eo "citronnier"-noun-fr
"ĉiu"-adverb-eo "tous"-adverb-fr
"tous"-adverb-fr "ĉiu"-adverb-eo
"ĉiu ĉi"-determiner-eo "tout ce"-determiner-fr
"tout ce"-determiner-fr "ĉiu ĉi"-determiner-eo
"tout ce"-determiner-fr "tiu tuta"-determiner-eo
"tiu tuta"-determiner-eo "tout ce"-determiner-fr
"ĉiuhore"-adverb-eo "par heure"-adverb-fr
"par heure"-adverb-fr "ĉiuhore"-adverb-eo
"ĉiuj detaloj"-noun-eo "les tenants et les aboutissants"-noun-fr
"les tenants et les aboutissants"-noun-fr "ĉiuj detaloj"-noun-eo
"civilinĝenieraro"-noun-eo "génie civil"-noun-fr
"génie civil"-noun-fr "civilinĝenieraro"-noun-eo
"génie civil"-noun-fr "civilinĝenierarto"-noun-eo
"civilinĝenierarto"-noun-eo "génie civil"-noun-fr
"civilizanto"-noun-eo "civilisateur"-noun-fr
"civilisateur"-noun-fr "civilizanto"-noun-eo
"civilizita"-adjective-eo "civilisé"-adjective-fr
"civilisé"-adjective-fr "civilizita"-adjective-eo
"ĉizileto"-noun-eo "ciselet"-noun-fr
"ciselet"-noun-fr "ĉizileto"-noun-eo
"Clamart"-properNoun-eo "Clamart"-properNoun-fr
"Clamart"-properNoun-fr "Clamart"-properNoun-eo
"Clarington"-properNoun-eo "Clarington"-properNoun-fr
"Clarington"-properNoun-fr "Clarington"-properNoun-eo
"Co"-noun-eo "Co"-noun-fr
"Co"-noun-fr "Co"-noun-eo
"Cognac"-properNoun-eo "Cognac"-properNoun-fr
"Cognac"-properNoun-fr "Cognac"-properNoun-eo
"Colombes"-properNoun-eo "Colombes"-properNoun-fr
"Colombes"-properNoun-fr "Colombes"-properNoun-eo
"Colomiers"-properNoun-eo "Colomiers"-properNoun-fr
"Colomiers"-properNoun-fr "Colomiers"-properNoun-eo
"Combs-la-Ville"-properNoun-eo "Combs-la-Ville"-properNoun-fr
"Combs-la-Ville"-properNoun-fr "Combs-la-Ville"-properNoun-eo
"Comines-Warneton"-properNoun-eo "Comines-Warneton"-properNoun-fr
"Comines-Warneton"-properNoun-fr "Comines-Warneton"-properNoun-eo
"Comté de Strathcona"-properNoun-eo "Comté de Strathcona"-properNoun-fr
"Comté de Strathcona"-properNoun-fr "Comté de Strathcona"-properNoun-eo
"Concarneau"-properNoun-eo "Concarneau"-properNoun-fr
"Concarneau"-properNoun-fr "Concarneau"-properNoun-eo
"Conflans-Sainte-Honorine"-properNoun-eo "Conflans-Sainte-Honorine"-properNoun-fr
"Conflans-Sainte-Honorine"-properNoun-fr "Conflans-Sainte-Honorine"-properNoun-eo
"ĉonmago"-noun-eo "chonmage"-noun-fr
"chonmage"-noun-fr "ĉonmago"-noun-eo
"Coquitlam"-properNoun-eo "Coquitlam"-properNoun-fr
"Coquitlam"-properNoun-fr "Coquitlam"-properNoun-eo
"Corbeil-Essonnes"-properNoun-eo "Corbeil-Essonnes"-properNoun-fr
"Corbeil-Essonnes"-properNoun-fr "Corbeil-Essonnes"-properNoun-eo
"Cormeilles-en-Parisis"-properNoun-eo "Cormeilles-en-Parisis"-properNoun-fr
"Cormeilles-en-Parisis"-properNoun-fr "Cormeilles-en-Parisis"-properNoun-eo
"Cornwall"-properNoun-eo "Cornwall"-properNoun-fr
"Cornwall"-properNoun-fr "Cornwall"-properNoun-eo
"Coudekerque-Branche"-properNoun-eo "Coudekerque-Branche"-properNoun-fr
"Coudekerque-Branche"-properNoun-fr "Coudekerque-Branche"-properNoun-eo
"Courbevoie"-properNoun-eo "Courbevoie"-properNoun-fr
"Courbevoie"-properNoun-fr "Courbevoie"-properNoun-eo
"Courneuve"-properNoun-eo "Courneuve"-properNoun-fr
"Courneuve"-properNoun-fr "Courneuve"-properNoun-eo
"Courtrai"-properNoun-eo "Courtrai"-properNoun-fr
"Courtrai"-properNoun-fr "Courtrai"-properNoun-eo
"Courtrai"-properNoun-fr "Kortrejko"-properNoun-eo
"Kortrejko"-properNoun-eo "Courtrai"-properNoun-fr
"Couvin"-properNoun-eo "Couvin"-properNoun-fr
"Couvin"-properNoun-fr "Couvin"-properNoun-eo
"Crédit agricole"-properNoun-eo "Crédit agricole"-properNoun-fr
"Crédit agricole"-properNoun-fr "Crédit agricole"-properNoun-eo
"Creil"-properNoun-eo "Creil"-properNoun-fr
"Creil"-properNoun-fr "Creil"-properNoun-eo
"Croix"-properNoun-eo "Croix"-properNoun-fr
"Croix"-properNoun-fr "Croix"-properNoun-eo
"ĉukĉa"-adjective-eo "tchouktche"-adjective-fr
"ĉukĉa"-adjective-eo "chukch"-adjective-fr
"tchouktche"-adjective-fr "ĉukĉa"-adjective-eo
"chukch"-adjective-fr "ĉukĉa"-adjective-eo
"Ĉukĉa Duoninsulo"-properNoun-eo "Tchoukotka"-properNoun-fr
"Ĉukĉa Duoninsulo"-properNoun-eo "Chukotka"-properNoun-fr
"Tchoukotka"-properNoun-fr "Ĉukĉa Duoninsulo"-properNoun-eo
"Chukotka"-properNoun-fr "Ĉukĉa Duoninsulo"-properNoun-eo
"Chukotka"-properNoun-fr "Ĉukĉio"-properNoun-eo
"Ĉukĉio"-properNoun-eo "Chukotka"-properNoun-fr
"Ĉukĉa Maro"-properNoun-eo "mer des Tchouktches"-properNoun-fr
"mer des Tchouktches"-properNoun-fr "Ĉukĉa Maro"-properNoun-eo
"ĉukĉo"-noun-eo "Tchouktche"-noun-fr
"ĉukĉo"-noun-eo "Chukch"-noun-fr
"Tchouktche"-noun-fr "ĉukĉo"-noun-eo
"Chukch"-noun-fr "ĉukĉo"-noun-eo
"dafno"-noun-eo "daphné"-noun-fr
"dafno"-noun-eo "garou"-noun-fr
"dafno"-noun-eo "sainbois"-noun-fr
"daphné"-noun-fr "dafno"-noun-eo
"garou"-noun-fr "dafno"-noun-eo
"sainbois"-noun-fr "dafno"-noun-eo
"dagerotipo"-noun-eo "daguerréotype"-noun-fr
"daguerréotype"-noun-fr "dagerotipo"-noun-eo
"dakara"-adjective-eo "dakarois"-adjective-fr
"dakarois"-adjective-fr "dakara"-adjective-eo
"dakarano"-noun-eo "Dakarois"-noun-fr
"Dakarois"-noun-fr "dakarano"-noun-eo
"daktilarbo"-noun-eo "dattier"-noun-fr
"dattier"-noun-fr "daktilarbo"-noun-eo
"dattier"-noun-fr "daktilujo"-noun-eo
"daktilujo"-noun-eo "dattier"-noun-fr
"dahlia"-noun-fr "georgino"-noun-eo
"georgino"-noun-eo "dahlia"-noun-fr
"damaski"-verb-eo "damasser"-verb-fr
"damasser"-verb-fr "damaski"-verb-eo
"Dammarie-lès-Lys"-properNoun-eo "Dammarie-lès-Lys"-properNoun-fr
"Dammarie-lès-Lys"-properNoun-fr "Dammarie-lès-Lys"-properNoun-eo
"Damme"-properNoun-eo "Damme"-properNoun-fr
"Damme"-properNoun-fr "Damme"-properNoun-eo
"dancareno"-noun-eo "piste de dance"-noun-fr
"piste de dance"-noun-fr "dancareno"-noun-eo
"dancejo"-noun-eo "dancing"-noun-fr
"dancing"-noun-fr "dancejo"-noun-eo
"danciga"-adjective-eo "dansant"-adjective-fr
"dansant"-adjective-fr "danciga"-adjective-eo
"dancŝuo"-noun-eo "chaussure de dance"-noun-fr
"chaussure de dance"-noun-fr "dancŝuo"-noun-eo
"dancvestaĵo"-noun-eo "maillot de danceuse"-noun-fr
"maillot de danceuse"-noun-fr "dancvestaĵo"-noun-eo
"danda"-adjective-eo "dandy"-adjective-fr
"dandy"-adjective-fr "danda"-adjective-eo
"dankmemorigilo"-noun-eo "ex-voto"-noun-fr
"ex-voto"-noun-fr "dankmemorigilo"-noun-eo
"Darmo"-noun-eo "dharma"-noun-fr
"dharma"-noun-fr "Darmo"-noun-eo
"dartro"-noun-eo "dartre"-noun-fr
"dartre"-noun-fr "dartro"-noun-eo
"dato de morto"-noun-eo "date de décès"-noun-fr
"date de décès"-noun-fr "dato de morto"-noun-eo
"datumstrukturo"-noun-eo "structure de données"-noun-fr
"structure de données"-noun-fr "datumstrukturo"-noun-eo
"datumtipo"-noun-eo "type de données"-noun-fr
"type de données"-noun-fr "datumtipo"-noun-eo
"daturo"-noun-eo "datura"-noun-fr
"datura"-noun-fr "daturo"-noun-eo
"daŭisma"-adjective-eo "taoïste"-adjective-fr
"taoïste"-adjective-fr "daŭisma"-adjective-eo
"taoïste"-adjective-fr "daŭista"-adjective-eo
"daŭista"-adjective-eo "taoïste"-adjective-fr
"daŭisto"-noun-eo "taoïste"-noun-fr
"taoïste"-noun-fr "daŭisto"-noun-eo
"daŭripove"-adverb-eo "soutenablement"-adverb-fr
"soutenablement"-adverb-fr "daŭripove"-adverb-eo
"dazipedo"-noun-eo "dasypodidé"-noun-fr
"dasypodidé"-noun-fr "dazipedo"-noun-eo
"de antaŭ"-preposition-eo "d'avant"-preposition-fr
"de antaŭ"-preposition-eo "de devant"-preposition-fr
"d'avant"-preposition-fr "de antaŭ"-preposition-eo
"de devant"-preposition-fr "de antaŭ"-preposition-eo
"de devant"-preposition-fr "el antaŭ"-preposition-eo
"el antaŭ"-preposition-eo "de devant"-preposition-fr
"de ĉe"-adverb-eo "de chez"-adverb-fr
"de ĉe"-adverb-eo "de contre"-adverb-fr
"de chez"-adverb-fr "de ĉe"-adverb-eo
"de contre"-adverb-fr "de ĉe"-adverb-eo
"de ĉe"-preposition-eo "d'auprès de"-preposition-fr
"de ĉe"-preposition-eo "de sur"-preposition-fr
"d'auprès de"-preposition-fr "de ĉe"-preposition-eo
"de sur"-preposition-fr "de ĉe"-preposition-eo
"de ĉirkaŭ"-preposition-eo "d'autour de"-preposition-fr
"de ĉirkaŭ"-preposition-eo "de tout autour de"-preposition-fr
"de ĉirkaŭ"-preposition-eo "du pourtour de"-preposition-fr
"d'autour de"-preposition-fr "de ĉirkaŭ"-preposition-eo
"de tout autour de"-preposition-fr "de ĉirkaŭ"-preposition-eo
"du pourtour de"-preposition-fr "de ĉirkaŭ"-preposition-eo
"de ĉirkaŭe"-adverb-eo "de tout autour"-adverb-fr
"de ĉirkaŭe"-adverb-eo "du pourtour"-adverb-fr
"de tout autour"-adverb-fr "de ĉirkaŭe"-adverb-eo
"du pourtour"-adverb-fr "de ĉirkaŭe"-adverb-eo
"de kiu"-pronoun-eo "dont"-pronoun-fr
"de kiu"-pronoun-eo "duquel"-pronoun-fr
"dont"-pronoun-fr "de kiu"-pronoun-eo
"dont"-pronoun-fr "de kiu"-relativePronoun-eo
"duquel"-pronoun-fr "de kiu"-pronoun-eo
"duquel"-pronoun-fr "de kiu"-relativePronoun-eo
"de kiu"-relativePronoun-eo "dont"-pronoun-fr
"de kiu"-relativePronoun-eo "duquel"-pronoun-fr
"Décathlon"-properNoun-eo "Décathlon"-properNoun-fr
"Décathlon"-properNoun-fr "Décathlon"-properNoun-eo
"decidanto"-noun-eo "décideur"-noun-fr
"décideur"-noun-fr "decidanto"-noun-eo
"décideur"-noun-fr "decidinto"-noun-eo
"décideur"-noun-fr "decidonto"-noun-eo
"decidinto"-noun-eo "décideur"-noun-fr
"decidonto"-noun-eo "décideur"-noun-fr
"decimalo"-noun-eo "décimale"-noun-fr
"décimale"-noun-fr "decimalo"-noun-eo
"Décines-Charpieu"-properNoun-eo "Décines-Charpieu"-properNoun-fr
"Décines-Charpieu"-properNoun-fr "Décines-Charpieu"-properNoun-eo
"dedekinda"-adjective-eo "de Dedekind"-adjective-fr
"de Dedekind"-adjective-fr "dedekinda"-adjective-eo
"dedekinda tranĉo"-noun-eo "coupure de Dedekind"-noun-fr
"coupure de Dedekind"-noun-fr "dedekinda tranĉo"-noun-eo
"Dedekindo"-properNoun-eo "Dedekind"-properNoun-fr
"Dedekind"-properNoun-fr "Dedekindo"-properNoun-eo
"defetisma"-adjective-eo "défaitiste"-adjective-fr
"défaitiste"-adjective-fr "defetisma"-adjective-eo
"défaitiste"-adjective-fr "defetista"-adjective-eo
"defetista"-adjective-eo "défaitiste"-adjective-fr
"defianto"-noun-eo "challenger"-noun-fr
"defianto"-noun-eo "challengeur"-noun-fr
"challenger"-noun-fr "defianto"-noun-eo
"challengeur"-noun-fr "defianto"-noun-eo
"caniveau"-noun-fr "stratkanaleto"-noun-eo
"stratkanaleto"-noun-eo "caniveau"-noun-fr
"degni"-verb-eo "condescendre"-verb-fr
"condescendre"-verb-fr "degni"-verb-eo
"dehiskado"-noun-eo "déhiscence"-noun-fr
"déhiscence"-noun-fr "dehiskado"-noun-eo
"déhiscence"-noun-fr "dehisko"-noun-eo
"dehisko"-noun-eo "déhiscence"-noun-fr
"Deinze"-properNoun-eo "Deinze"-properNoun-fr
"Deinze"-properNoun-fr "Deinze"-properNoun-eo
"deĵora"-adjective-eo "de garde"-adjective-fr
"deĵora"-adjective-eo "de service"-adjective-fr
"de garde"-adjective-fr "deĵora"-adjective-eo
"de service"-adjective-fr "deĵora"-adjective-eo
"deĵorŝanĝo"-noun-eo "relève"-noun-fr
"relève"-noun-fr "deĵorŝanĝo"-noun-eo
"dekadenci"-verb-eo "être sur la déclin"-verb-fr
"dekadenci"-verb-eo "tomber dans la déchéance"-verb-fr
"dekadenci"-verb-eo "tomber en décadence"-verb-fr
"dekadenci"-verb-eo "péricliter"-verb-fr
"être sur la déclin"-verb-fr "dekadenci"-verb-eo
"tomber dans la déchéance"-verb-fr "dekadenci"-verb-eo
"tomber en décadence"-verb-fr "dekadenci"-verb-eo
"péricliter"-verb-fr "dekadenci"-verb-eo
"déchéance"-noun-fr "kadukaĵo"-noun-eo
"kadukaĵo"-noun-eo "déchéance"-noun-fr
"dekliniĝo"-noun-eo "déviance"-noun-fr
"déviance"-noun-fr "dekliniĝo"-noun-eo
"dekoracie"-adverb-eo "décorativement"-adverb-fr
"décorativement"-adverb-fr "dekoracie"-adverb-eo
"dekstra klaso"-noun-eo "classe à droite"-noun-fr
"classe à droite"-noun-fr "dekstra klaso"-noun-eo
"dekstre de"-preposition-eo "à droite de"-preposition-fr
"à droite de"-preposition-fr "dekstre de"-preposition-eo
"dekuma logaritmo"-noun-eo "logarithme décimal"-noun-fr
"logarithme décimal"-noun-fr "dekuma logaritmo"-noun-eo
"logarithme décimal"-noun-fr "ordinara logaritmo"-noun-eo
"ordinara logaritmo"-noun-eo "logarithme décimal"-noun-fr
"dekute"-adverb-eo "déductivement"-adverb-fr
"déductivement"-adverb-fr "dekute"-adverb-eo
"Delegacio"-properNoun-eo "Délégation pour l'adoption d'une langue auxiliaire internationale"-properNoun-fr
"Délégation pour l'adoption d'une langue auxiliaire internationale"-properNoun-fr "Delegacio"-properNoun-eo
"delfenedo"-noun-eo "delphinidé"-noun-fr
"delphinidé"-noun-fr "delfenedo"-noun-eo
"delfinio"-noun-eo "dauphinelle"-noun-fr
"dauphinelle"-noun-fr "delfinio"-noun-eo
"delikta"-adjective-eo "déliquant"-adjective-fr
"déliquant"-adjective-fr "delikta"-adjective-eo
"delikte"-adverb-eo "délictueusement"-adverb-fr
"delikte"-adverb-eo "délictuellement"-adverb-fr
"délictueusement"-adverb-fr "delikte"-adverb-eo
"délictuellement"-adverb-fr "delikte"-adverb-eo
"deltaplano"-noun-eo "deltaplane"-noun-fr
"deltaplane"-noun-fr "deltaplano"-noun-eo
"demande"-adverb-eo "interrogativement"-adverb-fr
"interrogativement"-adverb-fr "demande"-adverb-eo
"demenci"-verb-eo "être dément"-verb-fr
"être dément"-verb-fr "demenci"-verb-eo
"dementi"-verb-eo "infirmer"-verb-fr
"dementi"-verb-eo "récuser"-verb-fr
"infirmer"-verb-fr "dementi"-verb-eo
"récuser"-verb-fr "dementi"-verb-eo
"demotike"-adverb-eo "démotiquement"-adverb-fr
"démotiquement"-adverb-fr "demotike"-adverb-eo
"Denain"-properNoun-eo "Denain"-properNoun-fr
"Denain"-properNoun-fr "Denain"-properNoun-eo
"Dendermonde"-properNoun-eo "Dendermonde"-properNoun-fr
"Dendermonde"-properNoun-fr "Dendermonde"-properNoun-eo
"dentingo"-noun-eo "alvéole dentaire"-noun-fr
"alvéole dentaire"-noun-fr "dentingo"-noun-eo
"depingli"-verb-eo "désépingler"-verb-fr
"désépingler"-verb-fr "depingli"-verb-eo
"déponant"-noun-fr "depoziianto"-noun-eo
"depoziianto"-noun-eo "déponant"-noun-fr
"depozicii"-verb-eo "faire une déposition"-verb-fr
"faire une déposition"-verb-fr "depozicii"-verb-eo
"depremi"-verb-eo "oppresser"-verb-fr
"oppresser"-verb-fr "depremi"-verb-eo
"depresie"-adverb-eo "dépressivement"-adverb-fr
"dépressivement"-adverb-fr "depresie"-adverb-eo
"dermaptero"-noun-eo "dermaptère"-noun-fr
"dermaptère"-noun-fr "dermaptero"-noun-eo
"des pli bone"-adverb-eo "tant mieux"-adverb-fr
"tant mieux"-adverb-fr "des pli bone"-adverb-eo
"des pli grave"-adverb-eo "à fortiori"-adverb-fr
"à fortiori"-adverb-fr "des pli grave"-adverb-eo
"dessin animé"-noun-fr "movbildo"-noun-eo
"movbildo"-noun-eo "dessin animé"-noun-fr
"desegnotablo"-noun-eo "table à dessin"-noun-fr
"table à dessin"-noun-fr "desegnotablo"-noun-eo
"desinfektilo"-noun-eo "désinfecteur"-noun-fr
"désinfecteur"-noun-fr "desinfektilo"-noun-eo
"desubismo"-noun-eo "stratégie par le bas"-noun-fr
"stratégie par le bas"-noun-fr "desubismo"-noun-eo
"desuprismo"-noun-eo "stratégie par le haut"-noun-fr
"stratégie par le haut"-noun-fr "desuprismo"-noun-eo
"Deuil-la-Barre"-properNoun-eo "Deuil-la-Barre"-properNoun-fr
"Deuil-la-Barre"-properNoun-fr "Deuil-la-Barre"-properNoun-eo
"devanagara skribo"-noun-eo "dévanâgarî"-noun-fr
"dévanâgarî"-noun-fr "devanagara skribo"-noun-eo
"deviaciisma"-adjective-eo "déviationniste"-adjective-fr
"déviationniste"-adjective-fr "deviaciisma"-adjective-eo
"déviationniste"-adjective-fr "deviaciista"-adjective-eo
"deviaciista"-adjective-eo "déviationniste"-adjective-fr
"deviaciismo"-noun-eo "déviationnisme"-noun-fr
"déviationnisme"-noun-fr "deviaciismo"-noun-eo
"deviaciisto"-noun-eo "déviationniste"-noun-fr
"déviationniste"-noun-fr "deviaciisto"-noun-eo
"devona"-adjective-eo "dévonien"-adjective-fr
"dévonien"-adjective-fr "devona"-adjective-eo
"dezerte"-adverb-eo "désertiquement"-adverb-fr
"désertiquement"-adverb-fr "dezerte"-adverb-eo
"dezireme"-adverb-eo "désireusement"-adverb-fr
"désireusement"-adverb-fr "dezireme"-adverb-eo
"diable"-interjection-eo "diable"-interjection-fr
"diable"-interjection-eo "diantre"-interjection-fr
"diable"-interjection-eo "fichtre"-interjection-fr
"diable"-interjection-fr "diable"-interjection-eo
"diantre"-interjection-fr "diable"-interjection-eo
"fichtre"-interjection-fr "diable"-interjection-eo
"diableto"-noun-eo "diablotin"-noun-fr
"diablotin"-noun-fr "diableto"-noun-eo
"diagonaligebla"-adjective-eo "diagonalisable"-adjective-fr
"diagonalisable"-adjective-fr "diagonaligebla"-adjective-eo
"diakrite"-adverb-eo "diacritiquement"-adverb-fr
"diacritiquement"-adverb-fr "diakrite"-adverb-eo
"diakriti"-verb-eo "mettre un diacritique"-verb-fr
"mettre un diacritique"-verb-fr "diakriti"-verb-eo
"signe diacritique"-noun-fr "kromsigno"-noun-eo
"kromsigno"-noun-eo "signe diacritique"-noun-fr
"dializi"-verb-eo "dialyser"-verb-fr
"dialyser"-verb-fr "dializi"-verb-eo
"dializilo"-noun-eo "dialyseur"-noun-fr
"dialyseur"-noun-fr "dializilo"-noun-eo
"diamagneta"-adjective-eo "diamagnétique"-adjective-fr
"diamagnétique"-adjective-fr "diamagneta"-adjective-eo
"diamagnete"-adverb-eo "diamagnétiquement"-adverb-fr
"diamagnétiquement"-adverb-fr "diamagnete"-adverb-eo
"diamagneto"-noun-eo "corps diamagnétique"-noun-fr
"diamagneto"-noun-eo "diamagnétique"-noun-fr
"corps diamagnétique"-noun-fr "diamagneto"-noun-eo
"diamagnétique"-noun-fr "diamagneto"-noun-eo
"diamanta"-adjective-eo "de diamant"-adjective-fr
"de diamant"-adjective-fr "diamanta"-adjective-eo
"diartrozo"-noun-eo "diarthrose"-noun-fr
"diarthrose"-noun-fr "diartrozo"-noun-eo
"dissipé"-adjective-fr "malasidua"-adjective-eo
"malasidua"-adjective-eo "dissipé"-adjective-fr
"diboĉejo"-noun-eo "lieu de débauche"-noun-fr
"lieu de débauche"-noun-fr "diboĉejo"-noun-eo
"débauche"-noun-fr "malĉastaĵo"-noun-eo
"débauche"-noun-fr "troabundeco"-noun-eo
"malĉastaĵo"-noun-eo "débauche"-noun-fr
"troabundeco"-noun-eo "débauche"-noun-fr
"troabundeco"-noun-eo "surabondance"-noun-fr
"troabundeco"-noun-eo "trop-plein"-noun-fr
"didelfa"-adjective-eo "didelphe"-adjective-fr
"didelphe"-adjective-fr "didelfa"-adjective-eo
"didelfedo"-noun-eo "didelphidé"-noun-fr
"didelphidé"-noun-fr "didelfedo"-noun-eo
"didelfo"-noun-eo "didelphe"-noun-fr
"didelphe"-noun-fr "didelfo"-noun-eo
"dielektrike"-adverb-eo "diélectriquement"-adverb-fr
"diélectriquement"-adverb-fr "dielektrike"-adverb-eo
"Dieppe"-properNoun-eo "Dieppe"-properNoun-fr
"Dieppe"-properNoun-fr "Dieppe"-properNoun-eo
"Diest"-properNoun-eo "Diest"-properNoun-fr
"Diest"-properNoun-fr "Diest"-properNoun-eo
"dieti"-verb-eo "faire diète"-verb-fr
"dieti"-verb-eo "suivre un régime"-verb-fr
"faire diète"-verb-fr "dieti"-verb-eo
"suivre un régime"-verb-fr "dieti"-verb-eo
"diferenciala ekvacio"-noun-eo "équation différentielle"-noun-fr
"équation différentielle"-noun-fr "diferenciala ekvacio"-noun-eo
"diferenciala formo"-noun-eo "forme différentielle"-noun-fr
"forme différentielle"-noun-fr "diferenciala formo"-noun-eo
"diferenciala kalkulo"-noun-eo "calcul différentiel"-noun-fr
"calcul différentiel"-noun-fr "diferenciala kalkulo"-noun-eo
"diferenciali"-verb-eo "différentier"-verb-fr
"différentier"-verb-fr "diferenciali"-verb-eo
"difinita integralo"-noun-eo "intégrale définie"-noun-fr
"intégrale définie"-noun-fr "difinita integralo"-noun-eo
"difrakta"-adjective-eo "diffringent"-adjective-fr
"diffringent"-adjective-fr "difrakta"-adjective-eo
"diphtérie"-noun-fr "difterito"-noun-eo
"difterito"-noun-eo "diphtérie"-noun-fr
"diĝesto"-noun-eo "condensé"-noun-fr
"diĝesto"-noun-eo "digest"-noun-fr
"diĝesto"-noun-eo "épitomé"-noun-fr
"condensé"-noun-fr "diĝesto"-noun-eo
"digest"-noun-fr "diĝesto"-noun-eo
"épitomé"-noun-fr "diĝesto"-noun-eo
"épitomé"-noun-fr "epitomo"-noun-eo
"epitomo"-noun-eo "épitomé"-noun-fr
"epitomo"-noun-eo "épitome"-noun-fr
"digitalo"-noun-eo "digitale"-noun-fr
"digitale"-noun-fr "digitalo"-noun-eo
"diklorido"-noun-eo "dichlorure"-noun-fr
"dichlorure"-noun-fr "diklorido"-noun-eo
"Diksmuide"-properNoun-eo "Diksmuide"-properNoun-fr
"Diksmuide"-properNoun-fr "Diksmuide"-properNoun-eo
"dilatanto"-noun-eo "dilatateur"-noun-fr
"dilatateur"-noun-fr "dilatanto"-noun-eo
"dilatateur"-noun-fr "dilatilo"-noun-eo
"dilatilo"-noun-eo "dilatateur"-noun-fr
"Dilsen-Stokkem"-properNoun-eo "Dilsen-Stokkem"-properNoun-fr
"Dilsen-Stokkem"-properNoun-fr "Dilsen-Stokkem"-properNoun-eo
"diluvio"-noun-eo "diluvium"-noun-fr
"diluvium"-noun-fr "diluvio"-noun-eo
"dimanĉe matene"-adverb-eo "dimanche matin"-adverb-fr
"dimanche matin"-adverb-fr "dimanĉe matene"-adverb-eo
"dimanĉe nokte"-adverb-eo "dimanche soir"-adverb-fr
"dimanche soir"-adverb-fr "dimanĉe nokte"-adverb-eo
"dimanche soir"-adverb-fr "dimanĉe vespere"-adverb-eo
"dimanĉe vespere"-adverb-eo "dimanche soir"-adverb-fr
"dimanĉe posttagmeze"-adverb-eo "dimanche après-midi"-adverb-fr
"dimanche après-midi"-adverb-fr "dimanĉe posttagmeze"-adverb-eo
"diminutif"-noun-fr "karesnomo"-noun-eo
"karesnomo"-noun-eo "diminutif"-noun-fr
"karesnomo"-noun-eo "petit nom"-noun-fr
"dinamitado"-noun-eo "dynamitage"-noun-fr
"dynamitage"-noun-fr "dinamitado"-noun-eo
"Dinant"-properNoun-eo "Dinant"-properNoun-fr
"Dinant"-properNoun-fr "Dinant"-properNoun-eo
"dinornito"-noun-eo "dinornis"-noun-fr
"dinornis"-noun-fr "dinornito"-noun-eo
"dipatrino"-noun-eo "mère de Dieu"-noun-fr
"mère de Dieu"-noun-fr "dipatrino"-noun-eo
"diplomatia noto"-noun-eo "note diplomatique"-noun-fr
"note diplomatique"-noun-fr "diplomatia noto"-noun-eo
"dipsakaco"-noun-eo "dipsacacée"-noun-fr
"dipsacacée"-noun-fr "dipsakaco"-noun-eo
"dipsako"-noun-eo "cardère"-noun-fr
"cardère"-noun-fr "dipsako"-noun-eo
"diraka"-adjective-eo "de Dirac"-adjective-fr
