"n'importe quel"-determiner-fr "ajna"-determiner-eo
"occupation"-noun-fr "okupo"-noun-eo
"occupation"-noun-fr "okupacio"-noun-eo
"okupo"-noun-eo "occupation"-noun-fr
"okupacio"-noun-eo "occupation"-noun-fr
"tâche"-noun-fr "tasko"-noun-eo
"ŝipo"-noun-eo "navire"-noun-fr
"ŝipo"-noun-eo "bateau"-noun-fr
"navire"-noun-fr "ŝipo"-noun-eo
"bateau"-noun-fr "ŝipo"-noun-eo
"navo"-noun-eo "nef"-noun-fr
"nef"-noun-fr "navo"-noun-eo
"bâtiment"-noun-fr "konstruaĵo"-noun-eo
"konstruaĵo"-noun-eo "bâtiment"-noun-fr
"konstruaĵo"-noun-eo "édifice"-noun-fr
"édifice"-noun-fr "konstruaĵo"-noun-eo
"construction"-noun-fr "konstruo"-noun-eo
"konstruo"-noun-eo "construction"-noun-fr
"complexe"-noun-fr "komplekso"-noun-eo
"komplekso"-noun-eo "complexe"-noun-fr
"montage"-noun-fr "muntado"-noun-eo
"muntado"-noun-eo "montage"-noun-fr
"confrontation"-noun-fr "konfronto"-noun-eo
"konfronto"-noun-eo "confrontation"-noun-fr
"investo"-noun-eo "investissement"-noun-fr
"investissement"-noun-fr "investo"-noun-eo
"position"-noun-fr "pozicio"-noun-eo
"pozicio"-noun-eo "position"-noun-fr
"forto"-noun-eo "force"-noun-fr
"force"-noun-fr "forto"-noun-eo
"jupe"-noun-fr "jupo"-noun-eo
"jupo"-noun-eo "jupe"-noun-fr
"queue"-noun-fr "vosto"-noun-eo
"vosto"-noun-eo "queue"-noun-fr
"vojo"-noun-eo "chemin"-noun-fr
"vojo"-noun-eo "voie"-noun-fr
"chemin"-noun-fr "vojo"-noun-eo
"voie"-noun-fr "vojo"-noun-eo
"koridoro"-noun-eo "corridor"-noun-fr
"koridoro"-noun-eo "couloir"-noun-fr
"koridoro"-noun-eo "courtier"-noun-fr
"corridor"-noun-fr "koridoro"-noun-eo
"couloir"-noun-fr "koridoro"-noun-eo
"courtier"-noun-fr "koridoro"-noun-eo
"grandeco"-noun-eo "taille"-noun-fr
"grandeco"-noun-eo "grandeur"-noun-fr
"taille"-noun-fr "grandeco"-noun-eo
"grandeur"-noun-fr "grandeco"-noun-eo
"grandeur"-noun-fr "grando"-noun-eo
"grando"-noun-eo "grandeur"-noun-fr
"sugesto"-noun-eo "suggestion"-noun-fr
"suggestion"-noun-fr "sugesto"-noun-eo
"influence"-noun-fr "influo"-noun-eo
"influo"-noun-eo "influence"-noun-fr
"prapatro"-noun-eo "ancêtre"-noun-fr
"ancêtre"-noun-fr "prapatro"-noun-eo
"antaŭulo"-noun-eo "prédécesseur"-noun-fr
"prédécesseur"-noun-fr "antaŭulo"-noun-eo
"obligacio"-noun-eo "obligation"-noun-fr
"obligation"-noun-fr "obligacio"-noun-eo
"obligation"-noun-fr "devigo"-noun-eo
"devigo"-noun-eo "obligation"-noun-fr
"subskribo"-noun-eo "signature"-noun-fr
"subskribo"-noun-eo "firme"-noun-fr
"signature"-noun-fr "subskribo"-noun-eo
"firme"-noun-fr "subskribo"-noun-eo
"concentration"-noun-fr "koncentrado"-noun-eo
"koncentrado"-noun-eo "concentration"-noun-fr
"collection"-noun-fr "kolekto"-noun-eo
"kolekto"-noun-eo "collection"-noun-fr
"sélection"-noun-fr "selektado"-noun-eo
"selektado"-noun-eo "sélection"-noun-fr
"elekto"-noun-eo "élection"-noun-fr
"élection"-noun-fr "elekto"-noun-eo
"deziro"-noun-eo "désir"-noun-fr
"deziro"-noun-eo "souhait"-noun-fr
"désir"-noun-fr "deziro"-noun-eo
"souhait"-noun-fr "deziro"-noun-eo
"gorge"-noun-fr "gorĝo"-noun-eo
"gorĝo"-noun-eo "gorge"-noun-fr
"kesto"-noun-eo "boîte"-noun-fr
"boîte"-noun-fr "kesto"-noun-eo
"boîte"-noun-fr "skatolo"-noun-eo
"skatolo"-noun-eo "boîte"-noun-fr
"skatolo"-noun-eo "caisse"-noun-fr
"caisse"-noun-fr "skatolo"-noun-eo
"pantalon"-noun-fr "pantalono"-noun-eo
"pantalono"-noun-eo "pantalon"-noun-fr
"voyage"-noun-fr "vojaĝo"-noun-eo
"vojaĝo"-noun-eo "voyage"-noun-fr
"fabelo"-noun-eo "conte"-noun-fr
"conte"-noun-fr "fabelo"-noun-eo
"narration"-noun-fr "rakonto"-noun-eo
"rakonto"-noun-eo "narration"-noun-fr
"oficejo"-noun-eo "office"-noun-fr
"oficejo"-noun-eo "bureau"-noun-fr
"office"-noun-fr "oficejo"-noun-eo
"office"-noun-fr "ofico"-noun-eo
"bureau"-noun-fr "oficejo"-noun-eo
"bureau"-noun-fr "depeŝo"-noun-eo
"ofico"-noun-eo "office"-noun-fr
"ofico"-noun-eo "métier"-noun-fr
"depeŝo"-noun-eo "bureau"-noun-fr
"métier"-noun-fr "ofico"-noun-eo
"tapiŝo"-noun-eo "tapis"-noun-fr
"tapiŝo"-noun-eo "tapisserie"-noun-fr
"tapis"-noun-fr "tapiŝo"-noun-eo
"tapisserie"-noun-fr "tapiŝo"-noun-eo
"blessure"-noun-fr "vundo"-noun-eo
"vundo"-noun-eo "blessure"-noun-fr
"lésion"-noun-fr "lezo"-noun-eo
"lezo"-noun-eo "lésion"-noun-fr
"perte"-noun-fr "perdo"-noun-eo
"perte"-noun-fr "malprofito"-noun-eo
"perdo"-noun-eo "perte"-noun-fr
"malprofito"-noun-eo "perte"-noun-fr
"radiation"-noun-fr "radiado"-noun-eo
"radiado"-noun-eo "radiation"-noun-fr
"radio"-noun-eo "radio"-noun-fr
"radio"-noun-eo "rayon"-noun-fr
"radio"-noun-eo "rai"-noun-fr
"radio"-noun-fr "radio"-noun-eo
"rayon"-noun-fr "radio"-noun-eo
"rayon"-noun-fr "spoko"-noun-eo
"rai"-noun-fr "radio"-noun-eo
"spoko"-noun-eo "rayon"-noun-fr
"approbation"-noun-fr "aprobo"-noun-eo
"aprobo"-noun-eo "approbation"-noun-fr
"ŝanĝo"-noun-eo "changement"-noun-fr
"ŝanĝo"-noun-eo "saute"-noun-fr
"changement"-noun-fr "ŝanĝo"-noun-eo
"saute"-noun-fr "ŝanĝo"-noun-eo
"échange"-noun-fr "interŝanĝo"-noun-eo
"interŝanĝo"-noun-eo "échange"-noun-fr
"vido"-noun-eo "vue"-noun-fr
"vido"-noun-eo "vision"-noun-fr
"vue"-noun-fr "vido"-noun-eo
"vision"-noun-fr "vido"-noun-eo
"vision"-noun-fr "vidado"-noun-eo
"vidado"-noun-eo "vision"-noun-fr
"muaro"-noun-eo "aspect"-noun-fr
"aspect"-noun-fr "muaro"-noun-eo
"aspect"-noun-fr "aspekto"-noun-eo
"aspekto"-noun-eo "aspect"-noun-fr
"bildo"-noun-eo "image"-noun-fr
"image"-noun-fr "bildo"-noun-eo
"ruban"-noun-fr "bendo"-noun-eo
"bendo"-noun-eo "ruban"-noun-fr
"bendo"-noun-eo "cassette"-noun-fr
"cassette"-noun-fr "bendo"-noun-eo
"parenthèse"-noun-fr "parentezo"-noun-eo
"parentezo"-noun-eo "parenthèse"-noun-fr
"provision"-noun-fr "provizo"-noun-eo
"provizo"-noun-eo "provision"-noun-fr
"bénéfice"-noun-fr "profito"-noun-eo
"profito"-noun-eo "bénéfice"-noun-fr
"utilité"-noun-fr "utileco"-noun-eo
"utileco"-noun-eo "utilité"-noun-fr
"ilo"-noun-eo "outil"-noun-fr
"ilo"-noun-eo "instrument"-noun-fr
"outil"-noun-fr "ilo"-noun-eo
"instrument"-noun-fr "ilo"-noun-eo
"instrument"-noun-fr "instrumento"-noun-eo
"instrumento"-noun-eo "instrument"-noun-fr
"vazo"-noun-eo "récipient"-noun-fr
"vazo"-noun-eo "vase"-noun-fr
"récipient"-noun-fr "vazo"-noun-eo
"récipient"-noun-fr "ujo"-noun-eo
"vase"-noun-fr "vazo"-noun-eo
"ujo"-noun-eo "récipient"-noun-fr
"pichet"-noun-fr "kruĉo"-noun-eo
"kruĉo"-noun-eo "pichet"-noun-fr
"paquet"-noun-fr "pako"-noun-eo
"pako"-noun-eo "paquet"-noun-fr
"pako"-noun-eo "colis"-noun-fr
"colis"-noun-fr "pako"-noun-eo
"haŭto"-noun-eo "peau"-noun-fr
"haŭto"-noun-eo "fourrure"-noun-fr
"peau"-noun-fr "haŭto"-noun-eo
"fourrure"-noun-fr "haŭto"-noun-eo
"hararo"-noun-eo "chevelure"-noun-fr
"hararo"-noun-eo "cheveu"-noun-fr
"chevelure"-noun-fr "hararo"-noun-eo
"cheveu"-noun-fr "hararo"-noun-eo
"cheveu"-noun-fr "haro"-noun-eo
"haro"-noun-eo "cheveu"-noun-fr
"haro"-noun-eo "poil"-noun-fr
"poil"-noun-fr "haro"-noun-eo
"truo"-noun-eo "trou"-noun-fr
"trou"-noun-fr "truo"-noun-eo
"vide"-noun-fr "vakuo"-noun-eo
"vakuo"-noun-eo "vide"-noun-fr
"déficit"-noun-fr "deficito"-noun-eo
"deficito"-noun-eo "déficit"-noun-fr
"dégât"-noun-fr "difekto"-noun-eo
"accident"-noun-fr "akcidento"-noun-eo
"akcidento"-noun-eo "accident"-noun-fr
"misère"-noun-fr "mizero"-noun-eo
"mizero"-noun-eo "misère"-noun-fr
"vario"-noun-eo "variété"-noun-fr
"variété"-noun-fr "vario"-noun-eo
"malakordo"-noun-eo "désaccord"-noun-fr
"désaccord"-noun-fr "malakordo"-noun-eo
"heure"-noun-fr "horo"-noun-eo
"horo"-noun-eo "heure"-noun-fr
"temps"-noun-fr "tempo"-noun-eo
"temps"-noun-fr "vetero"-noun-eo
"tempo"-noun-eo "temps"-noun-fr
"vetero"-noun-eo "temps"-noun-fr
"époque"-noun-fr "epoko"-noun-eo
"epoko"-noun-eo "époque"-noun-fr
"ère"-noun-fr "erao"-noun-eo
"erao"-noun-eo "ère"-noun-fr
"rayonnage"-noun-fr "breto"-noun-eo
"breto"-noun-eo "rayonnage"-noun-fr
"breto"-noun-eo "étagère"-noun-fr
"étagère"-noun-fr "breto"-noun-eo
"noto"-noun-eo "note"-noun-fr
"noto"-noun-eo "notice"-noun-fr
"note"-noun-fr "noto"-noun-eo
"notice"-noun-fr "noto"-noun-eo
"enkonduko"-noun-eo "implantation"-noun-fr
"enkonduko"-noun-eo "introduction"-noun-fr
"implantation"-noun-fr "enkonduko"-noun-eo
"introduction"-noun-fr "enkonduko"-noun-eo
"coupe"-noun-fr "pokalo"-noun-eo
"pokalo"-noun-eo "coupe"-noun-fr
"tranĉaĵo"-noun-eo "tranche"-noun-fr
"tranche"-noun-fr "tranĉaĵo"-noun-eo
"emphase"-noun-fr "emfazo"-noun-eo
"emfazo"-noun-eo "emphase"-noun-fr
"emfazo"-noun-eo "accent"-noun-fr
"accent"-noun-fr "emfazo"-noun-eo
"accent"-noun-fr "akcento"-noun-eo
"akcento"-noun-eo "accent"-noun-fr
"poteau"-noun-fr "fosto"-noun-eo
"fosto"-noun-eo "poteau"-noun-fr
"bastono"-noun-eo "bâton"-noun-fr
"bastono"-noun-eo "canne"-noun-fr
"bâton"-noun-fr "bastono"-noun-eo
"canne"-noun-fr "bastono"-noun-eo
"canne"-noun-fr "kano"-noun-eo
"bar"-noun-fr "trinkejo"-noun-eo
"trinkejo"-noun-eo "bar"-noun-fr
"itinero"-noun-eo "itinéraire"-noun-fr
"itinéraire"-noun-fr "itinero"-noun-eo
"angulo"-noun-eo "coin"-noun-fr
"angulo"-noun-eo "angle"-noun-fr
"coin"-noun-fr "angulo"-noun-eo
"angle"-noun-fr "angulo"-noun-eo
"prudence"-noun-fr "singardeco"-noun-eo
"prudence"-noun-fr "prudento"-noun-eo
"singardeco"-noun-eo "prudence"-noun-fr
"prudento"-noun-eo "prudence"-noun-fr
"obstacle"-noun-fr "obstaklo"-noun-eo
"obstaklo"-noun-eo "obstacle"-noun-fr
"haie"-noun-fr "palisaro"-noun-eo
"haie"-noun-fr "heĝo"-noun-eo
"palisaro"-noun-eo "haie"-noun-fr
"heĝo"-noun-eo "haie"-noun-fr
"loĝejo"-noun-eo "appartement"-noun-fr
"loĝejo"-noun-eo "logement"-noun-fr
"loĝejo"-noun-eo "habitation"-noun-fr
"appartement"-noun-fr "loĝejo"-noun-eo
"appartement"-noun-fr "apartamento"-noun-eo
"logement"-noun-fr "loĝejo"-noun-eo
"habitation"-noun-fr "loĝejo"-noun-eo
"habitation"-noun-fr "ĉambro"-noun-eo
"apartamento"-noun-eo "appartement"-noun-fr
"chambre"-noun-fr "ĉambro"-noun-eo
"ĉambro"-noun-eo "habitation"-noun-fr
"ĉambro"-noun-eo "chambre"-noun-fr
"sol"-noun-fr "planko"-noun-eo
"sol"-noun-fr "grundo"-noun-eo
"sol"-noun-fr "tero"-noun-eo
"planko"-noun-eo "sol"-noun-fr
"grundo"-noun-eo "sol"-noun-fr
"tero"-noun-eo "sol"-noun-fr
"tero"-noun-eo "terre"-noun-fr
"terre"-noun-fr "tero"-noun-eo
"fond"-noun-fr "fono"-noun-eo
"fond"-noun-fr "fundo"-noun-eo
"fono"-noun-eo "fond"-noun-fr
"fundo"-noun-eo "fond"-noun-fr
"dossier"-noun-fr "dosiero"-noun-eo
"dosiero"-noun-eo "dossier"-noun-fr
"dosiero"-noun-eo "fichier"-noun-fr
"fichier"-noun-fr "dosiero"-noun-eo
"soutien"-noun-fr "apogo"-noun-eo
"apogo"-noun-eo "soutien"-noun-fr
"apogo"-noun-eo "appui"-noun-fr
"apogo"-noun-eo "support"-noun-fr
"appui"-noun-fr "apogo"-noun-eo
"support"-noun-fr "apogo"-noun-eo
"dalle"-noun-fr "slabo"-noun-eo
"slabo"-noun-eo "dalle"-noun-fr
"panneau"-noun-fr "panelo"-noun-eo
"panneau"-noun-fr "afiŝo"-noun-eo
"panelo"-noun-eo "panneau"-noun-fr
"afiŝo"-noun-eo "panneau"-noun-fr
"afiŝo"-noun-eo "affiche"-noun-fr
"afiŝo"-noun-eo "poster"-noun-fr
"affiche"-noun-fr "afiŝo"-noun-eo
"poster"-noun-fr "afiŝo"-noun-eo
"elirejo"-noun-eo "sortie"-noun-fr
"elirejo"-noun-eo "issue"-noun-fr
"sortie"-noun-fr "elirejo"-noun-eo
"sortie"-noun-fr "eliro"-noun-eo
"issue"-noun-fr "elirejo"-noun-eo
"issue"-noun-fr "eliro"-noun-eo
"eliro"-noun-eo "sortie"-noun-fr
"eliro"-noun-eo "issue"-noun-fr
"eliro"-noun-eo "départ"-noun-fr
"départ"-noun-fr "partio"-noun-eo
"départ"-noun-fr "eliro"-noun-eo
"ban"-noun-fr "partio"-noun-eo
"festo"-noun-eo "fête"-noun-fr
"festo"-noun-eo "festivité"-noun-fr
"fête"-noun-fr "festo"-noun-eo
"festivité"-noun-fr "festo"-noun-eo
"événement"-noun-fr "okazaĵo"-noun-eo
"okazaĵo"-noun-eo "événement"-noun-fr
"evento"-noun-eo "évènement"-noun-fr
"évènement"-noun-fr "evento"-noun-eo
"aléa"-noun-fr "hazardo"-noun-eo
"hazardo"-noun-eo "aléa"-noun-fr
"destination"-noun-fr "destino"-noun-eo
"destino"-noun-eo "destination"-noun-fr
"but"-noun-fr "celo"-noun-eo
"but"-noun-fr "objektivo"-noun-eo
"but"-noun-fr "golo"-noun-eo
"celo"-noun-eo "but"-noun-fr
"celo"-noun-eo "objectif"-noun-fr
"celo"-noun-eo "finalité"-noun-fr
"celo"-noun-eo "cible"-noun-fr
"celo"-noun-eo "blanc"-noun-fr
"objektivo"-noun-eo "but"-noun-fr
"objektivo"-noun-eo "objectif"-noun-fr
"golo"-noun-eo "but"-noun-fr
"objectif"-noun-fr "celo"-noun-eo
"objectif"-noun-fr "objektivo"-noun-eo
"finalité"-noun-fr "celo"-noun-eo
"cible"-noun-fr "celo"-noun-eo
"blanc"-noun-fr "celo"-noun-eo
"fin"-noun-fr "fino"-noun-eo
"fino"-noun-eo "fin"-noun-fr
"afero"-noun-eo "chose"-noun-fr
"afero"-noun-eo "affaire"-noun-fr
"afero"-noun-eo "sujet"-noun-fr
"chose"-noun-fr "afero"-noun-eo
"chose"-noun-fr "aĵo"-noun-eo
"affaire"-noun-fr "afero"-noun-eo
"affaire"-noun-fr "negoco"-noun-eo
"sujet"-noun-fr "afero"-noun-eo
"sujet"-noun-fr "subjekto"-noun-eo
"aĵo"-noun-eo "chose"-noun-fr
"negoco"-noun-eo "affaire"-noun-fr
"negoco"-noun-eo "négoce"-noun-fr
"subjekto"-noun-eo "sujet"-noun-fr
"négoce"-noun-fr "negoco"-noun-eo
"kialo"-noun-eo "raison"-noun-fr
"kialo"-noun-eo "pourquoi"-noun-fr
"raison"-noun-fr "kialo"-noun-eo
"raison"-noun-fr "racio"-noun-eo
"pourquoi"-noun-fr "kialo"-noun-eo
"racio"-noun-eo "raison"-noun-fr
"motif"-noun-fr "motivo"-noun-eo
"motivo"-noun-eo "motif"-noun-fr
"cellule"-noun-fr "ĉelo"-noun-eo
"ĉelo"-noun-eo "cellule"-noun-fr
"prison"-noun-fr "malliberejo"-noun-eo
"prison"-noun-fr "prizono"-noun-eo
"malliberejo"-noun-eo "prison"-noun-fr
"prizono"-noun-eo "prison"-noun-fr
"puno"-noun-eo "punition"-noun-fr
"punition"-noun-fr "puno"-noun-eo
"sanction"-noun-fr "sankcio"-noun-eo
"sankcio"-noun-eo "sanction"-noun-fr
"propono"-noun-eo "offre"-noun-fr
"propono"-noun-eo "proposition"-noun-fr
"offre"-noun-fr "propono"-noun-eo
"offre"-noun-fr "oferto"-noun-eo
"proposition"-noun-fr "propono"-noun-eo
"proposition"-noun-fr "propozicio"-noun-eo
"oferto"-noun-eo "offre"-noun-fr
"propozicio"-noun-eo "proposition"-noun-fr
"illusion"-noun-fr "iluzio"-noun-eo
"iluzio"-noun-eo "illusion"-noun-fr
"spectre"-noun-fr "spektro"-noun-eo
"spektro"-noun-eo "spectre"-noun-fr
"menace"-noun-fr "minaco"-noun-eo
"minaco"-noun-eo "menace"-noun-fr
"fantomo"-noun-eo "fantôme"-noun-fr
"fantôme"-noun-fr "fantomo"-noun-eo
"paŭzo"-noun-eo "pause"-noun-fr
"pause"-noun-fr "paŭzo"-noun-eo
"rupture"-noun-fr "rompo"-noun-eo
"rompo"-noun-eo "rupture"-noun-fr
"fendo"-noun-eo "crevasse"-noun-fr
"fendo"-noun-eo "fente"-noun-fr
"crevasse"-noun-fr "fendo"-noun-eo
"fente"-noun-fr "fendo"-noun-eo
"golfe"-noun-fr "golfo"-noun-eo
"golfo"-noun-eo "golfe"-noun-fr
"golfo"-noun-eo "golf"-noun-fr
"golf"-noun-fr "golfo"-noun-eo
"semo"-noun-eo "pépite"-noun-fr
"semo"-noun-eo "semence"-noun-fr
"pépite"-noun-fr "semo"-noun-eo
"semence"-noun-fr "semo"-noun-eo
"posteulo"-noun-eo "successeur"-noun-fr
"successeur"-noun-fr "posteulo"-noun-eo
"éventail"-noun-fr "ventumilo"-noun-eo
"ventumilo"-noun-eo "éventail"-noun-fr
"gamme"-noun-fr "gamo"-noun-eo
"gamo"-noun-eo "gamme"-noun-fr
"vico"-noun-eo "tour"-noun-fr
"vico"-noun-eo "file"-noun-fr
"vico"-noun-eo "rangée"-noun-fr
"tour"-noun-fr "vico"-noun-eo
"tour"-noun-fr "volbo"-noun-eo
"tour"-noun-fr "turo"-noun-eo
"file"-noun-fr "vico"-noun-eo
"rangée"-noun-fr "vico"-noun-eo
"volbo"-noun-eo "tour"-noun-fr
"turo"-noun-eo "tour"-noun-fr
"parcelle"-noun-fr "parcelo"-noun-eo
"parcelo"-noun-eo "parcelle"-noun-fr
"lando"-noun-eo "pays"-noun-fr
"pays"-noun-fr "lando"-noun-eo
"graflando"-noun-eo "comté"-noun-fr
"comté"-noun-fr "graflando"-noun-eo
"comté"-noun-fr "grafejo"-noun-eo
"grafejo"-noun-eo "comté"-noun-fr
"quantité"-noun-fr "kvanto"-noun-eo
"kvanto"-noun-eo "quantité"-noun-fr
"kano"-noun-eo "canne"-noun-fr
"kano"-noun-eo "roseau"-noun-fr
"pluvo"-noun-eo "pluie"-noun-fr
"pluie"-noun-fr "pluvo"-noun-eo
"rundo"-noun-eo "ronde"-noun-fr
"ronde"-noun-fr "rundo"-noun-eo
"nomo"-noun-eo "nom"-noun-fr
"nomo"-noun-eo "prénom"-noun-fr
"nom"-noun-fr "nomo"-noun-eo
"prénom"-noun-fr "nomo"-noun-eo
"réputation"-noun-fr "reputacio"-noun-eo
"reputacio"-noun-eo "réputation"-noun-fr
"renommée"-noun-fr "famo"-noun-eo
"famo"-noun-eo "renommée"-noun-fr
"famo"-noun-eo "rumeur"-noun-fr
"rumeur"-noun-fr "famo"-noun-eo
"rumeur"-noun-fr "onidiro"-noun-eo
"familio"-noun-eo "famille"-noun-fr
"famille"-noun-fr "familio"-noun-eo
"race"-noun-fr "kasto"-noun-eo
"race"-noun-fr "raso"-noun-eo
"kasto"-noun-eo "race"-noun-fr
"raso"-noun-eo "race"-noun-fr
"course"-noun-fr "kuro"-noun-eo
"kuro"-noun-eo "course"-noun-fr
"kuro"-noun-eo "carrière"-noun-fr
"carrière"-noun-fr "kuro"-noun-eo
"carrière"-noun-fr "kariero"-noun-eo
"kariero"-noun-eo "carrière"-noun-fr
"rue"-noun-fr "strato"-noun-eo
"strato"-noun-eo "rue"-noun-fr
"étude"-noun-fr "studo"-noun-eo
"studo"-noun-eo "étude"-noun-fr
"enquête"-noun-fr "enketo"-noun-eo
"enketo"-noun-eo "enquête"-noun-fr
"enketo"-noun-eo "recherche"-noun-fr
"enketo"-noun-eo "investigation"-noun-fr
"recherche"-noun-fr "enketo"-noun-eo
"recherche"-noun-fr "esploro"-noun-eo
"recherche"-noun-fr "esplorado"-noun-eo
"investigation"-noun-fr "enketo"-noun-eo
"esploro"-noun-eo "recherche"-noun-fr
"esplorado"-noun-eo "recherche"-noun-fr
"demando"-noun-eo "question"-noun-fr
"question"-noun-fr "demando"-noun-eo
"materio"-noun-eo "matière"-noun-fr
"matière"-noun-fr "materio"-noun-eo
"matière"-noun-fr "lernofako"-noun-eo
"lernofako"-noun-eo "matière"-noun-fr
"materialo"-noun-eo "matériel"-noun-fr
"materialo"-noun-eo "matériau"-noun-fr
"matériel"-noun-fr "materialo"-noun-eo
"matériau"-noun-fr "materialo"-noun-eo
"objekto"-noun-eo "objet"-noun-fr
"objet"-noun-fr "objekto"-noun-eo
"article"-noun-fr "artikolo"-noun-eo
"artikolo"-noun-eo "article"-noun-fr
"pièce"-noun-fr "peco"-noun-eo
"peco"-noun-eo "pièce"-noun-fr
"peco"-noun-eo "tronçon"-noun-fr
"peco"-noun-eo "morceau"-noun-fr
"tronçon"-noun-fr "peco"-noun-eo
"morceau"-noun-fr "peco"-noun-eo
"garantiaĵo"-noun-eo "gage"-noun-fr
"gage"-noun-fr "garantiaĵo"-noun-eo
"garantie"-noun-fr "garantio"-noun-eo
"garantio"-noun-eo "garantie"-noun-fr
"aval"-noun-fr "avalo"-noun-eo
"avalo"-noun-eo "aval"-noun-fr
"crédit"-noun-fr "kredito"-noun-eo
"kredito"-noun-eo "crédit"-noun-fr
"peto"-noun-eo "pétition"-noun-fr
"peto"-noun-eo "demande"-noun-fr
"peto"-noun-eo "sollicitude"-noun-fr
"pétition"-noun-fr "peto"-noun-eo
"demande"-noun-fr "peto"-noun-eo
"sollicitude"-noun-fr "peto"-noun-eo
"postulo"-noun-eo "exigence"-noun-fr
"exigence"-noun-fr "postulo"-noun-eo
"commission"-noun-fr "komisio"-noun-eo
"commission"-noun-fr "komisiono"-noun-eo
"komisio"-noun-eo "commission"-noun-fr
"komisio"-noun-eo "commande"-noun-fr
"komisiono"-noun-eo "commission"-noun-fr
"commande"-noun-fr "komisio"-noun-eo
"devoir"-noun-fr "devo"-noun-eo
"devo"-noun-eo "devoir"-noun-fr
"cou"-noun-fr "kolo"-noun-eo
"kolo"-noun-eo "cou"-noun-fr
"kolo"-noun-eo "encolure"-noun-fr
"kolo"-noun-eo "col"-noun-fr
"encolure"-noun-fr "kolo"-noun-eo
"col"-noun-fr "kolo"-noun-eo
"fadeno"-noun-eo "fil"-noun-fr
"fil"-noun-fr "fadeno"-noun-eo
"monteto"-noun-eo "colline"-noun-fr
"colline"-noun-fr "monteto"-noun-eo
"effet"-noun-fr "efekto"-noun-eo
"effet"-noun-fr "efiko"-noun-eo
"efekto"-noun-eo "effet"-noun-fr
"efiko"-noun-eo "effet"-noun-fr
"empreinte"-noun-fr "spuro"-noun-eo
"spuro"-noun-eo "empreinte"-noun-fr
"spuro"-noun-eo "trace"-noun-fr
"spuro"-noun-eo "vestige"-noun-fr
"trace"-noun-fr "spuro"-noun-eo
"vestige"-noun-fr "spuro"-noun-eo
"kapablo"-noun-eo "capacité"-noun-fr
"capacité"-noun-fr "kapablo"-noun-eo
"faculté"-noun-fr "fakultato"-noun-eo
"fakultato"-noun-eo "faculté"-noun-fr
"puissance"-noun-fr "potenco"-noun-eo
"potenco"-noun-eo "puissance"-noun-fr
"povo"-noun-eo "pouvoir"-noun-fr
"pouvoir"-noun-fr "povo"-noun-eo
"statut"-noun-fr "statuto"-noun-eo
"statuto"-noun-eo "statut"-noun-fr
"loi"-noun-fr "leĝo"-noun-eo
"leĝo"-noun-eo "loi"-noun-fr
"allant"-noun-fr "dispozicio"-noun-eo
"dispozicio"-noun-eo "allant"-noun-fr
"dispozicio"-noun-eo "disposition"-noun-fr
"dispozicio"-noun-eo "aménagement"-noun-fr
"disposition"-noun-fr "dispozicio"-noun-eo
"aménagement"-noun-fr "dispozicio"-noun-eo
"planto"-noun-eo "plante"-noun-fr
"plante"-noun-fr "planto"-noun-eo
"rythme"-noun-fr "ritmo"-noun-eo
"ritmo"-noun-eo "rythme"-noun-fr
"coup"-noun-fr "bato"-noun-eo
"bato"-noun-eo "coup"-noun-fr
"fojo"-noun-eo "fois"-noun-fr
"fois"-noun-fr "fojo"-noun-eo
"ligne"-noun-fr "linio"-noun-eo
"linio"-noun-eo "ligne"-noun-fr
"streko"-noun-eo "trait"-noun-fr
"trait"-noun-fr "streko"-noun-eo
"strio"-noun-eo "frange"-noun-fr
"frange"-noun-fr "strio"-noun-eo
"bande"-noun-fr "bando"-noun-eo
"bando"-noun-eo "bande"-noun-fr
"fugo"-noun-eo "fuite"-noun-fr
"fuite"-noun-fr "fugo"-noun-eo
"argument"-noun-fr "argumento"-noun-eo
"argumento"-noun-eo "argument"-noun-fr
"discussion"-noun-fr "diskutado"-noun-eo
"diskutado"-noun-eo "discussion"-noun-fr
"considération"-noun-fr "konsidero"-noun-eo
"konsidero"-noun-eo "considération"-noun-fr
"konsidero"-noun-eo "égard"-noun-fr
"égard"-noun-fr "konsidero"-noun-eo
"saut"-noun-fr "salto"-noun-eo
"salto"-noun-eo "saut"-noun-fr
"chute"-noun-fr "falo"-noun-eo
"falo"-noun-eo "chute"-noun-fr
"deklivo"-noun-eo "versant"-noun-fr
"deklivo"-noun-eo "pente"-noun-fr
"versant"-noun-fr "deklivo"-noun-eo
"pente"-noun-fr "deklivo"-noun-eo
"manière"-noun-fr "maniero"-noun-eo
"maniero"-noun-eo "manière"-noun-fr
"maniero"-noun-eo "façon"-noun-fr
"façon"-noun-fr "maniero"-noun-eo
"mode"-noun-fr "modo"-noun-eo
"modo"-noun-eo "mode"-noun-fr
"style"-noun-fr "stilo"-noun-eo
"stilo"-noun-eo "style"-noun-fr
"langue"-noun-fr "lingvo"-noun-eo
"langue"-noun-fr "lango"-noun-eo
"lingvo"-noun-eo "langue"-noun-fr
"lingvo"-noun-eo "langage"-noun-fr
"lango"-noun-eo "langue"-noun-fr
"langage"-noun-fr "lingvo"-noun-eo
"konversacio"-noun-eo "conversation"-noun-fr
"conversation"-noun-fr "konversacio"-noun-eo
