"cap"-determiner-oc "cap"-determiner-ca
"Lleó"-properNoun-ca "Léon"-noun-oc
"Lleó"-properNoun-ca "Léon"-properNoun-oc
"Lleó"-properNoun-ca "Lleó"-noun-oc
"Lleó"-properNoun-ca "Lleó"-properNoun-oc
"Léon"-properNoun-oc "Lleó"-properNoun-ca
"Lleó"-noun-oc "Lleó"-properNoun-ca
"Lleó"-properNoun-oc "Lleó"-properNoun-ca
"Vladimir"-noun-oc "Vladímir"-properNoun-ca
"Vladímir"-properNoun-ca "Vladimir"-noun-oc
"Vladímir"-properNoun-ca "Vladimir"-properNoun-oc
"Vladimir"-properNoun-oc "Vladímir"-properNoun-ca
"Egea"-properNoun-ca "Egea"-noun-oc
"Egea"-properNoun-ca "Egea"-properNoun-oc
"Egea"-noun-oc "Egea"-properNoun-ca
"Egea"-properNoun-oc "Egea"-properNoun-ca
"Porto"-properNoun-ca "Porto"-noun-oc
"Porto"-properNoun-ca "Porto"-properNoun-oc
"Porto"-noun-oc "Porto"-properNoun-ca
"Porto"-properNoun-oc "Porto"-properNoun-ca
"Savoie"-noun-oc "Savoia"-properNoun-ca
"Savoia"-properNoun-ca "Savoie"-noun-oc
"Savoia"-properNoun-ca "Savoie"-properNoun-oc
"Savoia"-properNoun-ca "Savoia"-noun-oc
"Savoia"-properNoun-ca "Savoia"-properNoun-oc
"Savoie"-properNoun-oc "Savoia"-properNoun-ca
"Savoia"-noun-oc "Savoia"-properNoun-ca
"Savoia"-properNoun-oc "Savoia"-properNoun-ca
"Domergue"-properNoun-oc "Dominica"-properNoun-ca
"Dominica"-properNoun-ca "Domergue"-properNoun-oc
"Figueras"-properNoun-ca "Figueres"-properNoun-oc
"Figueras"-properNoun-ca "Figueres"-noun-oc
"Figueres"-properNoun-oc "Figueras"-properNoun-ca
"Figueres"-noun-oc "Figueras"-properNoun-ca
"Oriola"-properNoun-ca "Oriola"-properNoun-oc
"Oriola"-properNoun-ca "Oriola"-noun-oc
"Oriola"-properNoun-ca "Orihuela"-noun-oc
"Oriola"-properNoun-ca "Orihuela"-properNoun-oc
"Oriola"-properNoun-oc "Oriola"-properNoun-ca
"Oriola"-noun-oc "Oriola"-properNoun-ca
"Orihuela"-noun-oc "Oriola"-properNoun-ca
"Orihuela"-properNoun-oc "Oriola"-properNoun-ca
"Alier"-noun-oc "Alier"-properNoun-ca
"Alier"-properNoun-ca "Alier"-noun-oc
"Alier"-properNoun-ca "Alier"-properNoun-oc
"Alier"-properNoun-oc "Alier"-properNoun-ca
"Teruel"-noun-oc "Terol"-properNoun-ca
"Terol"-properNoun-ca "Teruel"-noun-oc
"Terol"-properNoun-ca "Teruel"-properNoun-oc
"Terol"-properNoun-ca "Terol"-noun-oc
"Terol"-properNoun-ca "Terol"-properNoun-oc
"Teruel"-properNoun-oc "Terol"-properNoun-ca
"Terol"-noun-oc "Terol"-properNoun-ca
"Terol"-properNoun-oc "Terol"-properNoun-ca
"Florència"-properNoun-ca "Florence"-noun-oc
"Florència"-properNoun-ca "Florence"-properNoun-oc
"Florence"-noun-oc "Florència"-properNoun-ca
"Florence"-properNoun-oc "Florència"-properNoun-ca
"Sena"-noun-oc "Sena"-properNoun-ca
"Sena"-properNoun-ca "Sena"-noun-oc
"Sena"-properNoun-ca "Sena"-properNoun-oc
"Sena"-properNoun-oc "Sena"-properNoun-ca
"Valence"-noun-oc "València"-properNoun-ca
"València"-properNoun-ca "Valence"-noun-oc
"València"-properNoun-ca "Valence"-properNoun-oc
"València"-properNoun-ca "Valença"-properNoun-oc
"València"-properNoun-ca "València"-properNoun-oc
"València"-properNoun-ca "València"-noun-oc
"Valence"-properNoun-oc "València"-properNoun-ca
"Valença"-properNoun-oc "València"-properNoun-ca
"València"-properNoun-oc "València"-properNoun-ca
"València"-properNoun-oc "Valencia"-properNoun-ca
"València"-noun-oc "València"-properNoun-ca
"València"-noun-oc "Valencia"-properNoun-ca
"Valencia"-properNoun-ca "València"-properNoun-oc
"Valencia"-properNoun-ca "València"-noun-oc
"Rosselló"-noun-oc "Rosselló"-properNoun-ca
"Rosselló"-properNoun-ca "Rosselló"-noun-oc
"Rosselló"-properNoun-ca "Rosselló"-properNoun-oc
"Rosselló"-properNoun-oc "Rosselló"-properNoun-ca
"Clamenç"-properNoun-oc "Climent"-properNoun-ca
"Climent"-properNoun-ca "Clamenç"-properNoun-oc
"Climent"-properNoun-ca "Clément"-noun-oc
"Climent"-properNoun-ca "Clément"-properNoun-oc
"Clément"-noun-oc "Climent"-properNoun-ca
"Clément"-properNoun-oc "Climent"-properNoun-ca
"Castella"-properNoun-ca "Castella"-noun-oc
"Castella"-properNoun-ca "Castella"-properNoun-oc
"Castella"-noun-oc "Castella"-properNoun-ca
"Castella"-properNoun-oc "Castella"-properNoun-ca
"Angers"-properNoun-ca "Angers"-noun-oc
"Angers"-properNoun-ca "Angers"-properNoun-oc
"Angers"-noun-oc "Angers"-properNoun-ca
"Angers"-properNoun-oc "Angers"-properNoun-ca
"Burgos"-properNoun-ca "Burgos"-noun-oc
"Burgos"-properNoun-ca "Burgos"-properNoun-oc
"Burgos"-noun-oc "Burgos"-properNoun-ca
"Burgos"-properNoun-oc "Burgos"-properNoun-ca
"Penedès"-properNoun-ca "Penedès"-noun-oc
"Penedès"-properNoun-ca "Penedès"-properNoun-oc
"Penedès"-noun-oc "Penedès"-properNoun-ca
"Penedès"-properNoun-oc "Penedès"-properNoun-ca
"Salomon"-noun-oc "Salomó"-properNoun-ca
"Salomó"-properNoun-ca "Salomon"-noun-oc
"Salomó"-properNoun-ca "Salomon"-properNoun-oc
"Salomó"-properNoun-ca "Salomó"-noun-oc
"Salomó"-properNoun-ca "Salomó"-properNoun-oc
"Salomon"-properNoun-oc "Salomó"-properNoun-ca
"Salomó"-noun-oc "Salomó"-properNoun-ca
"Salomó"-properNoun-oc "Salomó"-properNoun-ca
"Noguera"-properNoun-ca "Noguera"-noun-oc
"Noguera"-properNoun-ca "Noguera"-properNoun-oc
"Noguera"-noun-oc "Noguera"-properNoun-ca
"Noguera"-properNoun-oc "Noguera"-properNoun-ca
