"qualsevol"-determiner-ca "neniu"-determiner-eo
"tenejo"-noun-eo "magatzem"-noun-ca
"fermo"-noun-eo "clausura"-noun-ca
"clausura"-noun-ca "fermo"-noun-eo
"septo"-noun-eo "separació"-noun-ca
"separació"-noun-ca "septo"-noun-eo
"cort"-noun-ca "parlamento"-noun-eo
"parlamento"-noun-eo "cort"-noun-ca
"porteria"-noun-ca "pordistejo"-noun-eo
"pordistejo"-noun-eo "porteria"-noun-ca
"adreça"-noun-ca "direkto"-noun-eo
"direkto"-noun-eo "adreça"-noun-ca
"direkto"-noun-eo "rumb"-noun-ca
"rumb"-noun-ca "direkto"-noun-eo
"armeo"-noun-eo "armada"-noun-ca
"armada"-noun-ca "armeo"-noun-eo
"rock"-noun-ca "rokenrolo"-noun-eo
"rokenrolo"-noun-eo "rock"-noun-ca
"divido"-noun-eo "repartiment"-noun-ca
"repartiment"-noun-ca "divido"-noun-eo
"kamero"-noun-eo "càmera"-noun-ca
"càmera"-noun-ca "kamero"-noun-eo
"dona"-noun-ca "edzo"-noun-eo
"dona"-noun-ca "viro"-noun-eo
"edzo"-noun-eo "dona"-noun-ca
"viro"-noun-eo "dona"-noun-ca
"viro"-noun-eo "muller"-noun-ca
"muller"-noun-ca "viro"-noun-eo
"llinatge"-noun-ca "familinomo"-noun-eo
"familinomo"-noun-eo "llinatge"-noun-ca
"kasto"-noun-eo "raça"-noun-ca
"raça"-noun-ca "kasto"-noun-eo
"vila"-noun-ca "urbo"-noun-eo
"urbo"-noun-eo "vila"-noun-ca
"conseller"-noun-ca "ministro"-noun-eo
"ministro"-noun-eo "conseller"-noun-ca
"konsilanto"-noun-eo "regidor"-noun-ca
"regidor"-noun-ca "konsilanto"-noun-eo
"nutrado"-noun-eo "manteniment"-noun-ca
"manteniment"-noun-ca "nutrado"-noun-eo
"hasto"-noun-eo "pressa"-noun-ca
"pressa"-noun-ca "hasto"-noun-eo
"bileto"-noun-eo "tiquet"-noun-ca
"tiquet"-noun-ca "bileto"-noun-eo
"principi"-noun-ca "komenco"-noun-eo
"komenco"-noun-eo "principi"-noun-ca
"beko"-noun-eo "pic"-noun-ca
"pic"-noun-ca "beko"-noun-eo
"areo"-noun-eo "superfície"-noun-ca
"superfície"-noun-ca "areo"-noun-eo
"tipo"-noun-eo "mena"-noun-ca
"mena"-noun-ca "tipo"-noun-eo
"depeŝo"-noun-eo "oficina"-noun-ca
"oficina"-noun-ca "depeŝo"-noun-eo
"despatx"-noun-ca "oficejo"-noun-eo
"oficejo"-noun-eo "despatx"-noun-ca
"listo"-noun-eo "rol"-noun-ca
"rol"-noun-ca "listo"-noun-eo
"xemeneia"-noun-ca "ŝakto"-noun-eo
"ŝakto"-noun-eo "xemeneia"-noun-ca
"komentario"-noun-eo "anotació"-noun-ca
"anotació"-noun-ca "komentario"-noun-eo
"subteno"-noun-eo "suport"-noun-ca
"suport"-noun-ca "subteno"-noun-eo
"potenco"-noun-eo "domini"-noun-ca
"domini"-noun-ca "potenco"-noun-eo
"ofendo"-noun-eo "injúria"-noun-ca
"injúria"-noun-ca "ofendo"-noun-eo
"instruo"-noun-eo "ensenyament"-noun-ca
"ensenyament"-noun-ca "instruo"-noun-eo
"utilització"-noun-ca "uzado"-noun-eo
"uzado"-noun-eo "utilització"-noun-ca
"obstaklo"-noun-eo "entrebanc"-noun-ca
"entrebanc"-noun-ca "obstaklo"-noun-eo
"impediment"-noun-ca "malhelpo"-noun-eo
"malhelpo"-noun-eo "impediment"-noun-ca
"prevenció"-noun-ca "antaŭzorgo"-noun-eo
"antaŭzorgo"-noun-eo "prevenció"-noun-ca
"urbodomo"-noun-eo "alcaldia"-noun-ca
"alcaldia"-noun-ca "urbodomo"-noun-eo
"davanter"-noun-ca "antaŭo"-noun-eo
"antaŭo"-noun-eo "davanter"-noun-ca
"dedicació"-noun-ca "dediĉo"-noun-eo
"dediĉo"-noun-eo "dedicació"-noun-ca
"eblo"-noun-eo "opció"-noun-ca
"opció"-noun-ca "eblo"-noun-eo
"sensació"-noun-ca "sento"-noun-eo
"sento"-noun-eo "sensació"-noun-ca
"menjar"-noun-ca "manĝo"-noun-eo
"manĝo"-noun-eo "menjar"-noun-ca
"manĝo"-noun-eo "dinar"-noun-ca
"dinar"-noun-ca "manĝo"-noun-eo
"parto"-noun-eo "lot"-noun-ca
"lot"-noun-ca "parto"-noun-eo
"tuja"-adjective-eo "instantani"-adjective-ca
"instantani"-adjective-ca "tuja"-adjective-eo
"maljusta"-adjective-eo "injust"-adjective-ca
"injust"-adjective-ca "maljusta"-adjective-eo
"freŝa"-adjective-eo "recent"-adjective-ca
"recent"-adjective-ca "freŝa"-adjective-eo
"eligi"-verb-eo "descarregar"-verb-ca
"descarregar"-verb-ca "eligi"-verb-eo
"inkludi"-verb-eo "contenir"-verb-ca
"contenir"-verb-ca "inkludi"-verb-eo
"mundial"-adjective-ca "tutmonda"-adjective-eo
"tutmonda"-adjective-eo "mundial"-adjective-ca
"solitari"-adjective-ca "sola"-adjective-eo
"sola"-adjective-eo "solitari"-adjective-ca
"únic"-adjective-ca "nura"-adjective-eo
"únic"-adjective-ca "nekomparebla"-adjective-eo
"nura"-adjective-eo "únic"-adjective-ca
"nekomparebla"-adjective-eo "únic"-adjective-ca
"violar"-verb-ca "malobservi"-verb-eo
"malobservi"-verb-eo "violar"-verb-ca
"kompensi"-verb-eo "indemnitzar"-verb-ca
"kompensi"-verb-eo "reparar"-verb-ca
"indemnitzar"-verb-ca "kompensi"-verb-eo
"reparar"-verb-ca "kompensi"-verb-eo
"bombi"-verb-eo "bombardejar"-verb-ca
"bombardejar"-verb-ca "bombi"-verb-eo
"neutre"-adjective-ca "neŭtrala"-adjective-eo
"neŭtrala"-adjective-eo "neutre"-adjective-ca
"horrible"-adjective-ca "abomeninda"-adjective-eo
"abomeninda"-adjective-eo "horrible"-adjective-ca
"urba"-adjective-eo "ciutadà"-adjective-ca
"ciutadà"-adjective-ca "urba"-adjective-eo
"brila"-adjective-eo "brillant"-adjective-ca
"brillant"-adjective-ca "brila"-adjective-eo
"ripari"-verb-eo "arranjar"-verb-ca
"arranjar"-verb-ca "ripari"-verb-eo
"oferir"-verb-ca "oferti"-verb-eo
"oferti"-verb-eo "oferir"-verb-ca
"reunir"-verb-ca "koncentri"-verb-eo
"koncentri"-verb-eo "reunir"-verb-ca
"lanĉi"-verb-eo "llançar"-verb-ca
"llançar"-verb-ca "lanĉi"-verb-eo
"teni"-verb-eo "suportar"-verb-ca
"suportar"-verb-ca "teni"-verb-eo
"diferent"-adjective-ca "diferenca"-adjective-eo
"diferenca"-adjective-eo "diferent"-adjective-ca
"frapi"-verb-eo "copejar"-verb-ca
"copejar"-verb-ca "frapi"-verb-eo
"inversa"-adjective-eo "contrari"-adjective-ca
"contrari"-adjective-ca "inversa"-adjective-eo
"delikata"-adjective-eo "fràgil"-adjective-ca
"fràgil"-adjective-ca "delikata"-adjective-eo
"malklara"-adjective-eo "fosc"-adjective-ca
"fosc"-adjective-ca "malklara"-adjective-eo
"obscur"-adjective-ca "malhela"-adjective-eo
"malhela"-adjective-eo "obscur"-adjective-ca
"belega"-adjective-eo "bonic"-adjective-ca
"belega"-adjective-eo "bell"-adjective-ca
"bonic"-adjective-ca "belega"-adjective-eo
"bell"-adjective-ca "belega"-adjective-eo
"fonamentar"-verb-ca "bazi"-verb-eo
"bazi"-verb-eo "fonamentar"-verb-ca
"manifestar"-verb-ca "manifestacii"-verb-eo
"manifestacii"-verb-eo "manifestar"-verb-ca
"montri"-verb-eo "demostrar"-verb-ca
"demostrar"-verb-ca "montri"-verb-eo
"assenyalar"-verb-ca "indiki"-verb-eo
"indiki"-verb-eo "assenyalar"-verb-ca
"subratllar"-verb-ca "emfazi"-verb-eo
"emfazi"-verb-eo "subratllar"-verb-ca
"emfazi"-verb-eo "accentuar"-verb-ca
"accentuar"-verb-ca "emfazi"-verb-eo
"submergir"-verb-ca "plonĝi"-verb-eo
"plonĝi"-verb-eo "submergir"-verb-ca
"baixar"-verb-ca "desupri"-verb-eo
"baixar"-verb-ca "descendi"-verb-eo
"desupri"-verb-eo "baixar"-verb-ca
"descendi"-verb-eo "baixar"-verb-ca
"admetre"-verb-ca "koncedi"-verb-eo
"koncedi"-verb-eo "admetre"-verb-ca
"separat"-adjective-ca "aparta"-adjective-eo
"aparta"-adjective-eo "separat"-adjective-ca
"particular"-adjective-ca "privata"-adjective-eo
"privata"-adjective-eo "particular"-adjective-ca
"rugós"-adjective-ca "aspra"-adjective-eo
"aspra"-adjective-eo "rugós"-adjective-ca
"komuna"-adjective-eo "usual"-adjective-ca
"usual"-adjective-ca "komuna"-adjective-eo
"dubtós"-adjective-ca "necerta"-adjective-eo
"necerta"-adjective-eo "dubtós"-adjective-ca
"pràctic"-adjective-ca "oportuna"-adjective-eo
"oportuna"-adjective-eo "pràctic"-adjective-ca
"adequat"-adjective-ca "konforma"-adjective-eo
"adequat"-adjective-ca "kongrua"-adjective-eo
"konforma"-adjective-eo "adequat"-adjective-ca
"kongrua"-adjective-eo "adequat"-adjective-ca
"adekvata"-adjective-eo "apropiat"-adjective-ca
"apropiat"-adjective-ca "adekvata"-adjective-eo
"apropiat"-adjective-ca "konvena"-adjective-eo
"konvena"-adjective-eo "apropiat"-adjective-ca
"integral"-adjective-ca "kompleta"-adjective-eo
"kompleta"-adjective-eo "integral"-adjective-ca
"preteksti"-verb-eo "adduir"-verb-ca
"adduir"-verb-ca "preteksti"-verb-eo
"esperar"-verb-ca "esperi"-verb-eo
"esperi"-verb-eo "esperar"-verb-ca
"llarg"-adjective-ca "longedaŭra"-adjective-eo
"longedaŭra"-adjective-eo "llarg"-adjective-ca
"ĝentila"-adjective-eo "correcte"-adjective-ca
"correcte"-adjective-ca "ĝentila"-adjective-eo
"correcte"-adjective-ca "ĝusta"-adjective-eo
"ĝusta"-adjective-eo "correcte"-adjective-ca
"ĝusta"-adjective-eo "exacte"-adjective-ca
"exacte"-adjective-ca "ĝusta"-adjective-eo
"fekunda"-adjective-eo "prolífic"-adjective-ca
"prolífic"-adjective-ca "fekunda"-adjective-eo
"abunda"-adjective-eo "ampli"-adjective-ca
"ampli"-adjective-ca "abunda"-adjective-eo
"ampli"-adjective-ca "larĝa"-adjective-eo
"larĝa"-adjective-eo "ampli"-adjective-ca
"generós"-adjective-ca "sindona"-adjective-eo
"sindona"-adjective-eo "generós"-adjective-ca
"suau"-adjective-ca "dolĉa"-adjective-eo
"dolĉa"-adjective-eo "suau"-adjective-ca
"milda"-adjective-eo "dolç"-adjective-ca
"dolç"-adjective-ca "milda"-adjective-eo
"plaĉa"-adjective-eo "amè"-adjective-ca
"amè"-adjective-ca "plaĉa"-adjective-eo
"estrany"-adjective-ca "bizara"-adjective-eo
"bizara"-adjective-eo "estrany"-adjective-ca
"nerviós"-adjective-ca "maltrankvila"-adjective-eo
"maltrankvila"-adjective-eo "nerviós"-adjective-ca
"abomeni"-verb-eo "avorrir"-verb-ca
"avorrir"-verb-ca "abomeni"-verb-eo
"aconseguir"-verb-ca "atingi"-verb-eo
"atingi"-verb-eo "aconseguir"-verb-ca
"atingi"-verb-eo "abastar"-verb-ca
"abastar"-verb-ca "atingi"-verb-eo
"malimpliki"-verb-eo "desembolicar"-verb-ca
"desembolicar"-verb-ca "malimpliki"-verb-eo
"poenti"-verb-eo "marcar"-verb-ca
"marcar"-verb-ca "poenti"-verb-eo
"klasifiki"-verb-eo "ordenar"-verb-ca
"ordenar"-verb-ca "klasifiki"-verb-eo
"recte"-adjective-ca "dekstra"-adjective-eo
"dekstra"-adjective-eo "recte"-adjective-ca
"oscil·lar"-verb-ca "fluktui"-verb-eo
"fluktui"-verb-eo "oscil·lar"-verb-ca
"kulturi"-verb-eo "cultivar"-verb-ca
"cultivar"-verb-ca "kulturi"-verb-eo
"conrear"-verb-ca "kultivi"-verb-eo
"kultivi"-verb-eo "conrear"-verb-ca
"implici"-verb-eo "involucrar"-verb-ca
"involucrar"-verb-ca "implici"-verb-eo
"indigne"-adjective-ca "malinda"-adjective-eo
"malinda"-adjective-eo "indigne"-adjective-ca
"lerta"-adjective-eo "destre"-adjective-ca
"lerta"-adjective-eo "àgil"-adjective-ca
"destre"-adjective-ca "lerta"-adjective-eo
"àgil"-adjective-ca "lerta"-adjective-eo
"lleuger"-adjective-ca "malgrava"-adjective-eo
"malgrava"-adjective-eo "lleuger"-adjective-ca
"densa"-adjective-eo "gruixut"-adjective-ca
"gruixut"-adjective-ca "densa"-adjective-eo
"espès"-adjective-ca "dika"-adjective-eo
"dika"-adjective-eo "espès"-adjective-ca
"aspirar"-verb-ca "inhali"-verb-eo
"inhali"-verb-eo "aspirar"-verb-ca
"revizii"-verb-eo "repassar"-verb-ca
"repassar"-verb-ca "revizii"-verb-eo
"informi"-verb-eo "reportar"-verb-ca
"reportar"-verb-ca "informi"-verb-eo
"impedir"-verb-ca "malhelpi"-verb-eo
"malhelpi"-verb-eo "impedir"-verb-ca
"humit"-adjective-ca "malseka"-adjective-eo
"malseka"-adjective-eo "humit"-adjective-ca
"meti"-verb-eo "pondre"-verb-ca
"pondre"-verb-ca "meti"-verb-eo
"neglekti"-verb-eo "descurar"-verb-ca
"descurar"-verb-ca "neglekti"-verb-eo
"halti"-verb-eo "aturar"-verb-ca
"aturar"-verb-ca "halti"-verb-eo
"agafar"-verb-ca "kapti"-verb-eo
"kapti"-verb-eo "agafar"-verb-ca
"prava"-adjective-eo "legítim"-adjective-ca
"legítim"-adjective-ca "prava"-adjective-eo
"plena"-adjective-eo "categòric"-adjective-ca
"categòric"-adjective-ca "plena"-adjective-eo
"porti"-verb-eo "dur"-adjective-ca
"dur"-adjective-ca "porti"-verb-eo
"gvidi"-verb-eo "encapçalar"-verb-ca
"encapçalar"-verb-ca "gvidi"-verb-eo
"kirli"-verb-eo "batre"-verb-ca
"batre"-verb-ca "kirli"-verb-eo
"koncepti"-verb-eo "idear"-verb-ca
"idear"-verb-ca "koncepti"-verb-eo
"fantazii"-verb-eo "imaginar"-verb-ca
"imaginar"-verb-ca "fantazii"-verb-eo
"establi"-verb-eo "instaurar"-verb-ca
"instaurar"-verb-ca "establi"-verb-eo
"ekstrakti"-verb-eo "extreure"-verb-ca
"extreure"-verb-ca "ekstrakti"-verb-eo
"fini"-verb-eo "acabar"-verb-ca
"acabar"-verb-ca "fini"-verb-eo
"següent"-adjective-ca "sekvanta"-adjective-eo
"sekvanta"-adjective-eo "següent"-adjective-ca
"indolent"-adjective-ca "pigra"-adjective-eo
"pigra"-adjective-eo "indolent"-adjective-ca
"rebel"-adjective-ca "ribelema"-adjective-eo
"ribelema"-adjective-eo "rebel"-adjective-ca
"malfavora"-adjective-eo "advers"-adjective-ca
"advers"-adjective-ca "malfavora"-adjective-eo
"preventa"-adjective-eo "preventiu"-adjective-ca
"preventiu"-adjective-ca "preventa"-adjective-eo
"ocultar"-verb-ca "kaŝi"-verb-eo
"kaŝi"-verb-eo "ocultar"-verb-ca
"ximple"-adjective-ca "stulta"-adjective-eo
"stulta"-adjective-eo "ximple"-adjective-ca
"flustri"-verb-eo "murmurar"-verb-ca
"murmurar"-verb-ca "flustri"-verb-eo
"kvereli"-verb-eo "disputar"-verb-ca
"disputar"-verb-ca "kvereli"-verb-eo
"jurar"-verb-ca "sakri"-verb-eo
"sakri"-verb-eo "jurar"-verb-ca
"trompi"-verb-eo "enredar"-verb-ca
"enredar"-verb-ca "trompi"-verb-eo
"komplimenti"-verb-eo "omplir"-verb-ca
"komplimenti"-verb-eo "emplenar"-verb-ca
"omplir"-verb-ca "komplimenti"-verb-eo
"emplenar"-verb-ca "komplimenti"-verb-eo
"energia"-adjective-eo "energètic"-adjective-ca
"energètic"-adjective-ca "energia"-adjective-eo
"afegir"-verb-ca "adicii"-verb-eo
"adicii"-verb-eo "afegir"-verb-ca
"garni"-verb-eo "adornar"-verb-ca
"adornar"-verb-ca "garni"-verb-eo
"opinii"-verb-eo "considerar"-verb-ca
"considerar"-verb-ca "opinii"-verb-eo
"ajudiki"-verb-eo "atorgar"-verb-ca
"atorgar"-verb-ca "ajudiki"-verb-eo
"atorgar"-verb-ca "atribui"-verb-eo
"atribui"-verb-eo "atorgar"-verb-ca
"atribui"-verb-eo "assignar"-verb-ca
"assignar"-verb-ca "atribui"-verb-eo
"divertit"-adjective-ca "amuza"-adjective-eo
"amuza"-adjective-eo "divertit"-adjective-ca
"nuna"-adjective-eo "present"-adjective-ca
"present"-adjective-ca "nuna"-adjective-eo
"timigi"-verb-eo "espantar"-verb-ca
"espantar"-verb-ca "timigi"-verb-eo
"malĝusta"-adjective-eo "incorrecte"-adjective-ca
"incorrecte"-adjective-ca "malĝusta"-adjective-eo
"somni"-noun-ca "dormo"-noun-eo
"dormo"-noun-eo "somni"-noun-ca
"cova"-noun-ca "kaverno"-noun-eo
"kaverno"-noun-eo "cova"-noun-ca
"konstruisto"-noun-eo "pagès"-noun-ca
"pagès"-noun-ca "konstruisto"-noun-eo
"tertremo"-noun-eo "sisme"-noun-ca
"sisme"-noun-ca "tertremo"-noun-eo
"televidilo"-noun-eo "televisió"-noun-ca
"televisió"-noun-ca "televidilo"-noun-eo
"ĉevalo"-noun-eo "euga"-noun-ca
"euga"-noun-ca "ĉevalo"-noun-eo
"klarigo"-noun-eo "explicació"-noun-ca
"explicació"-noun-ca "klarigo"-noun-eo
"pseudònim"-noun-ca "kaŝnomo"-noun-eo
"kaŝnomo"-noun-eo "pseudònim"-noun-ca
"doctor"-noun-ca "kuracisto"-noun-eo
"kuracisto"-noun-eo "doctor"-noun-ca
"korupto"-noun-eo "corrupció"-noun-ca
"corrupció"-noun-ca "korupto"-noun-eo
"pedagogia"-adjective-eo "didàctic"-adjective-ca
"didàctic"-adjective-ca "pedagogia"-adjective-eo
"usona"-adjective-eo "americà"-adjective-ca
"americà"-adjective-ca "usona"-adjective-eo
"korpa"-adjective-eo "físic"-adjective-ca
"físic"-adjective-ca "korpa"-adjective-eo
"kreema"-adjective-eo "creatiu"-adjective-ca
"creatiu"-adjective-ca "kreema"-adjective-eo
"demokrata"-adjective-eo "democràtic"-adjective-ca
"democràtic"-adjective-ca "demokrata"-adjective-eo
"excusar"-verb-ca "pardonpeti"-verb-eo
"pardonpeti"-verb-eo "excusar"-verb-ca
"pardonpeti"-verb-eo "disculpar"-verb-ca
"disculpar"-verb-ca "pardonpeti"-verb-eo
"sidi"-verb-eo "asseure"-verb-ca
"asseure"-verb-ca "sidi"-verb-eo
"parki"-verb-eo "estacionar"-verb-ca
"estacionar"-verb-ca "parki"-verb-eo
"miri"-verb-eo "sorprendre"-verb-ca
"sorprendre"-verb-ca "miri"-verb-eo
"hispano"-noun-eo "castellà"-noun-ca
"castellà"-noun-ca "hispano"-noun-eo
"ĉiujare"-adverb-eo "anualment"-adverb-ca
"anualment"-adverb-ca "ĉiujare"-adverb-eo
"afortunadament"-adverb-ca "feliĉe"-adverb-eo
"feliĉe"-adverb-eo "afortunadament"-adverb-ca
"nepre"-adverb-eo "necessàriament"-adverb-ca
"necessàriament"-adverb-ca "nepre"-adverb-eo
"interne"-adverb-eo "endins"-adverb-ca
"interne"-adverb-eo "a dintre"-adverb-ca
"interne"-adverb-eo "a dins"-adverb-ca
"interne"-adverb-eo "dintre"-adverb-ca
"endins"-adverb-ca "interne"-adverb-eo
"endins"-adverb-ca "ene"-adverb-eo
"a dintre"-adverb-ca "interne"-adverb-eo
"a dintre"-adverb-ca "enen"-adverb-eo
"a dins"-adverb-ca "interne"-adverb-eo
"a dins"-adverb-ca "enen"-adverb-eo
"dintre"-adverb-ca "interne"-adverb-eo
"dintre"-adverb-ca "enen"-adverb-eo
"dins"-adverb-ca "enen"-adverb-eo
"enen"-adverb-eo "a dintre"-adverb-ca
"enen"-adverb-eo "a dins"-adverb-ca
"enen"-adverb-eo "dintre"-adverb-ca
"enen"-adverb-eo "dins"-adverb-ca
"ene"-adverb-eo "endins"-adverb-ca
"avangardo"-noun-eo "avantguarda"-noun-ca
"avantguarda"-noun-ca "avangardo"-noun-eo
"timbalo"-noun-eo "timpà"-noun-ca
"timpà"-noun-ca "timbalo"-noun-eo
"liceu"-noun-ca "gimnazio"-noun-eo
"gimnazio"-noun-eo "liceu"-noun-ca
"gimnazio"-noun-eo "gimnàs"-noun-ca
"gimnàs"-noun-ca "gimnazio"-noun-eo
"llampec"-noun-ca "fulmo"-noun-eo
"fulmo"-noun-eo "llampec"-noun-ca
"mopedo"-noun-eo "motocicleta"-noun-ca
"motocicleta"-noun-ca "mopedo"-noun-eo
"normalització"-noun-ca "normigo"-noun-eo
"normigo"-noun-eo "normalització"-noun-ca
"planizado"-noun-eo "planificació"-noun-ca
"planificació"-noun-ca "planizado"-noun-eo
"kranio"-noun-eo "calavera"-noun-ca
"calavera"-noun-ca "kranio"-noun-eo
"sepio"-noun-eo "calamar"-noun-ca
"calamar"-noun-ca "sepio"-noun-eo
"indi"-adjective-ca "indiana"-adjective-eo
"indiana"-adjective-eo "indi"-adjective-ca
"Montpellier"-properNoun-eo "Montpeller"-properNoun-ca
"Montpeller"-properNoun-ca "Montpellier"-properNoun-eo
"coixí"-noun-ca "kapkuseno"-noun-eo
"kapkuseno"-noun-eo "coixí"-noun-ca
"insuportable"-adjective-ca "neelportebla"-adjective-eo
"neelportebla"-adjective-eo "insuportable"-adjective-ca
"revenja"-noun-ca "venĝo"-noun-eo
"venĝo"-noun-eo "revenja"-noun-ca
"crosta"-noun-ca "krusto"-noun-eo
"krusto"-noun-eo "crosta"-noun-ca
