"la"-determiner-eo "un"-determiner-fr
"longeco"-noun-eo "long"-noun-fr
"long"-noun-fr "longeco"-noun-eo
"klingo"-noun-eo "feuille"-noun-fr
"feuille"-noun-fr "klingo"-noun-eo
"folio"-noun-eo "lame"-noun-fr
"lame"-noun-fr "folio"-noun-eo
"stacio"-noun-eo "saison"-noun-fr
"stacio"-noun-eo "gare"-noun-fr
"saison"-noun-fr "stacio"-noun-eo
"saison"-noun-fr "haltejo"-noun-eo
"gare"-noun-fr "stacio"-noun-eo
"gare"-noun-fr "haltejo"-noun-eo
"gare"-noun-fr "sezono"-noun-eo
"haltejo"-noun-eo "saison"-noun-fr
"haltejo"-noun-eo "gare"-noun-fr
"sezono"-noun-eo "gare"-noun-fr
"fondation"-noun-fr "fonduso"-noun-eo
"fonduso"-noun-eo "fondation"-noun-fr
"humuro"-noun-eo "humeur"-noun-fr
"humeur"-noun-fr "humuro"-noun-eo
"humour"-noun-fr "humoro"-noun-eo
"humoro"-noun-eo "humour"-noun-fr
"dame"-noun-fr "sinjoro"-noun-eo
"sinjoro"-noun-eo "dame"-noun-fr
"duopo"-noun-eo "paire"-noun-fr
"paire"-noun-fr "duopo"-noun-eo
"helpanto"-noun-eo "assistant"-noun-fr
"assistant"-noun-fr "helpanto"-noun-eo
"reklamo"-noun-eo "annonce"-noun-fr
"annonce"-noun-fr "reklamo"-noun-eo
"ĉefartikolo"-noun-eo "maison d'édition"-noun-fr
"maison d'édition"-noun-fr "ĉefartikolo"-noun-eo
"officiel"-noun-fr "oficiro"-noun-eo
"oficiro"-noun-eo "officiel"-noun-fr
"conseiller"-noun-fr "magistratano"-noun-eo
"magistratano"-noun-eo "conseiller"-noun-fr
"kunulo"-noun-eo "collègue"-noun-fr
"collègue"-noun-fr "kunulo"-noun-eo
"compagnon"-noun-fr "partnero"-noun-eo
"partnero"-noun-eo "compagnon"-noun-fr
"persono"-noun-eo "personnage"-noun-fr
"personnage"-noun-fr "persono"-noun-eo
"ulo"-noun-eo "type"-noun-fr
"type"-noun-fr "ulo"-noun-eo
"regularo"-noun-eo "réglementation"-noun-fr
"réglementation"-noun-fr "regularo"-noun-eo
"curé"-noun-fr "pastro"-noun-eo
"pastro"-noun-eo "curé"-noun-fr
"tuko"-noun-eo "torchon"-noun-fr
"torchon"-noun-fr "tuko"-noun-eo
"torchon"-noun-fr "drapo"-noun-eo
"drapo"-noun-eo "torchon"-noun-fr
"dekoracio"-noun-eo "ornement"-noun-fr
"ornement"-noun-fr "dekoracio"-noun-eo
"juvelo"-noun-eo "gaieté"-noun-fr
"juvelo"-noun-eo "joie"-noun-fr
"gaieté"-noun-fr "juvelo"-noun-eo
"gaieté"-noun-fr "ĝojo"-noun-eo
"joie"-noun-fr "juvelo"-noun-eo
"ĝojo"-noun-eo "gaieté"-noun-fr
"ĝojo"-noun-eo "joyau"-noun-fr
"ĝojo"-noun-eo "bijou"-noun-fr
"joyau"-noun-fr "ĝojo"-noun-eo
"bijou"-noun-fr "ĝojo"-noun-eo
"organizaĵo"-noun-eo "organisme"-noun-fr
"organisme"-noun-fr "organizaĵo"-noun-eo
"vesto"-noun-eo "robe"-noun-fr
"robe"-noun-fr "vesto"-noun-eo
"pentraĵo"-noun-eo "tableau"-noun-fr
"tableau"-noun-fr "pentraĵo"-noun-eo
"mamo"-noun-eo "maman"-noun-fr
"maman"-noun-fr "mamo"-noun-eo
"testo"-noun-eo "épreuve"-noun-fr
"testo"-noun-eo "preuve"-noun-fr
"épreuve"-noun-fr "testo"-noun-eo
"épreuve"-noun-fr "pruvo"-noun-eo
"épreuve"-noun-fr "provo"-noun-eo
"preuve"-noun-fr "testo"-noun-eo
"preuve"-noun-fr "provo"-noun-eo
"pruvo"-noun-eo "épreuve"-noun-fr
"pruvo"-noun-eo "essai"-noun-fr
"provo"-noun-eo "épreuve"-noun-fr
"provo"-noun-eo "preuve"-noun-fr
"essai"-noun-fr "pruvo"-noun-eo
"aparato"-noun-eo "dispositif"-noun-fr
"dispositif"-noun-fr "aparato"-noun-eo
"averse"-noun-fr "pluvego"-noun-eo
"pluvego"-noun-eo "averse"-noun-fr
"accroissement"-noun-fr "pliiĝo"-noun-eo
"pliiĝo"-noun-eo "accroissement"-noun-fr
"réunion"-noun-fr "rendevuo"-noun-eo
"rendevuo"-noun-eo "réunion"-noun-fr
"atingo"-noun-eo "réussite"-noun-fr
"réussite"-noun-fr "atingo"-noun-eo
"capital"-noun-fr "ĉefurbo"-noun-eo
"ĉefurbo"-noun-eo "capital"-noun-fr
"kapitalo"-noun-eo "capitale"-noun-fr
"capitale"-noun-fr "kapitalo"-noun-eo
"skalo"-noun-eo "escalier"-noun-fr
"escalier"-noun-fr "skalo"-noun-eo
"poulet"-noun-fr "koko"-noun-eo
"koko"-noun-eo "poulet"-noun-fr
"roko"-noun-eo "rock"-noun-fr
"rock"-noun-fr "roko"-noun-eo
"leçon"-noun-fr "lekcio"-noun-eo
"lekcio"-noun-eo "leçon"-noun-fr
"lekcio"-noun-eo "conférence"-noun-fr
"lekcio"-noun-eo "assise"-noun-fr
"conférence"-noun-fr "lekcio"-noun-eo
"assise"-noun-fr "lekcio"-noun-eo
"conséquence"-noun-fr "rezulto"-noun-eo
"rezulto"-noun-eo "conséquence"-noun-fr
"nœud"-noun-fr "nodo"-noun-eo
"nodo"-noun-eo "nœud"-noun-fr
"areno"-noun-eo "sable"-noun-fr
"sable"-noun-fr "areno"-noun-eo
"ŝtato"-noun-eo "état"-noun-fr
"ŝtato"-noun-eo "etat"-noun-fr
"état"-noun-fr "ŝtato"-noun-eo
"etat"-noun-fr "ŝtato"-noun-eo
"origino"-noun-eo "provenance"-noun-fr
"provenance"-noun-fr "origino"-noun-eo
"fonto"-noun-eo "fontaine"-noun-fr
"fontaine"-noun-fr "fonto"-noun-eo
"source"-noun-fr "fontano"-noun-eo
"fontano"-noun-eo "source"-noun-fr
"renoncement"-noun-fr "rezigno"-noun-eo
"rezigno"-noun-eo "renoncement"-noun-fr
"kuraĝo"-noun-eo "courage"-noun-fr
"courage"-noun-fr "kuraĝo"-noun-eo
"vizaĝo"-noun-eo "gueule"-noun-fr
"gueule"-noun-fr "vizaĝo"-noun-eo
"aplombo"-noun-eo "sécurité"-noun-fr
"sécurité"-noun-fr "aplombo"-noun-eo
"sommaire"-noun-fr "resumo"-noun-eo
"resumo"-noun-eo "sommaire"-noun-fr
"resumo"-noun-eo "compte rendu"-noun-fr
"compte rendu"-noun-fr "resumo"-noun-eo
"dommage"-noun-fr "domaĝo"-noun-eo
"domaĝo"-noun-eo "dommage"-noun-fr
"racia"-adjective-eo "raisonnable"-adjective-fr
"raisonnable"-adjective-fr "racia"-adjective-eo
"laŭleĝa"-adjective-eo "légitime"-adjective-fr
"légitime"-adjective-fr "laŭleĝa"-adjective-eo
"tuja"-adjective-eo "instantané"-adjective-fr
"instantané"-adjective-fr "tuja"-adjective-eo
"nigra"-adjective-eo "nègre"-adjective-fr
"nègre"-adjective-fr "nigra"-adjective-eo
"antérieur"-adjective-fr "eksa"-adjective-eo
"eksa"-adjective-eo "antérieur"-adjective-fr
"doux"-adjective-fr "mola"-adjective-eo
"mola"-adjective-eo "doux"-adjective-fr
"malnova"-adjective-eo "antique"-adjective-fr
"antique"-adjective-fr "malnova"-adjective-eo
"vieil"-adjective-fr "maljuna"-adjective-eo
"maljuna"-adjective-eo "vieil"-adjective-fr
"ancien"-adjective-fr "antikva"-adjective-eo
"antikva"-adjective-eo "ancien"-adjective-fr
"alta"-adjective-eo "grand"-adjective-fr
"grand"-adjective-fr "alta"-adjective-eo
"akordi"-verb-eo "concorder"-verb-fr
"concorder"-verb-fr "akordi"-verb-eo
"impliquer"-verb-fr "enmiksi"-verb-eo
"enmiksi"-verb-eo "impliquer"-verb-fr
"senhava"-adjective-eo "pauvre"-adjective-fr
"pauvre"-adjective-fr "senhava"-adjective-eo
"neatendita"-adjective-eo "inattendu"-adjective-fr
"inattendu"-adjective-fr "neatendita"-adjective-eo
"senatenda"-adjective-eo "inespéré"-adjective-fr
"inespéré"-adjective-fr "senatenda"-adjective-eo
"sprita"-adjective-eo "brillant"-adjective-fr
"brillant"-adjective-fr "sprita"-adjective-eo
"particulier"-adjective-fr "partikulara"-adjective-eo
"partikulara"-adjective-eo "particulier"-adjective-fr
"karakteriza"-adjective-eo "distinctif"-adjective-fr
"distinctif"-adjective-fr "karakteriza"-adjective-eo
"profita"-adjective-eo "rentable"-adjective-fr
"rentable"-adjective-fr "profita"-adjective-eo
"compromettre"-verb-fr "engaĝi"-verb-eo
"engaĝi"-verb-eo "compromettre"-verb-fr
"sekvestri"-verb-eo "kidnapper"-verb-fr
"kidnapper"-verb-fr "sekvestri"-verb-eo
"prendre en otage"-verb-fr "kidnapi"-verb-eo
"kidnapi"-verb-eo "prendre en otage"-verb-fr
"inadéquat"-adjective-fr "netaŭga"-adjective-eo
"netaŭga"-adjective-eo "inadéquat"-adjective-fr
"sincère"-adjective-fr "senartifika"-adjective-eo
"senartifika"-adjective-eo "sincère"-adjective-fr
"senartifika"-adjective-eo "simple"-adjective-fr
"simple"-adjective-fr "senartifika"-adjective-eo
"pura"-adjective-eo "net"-adjective-fr
"net"-adjective-fr "pura"-adjective-eo
"senegala"-adjective-eo "unique"-adjective-fr
"unique"-adjective-fr "senegala"-adjective-eo
"unika"-adjective-eo "seul"-adjective-fr
"unika"-adjective-eo "singulier"-adjective-fr
"seul"-adjective-fr "unika"-adjective-eo
"seul"-adjective-fr "ununura"-adjective-eo
"singulier"-adjective-fr "unika"-adjective-eo
"ununura"-adjective-eo "seul"-adjective-fr
"inquiet"-adjective-fr "malkvieta"-adjective-eo
"malkvieta"-adjective-eo "inquiet"-adjective-fr
"stupide"-adjective-fr "malinteligenta"-adjective-eo
"malinteligenta"-adjective-eo "stupide"-adjective-fr
"senĝena"-adjective-eo "libre"-adjective-fr
"libre"-adjective-fr "senĝena"-adjective-eo
"plani"-verb-eo "planer"-verb-fr
"planer"-verb-fr "plani"-verb-eo
"étonnant"-adjective-fr "surpriza"-adjective-eo
"surpriza"-adjective-eo "étonnant"-adjective-fr
"afabla"-adjective-eo "paisible"-adjective-fr
"paisible"-adjective-fr "afabla"-adjective-eo
"hejma"-adjective-eo "ménager"-adjective-fr
"ménager"-adjective-fr "hejma"-adjective-eo
"postérieur"-adjective-fr "posta"-adjective-eo
"posta"-adjective-eo "postérieur"-adjective-fr
"neevitebla"-adjective-eo "inévitable"-adjective-fr
"inévitable"-adjective-fr "neevitebla"-adjective-eo
"taŭga"-adjective-eo "adéquat"-adjective-fr
"adéquat"-adjective-fr "taŭga"-adjective-eo
"généreux"-adjective-fr "grandanima"-adjective-eo
"grandanima"-adjective-eo "généreux"-adjective-fr
"sage"-adjective-fr "prudenta"-adjective-eo
"prudenta"-adjective-eo "sage"-adjective-fr
"élégant"-adjective-fr "ŝika"-adjective-eo
"ŝika"-adjective-eo "élégant"-adjective-fr
"belega"-adjective-eo "précieux"-adjective-fr
"précieux"-adjective-fr "belega"-adjective-eo
"précieux"-adjective-fr "valora"-adjective-eo
"valora"-adjective-eo "précieux"-adjective-fr
"vide"-adjective-fr "kava"-adjective-eo
"kava"-adjective-eo "vide"-adjective-fr
"farouche"-adjective-fr "feroca"-adjective-eo
"feroca"-adjective-eo "farouche"-adjective-fr
"grandega"-adjective-eo "énorme"-adjective-fr
"énorme"-adjective-fr "grandega"-adjective-eo
"cetere"-adverb-eo "en plus"-adverb-fr
"en plus"-adverb-fr "cetere"-adverb-eo
"ici"-adverb-fr "tie"-adverb-eo
"tie"-adverb-eo "ici"-adverb-fr
"preskaŭ"-adverb-eo "pratiquement"-adverb-fr
"pratiquement"-adverb-fr "preskaŭ"-adverb-eo
"quelquefois"-adverb-fr "foje"-adverb-eo
"foje"-adverb-eo "quelquefois"-adverb-fr
"rêve"-noun-fr "revo"-noun-eo
"revo"-noun-eo "rêve"-noun-fr
"enfouissement"-noun-fr "entombigo"-noun-eo
"entombigo"-noun-eo "enfouissement"-noun-fr
"larĝo"-noun-eo "large"-noun-fr
"large"-noun-fr "larĝo"-noun-eo
"précarité"-noun-fr "malstabileco"-noun-eo
"précarité"-noun-fr "malfirmeco"-noun-eo
"malstabileco"-noun-eo "précarité"-noun-fr
"malfirmeco"-noun-eo "précarité"-noun-fr
"doktoro"-noun-eo "médecin"-noun-fr
"médecin"-noun-fr "doktoro"-noun-eo
"menuisier"-noun-fr "ĉarpentisto"-noun-eo
"ĉarpentisto"-noun-eo "menuisier"-noun-fr
"gefratoj"-noun-eo "frère"-noun-fr
"gefratoj"-noun-eo "sœur"-noun-fr
"frère"-noun-fr "gefratoj"-noun-eo
"sœur"-noun-fr "gefratoj"-noun-eo
"bus"-noun-fr "aŭtobuso"-noun-eo
"aŭtobuso"-noun-eo "bus"-noun-fr
"besoin"-noun-fr "neceso"-noun-eo
"neceso"-noun-eo "besoin"-noun-fr
"instrua"-adjective-eo "éducatif"-adjective-fr
"éducatif"-adjective-fr "instrua"-adjective-eo
"agrara"-adjective-eo "agricole"-adjective-fr
"agricole"-adjective-fr "agrara"-adjective-eo
"indépendant"-adjective-fr "memstara"-adjective-eo
"memstara"-adjective-eo "indépendant"-adjective-fr
"atoma"-adjective-eo "nucléaire"-adjective-fr
"nucléaire"-adjective-fr "atoma"-adjective-eo
"annuel"-adjective-fr "jara"-adjective-eo
"jara"-adjective-eo "annuel"-adjective-fr
"movebla"-adjective-eo "portable"-adjective-fr
"portable"-adjective-fr "movebla"-adjective-eo
"oral"-adjective-fr "voĉa"-adjective-eo
"voĉa"-adjective-eo "oral"-adjective-fr
"metiista"-adjective-eo "artisan"-adjective-fr
"artisan"-adjective-fr "metiista"-adjective-eo
"medicina"-adjective-eo "médique"-adjective-fr
"médique"-adjective-fr "medicina"-adjective-eo
"préliminaire"-adjective-fr "prepara"-adjective-eo
"prepara"-adjective-eo "préliminaire"-adjective-fr
"naviguer"-verb-fr "retumi"-verb-eo
"retumi"-verb-eo "naviguer"-verb-fr
"Barcelona"-properNoun-fr "Barcelona"-properNoun-eo
"Barcelona"-properNoun-eo "Barcelona"-properNoun-fr
"bedaŭrinde"-adverb-eo "malencontreusement"-adverb-fr
"malencontreusement"-adverb-fr "bedaŭrinde"-adverb-eo
"bonŝance"-adverb-eo "heureusement"-adverb-fr
"heureusement"-adverb-fr "bonŝance"-adverb-eo
"interne"-adverb-eo "dedans"-adverb-fr
"dedans"-adverb-fr "interne"-adverb-eo
"dedans"-adverb-fr "enen"-adverb-eo
"enen"-adverb-eo "dedans"-adverb-fr
"Nederlando"-properNoun-eo "Hollande"-properNoun-fr
"Hollande"-properNoun-fr "Nederlando"-properNoun-eo
"antikveco"-noun-eo "ancienneté"-noun-fr
"ancienneté"-noun-fr "antikveco"-noun-eo
"arsenal"-noun-fr "armilejo"-noun-eo
"armilejo"-noun-eo "arsenal"-noun-fr
"banano"-noun-eo "platane"-noun-fr
"platane"-noun-fr "banano"-noun-eo
"kontinento"-noun-eo "contenant"-noun-fr
"contenant"-noun-fr "kontinento"-noun-eo
"inflexion"-noun-fr "fleksio"-noun-eo
"fleksio"-noun-eo "inflexion"-noun-fr
"naiveco"-noun-eo "innocence"-noun-fr
"innocence"-noun-fr "naiveco"-noun-eo
"motorciklo"-noun-eo "motocyclette"-noun-fr
"motocyclette"-noun-fr "motorciklo"-noun-eo
"peintre"-noun-fr "farbisto"-noun-eo
"farbisto"-noun-eo "peintre"-noun-fr
"nederlandano"-noun-eo "néerlandais"-noun-fr
"néerlandais"-noun-fr "nederlandano"-noun-eo
"senefika"-adjective-eo "inefficace"-adjective-fr
"inefficace"-adjective-fr "senefika"-adjective-eo
"rigoureux"-adjective-fr "strikta"-adjective-eo
"strikta"-adjective-eo "rigoureux"-adjective-fr
"commémoration"-noun-fr "solenado"-noun-eo
"solenado"-noun-eo "commémoration"-noun-fr
"omleto"-noun-eo "truite"-noun-fr
"truite"-noun-fr "omleto"-noun-eo
