"in order to"-preposition-en "per tal de"-preposition-ca
"balcó"-noun-ca "balcony"-noun-en
"balcony"-noun-en "balcó"-noun-ca
"taxi"-noun-ca "cab"-noun-en
"taxi"-noun-ca "taxi"-noun-en
"cab"-noun-en "taxi"-noun-ca
"taxi"-noun-en "taxi"-noun-ca
"palau"-noun-ca "palace"-noun-en
"palace"-noun-en "palau"-noun-ca
"príncep"-noun-ca "prince"-noun-en
"prince"-noun-en "príncep"-noun-ca
"goat"-noun-en "cabra"-noun-ca
"cabra"-noun-ca "goat"-noun-en
"antelació"-noun-ca "anticipation"-noun-en
"anticipation"-noun-en "antelació"-noun-ca
"anticipation"-noun-en "anticipació"-noun-ca
"anticipació"-noun-ca "anticipation"-noun-en
"barbarian"-noun-en "bàrbar"-noun-ca
"bàrbar"-noun-ca "barbarian"-noun-en
"pallasso"-noun-ca "clown"-noun-en
"clown"-noun-en "pallasso"-noun-ca
"colze"-noun-ca "elbow"-noun-en
"elbow"-noun-en "colze"-noun-ca
"need"-noun-en "necessitat"-noun-ca
"necessitat"-noun-ca "need"-noun-en
"creu"-noun-ca "cross"-noun-en
"cross"-noun-en "creu"-noun-ca
"moral"-noun-ca "moral"-noun-en
"moral"-noun-en "moral"-noun-ca
"granit"-noun-ca "granite"-noun-en
"granite"-noun-en "granit"-noun-ca
"mongeta"-noun-ca "bean"-noun-en
"bean"-noun-en "mongeta"-noun-ca
"bean"-noun-en "fesol"-noun-ca
"bean"-noun-en "fava"-noun-ca
"fesol"-noun-ca "bean"-noun-en
"fava"-noun-ca "bean"-noun-en
"capitulació"-noun-ca "capitulation"-noun-en
"capitulation"-noun-en "capitulació"-noun-ca
"puntuació"-noun-ca "punctuation"-noun-en
"puntuació"-noun-ca "score"-noun-en
"punctuation"-noun-en "puntuació"-noun-ca
"score"-noun-en "puntuació"-noun-ca
"score"-noun-en "partitura"-noun-ca
"partitura"-noun-ca "score"-noun-en
"context"-noun-ca "context"-noun-en
"context"-noun-en "context"-noun-ca
"trajectòria"-noun-ca "path"-noun-en
"path"-noun-en "trajectòria"-noun-ca
"path"-noun-en "camí"-noun-ca
"camí"-noun-ca "path"-noun-en
"escriptor"-noun-ca "writer"-noun-en
"writer"-noun-en "escriptor"-noun-ca
"autor"-noun-ca "author"-noun-en
"author"-noun-en "autor"-noun-ca
"gravity"-noun-en "gravetat"-noun-ca
"gravetat"-noun-ca "gravity"-noun-en
"suplement"-noun-ca "supplement"-noun-en
"supplement"-noun-en "suplement"-noun-ca
"identitat"-noun-ca "identity"-noun-en
"identity"-noun-en "identitat"-noun-ca
"sabó"-noun-ca "soap"-noun-en
"soap"-noun-en "sabó"-noun-ca
"defamation"-noun-en "difamació"-noun-ca
"difamació"-noun-ca "defamation"-noun-en
"slur"-noun-en "calúmnia"-noun-ca
"calúmnia"-noun-ca "slur"-noun-en
"biblioteca"-noun-ca "library"-noun-en
"library"-noun-en "biblioteca"-noun-ca
"pau"-noun-ca "peace"-noun-en
"peace"-noun-en "pau"-noun-ca
"subscripció"-noun-ca "subscription"-noun-en
"subscription"-noun-en "subscripció"-noun-ca
"menstruació"-noun-ca "menstruation"-noun-en
"menstruation"-noun-en "menstruació"-noun-ca
"captain"-noun-en "capità"-noun-ca
"capità"-noun-ca "captain"-noun-en
"commander"-noun-en "comandant"-noun-ca
"comandant"-noun-ca "commander"-noun-en
"automobilista"-noun-ca "motorist"-noun-en
"motorist"-noun-en "automobilista"-noun-ca
"apprenticeship"-noun-en "aprenentatge"-noun-ca
"aprenentatge"-noun-ca "apprenticeship"-noun-en
"aprenentatge"-noun-ca "learning"-noun-en
"learning"-noun-en "aprenentatge"-noun-ca
"prosperity"-noun-en "prosperitat"-noun-ca
"prosperitat"-noun-ca "prosperity"-noun-en
"slang"-noun-en "argot"-noun-ca
"argot"-noun-ca "slang"-noun-en
"percepció"-noun-ca "perception"-noun-en
"perception"-noun-en "percepció"-noun-ca
"préstec"-noun-ca "loan"-noun-en
"loan"-noun-en "préstec"-noun-ca
"fractura"-noun-ca "fracture"-noun-en
"fracture"-noun-en "fractura"-noun-ca
"eventualitat"-noun-ca "eventuality"-noun-en
"eventuality"-noun-en "eventualitat"-noun-ca
"perspectiva"-noun-ca "prospect"-noun-en
"perspectiva"-noun-ca "outlook"-noun-en
"perspectiva"-noun-ca "perspective"-noun-en
"prospect"-noun-en "perspectiva"-noun-ca
"outlook"-noun-en "perspectiva"-noun-ca
"perspective"-noun-en "perspectiva"-noun-ca
"novel·la"-noun-ca "novel"-noun-en
"novel"-noun-en "novel·la"-noun-ca
"idyll"-noun-en "idil·li"-noun-ca
"idil·li"-noun-ca "idyll"-noun-en
"jerarquia"-noun-ca "hierarchy"-noun-en
"hierarchy"-noun-en "jerarquia"-noun-ca
"sonda"-noun-ca "probe"-noun-en
"probe"-noun-en "sonda"-noun-ca
"parabrisa"-noun-ca "windscreen"-noun-en
"windscreen"-noun-en "parabrisa"-noun-ca
"pantalla"-noun-ca "screen"-noun-en
"screen"-noun-en "pantalla"-noun-ca
"flute"-noun-en "flauta"-noun-ca
"flauta"-noun-ca "flute"-noun-en
"pinzell"-noun-ca "paintbrush"-noun-en
"pinzell"-noun-ca "brush"-noun-en
"paintbrush"-noun-en "pinzell"-noun-ca
"brush"-noun-en "pinzell"-noun-ca
"brush"-noun-en "raspall"-noun-ca
"raspall"-noun-ca "brush"-noun-en
"orquestra"-noun-ca "orchestra"-noun-en
"orchestra"-noun-en "orquestra"-noun-ca
"taller"-noun-ca "workshop"-noun-en
"workshop"-noun-en "taller"-noun-ca
"garatge"-noun-ca "garage"-noun-en
"garage"-noun-en "garatge"-noun-ca
"talismà"-noun-ca "talisman"-noun-en
"talisman"-noun-en "talismà"-noun-ca
"inflamació"-noun-ca "inflammation"-noun-en
"inflammation"-noun-en "inflamació"-noun-ca
"contrasenya"-noun-ca "password"-noun-en
"password"-noun-en "contrasenya"-noun-ca
"lema"-noun-ca "lemma"-noun-en
"lemma"-noun-en "lema"-noun-ca
"secret"-noun-ca "secret"-noun-en
"secret"-noun-en "secret"-noun-ca
"religió"-noun-ca "religion"-noun-en
"religion"-noun-en "religió"-noun-ca
"secta"-noun-ca "sect"-noun-en
"sect"-noun-en "secta"-noun-ca
"adoració"-noun-ca "adoration"-noun-en
"adoration"-noun-en "adoració"-noun-ca
"nòmada"-noun-ca "nomad"-noun-en
"nomad"-noun-en "nòmada"-noun-ca
"retaule"-noun-ca "altarpiece"-noun-en
"altarpiece"-noun-en "retaule"-noun-ca
"recepta"-noun-ca "recipe"-noun-en
"recipe"-noun-en "recepta"-noun-ca
"deficiency"-noun-en "deficiència"-noun-ca
"deficiència"-noun-ca "deficiency"-noun-en
"versió"-noun-ca "version"-noun-en
"version"-noun-en "versió"-noun-ca
"independència"-noun-ca "independence"-noun-en
"independence"-noun-en "independència"-noun-ca
"rècord"-noun-ca "record"-noun-en
"record"-noun-en "rècord"-noun-ca
"record"-noun-en "registre"-noun-ca
"registre"-noun-ca "record"-noun-en
"registre"-noun-ca "register"-noun-en
"register"-noun-en "registre"-noun-ca
"apagar"-verb-ca "turn off"-verb-en
"turn off"-verb-en "apagar"-verb-ca
"botifarra"-noun-ca "sausage"-noun-en
"sausage"-noun-en "botifarra"-noun-ca
"cúmul"-noun-ca "cumulus"-noun-en
"cumulus"-noun-en "cúmul"-noun-ca
"pretext"-noun-ca "pretext"-noun-en
"pretext"-noun-en "pretext"-noun-ca
"layer"-noun-en "capa"-noun-ca
"capa"-noun-ca "layer"-noun-en
"capa"-noun-ca "deposit"-noun-en
"deposit"-noun-en "capa"-noun-ca
"informació"-noun-ca "information"-noun-en
"information"-noun-en "informació"-noun-ca
"battery"-noun-en "bateria"-noun-ca
"bateria"-noun-ca "battery"-noun-en
"tapís"-noun-ca "tapestry"-noun-en
"tapís"-noun-ca "carpet"-noun-en
"tapestry"-noun-en "tapís"-noun-ca
"tapestry"-noun-en "catifa"-noun-ca
"carpet"-noun-en "tapís"-noun-ca
"carpet"-noun-en "catifa"-noun-ca
"catifa"-noun-ca "tapestry"-noun-en
"catifa"-noun-ca "carpet"-noun-en
"participation"-noun-en "participació"-noun-ca
"participació"-noun-ca "participation"-noun-en
"law"-noun-en "llei"-noun-ca
"llei"-noun-ca "law"-noun-en
"límit"-noun-ca "limit"-noun-en
"limit"-noun-en "límit"-noun-ca
"programa"-noun-ca "program"-noun-en
"programa"-noun-ca "programme"-noun-en
"program"-noun-en "programa"-noun-ca
"programme"-noun-en "programa"-noun-ca
"raig"-noun-ca "ray"-noun-en
"ray"-noun-en "raig"-noun-ca
"ray"-noun-en "radi"-noun-ca
"radi"-noun-ca "ray"-noun-en
"radi"-noun-ca "radio"-noun-en
"radi"-noun-ca "radius"-noun-en
"radio"-noun-en "radi"-noun-ca
"radio"-noun-en "ràdio"-noun-ca
"radius"-noun-en "radi"-noun-ca
"ràdio"-noun-ca "radio"-noun-en
"radiació"-noun-ca "radiation"-noun-en
"radiation"-noun-en "radiació"-noun-ca
"delivery"-noun-en "lliurament"-noun-ca
"lliurament"-noun-ca "delivery"-noun-en
"range"-noun-en "gamma"-noun-ca
"gamma"-noun-ca "range"-noun-en
"pèrdua"-noun-ca "loss"-noun-en
"loss"-noun-en "pèrdua"-noun-ca
"porc"-noun-ca "pig"-noun-en
"pig"-noun-en "porc"-noun-ca
"seda"-noun-ca "silk"-noun-en
"silk"-noun-en "seda"-noun-ca
"dèficit"-noun-ca "deficit"-noun-en
"deficit"-noun-en "dèficit"-noun-ca
"oferta"-noun-ca "offer"-noun-en
"oferta"-noun-ca "bid"-noun-en
"oferta"-noun-ca "tender"-noun-en
"offer"-noun-en "oferta"-noun-ca
"offer"-noun-en "oferiment"-noun-ca
"bid"-noun-en "oferta"-noun-ca
"bid"-noun-en "assaig"-noun-ca
"bid"-noun-en "intent"-noun-ca
"tender"-noun-en "oferta"-noun-ca
"oferiment"-noun-ca "offer"-noun-en
"assaig"-noun-ca "bid"-noun-en
"assaig"-noun-ca "attempt"-noun-en
"assaig"-noun-ca "essay"-noun-en
"intent"-noun-ca "bid"-noun-en
"intent"-noun-ca "attempt"-noun-en
"comparació"-noun-ca "comparison"-noun-en
"comparison"-noun-en "comparació"-noun-ca
"confrontació"-noun-ca "confrontation"-noun-en
"confrontation"-noun-en "confrontació"-noun-ca
"sessió"-noun-ca "session"-noun-en
"session"-noun-en "sessió"-noun-ca
"construcció"-noun-ca "construction"-noun-en
"construction"-noun-en "construcció"-noun-ca
"complex"-noun-ca "complex"-noun-en
"complex"-noun-en "complex"-noun-ca
"composition"-noun-en "redacció"-noun-ca
"redacció"-noun-ca "composition"-noun-en
"redacció"-noun-ca "editorial staff"-noun-en
"editorial staff"-noun-en "redacció"-noun-ca
"combinació"-noun-ca "combination"-noun-en
"combination"-noun-en "combinació"-noun-ca
"unió"-noun-ca "union"-noun-en
"unió"-noun-ca "unification"-noun-en
"union"-noun-en "unió"-noun-ca
"unification"-noun-en "unió"-noun-ca
"unification"-noun-en "unificació"-noun-ca
"unificació"-noun-ca "unification"-noun-en
"contribució"-noun-ca "contribution"-noun-en
"contribution"-noun-en "contribució"-noun-ca
"contribution"-noun-en "aportació"-noun-ca
"aportació"-noun-ca "contribution"-noun-en
"ritme"-noun-ca "rhythm"-noun-en
"rhythm"-noun-en "ritme"-noun-ca
"rhythm"-noun-en "compàs"-noun-ca
"compàs"-noun-ca "rhythm"-noun-en
"package"-noun-en "paquet"-noun-ca
"paquet"-noun-ca "package"-noun-en
"paquet"-noun-ca "bundle"-noun-en
"paquet"-noun-ca "parcel"-noun-en
"bundle"-noun-en "paquet"-noun-ca
"parcel"-noun-en "paquet"-noun-ca
"col·lecció"-noun-ca "collection"-noun-en
"collection"-noun-en "col·lecció"-noun-ca
"desig"-noun-ca "desire"-noun-en
"desig"-noun-ca "wish"-noun-en
"desire"-noun-en "desig"-noun-ca
"wish"-noun-en "desig"-noun-ca
"apetit"-noun-ca "appetite"-noun-en
"appetite"-noun-en "apetit"-noun-ca
"shed"-noun-en "cabana"-noun-ca
"shed"-noun-en "cabanya"-noun-ca
"shed"-noun-en "barraca"-noun-ca
"cabana"-noun-ca "shed"-noun-en
"cabana"-noun-ca "hut"-noun-en
"cabanya"-noun-ca "shed"-noun-en
"cabanya"-noun-ca "hut"-noun-en
"barraca"-noun-ca "shed"-noun-en
"hut"-noun-en "cabana"-noun-ca
"hut"-noun-en "cabanya"-noun-ca
"detenció"-noun-ca "arrest"-noun-en
"arrest"-noun-en "detenció"-noun-ca
"arrest"-noun-en "arrest"-noun-ca
"arrest"-noun-ca "arrest"-noun-en
"foreign exchange"-noun-en "canvi"-noun-ca
"canvi"-noun-ca "foreign exchange"-noun-en
"canvi"-noun-ca "change"-noun-en
"change"-noun-en "canvi"-noun-ca
"aliment"-noun-ca "food"-noun-en
"food"-noun-en "aliment"-noun-ca
"sopar"-noun-ca "supper"-noun-en
"supper"-noun-en "sopar"-noun-ca
"àpat"-noun-ca "meal"-noun-en
"meal"-noun-en "àpat"-noun-ca
"ration"-noun-en "ració"-noun-ca
"ració"-noun-ca "ration"-noun-en
"seguretat"-noun-ca "security"-noun-en
"seguretat"-noun-ca "safety"-noun-en
"security"-noun-en "seguretat"-noun-ca
"safety"-noun-en "seguretat"-noun-ca
"fe"-noun-ca "faith"-noun-en
"faith"-noun-en "fe"-noun-ca
"confidence"-noun-en "confiança"-noun-ca
"confidence"-noun-en "confidència"-noun-ca
"confiança"-noun-ca "confidence"-noun-en
"confidència"-noun-ca "confidence"-noun-en
"revelació"-noun-ca "disclosure"-noun-en
"disclosure"-noun-en "revelació"-noun-ca
"estàndard"-noun-ca "standard"-noun-en
"standard"-noun-en "estàndard"-noun-ca
"alçada"-noun-ca "height"-noun-en
"height"-noun-en "alçada"-noun-ca
"height"-noun-en "altura"-noun-ca
"height"-noun-en "alçària"-noun-ca
"height"-noun-en "estatura"-noun-ca
"altura"-noun-ca "height"-noun-en
"altura"-noun-ca "elevation"-noun-en
"alçària"-noun-ca "height"-noun-en
"estatura"-noun-ca "height"-noun-en
"elevation"-noun-en "altura"-noun-ca
"elevació"-noun-ca "rise"-noun-en
"rise"-noun-en "elevació"-noun-ca
"rise"-noun-en "pujada"-noun-ca
"pujada"-noun-ca "rise"-noun-en
"turó"-noun-ca "hill"-noun-en
"hill"-noun-en "turó"-noun-ca
"hill"-noun-en "pujol"-noun-ca
"hill"-noun-en "puig"-noun-ca
"pujol"-noun-ca "hill"-noun-en
"puig"-noun-ca "hill"-noun-en
"encant"-noun-ca "charm"-noun-en
"charm"-noun-en "encant"-noun-ca
"corda"-noun-ca "string"-noun-en
"corda"-noun-ca "rope"-noun-en
"string"-noun-en "corda"-noun-ca
"rope"-noun-en "corda"-noun-ca
"filferro"-noun-ca "thread"-noun-en
"thread"-noun-en "filferro"-noun-ca
"thread"-noun-en "fil"-noun-ca
"fil"-noun-ca "thread"-noun-en
"descompte"-noun-ca "discount"-noun-en
"discount"-noun-en "descompte"-noun-ca
"discount"-noun-en "rebaixa"-noun-ca
"discount"-noun-en "reducció"-noun-ca
"rebaixa"-noun-ca "discount"-noun-en
"reducció"-noun-ca "discount"-noun-en
"referència"-noun-ca "reference"-noun-en
"reference"-noun-en "referència"-noun-ca
"chorus"-noun-en "cor"-noun-ca
"cor"-noun-ca "chorus"-noun-en
"cor"-noun-ca "heart"-noun-en
"heart"-noun-en "cor"-noun-ca
"drawer"-noun-en "calaix"-noun-ca
"calaix"-noun-ca "drawer"-noun-en
"pota"-noun-ca "leg"-noun-en
"leg"-noun-en "pota"-noun-ca
"leg"-noun-en "cama"-noun-ca
"cama"-noun-ca "leg"-noun-en
"protection"-noun-en "protecció"-noun-ca
"protecció"-noun-ca "protection"-noun-en
"guard"-noun-en "custòdia"-noun-ca
"guard"-noun-en "vigilància"-noun-ca
"custòdia"-noun-ca "guard"-noun-en
"vigilància"-noun-ca "guard"-noun-en
"surveillance"-noun-en "observació"-noun-ca
"observació"-noun-ca "surveillance"-noun-en
"mot"-noun-ca "word"-noun-en
"word"-noun-en "mot"-noun-ca
"word"-noun-en "paraula"-noun-ca
"paraula"-noun-ca "word"-noun-en
"estil"-noun-ca "style"-noun-en
"style"-noun-en "estil"-noun-ca
"temple"-noun-en "temple"-noun-ca
"temple"-noun-ca "temple"-noun-en
"església"-noun-ca "church"-noun-en
"church"-noun-en "església"-noun-ca
"arena"-noun-ca "arena"-noun-en
"arena"-noun-ca "sand"-noun-en
"arena"-noun-en "arena"-noun-ca
"sand"-noun-en "arena"-noun-ca
"sand"-noun-en "sorra"-noun-ca
"sorra"-noun-ca "sand"-noun-en
"emissió"-noun-ca "broadcast"-noun-en
"broadcast"-noun-en "emissió"-noun-ca
"transmission"-noun-en "transmissió"-noun-ca
"transmissió"-noun-ca "transmission"-noun-en
"comunicació"-noun-ca "communication"-noun-en
"communication"-noun-en "comunicació"-noun-ca
"baula"-noun-ca "link"-noun-en
"debenture"-noun-en "obligació"-noun-ca
"obligació"-noun-ca "debenture"-noun-en
"obligació"-noun-ca "obligation"-noun-en
"obligation"-noun-en "obligació"-noun-ca
"cup"-noun-en "tassa"-noun-ca
"cup"-noun-en "copa"-noun-ca
"tassa"-noun-ca "cup"-noun-en
"copa"-noun-ca "cup"-noun-en
"declaració"-noun-ca "declaration"-noun-en
"declaració"-noun-ca "statement"-noun-en
"declaration"-noun-en "declaració"-noun-ca
"statement"-noun-en "declaració"-noun-ca
"cop d'estat"-noun-ca "coup"-noun-en
"coup"-noun-en "cop d'estat"-noun-ca
"coup"-noun-en "pronunciament"-noun-ca
"pronunciament"-noun-ca "coup"-noun-en
"pronunciament"-noun-ca "coup d'état"-noun-en
"coup d'état"-noun-en "pronunciament"-noun-ca
"shield"-noun-en "escut"-noun-ca
"escut"-noun-ca "shield"-noun-en
"símbol"-noun-ca "symbol"-noun-en
"symbol"-noun-en "símbol"-noun-ca
"character"-noun-en "caràcter"-noun-ca
"caràcter"-noun-ca "character"-noun-en
"edició"-noun-ca "edition"-noun-en
"edition"-noun-en "edició"-noun-ca
"editorial"-noun-ca "publisher"-noun-en
"editorial"-noun-ca "editorial"-noun-en
"publisher"-noun-en "editorial"-noun-ca
"publisher"-noun-en "editor"-noun-ca
"editorial"-noun-en "editorial"-noun-ca
"editor"-noun-ca "publisher"-noun-en
"writing"-noun-en "escriptura"-noun-ca
"writing"-noun-en "escrit"-noun-ca
"escriptura"-noun-ca "writing"-noun-en
"escrit"-noun-ca "writing"-noun-en
"regulation"-noun-en "regulació"-noun-ca
"regulació"-noun-ca "regulation"-noun-en
"control"-noun-ca "control"-noun-en
"control"-noun-en "control"-noun-ca
"viatge"-noun-ca "voyage"-noun-en
"viatge"-noun-ca "journey"-noun-en
"voyage"-noun-en "viatge"-noun-ca
"journey"-noun-en "viatge"-noun-ca
"equilibri"-noun-ca "equilibrium"-noun-en
"equilibri"-noun-ca "balance"-noun-en
"equilibrium"-noun-en "equilibri"-noun-ca
"balance"-noun-en "equilibri"-noun-ca
"balance"-noun-en "saldo"-noun-ca
"saldo"-noun-ca "balance"-noun-en
"report"-noun-en "informe"-noun-ca
"informe"-noun-ca "report"-noun-en
"story"-noun-en "narració"-noun-ca
"narració"-noun-ca "story"-noun-en
"història"-noun-ca "history"-noun-en
"history"-noun-en "història"-noun-ca
"conte"-noun-ca "tale"-noun-en
"tale"-noun-en "conte"-noun-ca
"lineage"-noun-en "cognom"-noun-ca
"cognom"-noun-ca "lineage"-noun-en
"assembly"-noun-en "assemblea"-noun-ca
"assemblea"-noun-ca "assembly"-noun-en
"exèrcit"-noun-ca "army"-noun-en
"army"-noun-en "exèrcit"-noun-ca
"mirada"-noun-ca "look"-noun-en
"mirada"-noun-ca "gaze"-noun-en
"look"-noun-en "mirada"-noun-ca
"look"-noun-en "esguard"-noun-ca
"gaze"-noun-en "mirada"-noun-ca
"gaze"-noun-en "esguard"-noun-ca
"esguard"-noun-ca "look"-noun-en
"esguard"-noun-ca "gaze"-noun-en
"dent"-noun-ca "tooth"-noun-en
"tooth"-noun-en "dent"-noun-ca
"hook"-noun-en "ganxo"-noun-ca
"hook"-noun-en "ham"-noun-ca
"ganxo"-noun-ca "hook"-noun-en
"ham"-noun-ca "hook"-noun-en
"estructura"-noun-ca "structure"-noun-en
"structure"-noun-en "estructura"-noun-ca
"constitució"-noun-ca "constitution"-noun-en
"constitution"-noun-en "constitució"-noun-ca
"lleixa"-noun-ca "shelf"-noun-en
"shelf"-noun-en "lleixa"-noun-ca
"shelf"-noun-en "prestatge"-noun-ca
"prestatge"-noun-ca "shelf"-noun-en
"appraisal"-noun-en "avaluació"-noun-ca
"avaluació"-noun-ca "appraisal"-noun-en
"avaluació"-noun-ca "assessment"-noun-en
"avaluació"-noun-ca "rating"-noun-en
"avaluació"-noun-ca "evaluation"-noun-en
"assessment"-noun-en "avaluació"-noun-ca
"rating"-noun-en "avaluació"-noun-ca
"evaluation"-noun-en "avaluació"-noun-ca
"regard"-noun-en "consideració"-noun-ca
"consideració"-noun-ca "regard"-noun-en
"consideració"-noun-ca "consideration"-noun-en
"consideration"-noun-en "consideració"-noun-ca
"sensació"-noun-ca "feeling"-noun-en
"feeling"-noun-en "sensació"-noun-ca
"feeling"-noun-en "sentiment"-noun-ca
"sentiment"-noun-ca "feeling"-noun-en
"dialecte"-noun-ca "dialect"-noun-en
"dialect"-noun-en "dialecte"-noun-ca
"idioma"-noun-ca "tongue"-noun-en
"idioma"-noun-ca "language"-noun-en
"tongue"-noun-en "idioma"-noun-ca
"tongue"-noun-en "llengua"-noun-ca
"language"-noun-en "idioma"-noun-ca
"language"-noun-en "llengua"-noun-ca
"language"-noun-en "llenguatge"-noun-ca
"llengua"-noun-ca "tongue"-noun-en
"llengua"-noun-ca "language"-noun-en
"llenguatge"-noun-ca "language"-noun-en
"fre"-noun-ca "brake"-noun-en
"brake"-noun-en "fre"-noun-ca
"benefici"-noun-ca "profit"-noun-en
"profit"-noun-en "benefici"-noun-ca
"plata"-noun-ca "silver"-noun-en
"silver"-noun-en "plata"-noun-ca
"silver"-noun-en "argent"-noun-ca
"argent"-noun-ca "silver"-noun-en
"menjador"-noun-ca "canteen"-noun-en
"canteen"-noun-en "menjador"-noun-ca
"dish"-noun-en "plat"-noun-ca
"plat"-noun-ca "dish"-noun-en
"plat"-noun-ca "plate"-noun-en
"plate"-noun-en "plat"-noun-ca
"course"-noun-en "curs"-noun-ca
"curs"-noun-ca "course"-noun-en
"march"-noun-en "marxa"-noun-ca
"marxa"-noun-ca "march"-noun-en
"driver"-noun-en "conductor"-noun-ca
"conductor"-noun-ca "driver"-noun-en
"leader"-noun-en "líder"-noun-ca
"leader"-noun-en "dirigent"-noun-ca
"líder"-noun-ca "leader"-noun-en
"dirigent"-noun-ca "leader"-noun-en
"chief"-noun-en "cap"-noun-ca
"cap"-noun-ca "chief"-noun-en
"cap"-noun-ca "boss"-noun-en
"cap"-noun-ca "cape"-noun-en
"cap"-noun-ca "head"-noun-en
"boss"-noun-en "cap"-noun-ca
"boss"-noun-en "cabdill"-noun-ca
"cape"-noun-en "cap"-noun-ca
"head"-noun-en "cap"-noun-ca
"cabdill"-noun-ca "boss"-noun-en
"patró"-noun-ca "sponsor"-noun-en
"patró"-noun-ca "master"-noun-en
"patró"-noun-ca "patron saint"-noun-en
"patró"-noun-ca "template"-noun-en
"patró"-noun-ca "employer"-noun-en
"sponsor"-noun-en "patró"-noun-ca
"sponsor"-noun-en "protector"-noun-ca
"master"-noun-en "patró"-noun-ca
"master"-noun-en "mestre"-noun-ca
"patron saint"-noun-en "patró"-noun-ca
"template"-noun-en "patró"-noun-ca
"template"-noun-en "plantilla"-noun-ca
"employer"-noun-en "patró"-noun-ca
"employer"-noun-en "empresari"-noun-ca
"protector"-noun-ca "sponsor"-noun-en
"mestre"-noun-ca "master"-noun-en
"mestre"-noun-ca "teacher"-noun-en
"plantilla"-noun-ca "template"-noun-en
"empresari"-noun-ca "employer"-noun-en
"teacher"-noun-en "mestre"-noun-ca
"teacher"-noun-en "professor"-noun-ca
"firma"-noun-ca "signature"-noun-en
"signature"-noun-en "firma"-noun-ca
"tranquil·litat"-noun-ca "calm"-noun-en
"tranquil·litat"-noun-ca "tranquility"-noun-en
"calm"-noun-en "tranquil·litat"-noun-ca
"calm"-noun-en "calma"-noun-ca
"tranquility"-noun-en "tranquil·litat"-noun-ca
"calma"-noun-ca "calm"-noun-en
"vaga"-noun-ca "strike"-noun-en
"strike"-noun-en "vaga"-noun-ca
"colp"-noun-ca "blow"-noun-en
"blow"-noun-en "colp"-noun-ca
"blow"-noun-en "cop"-noun-ca
"cop"-noun-ca "blow"-noun-en
"investment"-noun-en "inversió"-noun-ca
"inversió"-noun-ca "investment"-noun-en
"warehouse"-noun-en "magatzem"-noun-ca
"magatzem"-noun-ca "warehouse"-noun-en
"magatzem"-noun-ca "store"-noun-en
"store"-noun-en "magatzem"-noun-ca
"store"-noun-en "botiga"-noun-ca
"botiga"-noun-ca "store"-noun-en
"botiga"-noun-ca "shop"-noun-en
"shop"-noun-en "botiga"-noun-ca
"substitution"-noun-en "substitució"-noun-ca
"substitució"-noun-ca "substitution"-noun-en
"consol"-noun-ca "consolation"-noun-en
"consolation"-noun-en "consol"-noun-ca
"confort"-noun-ca "comfort"-noun-en
"comfort"-noun-en "confort"-noun-ca
"comfort"-noun-en "comoditat"-noun-ca
"comoditat"-noun-ca "comfort"-noun-en
"prolongació"-noun-ca "prolongation"-noun-en
"prolongation"-noun-en "prolongació"-noun-ca
"impression"-noun-en "impressió"-noun-ca
"impressió"-noun-ca "impression"-noun-en
"xafarderia"-noun-ca "gossip"-noun-en
"gossip"-noun-en "xafarderia"-noun-ca
"rumor"-noun-ca "rumour"-noun-en
"rumour"-noun-en "rumor"-noun-ca
"quadern"-noun-ca "fascicle"-noun-en
"fascicle"-noun-en "quadern"-noun-ca
"agenda"-noun-ca "diary"-noun-en
"diary"-noun-en "agenda"-noun-ca
"diary"-noun-en "diari"-noun-ca
"diari"-noun-ca "diary"-noun-en
"diari"-noun-ca "newspaper"-noun-en
"newspaper"-noun-en "diari"-noun-ca
"newspaper"-noun-en "periòdic"-noun-ca
"periòdic"-noun-ca "newspaper"-noun-en
"salari"-noun-ca "salary"-noun-en
"salari"-noun-ca "wage"-noun-en
"salary"-noun-en "salari"-noun-ca
"salary"-noun-en "sou"-noun-ca
"wage"-noun-en "salari"-noun-ca
"wage"-noun-en "sou"-noun-ca
"sou"-noun-ca "salary"-noun-en
"sou"-noun-ca "wage"-noun-en
"pagament"-noun-ca "payment"-noun-en
"payment"-noun-en "pagament"-noun-ca
"compensació"-noun-ca "compensation"-noun-en
"compensation"-noun-en "compensació"-noun-ca
"compensation"-noun-en "indemnització"-noun-ca
"indemnització"-noun-ca "compensation"-noun-en
"correcció"-noun-ca "correction"-noun-en
"correction"-noun-en "correcció"-noun-ca
"revision"-noun-en "revisió"-noun-ca
"revisió"-noun-ca "revision"-noun-en
"revisió"-noun-ca "review"-noun-en
"revisió"-noun-ca "overhaul"-noun-en
"review"-noun-en "revisió"-noun-ca
"overhaul"-noun-en "revisió"-noun-ca
"examination"-noun-en "examen"-noun-ca
"examen"-noun-ca "examination"-noun-en
"examen"-noun-ca "exam"-noun-en
"exam"-noun-en "examen"-noun-ca
"descripció"-noun-ca "description"-noun-en
"description"-noun-en "descripció"-noun-ca
"aplicació"-noun-ca "application"-noun-en
"application"-noun-en "aplicació"-noun-ca
"quantitat"-noun-ca "quantity"-noun-en
"quantitat"-noun-ca "amount"-noun-en
"quantity"-noun-en "quantitat"-noun-ca
"amount"-noun-en "quantitat"-noun-ca
"sentit"-noun-ca "sense"-noun-en
"sense"-noun-en "sentit"-noun-ca
