"el teu"-determiner-ca "thy"-determiner-en
"vitamin"-adjective-en "vitamínic"-adjective-ca
"vitamínic"-adjective-ca "vitamin"-adjective-en
"weight"-verb-en "pesar"-verb-ca
"pesar"-verb-ca "weight"-verb-en
"Yugoslavian"-adjective-en "iugoslau"-adjective-ca
"iugoslau"-adjective-ca "Yugoslavian"-adjective-en
"zoanthropy"-noun-en "zoantropia"-noun-ca
"zoantropia"-noun-ca "zoanthropy"-noun-en
"ASCII"-noun-en "ASCII"-noun-ca
"ASCII"-noun-ca "ASCII"-noun-en
"FIFA"-noun-en "FIFA"-noun-ca
"FIFA"-noun-ca "FIFA"-noun-en
"IMF"-noun-en "FMI"-noun-ca
"FMI"-noun-ca "IMF"-noun-en
"KGB"-noun-en "KGB"-noun-ca
"KGB"-noun-ca "KGB"-noun-en
"LSD"-noun-en "LSD"-noun-ca
"LSD"-noun-ca "LSD"-noun-en
"UNESCO"-noun-en "UNESCO"-noun-ca
"UNESCO"-noun-ca "UNESCO"-noun-en
"abelian"-adjective-en "abelià"-adjective-ca
"abelià"-adjective-ca "abelian"-adjective-en
"Abrahamic"-adjective-en "abrahàmic"-adjective-ca
"abrahàmic"-adjective-ca "Abrahamic"-adjective-en
"Acadian"-adjective-en "acadià"-adjective-ca
"acadià"-adjective-ca "Acadian"-adjective-en
"adaptatiu"-adjective-ca "adaptive"-adjective-en
"adaptive"-adjective-en "adaptatiu"-adjective-ca
"addictive"-adjective-en "addictiu"-adjective-ca
"addictiu"-adjective-ca "addictive"-adjective-en
"Adriatic"-adjective-en "adriàtic"-adjective-ca
"adriàtic"-adjective-ca "Adriatic"-adjective-en
"adversarial"-adjective-en "adversari"-adjective-ca
"adversari"-adjective-ca "adversarial"-adjective-en
"Afghan"-adjective-en "afganès"-adjective-ca
"afganès"-adjective-ca "Afghan"-adjective-en
"Afroasiatic"-adjective-en "afroasiàtic"-adjective-ca
"afroasiàtic"-adjective-ca "Afroasiatic"-adjective-en
"agonised"-adjective-en "angoixós"-adjective-ca
"angoixós"-adjective-ca "agonised"-adjective-en
"agronomic"-adjective-en "agronòmic"-adjective-ca
"agronòmic"-adjective-ca "agronomic"-adjective-en
"alchemical"-adjective-en "alquímic"-adjective-ca
"alquímic"-adjective-ca "alchemical"-adjective-en
"Alemannic"-adjective-en "alamànic"-adjective-ca
"alamànic"-adjective-ca "Alemannic"-adjective-en
"Alexandrian"-adjective-en "alexandrí"-adjective-ca
"alexandrí"-adjective-ca "Alexandrian"-adjective-en
"Algerian"-adjective-en "algerià"-adjective-ca
"algerià"-adjective-ca "Algerian"-adjective-en
"Algonquian"-adjective-en "algonquí"-adjective-ca
"algonquí"-adjective-ca "Algonquian"-adjective-en
"from Alicante"-adjective-en "alacantí"-adjective-ca
"alacantí"-adjective-ca "from Alicante"-adjective-en
"Amazonian"-adjective-en "amazònic"-adjective-ca
"amazònic"-adjective-ca "Amazonian"-adjective-en
"Amerindian"-adjective-en "amerindi"-adjective-ca
"amerindi"-adjective-ca "Amerindian"-adjective-en
"Anatolian"-adjective-en "anatòlic"-adjective-ca
"anatòlic"-adjective-ca "Anatolian"-adjective-en
"Andean"-adjective-en "andí"-adjective-ca
"andí"-adjective-ca "Andean"-adjective-en
"Anglican"-adjective-en "anglicà"-adjective-ca
"anglicà"-adjective-ca "Anglican"-adjective-en
"anglophone"-adjective-en "anglòfon"-adjective-ca
"anglòfon"-adjective-ca "anglophone"-adjective-en
"Angolan"-adjective-en "angolès"-adjective-ca
"angolès"-adjective-ca "Angolan"-adjective-en
"anhydrous"-adjective-en "anhidre"-adjective-ca
"anhidre"-adjective-ca "anhydrous"-adjective-en
"anomeric"-adjective-en "anomèric"-adjective-ca
"anomèric"-adjective-ca "anomeric"-adjective-en
"anovulatory"-adjective-en "anovulatori"-adjective-ca
"anovulatori"-adjective-ca "anovulatory"-adjective-en
"Antarctic"-adjective-en "antàrtic"-adjective-ca
"antàrtic"-adjective-ca "Antarctic"-adjective-en
"anthropic"-adjective-en "antròpic"-adjective-ca
"antròpic"-adjective-ca "anthropic"-adjective-en
"anthropogenic"-adjective-en "antropogènic"-adjective-ca
"antropogènic"-adjective-ca "anthropogenic"-adjective-en
"anthropomorphic"-adjective-en "antropomòrfic"-adjective-ca
"antropomòrfic"-adjective-ca "anthropomorphic"-adjective-en
"anthropophagous"-adjective-en "antropòfag"-adjective-ca
"antropòfag"-adjective-ca "anthropophagous"-adjective-en
"antibacterial"-adjective-en "antibacterià"-adjective-ca
"antibacterià"-adjective-ca "antibacterial"-adjective-en
"anticipatory"-adjective-en "anticipatiu"-adjective-ca
"anticipatiu"-adjective-ca "anticipatory"-adjective-en
"antimicrobial"-adjective-en "antimicrobià"-adjective-ca
"antimicrobià"-adjective-ca "antimicrobial"-adjective-en
"antisemitic"-adjective-en "antisemític"-adjective-ca
"antisemític"-adjective-ca "antisemitic"-adjective-en
"aplastic"-adjective-en "aplàstic"-adjective-ca
"aplàstic"-adjective-ca "aplastic"-adjective-en
"apocryphal"-adjective-en "apòcrif"-adjective-ca
"apòcrif"-adjective-ca "apocryphal"-adjective-en
"apolitical"-adjective-en "apolític"-adjective-ca
"apolític"-adjective-ca "apolitical"-adjective-en
"apostolic"-adjective-en "apostòlic"-adjective-ca
"apostòlic"-adjective-ca "apostolic"-adjective-en
"aprotic"-adjective-en "apròtic"-adjective-ca
"apròtic"-adjective-ca "aprotic"-adjective-en
"Arab–Israeli"-adjective-en "araboisraelià"-adjective-ca
"araboisraelià"-adjective-ca "Arab–Israeli"-adjective-en
"arqueològic"-adjective-ca "archeological"-adjective-en
"archeological"-adjective-en "arqueològic"-adjective-ca
"archetypal"-adjective-en "arquetípic"-adjective-ca
"arquetípic"-adjective-ca "archetypal"-adjective-en
"Archimedean"-adjective-en "arquimedià"-adjective-ca
"arquimedià"-adjective-ca "Archimedean"-adjective-en
"Arctic"-adjective-en "àrtic"-adjective-ca
"àrtic"-adjective-ca "Arctic"-adjective-en
"Aristotelian"-adjective-en "aristotèlic"-adjective-ca
"aristotèlic"-adjective-ca "Aristotelian"-adjective-en
"articulate"-adjective-en "articulat"-adjective-ca
"articulate"-adjective-en "articular"-verb-ca
"articulat"-adjective-ca "articulate"-adjective-en
"articular"-verb-ca "articulate"-adjective-en
"ascorbic"-adjective-en "ascòrbic"-adjective-ca
"ascòrbic"-adjective-ca "ascorbic"-adjective-en
"associative"-adjective-en "associatiu"-adjective-ca
"associatiu"-adjective-ca "associative"-adjective-en
"astrological"-adjective-en "astrològic"-adjective-ca
"astrològic"-adjective-ca "astrological"-adjective-en
"asymmetrical"-adjective-en "asimètric"-adjective-ca
"asimètric"-adjective-ca "asymmetrical"-adjective-en
"Athenian"-adjective-en "atenès"-adjective-ca
"atenès"-adjective-ca "Athenian"-adjective-en
"Atlantic"-adjective-en "atlàntic"-adjective-ca
"atlàntic"-adjective-ca "Atlantic"-adjective-en
"Augustan"-adjective-en "august"-adjective-ca
"august"-adjective-ca "Augustan"-adjective-en
"Augustinian"-adjective-en "augustinià"-adjective-ca
"augustinià"-adjective-ca "Augustinian"-adjective-en
"autònom"-adjective-ca "freelance"-adjective-en
"freelance"-adjective-en "autònom"-adjective-ca
"avian"-adjective-en "aviari"-adjective-ca
"aviari"-adjective-ca "avian"-adjective-en
"Bactrian"-adjective-en "bactrià"-adjective-ca
"bactrià"-adjective-ca "Bactrian"-adjective-en
"Balinese"-adjective-en "balinès"-adjective-ca
"balinès"-adjective-ca "Balinese"-adjective-en
"Balkan"-adjective-en "balcànic"-adjective-ca
"balcànic"-adjective-ca "Balkan"-adjective-en
"Barcelonan"-adjective-en "barceloní"-adjective-ca
"barceloní"-adjective-ca "Barcelonan"-adjective-en
"Baroque"-adjective-en "barroc"-adjective-ca
"barroc"-adjective-ca "Baroque"-adjective-en
"Benedictine"-adjective-en "benedictí"-adjective-ca
"benedictí"-adjective-ca "Benedictine"-adjective-en
"biased"-adjective-en "tendenciós"-adjective-ca
"tendenciós"-adjective-ca "biased"-adjective-en
"bijective"-adjective-en "bijectiu"-adjective-ca
"bijectiu"-adjective-ca "bijective"-adjective-en
"bipartisan"-adjective-en "bipartit"-adjective-ca
"bipartit"-adjective-ca "bipartisan"-adjective-en
"bohemian"-adjective-en "bohemi"-adjective-ca
"bohemi"-adjective-ca "bohemian"-adjective-en
"Bolivarian"-adjective-en "bolivarià"-adjective-ca
"bolivarià"-adjective-ca "Bolivarian"-adjective-en
"valent"-adjective-ca "lion-hearted"-adjective-en
"lion-hearted"-adjective-en "valent"-adjective-ca
"Brythonic"-adjective-en "britònic"-adjective-ca
"britònic"-adjective-ca "Brythonic"-adjective-en
"bubonic"-adjective-en "bubònic"-adjective-ca
"bubònic"-adjective-ca "bubonic"-adjective-en
"Burgundian"-adjective-en "burgundi"-adjective-ca
"burgundi"-adjective-ca "Burgundian"-adjective-en
"Byzantine"-adjective-en "bizantí"-adjective-ca
"bizantí"-adjective-ca "Byzantine"-adjective-en
"Californian"-adjective-en "californià"-adjective-ca
"californià"-adjective-ca "Californian"-adjective-en
"caloric"-adjective-en "calòric"-adjective-ca
"calòric"-adjective-ca "caloric"-adjective-en
"calorimetric"-adjective-en "calorimètric"-adjective-ca
"calorimètric"-adjective-ca "calorimetric"-adjective-en
"Cambrian"-adjective-en "cambrià"-adjective-ca
"cambrià"-adjective-ca "Cambrian"-adjective-en
"franc"-adjective-ca "Frankish"-adjective-en
"Frankish"-adjective-en "franc"-adjective-ca
"Capitoline"-adjective-en "capitolí"-adjective-ca
"capitolí"-adjective-ca "Capitoline"-adjective-en
"carbònic"-adjective-ca "carbonic"-adjective-en
"carbonic"-adjective-en "carbònic"-adjective-ca
"Carolingian"-adjective-en "carolingi"-adjective-ca
"carolingi"-adjective-ca "Carolingian"-adjective-en
"Cartesian"-adjective-en "cartesià"-adjective-ca
"cartesià"-adjective-ca "Cartesian"-adjective-en
"Caucasian"-adjective-en "caucàsic"-adjective-ca
"caucàsic"-adjective-ca "Caucasian"-adjective-en
"causative"-adjective-en "causatiu"-adjective-ca
"causatiu"-adjective-ca "causative"-adjective-en
"celebratory"-adjective-en "festiu"-adjective-ca
"festiu"-adjective-ca "celebratory"-adjective-en
"Celtic"-adjective-en "cèltic"-adjective-ca
"cèltic"-adjective-ca "Celtic"-adjective-en
"cèntric"-adjective-ca "centric"-adjective-en
"centric"-adjective-en "cèntric"-adjective-ca
"centripetal"-adjective-en "centrípet"-adjective-ca
"centrípet"-adjective-ca "centripetal"-adjective-en
"Chadian"-adjective-en "txadià"-adjective-ca
"txadià"-adjective-ca "Chadian"-adjective-en
"chicken-hearted"-adjective-en "covard"-adjective-ca
"covard"-adjective-ca "chicken-hearted"-adjective-en
"Cistercian"-adjective-en "cistercenc"-adjective-ca
"cistercenc"-adjective-ca "Cistercian"-adjective-en
"cohesive"-adjective-en "cohesiu"-adjective-ca
"cohesiu"-adjective-ca "cohesive"-adjective-en
"collaborative"-adjective-en "col·laboratiu"-adjective-ca
"col·laboratiu"-adjective-ca "collaborative"-adjective-en
"colorless"-adjective-en "incolor"-adjective-ca
"incolor"-adjective-ca "colorless"-adjective-en
"combinatorial"-adjective-en "combinatori"-adjective-ca
"combinatori"-adjective-ca "combinatorial"-adjective-en
"comical"-adjective-en "còmic"-adjective-ca
"còmic"-adjective-ca "comical"-adjective-en
"commutative"-adjective-en "commutatiu"-adjective-ca
"commutatiu"-adjective-ca "commutative"-adjective-en
"compassiu"-adjective-ca "soft-hearted"-adjective-en
"soft-hearted"-adjective-en "compassiu"-adjective-ca
"complimentary"-adjective-en "afalagador"-adjective-ca
"afalagador"-adjective-ca "complimentary"-adjective-en
"compositional"-adjective-en "constitutiu"-adjective-ca
"constitutiu"-adjective-ca "compositional"-adjective-en
"cònic"-adjective-ca "conic"-adjective-en
"conic"-adjective-en "cònic"-adjective-ca
"connective"-adjective-en "connectiu"-adjective-ca
"connectiu"-adjective-ca "connective"-adjective-en
"contemplative"-adjective-en "contemplatiu"-adjective-ca
"contemplatiu"-adjective-ca "contemplative"-adjective-en
"contemporaneous"-adjective-en "contemporani"-adjective-ca
"contemporani"-adjective-ca "contemporaneous"-adjective-en
"convective"-adjective-en "convectiu"-adjective-ca
"convectiu"-adjective-ca "convective"-adjective-en
"conversar"-verb-ca "converse"-adjective-en
"enraonar"-verb-ca "converse"-adjective-en
"Copernican"-adjective-en "copernicà"-adjective-ca
"copernicà"-adjective-ca "Copernican"-adjective-en
"Corinthian"-adjective-en "corinti"-adjective-ca
"corinti"-adjective-ca "Corinthian"-adjective-en
"coronal"-adjective-en "coronari"-adjective-ca
"coronari"-adjective-ca "coronal"-adjective-en
"corporeal"-adjective-en "corpori"-adjective-ca
"corpori"-adjective-ca "corporeal"-adjective-en
"correcting"-adjective-en "corrector"-adjective-ca
"corrector"-adjective-ca "correcting"-adjective-en
"corrosive"-adjective-en "corrosiu"-adjective-ca
"corrosiu"-adjective-ca "corrosive"-adjective-en
"Corsican"-adjective-en "cors"-adjective-ca
"cors"-adjective-ca "Corsican"-adjective-en
"cryptic"-adjective-en "críptic"-adjective-ca
"críptic"-adjective-ca "cryptic"-adjective-en
"cryptographic"-adjective-en "criptogràfic"-adjective-ca
"criptogràfic"-adjective-ca "cryptographic"-adjective-en
"crystallographic"-adjective-en "cristal·logràfic"-adjective-ca
"cristal·logràfic"-adjective-ca "crystallographic"-adjective-en
"cíclic"-adjective-ca "cyclic"-adjective-en
"cyclic"-adjective-en "cíclic"-adjective-ca
"Cyrillic"-adjective-en "ciríl·lic"-adjective-ca
"ciríl·lic"-adjective-ca "Cyrillic"-adjective-en
"Czechoslovak"-adjective-en "txecoslovac"-adjective-ca
"txecoslovac"-adjective-ca "Czechoslovak"-adjective-en
"làctic"-adjective-ca "lactic"-adjective-en
"lactic"-adjective-en "làctic"-adjective-ca
"Danubian"-adjective-en "danubià"-adjective-ca
"danubià"-adjective-ca "Danubian"-adjective-en
"Darwinian"-adjective-en "darwinià"-adjective-ca
"darwinià"-adjective-ca "Darwinian"-adjective-en
"dative"-adjective-en "datiu"-adjective-ca
"datiu"-adjective-ca "dative"-adjective-en
"deductive"-adjective-en "deductiu"-adjective-ca
"deductiu"-adjective-ca "deductive"-adjective-en
"demographical"-adjective-en "demogràfic"-adjective-ca
"demogràfic"-adjective-ca "demographical"-adjective-en
"demonstrative"-adjective-en "demostratiu"-adjective-ca
"demostratiu"-adjective-ca "demonstrative"-adjective-en
"dendritic"-adjective-en "dendrític"-adjective-ca
"dendrític"-adjective-ca "dendritic"-adjective-en
"depressive"-adjective-en "depressiu"-adjective-ca
"depressiu"-adjective-ca "depressive"-adjective-en
"devotional"-adjective-en "religiós"-adjective-ca
"religiós"-adjective-ca "devotional"-adjective-en
"diffused"-adjective-en "difús"-adjective-ca
"difús"-adjective-ca "diffused"-adjective-en
"diocesan"-adjective-en "diocesà"-adjective-ca
"diocesà"-adjective-ca "diocesan"-adjective-en
"Diophantine"-adjective-en "diofàntic"-adjective-ca
"diofàntic"-adjective-ca "Diophantine"-adjective-en
"directorial"-adjective-en "directiu"-adjective-ca
"directiu"-adjective-ca "directorial"-adjective-en
"dismissive"-adjective-en "despectiu"-adjective-ca
"despectiu"-adjective-ca "dismissive"-adjective-en
"irrespectuós"-adjective-ca "irrespective"-adjective-en
"irrespective"-adjective-en "irrespectuós"-adjective-ca
"dissociative"-adjective-en "dissociatiu"-adjective-ca
"dissociatiu"-adjective-ca "dissociative"-adjective-en
"distraught"-adjective-en "desconsolat"-adjective-ca
"desconsolat"-adjective-ca "distraught"-adjective-en
"distributive"-adjective-en "distributiu"-adjective-ca
"distributiu"-adjective-ca "distributive"-adjective-en
"domed"-adjective-en "voltat"-adjective-ca
"voltat"-adjective-ca "domed"-adjective-en
"Dominican"-adjective-en "dominicà"-adjective-ca
"dominicà"-adjective-ca "Dominican"-adjective-en
"dopaminergic"-adjective-en "dopaminèrgic"-adjective-ca
"dopaminèrgic"-adjective-ca "dopaminergic"-adjective-en
"Doric"-adjective-en "dòric"-adjective-ca
"dòric"-adjective-ca "Doric"-adjective-en
"dystopian"-adjective-en "distòpic"-adjective-ca
"distòpic"-adjective-ca "dystopian"-adjective-en
"Ecuadorian"-adjective-en "equatorià"-adjective-ca
"equatorià"-adjective-ca "Ecuadorian"-adjective-en
"ecumenical"-adjective-en "ecumènic"-adjective-ca
"ecumènic"-adjective-ca "ecumenical"-adjective-en
"electronegative"-adjective-en "electronegatiu"-adjective-ca
"electronegatiu"-adjective-ca "electronegative"-adjective-en
"el·líptic"-adjective-ca "elliptic"-adjective-en
"elliptic"-adjective-en "el·líptic"-adjective-ca
"emotive"-adjective-en "emotiu"-adjective-ca
"emotiu"-adjective-ca "emotive"-adjective-en
"encyclical"-adjective-en "encíclic"-adjective-ca
"encíclic"-adjective-ca "encyclical"-adjective-en
"endoplasmic"-adjective-en "endoplàsmic"-adjective-ca
"endoplàsmic"-adjective-ca "endoplasmic"-adjective-en
"epigenetic"-adjective-en "epigenètic"-adjective-ca
"epigenètic"-adjective-ca "epigenetic"-adjective-en
"erotic"-adjective-en "eròtic"-adjective-ca
"eròtic"-adjective-ca "erotic"-adjective-en
"eschatological"-adjective-en "escatològic"-adjective-ca
"escatològic"-adjective-ca "eschatological"-adjective-en
"ètic"-adjective-ca "ethic"-adjective-en
"ethic"-adjective-en "ètic"-adjective-ca
"Ethiopian"-adjective-en "etiòpic"-adjective-ca
"etiòpic"-adjective-ca "Ethiopian"-adjective-en
"Eurasian"-adjective-en "eurasiàtic"-adjective-ca
"eurasiàtic"-adjective-ca "Eurasian"-adjective-en
"Eurosceptic"-adjective-en "euroescèptic"-adjective-ca
"euroescèptic"-adjective-ca "Eurosceptic"-adjective-en
"exacting"-adjective-en "estricte"-adjective-ca
"estricte"-adjective-ca "exacting"-adjective-en
"exhaustiu"-adjective-ca "surjective"-adjective-en
"surjective"-adjective-en "exhaustiu"-adjective-ca
"explícit"-adjective-ca "hardcore"-adjective-en
"hardcore"-adjective-en "explícit"-adjective-ca
"extractive"-adjective-en "extractiu"-adjective-ca
"extractiu"-adjective-ca "extractive"-adjective-en
"pharmacological"-adjective-en "farmacològic"-adjective-ca
"farmacològic"-adjective-ca "pharmacological"-adjective-en
"Florentine"-adjective-en "florentí"-adjective-ca
"florentí"-adjective-ca "Florentine"-adjective-en
"folkloric"-adjective-en "folklòric"-adjective-ca
"folklòric"-adjective-ca "folkloric"-adjective-en
"four-engined"-adjective-en "quadrimotor"-adjective-ca
"quadrimotor"-adjective-ca "four-engined"-adjective-en
"fragmentary"-adjective-en "incomplet"-adjective-ca
"incomplet"-adjective-ca "fragmentary"-adjective-en
"Franciscan"-adjective-en "franciscà"-adjective-ca
"franciscà"-adjective-ca "Franciscan"-adjective-en
"Franconian"-adjective-en "fràncic"-adjective-ca
"fràncic"-adjective-ca "Franconian"-adjective-en
"francophone"-adjective-en "francòfon"-adjective-ca
"francòfon"-adjective-ca "francophone"-adjective-en
"fricative"-adjective-en "fricatiu"-adjective-ca
"fricatiu"-adjective-ca "fricative"-adjective-en
"funerary"-adjective-en "funerari"-adjective-ca
"funerari"-adjective-ca "funerary"-adjective-en
"Gaelic"-adjective-en "gaèlic"-adjective-ca
"gaèlic"-adjective-ca "Gaelic"-adjective-en
"Gallic"-adjective-en "gal"-adjective-ca
"gal"-adjective-ca "Gallic"-adjective-en
"Gaussian"-adjective-en "gaussià"-adjective-ca
"gaussià"-adjective-ca "Gaussian"-adjective-en
"generative"-adjective-en "generatiu"-adjective-ca
"generatiu"-adjective-ca "generative"-adjective-en
"Genoese"-adjective-en "genovès"-adjective-ca
"genovès"-adjective-ca "Genoese"-adjective-en
"geològic"-adjective-ca "geologic"-adjective-en
"geologic"-adjective-en "geològic"-adjective-ca
"Ghanaian"-adjective-en "ghanès"-adjective-ca
"ghanès"-adjective-ca "Ghanaian"-adjective-en
"Gipsy"-adjective-en "gitano"-adjective-ca
"gitano"-adjective-ca "Gipsy"-adjective-en
"Glagolitic"-adjective-en "glagolític"-adjective-ca
"glagolític"-adjective-ca "Glagolitic"-adjective-en
"gnostic"-adjective-en "gnòstic"-adjective-ca
"gnòstic"-adjective-ca "gnostic"-adjective-en
"Granadan"-adjective-en "granadí"-adjective-ca
"granadí"-adjective-ca "Granadan"-adjective-en
"granadí"-adjective-ca "Grenadian"-adjective-en
"Grenadian"-adjective-en "granadí"-adjective-ca
"canós"-adjective-ca "grizzly"-adjective-en
"grizzly"-adjective-en "canós"-adjective-ca
"grieving"-adjective-en "afligit"-adjective-ca
"afligit"-adjective-ca "grieving"-adjective-en
"macabre"-adjective-ca "macabre"-adjective-en
"macabre"-adjective-en "macabre"-adjective-ca
"Guinean"-adjective-en "guineà"-adjective-ca
"guineà"-adjective-ca "Guinean"-adjective-en
"hallucinogenic"-adjective-en "al·lucinogen"-adjective-ca
"al·lucinogen"-adjective-ca "hallucinogenic"-adjective-en
"Hanseatic"-adjective-en "hanseàtic"-adjective-ca
"hanseàtic"-adjective-ca "Hanseatic"-adjective-en
"Hasidic"-adjective-en "hassídic"-adjective-ca
"hassídic"-adjective-ca "Hasidic"-adjective-en
"Hellenic"-adjective-en "hel·lènic"-adjective-ca
"hel·lènic"-adjective-ca "Hellenic"-adjective-en
"Hellenistic"-adjective-en "hel·lenístic"-adjective-ca
"hel·lenístic"-adjective-ca "Hellenistic"-adjective-en
"herbaceous"-adjective-en "herbaci"-adjective-ca
"herbaci"-adjective-ca "herbaceous"-adjective-en
"hereditari"-adjective-ca "heritable"-adjective-en
"heritable"-adjective-en "hereditari"-adjective-ca
"hillbilly"-adjective-en "rústic"-adjective-ca
"rústic"-adjective-ca "hillbilly"-adjective-en
"rústic"-adjective-ca "rustic"-adjective-en
"rustic"-adjective-en "rústic"-adjective-ca
"muntanyenc"-adjective-ca "montane"-adjective-en
"montane"-adjective-en "muntanyenc"-adjective-ca
"Hippocratic"-adjective-en "hipocràtic"-adjective-ca
"hipocràtic"-adjective-ca "Hippocratic"-adjective-en
"holistic"-adjective-en "holístic"-adjective-ca
"holístic"-adjective-ca "holistic"-adjective-en
"casolà"-adjective-ca "homemade"-adjective-en
"homemade"-adjective-en "casolà"-adjective-ca
"homeopathic"-adjective-en "homeopàtic"-adjective-ca
"homeopàtic"-adjective-ca "homeopathic"-adjective-en
"Homeric"-adjective-en "homèric"-adjective-ca
"homèric"-adjective-ca "Homeric"-adjective-en
"homogeneous"-adjective-en "homogeni"-adjective-ca
"homogeni"-adjective-ca "homogeneous"-adjective-en
"honorífic"-adjective-ca "honorific"-adjective-en
"honorific"-adjective-en "honorífic"-adjective-ca
"hydrochloric"-adjective-en "clorhídric"-adjective-ca
"clorhídric"-adjective-ca "hydrochloric"-adjective-en
"iambic"-adjective-en "iàmbic"-adjective-ca
"iàmbic"-adjective-ca "iambic"-adjective-en
"igneous"-adjective-en "igni"-adjective-ca
"igni"-adjective-ca "igneous"-adjective-en
"Illyrian"-adjective-en "il·liri"-adjective-ca
"il·liri"-adjective-ca "Illyrian"-adjective-en
"inclusive"-adjective-en "inclusiu"-adjective-ca
"inclusiu"-adjective-ca "inclusive"-adjective-en
"inductive"-adjective-en "inductiu"-adjective-ca
"inductiu"-adjective-ca "inductive"-adjective-en
"inelastic"-adjective-en "inelàstic"-adjective-ca
"inelàstic"-adjective-ca "inelastic"-adjective-en
"injective"-adjective-en "injectiu"-adjective-ca
"injectiu"-adjective-ca "injective"-adjective-en
"instructional"-adjective-en "instructiu"-adjective-ca
"instructiu"-adjective-ca "instructional"-adjective-en
"intacte"-adjective-ca "untouched"-adjective-en
"untouched"-adjective-en "intacte"-adjective-ca
"Interamerican"-adjective-en "interamericà"-adjective-ca
"interamericà"-adjective-ca "Interamerican"-adjective-en
"interpretatiu"-adjective-ca "interpretive"-adjective-en
"interpretive"-adjective-en "interpretatiu"-adjective-ca
"intransitive"-adjective-en "intransitiu"-adjective-ca
"intransitiu"-adjective-ca "intransitive"-adjective-en
"involuntari"-adjective-ca "unintended"-adjective-en
"unintended"-adjective-en "involuntari"-adjective-ca
"Ionian"-adjective-en "jònic"-adjective-ca
"jònic"-adjective-ca "Ionian"-adjective-en
"jònic"-adjective-ca "Ionic"-adjective-en
"Ionic"-adjective-en "jònic"-adjective-ca
"irreflexive"-adjective-en "irreflexiu"-adjective-ca
"irreflexiu"-adjective-ca "irreflexive"-adjective-en
"Jacobin"-adjective-en "jacobí"-adjective-ca
"jacobí"-adjective-ca "Jacobin"-adjective-en
"Javanese"-adjective-en "javanès"-adjective-ca
"javanès"-adjective-ca "Javanese"-adjective-en
"Jewish"-adjective-en "jueu"-adjective-ca
"jueu"-adjective-ca "Jewish"-adjective-en
"Jordanian"-adjective-en "jordà"-adjective-ca
"jordà"-adjective-ca "Jordanian"-adjective-en
"Jurassic"-adjective-en "juràssic"-adjective-ca
"juràssic"-adjective-ca "Jurassic"-adjective-en
"kabbalistic"-adjective-en "cabalístic"-adjective-ca
"cabalístic"-adjective-ca "kabbalistic"-adjective-en
"Kashubian"-adjective-en "caixubi"-adjective-ca
"caixubi"-adjective-ca "Kashubian"-adjective-en
"cinètic"-adjective-ca "kinetic"-adjective-en
"kinetic"-adjective-en "cinètic"-adjective-ca
"Kuwaiti"-adjective-en "kuwaitià"-adjective-ca
"kuwaitià"-adjective-ca "Kuwaiti"-adjective-en
"laminated"-adjective-en "laminat"-adjective-ca
"laminat"-adjective-ca "laminated"-adjective-en
"laryngeal"-adjective-en "laringi"-adjective-ca
"laringi"-adjective-ca "laryngeal"-adjective-en
"legitimar"-verb-ca "legitimise"-verb-en
"legitimise"-verb-en "legitimar"-verb-ca
"Leonese"-adjective-en "lleonès"-adjective-ca
"lleonès"-adjective-ca "Leonese"-adjective-en
"liberating"-adjective-en "alliberador"-adjective-ca
"alliberador"-adjective-ca "liberating"-adjective-en
"Lutheran"-adjective-en "luterà"-adjective-ca
"luterà"-adjective-ca "Lutheran"-adjective-en
"lyrical"-adjective-en "líric"-adjective-ca
"líric"-adjective-ca "lyrical"-adjective-en
"Madrilenian"-adjective-en "madrileny"-adjective-ca
"madrileny"-adjective-ca "Madrilenian"-adjective-en
"Mahometan"-adjective-en "mahometà"-adjective-ca
"mahometà"-adjective-ca "Mahometan"-adjective-en
"Manichaean"-adjective-en "maniqueu"-adjective-ca
"maniqueu"-adjective-ca "Manichaean"-adjective-en
"manipulative"-adjective-en "manipulador"-adjective-ca
"manipulador"-adjective-ca "manipulative"-adjective-en
"masonic"-adjective-en "maçònic"-adjective-ca
"maçònic"-adjective-ca "masonic"-adjective-en
"mecànic"-adjective-ca "mechanistic"-adjective-en
"mechanistic"-adjective-en "mecànic"-adjective-ca
"meditative"-adjective-en "meditatiu"-adjective-ca
"meditatiu"-adjective-ca "meditative"-adjective-en
"Merovingian"-adjective-en "merovingi"-adjective-ca
"merovingi"-adjective-ca "Merovingian"-adjective-en
"Mesolithic"-adjective-en "mesolític"-adjective-ca
"mesolític"-adjective-ca "Mesolithic"-adjective-en
"Mesopotamian"-adjective-en "mesopotàmic"-adjective-ca
"mesopotàmic"-adjective-ca "Mesopotamian"-adjective-en
"messianic"-adjective-en "messiànic"-adjective-ca
"messiànic"-adjective-ca "messianic"-adjective-en
"metrical"-adjective-en "mètric"-adjective-ca
"mètric"-adjective-ca "metrical"-adjective-en
"Milanese"-adjective-en "milanès"-adjective-ca
"milanès"-adjective-ca "Milanese"-adjective-en
"big-money"-adjective-en "milionari"-adjective-ca
"big-money"-adjective-en "multimilionari"-adjective-ca
"milionari"-adjective-ca "big-money"-adjective-en
"multimilionari"-adjective-ca "big-money"-adjective-en
"Minoan"-adjective-en "minoic"-adjective-ca
"minoic"-adjective-ca "Minoan"-adjective-en
"minuscule"-adjective-en "minúscul"-adjective-ca
