"qué que ne siá"-adverb-oc "quoi qu'il en soit"-adverb-fr
"systématicité"-noun-fr "sistematicitat"-noun-oc
"velaritat"-noun-oc "vélarité"-noun-fr
"vélarité"-noun-fr "velaritat"-noun-oc
"aerosfèra"-noun-oc "aérosphère"-noun-fr
"aérosphère"-noun-fr "aerosfèra"-noun-oc
"astrosfèra"-noun-oc "astrosphère"-noun-fr
"astrosphère"-noun-fr "astrosfèra"-noun-oc
"barisfèra"-noun-oc "barysphère"-noun-fr
"barysphère"-noun-fr "barisfèra"-noun-oc
"batisfèra"-noun-oc "bathysphère"-noun-fr
"bathysphère"-noun-fr "batisfèra"-noun-oc
"cromosfèra"-noun-oc "chromosphère"-noun-fr
"chromosphère"-noun-fr "cromosfèra"-noun-oc
"ecosfèra"-noun-oc "écosphère"-noun-fr
"écosphère"-noun-fr "ecosfèra"-noun-oc
"eliosfèra"-noun-oc "héliosphère"-noun-fr
"héliosphère"-noun-fr "eliosfèra"-noun-oc
"exosfèra"-noun-oc "exosphère"-noun-fr
"exosphère"-noun-fr "exosfèra"-noun-oc
"termosfèra"-noun-oc "thermosphère"-noun-fr
"thermosphère"-noun-fr "termosfèra"-noun-oc
"remanéncia"-noun-oc "rémanence"-noun-fr
"rémanence"-noun-fr "remanéncia"-noun-oc
"euristica"-noun-oc "heuristique"-noun-fr
"heuristique"-noun-fr "euristica"-noun-oc
"estilistica"-noun-oc "stylistique"-noun-fr
"stylistique"-noun-fr "estilistica"-noun-oc
"agnosia"-noun-oc "agnosie"-noun-fr
"agnosie"-noun-fr "agnosia"-noun-oc
"baioneta"-noun-oc "bayonette"-noun-fr
"bayonette"-noun-fr "baioneta"-noun-oc
"truble"-noun-fr "salabre"-noun-oc
"salabre"-noun-oc "truble"-noun-fr
"bestiòla"-noun-oc "bestiole"-noun-fr
"bestiole"-noun-fr "bestiòla"-noun-oc
"bivaléncia"-noun-oc "bivalence"-noun-fr
"bivalence"-noun-fr "bivaléncia"-noun-oc
"blanqueta"-noun-oc "blanquette"-noun-fr
"blanquette"-noun-fr "blanqueta"-noun-oc
"casubla"-noun-oc "chasuble"-noun-fr
"chasuble"-noun-fr "casubla"-noun-oc
"chasuble"-noun-fr "chasubla"-noun-oc
"chasubla"-noun-oc "chasuble"-noun-fr
"cervicalgia"-noun-oc "cervicalgie"-noun-fr
"cervicalgie"-noun-fr "cervicalgia"-noun-oc
"diegèsi"-noun-oc "diégèse"-noun-fr
"diégèse"-noun-fr "diegèsi"-noun-oc
"docimologia"-noun-oc "docimologie"-noun-fr
"docimologie"-noun-fr "docimologia"-noun-oc
"drolleta"-noun-oc "fillette"-noun-fr
"fillette"-noun-fr "drolleta"-noun-oc
"epistemiologia"-noun-oc "épistémiologie"-noun-fr
"épistémiologie"-noun-fr "epistemiologia"-noun-oc
"epistòla"-noun-oc "épistole"-noun-fr
"épistole"-noun-fr "epistòla"-noun-oc
"eptalogia"-noun-oc "heptalogie"-noun-fr
"heptalogie"-noun-fr "eptalogia"-noun-oc
"figurina"-noun-oc "figurine"-noun-fr
"figurine"-noun-fr "figurina"-noun-oc
"idronimia"-noun-oc "hydronymie"-noun-fr
"hydronymie"-noun-fr "idronimia"-noun-oc
"oronimia"-noun-oc "oronymie"-noun-fr
"oronymie"-noun-fr "oronimia"-noun-oc
"ortogenèsi"-noun-oc "orthogenèse"-noun-fr
"orthogenèse"-noun-fr "ortogenèsi"-noun-oc
"vivier"-noun-fr "pesquièr"-noun-oc
"pesquièr"-noun-oc "vivier"-noun-fr
"panoplia"-noun-oc "panoplie"-noun-fr
"panoplie"-noun-fr "panoplia"-noun-oc
"pelha"-noun-oc "peille"-noun-fr
"peille"-noun-fr "pelha"-noun-oc
"peneplana"-noun-oc "pénéplaine"-noun-fr
"pénéplaine"-noun-fr "peneplana"-noun-oc
"piastra"-noun-oc "piastre"-noun-fr
"piastre"-noun-fr "piastra"-noun-oc
"prebenda"-noun-oc "provende"-noun-fr
"provende"-noun-fr "prebenda"-noun-oc
"provende"-noun-fr "ferratge"-noun-oc
"ferratge"-noun-oc "provende"-noun-fr
"ratatolha"-noun-oc "ratatouille"-noun-fr
"ratatouille"-noun-fr "ratatolha"-noun-oc
"ribonucleasa"-noun-oc "ribonucléase"-noun-fr
"ribonucléase"-noun-fr "ribonucleasa"-noun-oc
"sauma"-noun-oc "ânesse"-noun-fr
"ânesse"-noun-fr "sauma"-noun-oc
"taca"-noun-oc "souillure"-noun-fr
"souillure"-noun-fr "taca"-noun-oc
"souillure"-noun-fr "orresiá"-noun-oc
"souillure"-noun-fr "solhadura"-noun-oc
"orresiá"-noun-oc "souillure"-noun-fr
"solhadura"-noun-oc "souillure"-noun-fr
"teta"-noun-oc "tette"-noun-fr
"tette"-noun-fr "teta"-noun-oc
"videotèca"-noun-oc "videothèque"-noun-fr
"videothèque"-noun-fr "videotèca"-noun-oc
"vinagreta"-noun-oc "vinaigrette"-noun-fr
"vinaigrette"-noun-fr "vinagreta"-noun-oc
"vinaigrette"-noun-fr "vinaigreta"-noun-oc
"vinaigreta"-noun-oc "vinaigrette"-noun-fr
"endogamia"-noun-oc "endogamie"-noun-fr
"endogamie"-noun-fr "endogamia"-noun-oc
"exogamia"-noun-oc "exogamie"-noun-fr
"exogamie"-noun-fr "exogamia"-noun-oc
"metafonia"-noun-oc "métaphonie"-noun-fr
"métaphonie"-noun-fr "metafonia"-noun-oc
"parafonia"-noun-oc "paraphonie"-noun-fr
"paraphonie"-noun-fr "parafonia"-noun-oc
"tautofonia"-noun-oc "tautophonie"-noun-fr
"tautophonie"-noun-fr "tautofonia"-noun-oc
"bolimia"-noun-oc "boulimie"-noun-fr
"boulimie"-noun-fr "bolimia"-noun-oc
"disfasia"-noun-oc "dysphasie"-noun-fr
"dysphasie"-noun-fr "disfasia"-noun-oc
"balneologia"-noun-oc "balnéologie"-noun-fr
"balnéologie"-noun-fr "balneologia"-noun-oc
"dendrocronologia"-noun-oc "dendrochronologie"-noun-fr
"dendrochronologie"-noun-fr "dendrocronologia"-noun-oc
"eterologia"-noun-oc "hétérologie"-noun-fr
"hétérologie"-noun-fr "eterologia"-noun-oc
"etnopsicologia"-noun-oc "ethnopsychologie"-noun-fr
"ethnopsychologie"-noun-fr "etnopsicologia"-noun-oc
"fitofarmacologia"-noun-oc "phytopharmacologie"-noun-fr
"phytopharmacologie"-noun-fr "fitofarmacologia"-noun-oc
"glotologia"-noun-oc "glottologie"-noun-fr
"glottologie"-noun-fr "glotologia"-noun-oc
"icnologia"-noun-oc "ichnologie"-noun-fr
"ichnologie"-noun-fr "icnologia"-noun-oc
"ictioparasitologia"-noun-oc "ichtyoparasitologie"-noun-fr
"ichtyoparasitologie"-noun-fr "ictioparasitologia"-noun-oc
"idrometeorologia"-noun-oc "hydrométéorologie"-noun-fr
"hydrométéorologie"-noun-fr "idrometeorologia"-noun-oc
"istoriologia"-noun-oc "historiologie"-noun-fr
"historiologie"-noun-fr "istoriologia"-noun-oc
"macrosociologia"-noun-oc "macrosociologie"-noun-fr
"macrosociologie"-noun-fr "macrosociologia"-noun-oc
"nefologia"-noun-oc "néphologie"-noun-fr
"néphologie"-noun-fr "nefologia"-noun-oc
"neuropsicologia"-noun-oc "neuropsychologie"-noun-fr
"neuropsychologie"-noun-fr "neuropsicologia"-noun-oc
"abeurador"-noun-oc "abrevoir"-noun-fr
"abrevoir"-noun-fr "abeurador"-noun-oc
"absolut"-noun-oc "absolu"-noun-fr
"absolu"-noun-fr "absolut"-noun-oc
"acolada"-noun-oc "accolade"-noun-fr
"accolade"-noun-fr "acolada"-noun-oc
"gacha"-noun-oc "agace"-noun-fr
"agace"-noun-fr "gacha"-noun-oc
"aubèrga"-noun-oc "alberge"-noun-fr
"alberge"-noun-fr "aubèrga"-noun-oc
"albuminoïde"-noun-oc "albuminoïde"-noun-fr
"albuminoïde"-noun-fr "albuminoïde"-noun-oc
"esca"-noun-oc "amadouvier"-noun-fr
"amadouvier"-noun-fr "esca"-noun-oc
"analècta"-noun-oc "analecte"-noun-fr
"analecte"-noun-fr "analècta"-noun-oc
"escansion"-noun-oc "balayage"-noun-fr
"escansion"-noun-oc "scansion"-noun-fr
"balayage"-noun-fr "escansion"-noun-oc
"balayage"-noun-fr "escobatge"-noun-oc
"scansion"-noun-fr "escansion"-noun-oc
"escobatge"-noun-oc "balayage"-noun-fr
"barbeta"-noun-oc "barbichette"-noun-fr
"barbichette"-noun-fr "barbeta"-noun-oc
"barbichette"-noun-fr "barbetina"-noun-oc
"barbichette"-noun-fr "barbetona"-noun-oc
"barbetina"-noun-oc "barbichette"-noun-fr
"barbetona"-noun-oc "barbichette"-noun-fr
"selha"-noun-oc "seille"-noun-fr
"seille"-noun-fr "selha"-noun-oc
"batacoa"-noun-oc "hochequeue"-noun-fr
"hochequeue"-noun-fr "batacoa"-noun-oc
"hochequeue"-noun-fr "coacha"-noun-oc
"coacha"-noun-oc "hochequeue"-noun-fr
"carnalatge"-noun-oc "carnage"-noun-fr
"carnage"-noun-fr "carnalatge"-noun-oc
"carnage"-noun-fr "masèl"-noun-oc
"masèl"-noun-oc "carnage"-noun-fr
"brout"-noun-fr "brota"-noun-oc
"brota"-noun-oc "brout"-noun-fr
"bragueta"-noun-oc "braguette"-noun-fr
"braguette"-noun-fr "bragueta"-noun-oc
"brochilhon"-noun-oc "brindille"-noun-fr
"brindille"-noun-fr "brochilhon"-noun-oc
"brindille"-noun-fr "brochon"-noun-oc
"brochon"-noun-oc "brindille"-noun-fr
"camaièu"-noun-oc "camaïeu"-noun-fr
"camaïeu"-noun-fr "camaièu"-noun-oc
"cantal"-noun-oc "cantal"-noun-fr
"cantal"-noun-fr "cantal"-noun-oc
"mossairon"-noun-oc "girolle"-noun-fr
"girolle"-noun-fr "mossairon"-noun-oc
"girolle"-noun-fr "aurelheta"-noun-oc
"girolle"-noun-fr "giròla"-noun-oc
"aurelheta"-noun-oc "girolle"-noun-fr
"giròla"-noun-oc "girolle"-noun-fr
"mossalon"-noun-oc "mousseron"-noun-fr
"mousseron"-noun-fr "mossalon"-noun-oc
"pedaç"-noun-oc "guenille"-noun-fr
"guenille"-noun-fr "pedaç"-noun-oc
"guenille"-noun-fr "petaç"-noun-oc
"guenille"-noun-fr "ordilha"-noun-oc
"petaç"-noun-oc "guenille"-noun-fr
"ordilha"-noun-oc "guenille"-noun-fr
"cinquantau"-noun-oc "cinquantième"-noun-fr
"cinquantième"-noun-fr "cinquantau"-noun-oc
"cinquantième"-noun-fr "cinquanten"-noun-oc
"cinquanten"-noun-oc "cinquantième"-noun-fr
"ajuston"-noun-oc "épissoir"-noun-fr
"épissoir"-noun-fr "ajuston"-noun-oc
"colcar"-noun-oc "coucher"-noun-fr
"coucher"-noun-fr "colcar"-noun-oc
"comun"-noun-oc "commun"-noun-fr
"commun"-noun-fr "comun"-noun-oc
"diatomèa"-noun-oc "diatomée"-noun-fr
"diatomée"-noun-fr "diatomèa"-noun-oc
"diazòt"-noun-oc "diazote"-noun-fr
"diazote"-noun-fr "diazòt"-noun-oc
"dotzau"-noun-oc "douzième"-noun-fr
"douzième"-noun-fr "dotzau"-noun-oc
"douzième"-noun-fr "dotzen"-noun-oc
"dotzen"-noun-oc "douzième"-noun-fr
"eissugament"-noun-oc "essuyage"-noun-fr
"essuyage"-noun-fr "eissugament"-noun-oc
"exon"-noun-oc "exon"-noun-fr
"exon"-noun-fr "exon"-noun-oc
"foraminifèr"-noun-oc "foraminifère"-noun-fr
"foraminifère"-noun-fr "foraminifèr"-noun-oc
"bartàs"-noun-oc "hallier"-noun-fr
"hallier"-noun-fr "bartàs"-noun-oc
"gave"-noun-oc "gave"-noun-fr
"gave"-noun-fr "gave"-noun-oc
"vespralh"-noun-oc "gouter"-noun-fr
"gouter"-noun-fr "vespralh"-noun-oc
"gouter"-noun-fr "vespertin"-noun-oc
"vespertin"-noun-oc "gouter"-noun-fr
"groin"-noun-fr "gronh"-noun-oc
"gronh"-noun-oc "groin"-noun-fr
"albèrc"-noun-oc "haubert"-noun-fr
"haubert"-noun-fr "albèrc"-noun-oc
"anilhada"-noun-oc "hennissement"-noun-fr
"hennissement"-noun-fr "anilhada"-noun-oc
"hennissement"-noun-fr "anillhet"-noun-oc
"hennissement"-noun-fr "endilhada"-noun-oc
"hennissement"-noun-fr "endilhet"-noun-oc
"hennissement"-noun-fr "endilh"-noun-oc
"anillhet"-noun-oc "hennissement"-noun-fr
"endilhada"-noun-oc "hennissement"-noun-fr
"endilhet"-noun-oc "hennissement"-noun-fr
"endilh"-noun-oc "hennissement"-noun-fr
"eule"-noun-oc "hièble"-noun-fr
"hièble"-noun-fr "eule"-noun-oc
"malhon"-noun-oc "maillon"-noun-fr
"maillon"-noun-fr "malhon"-noun-oc
"manrèga"-noun-oc "houppelande"-noun-fr
"houppelande"-noun-fr "manrèga"-noun-oc
"houppelande"-noun-fr "opolanda"-noun-oc
"opolanda"-noun-oc "houppelande"-noun-fr
"iperespaci"-noun-oc "hyperespace"-noun-fr
"hyperespace"-noun-fr "iperespaci"-noun-oc
"intron"-noun-oc "intron"-noun-fr
"intron"-noun-fr "intron"-noun-oc
"justa"-noun-oc "joute"-noun-fr
"joute"-noun-fr "justa"-noun-oc
"auricalc"-noun-oc "orichalque"-noun-fr
"orichalque"-noun-fr "auricalc"-noun-oc
"limb"-noun-oc "limbe"-noun-fr
"limbe"-noun-fr "limb"-noun-oc
"abelhana"-noun-oc "mélisse"-noun-fr
"mélisse"-noun-fr "abelhana"-noun-oc
"gleva"-noun-oc "motte"-noun-fr
"motte"-noun-fr "gleva"-noun-oc
"motte"-noun-fr "gleu"-noun-oc
"gleu"-noun-oc "motte"-noun-fr
"neurotoxic"-noun-oc "neurotoxique"-noun-fr
"neurotoxique"-noun-fr "neurotoxic"-noun-oc
"clauvissa"-noun-oc "clovisse"-noun-fr
"clovisse"-noun-fr "clauvissa"-noun-oc
"pilon"-noun-oc "pilon"-noun-fr
"pilon"-noun-fr "pilon"-noun-oc
"porcin"-noun-oc "porcin"-noun-fr
"porcin"-noun-fr "porcin"-noun-oc
"procariòta"-noun-oc "procaryote"-noun-fr
"procaryote"-noun-fr "procariòta"-noun-oc
"proparoxitòn"-noun-oc "proparoxyton"-noun-fr
"proparoxyton"-noun-fr "proparoxitòn"-noun-oc
"propre"-noun-fr "pròpri"-noun-oc
"pròpri"-noun-oc "propre"-noun-fr
"raspa"-noun-oc "rapin"-noun-fr
"rapin"-noun-fr "raspa"-noun-oc
"rapin"-noun-fr "pintorlaire"-noun-oc
"pintorlaire"-noun-oc "rapin"-noun-fr
"amolaire"-noun-oc "rémouleur"-noun-fr
"rémouleur"-noun-fr "amolaire"-noun-oc
"inversemblança"-noun-oc "invraisemblance"-noun-fr
"invraisemblance"-noun-fr "inversemblança"-noun-oc
"abardal"-noun-oc "rhododendron"-noun-fr
"rhododendron"-noun-fr "abardal"-noun-oc
"saliège"-noun-oc "salsepareille"-noun-fr
"salsepareille"-noun-fr "saliège"-noun-oc
"sandhi"-noun-oc "sandhi"-noun-fr
"sandhi"-noun-fr "sandhi"-noun-oc
"sheisau"-noun-oc "sixième"-noun-fr
"sixième"-noun-fr "sheisau"-noun-oc
"sixième"-noun-fr "seisen"-noun-oc
"seisen"-noun-oc "sixième"-noun-fr
"antecima"-noun-oc "antécime"-noun-fr
"antécime"-noun-fr "antecima"-noun-oc
"vertèx"-noun-oc "sinciput"-noun-fr
"sinciput"-noun-fr "vertèx"-noun-oc
"sinciput"-noun-fr "sinciput"-noun-oc
"sinciput"-noun-oc "sinciput"-noun-fr
"spire"-noun-fr "espira"-noun-oc
"espira"-noun-oc "spire"-noun-fr
"terapsid"-noun-oc "thérapside"-noun-fr
"thérapside"-noun-fr "terapsid"-noun-oc
"zeste"-noun-fr "zèst"-noun-oc
"zèst"-noun-oc "zeste"-noun-fr
"eissordament"-noun-oc "abasourdissement"-noun-fr
"abasourdissement"-noun-fr "eissordament"-noun-oc
"abastardiment"-noun-oc "abâtardissement"-noun-fr
"abâtardissement"-noun-fr "abastardiment"-noun-oc
"abâtardissement"-noun-fr "embastardiment"-noun-oc
"embastardiment"-noun-oc "abâtardissement"-noun-fr
"abdominal"-noun-oc "abdominal"-noun-fr
"abdominal"-noun-fr "abdominal"-noun-oc
"abestiment"-noun-oc "abêtissement"-noun-fr
"abêtissement"-noun-fr "abestiment"-noun-oc
"complasent"-noun-oc "accommodant"-noun-fr
"accommodant"-noun-fr "complasent"-noun-oc
"acomodacion"-noun-oc "accommodation"-noun-fr
"accommodation"-noun-fr "acomodacion"-noun-oc
"levaire"-noun-oc "accoucheur"-noun-fr
"accoucheur"-noun-fr "levaire"-noun-oc
"accoucheur"-noun-fr "levandièr"-noun-oc
"levandièr"-noun-oc "accoucheur"-noun-fr
"acorchiment"-noun-oc "accourcissement"-noun-fr
"accourcissement"-noun-fr "acorchiment"-noun-oc
"acostumança"-noun-oc "accoutumance"-noun-fr
"accoutumance"-noun-fr "acostumança"-noun-oc
"acarnassit"-noun-oc "acharné"-noun-fr
"acharné"-noun-fr "acarnassit"-noun-oc
"acretat"-noun-oc "âcreté"-noun-fr
"âcreté"-noun-fr "acretat"-noun-oc
"âcreté"-noun-fr "aspror"-noun-oc
"aspror"-noun-oc "âcreté"-noun-fr
"adductor"-noun-oc "adducteur"-noun-fr
"adducteur"-noun-fr "adductor"-noun-oc
"adrech"-noun-oc "adret"-noun-fr
"adret"-noun-fr "adrech"-noun-oc
"adventícia"-noun-oc "adventice"-noun-fr
"adventice"-noun-fr "adventícia"-noun-oc
"aerogara"-noun-oc "aérogare"-noun-fr
"aérogare"-noun-fr "aerogara"-noun-oc
"afadiment"-noun-oc "affadissement"-noun-fr
"affadissement"-noun-fr "afadiment"-noun-oc
"afairisme"-noun-oc "affairisme"-noun-fr
"affairisme"-noun-fr "afairisme"-noun-oc
"afairista"-noun-oc "affairiste"-noun-fr
"affairiste"-noun-fr "afairista"-noun-oc
"afamaire"-noun-oc "affameur"-noun-fr
"affameur"-noun-fr "afamaire"-noun-oc
"afamat"-noun-oc "affamé"-noun-fr
"affamé"-noun-fr "afamat"-noun-oc
"afichaire"-noun-oc "afficheur"-noun-fr
"afficheur"-noun-fr "afichaire"-noun-oc
"afisat"-noun-oc "affidé"-noun-fr
"affidé"-noun-fr "afisat"-noun-oc
"afustatge"-noun-oc "affûtage"-noun-fr
"affûtage"-noun-fr "afustatge"-noun-oc
"agitat"-noun-oc "agité"-noun-fr
"agité"-noun-fr "agitat"-noun-oc
"anhelatge"-noun-oc "agnelage"-noun-fr
"agnelage"-noun-fr "anhelatge"-noun-oc
"sextian"-noun-oc "aixois"-noun-fr
"aixois"-noun-fr "sextian"-noun-oc
"albigés"-noun-oc "albigeois"-noun-fr
"albigeois"-noun-fr "albigés"-noun-oc
"amicalitat"-noun-oc "amicalité"-noun-fr
"amicalité"-noun-fr "amicalitat"-noun-oc
"amoreta"-noun-oc "amourette"-noun-fr
"amourette"-noun-fr "amoreta"-noun-oc
"analèpsi"-noun-oc "analepse"-noun-fr
"analepse"-noun-fr "analèpsi"-noun-oc
"antropogenèsi"-noun-oc "anthropogenèse"-noun-fr
"anthropogenèse"-noun-fr "antropogenèsi"-noun-oc
"assedat"-noun-oc "assoiffé"-noun-fr
"assoiffé"-noun-fr "assedat"-noun-oc
"assoiffé"-noun-fr "assedegat"-noun-oc
"assedegat"-noun-oc "assoiffé"-noun-fr
"palpament"-noun-oc "attouchement"-noun-fr
"attouchement"-noun-fr "palpament"-noun-oc
"babina"-noun-oc "babine"-noun-fr
"babine"-noun-fr "babina"-noun-oc
"babine"-noun-fr "potarra"-noun-oc
"potarra"-noun-oc "babine"-noun-fr
"baissament"-noun-oc "baissement"-noun-fr
"baissement"-noun-fr "baissament"-noun-oc
"basana"-noun-oc "basane"-noun-fr
"basane"-noun-fr "basana"-noun-oc
"bavarèl"-noun-oc "bavoir"-noun-fr
"bavoir"-noun-fr "bavarèl"-noun-oc
"aucelon"-noun-oc "béjaune"-noun-fr
"béjaune"-noun-fr "aucelon"-noun-oc
"poparèla"-noun-oc "biberon"-noun-fr
"biberon"-noun-fr "poparèla"-noun-oc
"biberon"-noun-fr "biberon"-noun-oc
"biberon"-noun-oc "biberon"-noun-fr
"bicromia"-noun-oc "bichromie"-noun-fr
"bichromie"-noun-fr "bicromia"-noun-oc
"bòrni"-noun-oc "borgne"-noun-fr
"borgne"-noun-fr "bòrni"-noun-oc
"botarra"-noun-oc "bouderie"-noun-fr
"bouderie"-noun-fr "botarra"-noun-oc
"bouderie"-noun-fr "botinada"-noun-oc
"bouderie"-noun-fr "botinhada"-noun-oc
"bouderie"-noun-fr "fonha"-noun-oc
"bouderie"-noun-fr "fonhariá"-noun-oc
"botinada"-noun-oc "bouderie"-noun-fr
"botinhada"-noun-oc "bouderie"-noun-fr
"fonha"-noun-oc "bouderie"-noun-fr
"fonhariá"-noun-oc "bouderie"-noun-fr
"botarro"-noun-oc "boudeur"-noun-fr
"boudeur"-noun-fr "botarro"-noun-oc
"boudeur"-noun-fr "botinaire"-noun-oc
"boudeur"-noun-fr "botinhaire"-noun-oc
"boudeur"-noun-fr "labrejaire"-noun-oc
"botinaire"-noun-oc "boudeur"-noun-fr
"botinhaire"-noun-oc "boudeur"-noun-fr
"labrejaire"-noun-oc "boudeur"-noun-fr
"beçada"-noun-oc "boulaie"-noun-fr
"boulaie"-noun-fr "beçada"-noun-oc
"baiardièr"-noun-oc "brancardier"-noun-fr
"brancardier"-noun-fr "baiardièr"-noun-oc
"burkini"-noun-oc "burkini"-noun-fr
"burkini"-noun-fr "burkini"-noun-oc
"cariocinèsi"-noun-oc "caryocinèse"-noun-fr
"caryocinèse"-noun-fr "cariocinèsi"-noun-oc
"catacrèsi"-noun-oc "catachrèse"-noun-fr
"catachrèse"-noun-fr "catacrèsi"-noun-oc
"catarrin"-noun-oc "catarhinien"-noun-fr
"catarhinien"-noun-fr "catarrin"-noun-oc
"catenària"-noun-oc "caténaire"-noun-fr
"caténaire"-noun-fr "catenària"-noun-oc
"catar"-noun-oc "cathare"-noun-fr
"cathare"-noun-fr "catar"-noun-oc
"açana"-noun-oc "cenelle"-noun-fr
"cenelle"-noun-fr "açana"-noun-oc
"cenelle"-noun-fr "açanèla"-noun-oc
"cenelle"-noun-fr "acina"-noun-oc
"açanèla"-noun-oc "cenelle"-noun-fr
"acina"-noun-oc "cenelle"-noun-fr
"cefalizacion"-noun-oc "céphalisation"-noun-fr
"céphalisation"-noun-fr "cefalizacion"-noun-oc
"cereireda"-noun-oc "cerisaie"-noun-fr
"cerisaie"-noun-fr "cereireda"-noun-oc
"ceterac"-noun-oc "cétérach"-noun-fr
"cétérach"-noun-fr "ceterac"-noun-oc
"arcalièch"-noun-oc "châlit"-noun-fr
"châlit"-noun-fr "arcalièch"-noun-oc
"châlit"-noun-fr "cadalièch"-noun-oc
"châlit"-noun-fr "cadalièit"-noun-oc
"cadalièch"-noun-oc "châlit"-noun-fr
"cadalièit"-noun-oc "châlit"-noun-fr
"charlòta"-noun-oc "charlotte"-noun-fr
"charlotte"-noun-fr "charlòta"-noun-oc
"sanaire"-noun-oc "châtreur"-noun-fr
"châtreur"-noun-fr "sanaire"-noun-oc
"quiroptèr"-noun-oc "chiroptère"-noun-fr
"chiroptère"-noun-fr "quiroptèr"-noun-oc
"cledon"-noun-oc "clayon"-noun-fr
"clayon"-noun-fr "cledon"-noun-oc
"coalescéncia"-noun-oc "coalescence"-noun-fr
"coalescence"-noun-fr "coalescéncia"-noun-oc
"còbra"-noun-oc "cobra"-noun-fr
"cobra"-noun-fr "còbra"-noun-oc
"concrescéncia"-noun-oc "concrescence"-noun-fr
"concrescence"-noun-fr "concrescéncia"-noun-oc
"contra-ataca"-noun-oc "contre-attaque"-noun-fr
"contre-attaque"-noun-fr "contra-ataca"-noun-oc
"contre-attaque"-noun-fr "contraataca"-noun-oc
"contre-attaque"-noun-fr "contrataca"-noun-oc
"contraataca"-noun-oc "contre-attaque"-noun-fr
"contrataca"-noun-oc "contre-attaque"-noun-fr
"sorbièr"-noun-oc "cormier"-noun-fr
"cormier"-noun-fr "sorbièr"-noun-oc
"coratjós"-noun-oc "courageux"-noun-fr
"courageux"-noun-fr "coratjós"-noun-oc
"coitre"-noun-oc "coutre"-noun-fr
"coutre"-noun-fr "coitre"-noun-oc
"teulièr"-noun-oc "couvreur"-noun-fr
"couvreur"-noun-fr "teulièr"-noun-oc
"couvreur"-noun-fr "teulissièr"-noun-oc
"teulissièr"-noun-oc "couvreur"-noun-fr
"crasi"-noun-oc "crase"-noun-fr
"crase"-noun-fr "crasi"-noun-oc
"creolistica"-noun-oc "créolistique"-noun-fr
"créolistique"-noun-fr "creolistica"-noun-oc
"cridada"-noun-oc "criée"-noun-fr
"criée"-noun-fr "cridada"-noun-oc
"curiós"-noun-oc "curieux"-noun-fr
"curieux"-noun-fr "curiós"-noun-oc
"declinisme"-noun-oc "déclinisme"-noun-fr
"déclinisme"-noun-fr "declinisme"-noun-oc
"desgropatge"-noun-oc "dégroupage"-noun-fr
"dégroupage"-noun-fr "desgropatge"-noun-oc
"deïctic"-noun-oc "déictique"-noun-fr
"déictique"-noun-fr "deïctic"-noun-oc
"despolhador"-noun-oc "dépouilleur"-noun-fr
"dépouilleur"-noun-fr "despolhador"-noun-oc
"darrièr"-noun-oc "dernier"-noun-fr
"dernier"-noun-fr "darrièr"-noun-oc
"dernier"-noun-fr "darnièr"-noun-oc
"dernier"-noun-fr "ultim"-noun-oc
"darnièr"-noun-oc "dernier"-noun-fr
"ultim"-noun-oc "dernier"-noun-fr
"destrempa"-noun-oc "détrempe"-noun-fr
"détrempe"-noun-fr "destrempa"-noun-oc
"détrempe"-noun-fr "tempera"-noun-oc
"tempera"-noun-oc "détrempe"-noun-fr
"dusau"-noun-oc "deuxième"-noun-fr
"dusau"-noun-oc "second"-noun-fr
"deuxième"-noun-fr "dusau"-noun-oc
"deuxième"-noun-fr "segond"-noun-oc
"second"-noun-fr "dusau"-noun-oc
"second"-noun-fr "segond"-noun-oc
"segond"-noun-oc "deuxième"-noun-fr
"segond"-noun-oc "second"-noun-fr
"diacronia"-noun-oc "diachronie"-noun-fr
"diachronie"-noun-fr "diacronia"-noun-oc
"diverticul"-noun-oc "diverticule"-noun-fr
"diverticule"-noun-fr "diverticul"-noun-oc
"divin"-noun-oc "divin"-noun-fr
"divin"-noun-fr "divin"-noun-oc
"divorciat"-noun-oc "divorcé"-noun-fr
"divorcé"-noun-fr "divorciat"-noun-oc
"dur"-noun-oc "dur"-noun-fr
"dur"-noun-fr "dur"-noun-oc
"diada"-noun-oc "dyade"-noun-fr
"dyade"-noun-fr "diada"-noun-oc
"glevada"-noun-oc "écobuage"-noun-fr
"écobuage"-noun-fr "glevada"-noun-oc
"ecoetiqueta"-noun-oc "écolabel"-noun-fr
"écolabel"-noun-fr "ecoetiqueta"-noun-oc
"ectopròcte"-noun-oc "ectoprocte"-noun-fr
"ectoprocte"-noun-fr "ectopròcte"-noun-oc
"lançada"-noun-oc "élancement"-noun-fr
"élancement"-noun-fr "lançada"-noun-oc
"élancement"-noun-fr "lancejada"-noun-oc
"élancement"-noun-fr "ponheson"-noun-oc
"lancejada"-noun-oc "élancement"-noun-fr
"ponheson"-noun-oc "élancement"-noun-fr
"electrosensibilitat"-noun-oc "électrosensibilité"-noun-fr
"électrosensibilité"-noun-fr "electrosensibilitat"-noun-oc
"electrosensible"-noun-oc "électrosensible"-noun-fr
"électrosensible"-noun-fr "electrosensible"-noun-oc
"electrum"-noun-oc "électrum"-noun-fr
"électrum"-noun-fr "electrum"-noun-oc
"elevament"-noun-oc "élèvement"-noun-fr
"élèvement"-noun-fr "elevament"-noun-oc
