"-"-punctuation-isl "-"-punctuation-eng
"fara"-verb-isl "go"-verb-eng
"fatta"-verb-isl "realise"-verb-eng
"faðma"-verb-isl "hug"-verb-eng
"fela í sér"-verb-isl "consist of"-verb-eng
"fela"-verb-isl "hide"-verb-eng
"fella"-verb-isl "trip"-verb-eng
"ferma"-verb-isl "load"-verb-eng
"ferða"-verb-isl "travel"-verb-eng
"feta"-verb-isl "tread"-verb-eng
"feykja"-verb-isl "blow"-verb-eng
"finna"-verb-isl "find"-verb-eng
"fiska"-verb-isl "fish"-verb-eng
"fitla"-verb-isl "fiddle"-verb-eng
"fjalla"-verb-isl "cover"-verb-eng
"fjarlægja"-verb-isl "remove"-verb-eng
"fjármagna"-verb-isl "finance"-verb-eng
"fjölga"-verb-isl "increase"-verb-eng
"fjúka"-verb-isl "blow"-verb-eng
"flengja"-verb-isl "spank"-verb-eng
"fletta"-verb-isl "turn"-verb-eng
"fleygja"-verb-isl "throw"-verb-eng
"fleyta"-verb-isl "float"-verb-eng
"flissa"-verb-isl "giggle"-verb-eng
"fljóta"-verb-isl "float"-verb-eng
"fljúga"-verb-isl "fly"-verb-eng
"flytja"-verb-isl "move"-verb-eng
"flækja"-verb-isl "tangle"-verb-eng
"flæða"-verb-isl "flow"-verb-eng
"flétta inn í"-verb-isl "mix with"-verb-eng
"flétta"-verb-isl "braid"-verb-eng
"flögra"-verb-isl "flutter"-verb-eng
"flökta"-verb-isl "flicker"-verb-eng
"flýja"-verb-isl "escape"-verb-eng
"flýta"-verb-isl "hurry"-verb-eng
"forða"-verb-isl "avoid"-verb-eng
"framkvæma"-verb-isl "execute"-verb-eng
"framleiða"-verb-isl "produce"-verb-eng
"freista"-verb-isl "tempt"-verb-eng
"fremja"-verb-isl "commit"-verb-eng
"fresta"-verb-isl "postpone"-verb-eng
"friða"-verb-isl "pacify"-verb-eng
"fræða"-verb-isl "instruct"-verb-eng
"frétta"-verb-isl "hear"-verb-eng
"fullnægja"-verb-isl "satisfy"-verb-eng
"fullvissa"-verb-isl "reassure"-verb-eng
"fullyrða"-verb-isl "claim"-verb-eng
"furða"-verb-isl "marvel"-verb-eng
"fylgja"-verb-isl "accompany"-verb-eng
"fylgja"-verb-isl "keep up"-verb-eng
"fylgja"-verb-isl "pay attention"-verb-eng
"fylgja"-verb-isl "guide"-verb-eng
"fylgja"-verb-isl "support"-verb-eng
"fylgja"-verb-isl "follow"-verb-eng
"fylkja liði"-verb-isl "muster a force"-verb-eng
"fylkja"-verb-isl "muster"-verb-eng
"fylla"-verb-isl "fill"-verb-eng
"fyrirgefa"-verb-isl "forgive"-verb-eng
"fyrirhuga"-verb-isl "plan"-verb-eng
"fá"-verb-isl "get"-verb-eng
"fálma"-verb-isl "fumble"-verb-eng
"fækka"-verb-isl "decrease"-verb-eng
"færa"-verb-isl "move"-verb-eng
"fæða"-verb-isl "feed"-verb-eng
"fæða"-verb-isl "bear:1"-verb-eng
"fórna"-verb-isl "sacrifice"-verb-eng
"fölna"-verb-isl "fade"-verb-eng
"gagnrýna"-verb-isl "criticise"-verb-eng
"gala"-verb-isl "crow"-verb-eng
"ganga"-verb-isl "walk"-verb-eng
"ganta"-verb-isl "banter"-verb-eng
"gapa"-verb-isl "gape"-verb-eng
"gefa"-verb-isl "give"-verb-eng
"gegna"-verb-isl "obey"-verb-eng
"geisa"-verb-isl "rage"-verb-eng
"geisla"-verb-isl "radiate"-verb-eng
"geispa"-verb-isl "yawn"-verb-eng
"gera"-verb-isl "do"-verb-eng
"geyma"-verb-isl "save"-verb-eng
"geðjast"-verb-isl "please"-verb-eng
"gifta"-verb-isl "give in marriage"-verb-eng
"giftast"-verb-isl "get married"-verb-eng
"gifta"-verb-isl "give in marriage"-verb-eng
"gifta"-verb-isl "get married"-verb-eng
"gilda"-verb-isl "apply"-verb-eng
"giska"-verb-isl "guess"-verb-eng
"gista"-verb-isl "sleep"-verb-eng
"gjalda"-verb-isl "pay"-verb-eng
"gjósa"-verb-isl "erupt"-verb-eng
"gjóta"-verb-isl "spawn"-verb-eng
"gjóta"-verb-isl "pup"-verb-eng
"gjóta"-verb-isl "drop"-verb-eng
"gjóta"-verb-isl "farrow"-verb-eng
"gjöra svo vel"-verb-isl "bon appetit"-verb-eng
"gjöra"-verb-isl "do"-verb-eng
"gjörið svo vel"-verb-isl "bon appetit"-verb-eng
"gjörðu svo vel"-verb-isl "bon appetit"-verb-eng
"glampa"-verb-isl "gleam"-verb-eng
"glampa"-verb-isl "twinkle"-verb-eng
"glata"-verb-isl "lose"-verb-eng
"gleyma"-verb-isl "forget"-verb-eng
"gleypa"-verb-isl "swallow"-verb-eng
"gleðja"-verb-isl "gladden"-verb-eng
"glotta"-verb-isl "smirk"-verb-eng
"glápa"-verb-isl "stare"-verb-eng
"glæða"-verb-isl "enliven"-verb-eng
"gnæfa"-verb-isl "tower"-verb-eng
"grafa"-verb-isl "dig"-verb-eng
"granda"-verb-isl "destroy"-verb-eng
"greina frá"-verb-isl "report"-verb-eng
"greina"-verb-isl "detect"-verb-eng
"greiða"-verb-isl "pay"-verb-eng
"greiða"-verb-isl "comb"-verb-eng
"grenja"-verb-isl "bawl"-verb-eng
"grennsla"-verb-isl "check"-verb-eng
"gretta"-verb-isl "grimace"-verb-eng
"gruna"-verb-isl "suspect"-verb-eng
"gráta"-verb-isl "cry"-verb-eng
"græða"-verb-isl "heal"-verb-eng
"grípa"-verb-isl "grab"-verb-eng
"gá"-verb-isl "check"-verb-eng
"gægja"-verb-isl "peek"-verb-eng
"gæta"-verb-isl "guard"-verb-eng
"gæða"-verb-isl "endow"-verb-eng
"góna"-verb-isl "gawk"-verb-eng
"hafna"-verb-isl "reject"-verb-eng
"haga"-verb-isl "behave"-verb-eng
"hagga"-verb-isl "budge"-verb-eng
"hagræða"-verb-isl "optimise"-verb-eng
"halda"-verb-isl "hold"-verb-eng
"halda"-verb-isl "think"-verb-eng
"halla"-verb-isl "lean"-verb-eng
"haltra"-verb-isl "limp"-verb-eng
"hamast"-verb-isl "work hard at"-verb-eng
"handtaka"-verb-isl "arrest"-verb-eng
"hanga"-verb-isl "hang"-verb-eng
"harma"-verb-isl "grieve"-verb-eng
"hata"-verb-isl "hate"-verb-eng
"hefja"-verb-isl "lift"-verb-eng
"hefna"-verb-isl "avenge"-verb-eng
"hegða"-verb-isl "behave"-verb-eng
"heilla"-verb-isl "charm"-verb-eng
"heilsa"-verb-isl "greet"-verb-eng
"heimila"-verb-isl "allow"-verb-eng
"heimsækja"-verb-isl "visit"-verb-eng
"heimta"-verb-isl "demand"-verb-eng
"heita"-verb-isl "be called"-verb-eng
"heita"-verb-isl "promise"-verb-eng
"hella"-verb-isl "pour"-verb-eng
"henda"-verb-isl "throw"-verb-eng
"hengja"-verb-isl "hang"-verb-eng
"henta"-verb-isl "suit"-verb-eng
"heppna"-verb-isl "succeed"-verb-eng
"herja"-verb-isl "campaign"-verb-eng
"herma"-verb-isl "imitate"-verb-eng
"hernema"-verb-isl "occupy"-verb-eng
"herða"-verb-isl "harden"-verb-eng
"heyja stríð"-verb-isl "wage war"-verb-eng
"heyja"-verb-isl "make hay"-verb-eng
"heyra"-verb-isl "hear"-verb-eng
"hika"-verb-isl "hesitate"-verb-eng
"hindra"-verb-isl "hinder"-verb-eng
"hirða"-verb-isl "take"-verb-eng
"hita"-verb-isl "heat"-verb-eng
"hitna"-verb-isl "warm up"-verb-eng
"hitta"-verb-isl "meet"-verb-eng
"hjálpa"-verb-isl "help"-verb-eng
"hjóla"-verb-isl "cycle"-verb-eng
"hlakka til"-verb-isl "look forward to"-verb-eng
"hlakka"-verb-isl "gloat"-verb-eng
"hlaupa"-verb-isl "run"-verb-eng
"hleypa"-verb-isl "coagulate"-verb-eng
"hljóma"-verb-isl "sound"-verb-eng
"hljóta"-verb-isl "receive"-verb-eng
"hljóða"-verb-isl "shriek"-verb-eng
"hlusta"-verb-isl "listen"-verb-eng
"hlæja"-verb-isl "laugh"-verb-eng
"hlífa"-verb-isl "protect"-verb-eng
"hlúa"-verb-isl "treat"-verb-eng
"hlýða"-verb-isl "obey"-verb-eng
"hneggja"-verb-isl "neigh"-verb-eng
"hneigja"-verb-isl "bow"-verb-eng
"hnippa"-verb-isl "poke"-verb-eng
"hnipra"-verb-isl "cower"-verb-eng
"hnykkja"-verb-isl "pull"-verb-eng
"hníga"-verb-isl "sink"-verb-eng
"hnýta"-verb-isl "knot"-verb-eng
"hoppa"-verb-isl "jump"-verb-eng
"horfa"-verb-isl "look"-verb-eng
"hrapa"-verb-isl "plummet"-verb-eng
"hraða"-verb-isl "speed"-verb-eng
"hreinsa"-verb-isl "clean"-verb-eng
"hreinsa"-verb-isl "wash"-verb-eng
"hrekja"-verb-isl "refute"-verb-eng
"hressa"-verb-isl "invigorate"-verb-eng
"hreyfa"-verb-isl "move"-verb-eng
"hrifsa"-verb-isl "snatch"-verb-eng
"hrinda frá"-verb-isl "repel"-verb-eng
"hrinda í framkvæmd"-verb-isl "realise"-verb-eng
"hrinda"-verb-isl "push"-verb-eng
"hringja"-verb-isl "call"-verb-eng
"hrista"-verb-isl "shake"-verb-eng
"hryggja"-verb-isl "grieve"-verb-eng
"hrynja"-verb-isl "collapse"-verb-eng
"hrækja"-verb-isl "spit"-verb-eng
"hræra"-verb-isl "stir"-verb-eng
"hræða"-verb-isl "frighten"-verb-eng
"hrífa"-verb-isl "enchant"-verb-eng
"hrópa"-verb-isl "call out"-verb-eng
"hrósa"-verb-isl "compliment"-verb-eng
"hrökkva"-verb-isl "recoil"-verb-eng
"huga"-verb-isl "consider"-verb-eng
"hugkvæmast"-verb-isl "realise"-verb-eng
"hugleiða"-verb-isl "contemplate"-verb-eng
"hugsa"-verb-isl "think"-verb-eng
"hunsa"-verb-isl "ignore"-verb-eng
"hvarfla"-verb-isl "occur"-verb-eng
"hverfa"-verb-isl "disappear"-verb-eng
"hverfagæsla"-verb-isl "neighbourhood watch"-verb-eng
"hvessa"-verb-isl "get windy"-verb-eng
"hvetja"-verb-isl "encourage"-verb-eng
"hvolfa"-verb-isl "overturn"-verb-eng
"hvá"-verb-isl "say what"-verb-eng
"hvæsa"-verb-isl "hiss"-verb-eng
"hvína"-verb-isl "whiz"-verb-eng
"hvísla"-verb-isl "whisper"-verb-eng
"hyggja"-verb-isl "plan"-verb-eng
"hylja"-verb-isl "cover"-verb-eng
"hátta"-verb-isl "undress"-verb-eng
"hæfa"-verb-isl "suit"-verb-eng
"hægja"-verb-isl "slow"-verb-eng
"hækka"-verb-isl "heighten"-verb-eng
"hætta"-verb-isl "quit"-verb-eng
"hífa"-verb-isl "hoist"-verb-eng
"hósta"-verb-isl "cough"-verb-eng
"höggva í spað"-verb-isl "cut to pieces"-verb-eng
"hörfa"-verb-isl "retreat"-verb-eng
"hýsa"-verb-isl "host"-verb-eng
"hýða"-verb-isl "whip"-verb-eng
"ilma"-verb-isl "scent"-verb-eng
"innheimta"-verb-isl "collect"-verb-eng
"innihalda"-verb-isl "contain"-verb-eng
"innleysa"-verb-isl "cash in"-verb-eng
"iðra"-verb-isl "regret"-verb-eng
"iðrast"-verb-isl "regret"-verb-eng
"jafngilda"-verb-isl "equal"-verb-eng
"jarða"-verb-isl "bury"-verb-eng
"játa"-verb-isl "admit"-verb-eng
"kafa"-verb-isl "dive"-verb-eng
"kalla"-verb-isl "call"-verb-eng
"kasta"-verb-isl "throw"-verb-eng
"kaupa"-verb-isl "buy"-verb-eng
"kenna"-verb-isl "teach"-verb-eng
"keyra"-verb-isl "drive"-verb-eng
"kinka"-verb-isl "nod"-verb-eng
"kippa"-verb-isl "pull"-verb-eng
"kjósa"-verb-isl "vote"-verb-eng
"klappa"-verb-isl "clap"-verb-eng
"klifra"-verb-isl "climb"-verb-eng
"klippa"-verb-isl "cut"-verb-eng
"kljúfa"-verb-isl "split"-verb-eng
"klofna"-verb-isl "split"-verb-eng
"klæða"-verb-isl "dress"-verb-eng
"klífa"-verb-isl "climb"-verb-eng
"klípa"-verb-isl "pinch"-verb-eng
"klóra"-verb-isl "scratch"-verb-eng
"klöngra"-verb-isl "clamber"-verb-eng
"knýja"-verb-isl "enforce"-verb-eng
"koma fram"-verb-isl "appear"-verb-eng
"koma"-verb-isl "come"-verb-eng
"koma"-verb-isl "come"-verb-eng
"koma"-verb-isl "reach"-verb-eng
"kosta"-verb-isl "cost"-verb-eng
"krefja"-verb-isl "demand"-verb-eng
"kreista"-verb-isl "squeeze"-verb-eng
"krjúpa"-verb-isl "kneel"-verb-eng
"krossleggja"-verb-isl "cross"-verb-eng
"krækja"-verb-isl "hook"-verb-eng
"krýna"-verb-isl "crown"-verb-eng
"kunna"-verb-isl "know"-verb-eng
"kvarna"-verb-isl "granulate"-verb-eng
"kvarta"-verb-isl "complain"-verb-eng
"kveikja"-verb-isl "turn on"-verb-eng
"kveða"-verb-isl "compose"-verb-eng
"kveðja"-verb-isl "say goodbye"-verb-eng
"kvikna"-verb-isl "turn on"-verb-eng
"kvænast"-verb-isl "marry"-verb-eng
"kvíða"-verb-isl "dread"-verb-eng
"kyngja"-verb-isl "swallow"-verb-eng
"kyssa"-verb-isl "kiss"-verb-eng
"kæfa"-verb-isl "suffocate"-verb-eng
"kæra"-verb-isl "charge"-verb-eng
"kíkja"-verb-isl "peek"-verb-eng
"kólna"-verb-isl "chill"-verb-eng
"kúga"-verb-isl "repress"-verb-eng
"kúra"-verb-isl "cuddle"-verb-eng
"labba"-verb-isl "walk"-verb-eng
"laga"-verb-isl "fix"-verb-eng
"lagfæra"-verb-isl "repair"-verb-eng
"landa"-verb-isl "land"-verb-eng
"langa"-verb-isl "want"-verb-eng
"lauma"-verb-isl "sneak"-verb-eng
"leggja aftur"-verb-isl "close"-verb-eng
"leggja niður"-verb-isl "abolish"-verb-eng
"leggja saman"-verb-isl "add"-verb-eng
"leggja til"-verb-isl "propose"-verb-eng
"leggja upp"-verb-isl "set off"-verb-eng
"leggja upp laupana"-verb-isl "give up"-verb-eng
"leggja út"-verb-isl "interpret"-verb-eng
"leigja"-verb-isl "rent"-verb-eng
"leika"-verb-isl "play"-verb-eng
"leita"-verb-isl "search"-verb-eng
"leiða"-verb-isl "lead"-verb-eng
"leiðrétta"-verb-isl "correct"-verb-eng
"leka"-verb-isl "leak"-verb-eng
"lemja"-verb-isl "hit"-verb-eng
"lemja"-verb-isl "hit"-verb-eng
"lesa"-verb-isl "read"-verb-eng
"leyfa"-verb-isl "allow"-verb-eng
"leyna"-verb-isl "conceal"-verb-eng
"leysa"-verb-isl "untangle"-verb-eng
"lifa"-verb-isl "live"-verb-eng
"lifna"-verb-isl "liven"-verb-eng
"liggja"-verb-isl "lie"-verb-eng
"linna"-verb-isl "quit"-verb-eng
"lita"-verb-isl "colour"-verb-eng
"ljá"-verb-isl "lend"-verb-eng
"ljóma"-verb-isl "glow"-verb-eng
"ljósta"-verb-isl "smite"-verb-eng
"ljúga"-verb-isl "lie"-verb-eng
"ljúka upp"-verb-isl "open"-verb-eng
"ljúka"-verb-isl "finish"-verb-eng
"lofa"-verb-isl "promise"-verb-eng
"loga"-verb-isl "burn"-verb-eng
"losa"-verb-isl "loosen"-verb-eng
"losna"-verb-isl "loosen"-verb-eng
"lána"-verb-isl "loan"-verb-eng
"láta af"-verb-isl "desist"-verb-eng
"láta af hendi"-verb-isl "give up"-verb-eng
"láta"-verb-isl "let"-verb-eng
"lægja"-verb-isl "calm"-verb-eng
"lækka"-verb-isl "lower"-verb-eng
"lækna"-verb-isl "cure"-verb-eng
"læra"-verb-isl "learn"-verb-eng
"læsa"-verb-isl "lock"-verb-eng
"létta"-verb-isl "lighten"-verb-eng
"líkja"-verb-isl "imitate"-verb-eng
"líma"-verb-isl "glue"-verb-eng
"líta"-verb-isl "look"-verb-eng
"líða"-verb-isl "feel"-verb-eng
"lúta"-verb-isl "stoop"-verb-eng
"magna"-verb-isl "amplify"-verb-eng
"mala"-verb-isl "crush"-verb-eng
"margítreka"-verb-isl "reiterate"-verb-eng
"marka"-verb-isl "mark"-verb-eng
"mata"-verb-isl "feed"-verb-eng
"meina"-verb-isl "mean"-verb-eng
"meiða"-verb-isl "hurt"-verb-eng
"merkja"-verb-isl "tag"-verb-eng
"minna"-verb-isl "remind"-verb-eng
"minna"-verb-isl "remind"-verb-eng
"minna"-verb-isl "remember"-verb-eng
"minnka"-verb-isl "reduce"-verb-eng
"missa"-verb-isl "miss"-verb-eng
"miða við"-verb-isl "compare to"-verb-eng
"miða"-verb-isl "progress"-verb-eng
"miðla"-verb-isl "communicate"-verb-eng
"mjaka"-verb-isl "inch"-verb-eng
"moka"-verb-isl "shovel"-verb-eng
"muldra"-verb-isl "mumble"-verb-eng
"muna"-verb-isl "remember"-verb-eng
"mynda"-verb-isl "photograph"-verb-eng
"myrða"-verb-isl "murder"-verb-eng
"má"-verb-isl "erase"-verb-eng
"má"-verb-isl "blur"-verb-eng
"má"-verb-isl "abolish"-verb-eng
"má"-verb-isl "delete"-verb-eng
"má"-verb-isl "remove"-verb-eng
"má"-verb-isl "obliterate"-verb-eng
"má"-verb-isl "wear"-verb-eng
"mála"-verb-isl "paint"-verb-eng
"mæla"-verb-isl "measure"-verb-eng
"mæla"-verb-isl "speak"-verb-eng
"mæta"-verb-isl "meet"-verb-eng
"mæta"-verb-isl "show up"-verb-eng
"móta"-verb-isl "shape"-verb-eng
"mótmæla"-verb-isl "protest"-verb-eng
"mýkja"-verb-isl "soften"-verb-eng
"naga"-verb-isl "gnaw"-verb-eng
"nefna"-verb-isl "mention"-verb-eng
"negla"-verb-isl "nail"-verb-eng
"neita"-verb-isl "deny"-verb-eng
"nenna"-verb-isl "feel like"-verb-eng
"neyta"-verb-isl "consume"-verb-eng
"neyða"-verb-isl "force"-verb-eng
"niðurlægja"-verb-isl "humiliate"-verb-eng
"njóta"-verb-isl "enjoy"-verb-eng
"nota"-verb-isl "use"-verb-eng
"notfæra"-verb-isl "utilise"-verb-eng
"nudda"-verb-isl "massage"-verb-eng
"ná"-verb-isl "obtain"-verb-eng
"ná sér"-verb-isl "recover"-verb-eng
"nálgast"-verb-isl "approach"-verb-eng
"nægja"-verb-isl "suffice"-verb-eng
"næstkoma"-verb-isl "upcoming"-verb-eng
"nýta"-verb-isl "exploit"-verb-eng
"opna"-verb-isl "open"-verb-eng
"orsaka"-verb-isl "cause"-verb-eng
"orða"-verb-isl "word"-verb-eng
"panta"-verb-isl "order"-verb-eng
"passa"-verb-isl "fit"-verb-eng
"pissa"-verb-isl "pee"-verb-eng
"plægja"-verb-isl "till"-verb-eng
"prenta"-verb-isl "print"-verb-eng
"prófa"-verb-isl "test"-verb-eng
"pæla"-verb-isl "think"-verb-eng
"píra"-verb-isl "peer"-verb-eng
"raka"-verb-isl "rake"-verb-eng
"ranka"-verb-isl "come to"-verb-eng
"rannsaka"-verb-isl "research"-verb-eng
"rata"-verb-isl "know the way"-verb-eng
"raða"-verb-isl "arrange"-verb-eng
"refsa"-verb-isl "punish"-verb-eng
"reika"-verb-isl "wander"-verb-eng
"reikna út"-verb-isl "calculate"-verb-eng
"reikna"-verb-isl "calculate"-verb-eng
"reisa"-verb-isl "erect"-verb-eng
"reiða"-verb-isl "rely"-verb-eng
"rekja"-verb-isl "trace"-verb-eng
"reykja"-verb-isl "smoke"-verb-eng
"reyna"-verb-isl "try"-verb-eng
"reyna"-verb-isl "try"-verb-eng
"reyna"-verb-isl "turn out"-verb-eng
"rifja"-verb-isl "recollect"-verb-eng
"rigna"-verb-isl "rain"-verb-eng
"rita"-verb-isl "write"-verb-eng
"rjúfa"-verb-isl "break"-verb-eng
"rjúka"-verb-isl "rush"-verb-eng
"rota"-verb-isl "knock out"-verb-eng
"roðna"-verb-isl "blush"-verb-eng
"rugla"-verb-isl "confuse"-verb-eng
"ryðja"-verb-isl "clear"-verb-eng
"ráma"-verb-isl "recall"-verb-eng
"ráða"-verb-isl "hire"-verb-eng
"ráðleggja"-verb-isl "recommend"-verb-eng
"rækja"-verb-isl "perform"-verb-eng
"rækta"-verb-isl "grow"-verb-eng
"ræsa"-verb-isl "start"-verb-eng
"ræskja"-verb-isl "clear the throat"-verb-eng
"ræta"-verb-isl "root"-verb-eng
"ræða"-verb-isl "discuss"-verb-eng
"rétta"-verb-isl "pass"-verb-eng
"rífa"-verb-isl "rip"-verb-eng
"ríkja"-verb-isl "rule"-verb-eng
"rísa"-verb-isl "rise"-verb-eng
"ríða"-verb-isl "ride"-verb-eng
"róa"-verb-isl "calm"-verb-eng
"róta"-verb-isl "rummage"-verb-eng
"rölta"-verb-isl "stroll"-verb-eng
"rúma"-verb-isl "hold"-verb-eng
"rýma"-verb-isl "evacuate"-verb-eng
"rýna"-verb-isl "peer"-verb-eng
"safna"-verb-isl "collect"-verb-eng
"saka"-verb-isl "accuse"-verb-eng
"sakna"-verb-isl "miss"-verb-eng
"samanbera"-verb-isl "compare"-verb-eng
"abbast"-verb-isl "hassle"-verb-eng
"samanstanda"-verb-isl "comprise"-verb-eng
"sameina"-verb-isl "combine"-verb-eng
"sameina"-verb-isl "combine"-verb-eng
"sameina"-verb-isl "unite"-verb-eng
"samferða"-verb-isl "accompany"-verb-eng
"samræma"-verb-isl "coordinate"-verb-eng
"samsinna"-verb-isl "agree"-verb-eng
"samþykkja"-verb-isl "approve"-verb-eng
"sanna"-verb-isl "prove"-verb-eng
"sannfæra"-verb-isl "convince"-verb-eng
"sauma"-verb-isl "sew"-verb-eng
"segja sig úr"-verb-isl "resign"-verb-eng
"segja upp"-verb-isl "lay off"-verb-eng
"segja"-verb-isl "say"-verb-eng
"seila"-verb-isl "reach for"-verb-eng
"sekta"-verb-isl "fine"-verb-eng
"selja"-verb-isl "sell"-verb-eng
"semja"-verb-isl "compose"-verb-eng
"semja"-verb-isl "negotiate"-verb-eng
"semja"-verb-isl "write"-verb-eng
"senda"-verb-isl "send"-verb-eng
"sería"-verb-isl "series"-verb-eng
"setja"-verb-isl "put"-verb-eng
"sigra"-verb-isl "win"-verb-eng
"sitja"-verb-isl "sit"-verb-eng
"sjá"-verb-isl "see"-verb-eng
"sjóða niður"-verb-isl "conserve"-verb-eng
"sjóða saman"-verb-isl "concoct"-verb-eng
"sjóða"-verb-isl "boil"-verb-eng
"sjúga upp í nefið"-verb-isl "sniff"-verb-eng
"sjúga í sig"-verb-isl "absorb"-verb-eng
"sjúga"-verb-isl "suck"-verb-eng
"skamma"-verb-isl "scold"-verb-eng
"skammstafa"-verb-isl "abbreviate"-verb-eng
"skapa"-verb-isl "create"-verb-eng
"ske"-verb-isl "happen"-verb-eng
"skella"-verb-isl "slam"-verb-eng
"skellihlæja"-verb-isl "laugh loudly"-verb-eng
"skemma"-verb-isl "damage"-verb-eng
"skemmta"-verb-isl "entertain"-verb-eng
"skenkja"-verb-isl "pour"-verb-eng
"skera úr"-verb-isl "decide"-verb-eng
"skera"-verb-isl "cut"-verb-eng
"skerpa"-verb-isl "sharpen"-verb-eng
"skila"-verb-isl "return"-verb-eng
"skilgreina"-verb-isl "define"-verb-eng
"skilja að"-verb-isl "separate"-verb-eng
"skilja"-verb-isl "understand"-verb-eng
"skima"-verb-isl "scan"-verb-eng
"skipa"-verb-isl "order"-verb-eng
"skipa"-verb-isl "appoint"-verb-eng
"skipta"-verb-isl "change"-verb-eng
"skipuleggja"-verb-isl "organise"-verb-eng
"skjálfa"-verb-isl "shake"-verb-eng
"skjátla"-verb-isl "mistake"-verb-eng
"skjóta"-verb-isl "shoot"-verb-eng
"skola"-verb-isl "rinse"-verb-eng
"skora"-verb-isl "score"-verb-eng
"skorta"-verb-isl "lack"-verb-eng
"skoða"-verb-isl "look at"-verb-eng
"skreppa saman"-verb-isl "shrink"-verb-eng
"skreppa"-verb-isl "pop out"-verb-eng
"skreyta"-verb-isl "decorate"-verb-eng
"skrifa undir"-verb-isl "underwrite"-verb-eng
"skrifa"-verb-isl "write"-verb-eng
"skrækja"-verb-isl "screech"-verb-eng
"skríða"-verb-isl "crawl"-verb-eng
"skynja"-verb-isl "sense"-verb-eng
"skála"-verb-isl "toast"-verb-eng
"skína"-verb-isl "shine"-verb-eng
"skíra"-verb-isl "christen"-verb-eng
"skýra"-verb-isl "explain"-verb-eng
"slaka á"-verb-isl "relax"-verb-eng
"slaka"-verb-isl "slacken"-verb-eng
"sleikja"-verb-isl "lick"-verb-eng
"sleppa"-verb-isl "release"-verb-eng
"slitna"-verb-isl "fray"-verb-eng
"slokkna"-verb-isl "go out"-verb-eng
"slá"-verb-isl "strike"-verb-eng
"slíta"-verb-isl "tear"-verb-eng
"slökkva"-verb-isl "turn off"-verb-eng
"smeygja"-verb-isl "ease"-verb-eng
"smita"-verb-isl "infect"-verb-eng
"smjúga"-verb-isl "slip"-verb-eng
"smyrja"-verb-isl "smear"-verb-eng
"smíða"-verb-isl "build"-verb-eng
"snara"-verb-isl "snare"-verb-eng
"snerta"-verb-isl "touch"-verb-eng
"snjóa"-verb-isl "snow"-verb-eng
"snæða"-verb-isl "consume"-verb-eng
"sníða"-verb-isl "tailor"-verb-eng
"snúa"-verb-isl "turn"-verb-eng
"sofa"-verb-isl "sleep"-verb-eng
"sofna"-verb-isl "fall asleep"-verb-eng
"spara"-verb-isl "save"-verb-eng
"sparka"-verb-isl "kick"-verb-eng
"sparka í"-verb-isl "kick"-verb-eng
"spila"-verb-isl "play"-verb-eng
"spilla"-verb-isl "spoil"-verb-eng
"spinna"-verb-isl "spin"-verb-eng
"spjalla"-verb-isl "chat"-verb-eng
"sprengja"-verb-isl "explode"-verb-eng
"spretta"-verb-isl "grow"-verb-eng
"springa"-verb-isl "blow up"-verb-eng
"spyrja"-verb-isl "ask"-verb-eng
"spá"-verb-isl "predict"-verb-eng
"spýta"-verb-isl "spit"-verb-eng
"stafa"-verb-isl "spell"-verb-eng
"staldra"-verb-isl "pause"-verb-eng
"stama"-verb-isl "stutter"-verb-eng
"standa"-verb-isl "stand"-verb-eng
"stanga"-verb-isl "poke"-verb-eng
"stansa"-verb-isl "stop"-verb-eng
"stappa"-verb-isl "stamp"-verb-eng
"stara"-verb-isl "stare"-verb-eng
"starfa"-verb-isl "work"-verb-eng
"staulast"-verb-isl "scuffle"-verb-eng
"steikja"-verb-isl "roast"-verb-eng
"stela"-verb-isl "steal"-verb-eng
"steypa"-verb-isl "cement"-verb-eng
"steðja"-verb-isl "come"-verb-eng
"stikla"-verb-isl "recap"-verb-eng
"stinga"-verb-isl "stick"-verb-eng
"stjórna"-verb-isl "control"-verb-eng
"stofna"-verb-isl "establish"-verb-eng
"stoppa"-verb-isl "stop"-verb-eng
"stranda"-verb-isl "strand"-verb-eng
"streyma"-verb-isl "stream"-verb-eng
"strika"-verb-isl "line"-verb-eng
"strjúka"-verb-isl "escape"-verb-eng
"strunsa"-verb-isl "swagger"-verb-eng
"strá"-verb-isl "sprinkle"-verb-eng
"stríða"-verb-isl "tease"-verb-eng
"stunda"-verb-isl "practise"-verb-eng
"stuðla"-verb-isl "encourage"-verb-eng
"stynja"-verb-isl "moan"-verb-eng
"styrkja"-verb-isl "strengthen"-verb-eng
"styðja"-verb-isl "support"-verb-eng
"stækka"-verb-isl "grow"-verb-eng
"stíga"-verb-isl "step"-verb-eng
"stórauka"-verb-isl "greatly increase"-verb-eng
"stökkva"-verb-isl "jump"-verb-eng
"stöðva"-verb-isl "stop"-verb-eng
"stýra"-verb-isl "steer"-verb-eng
"svamla"-verb-isl "swim"-verb-eng
"svara"-verb-isl "answer"-verb-eng
"sveifla"-verb-isl "swing"-verb-eng
"sveigja"-verb-isl "swerve"-verb-eng
"sverfa"-verb-isl "file"-verb-eng
"sverja"-verb-isl "swear"-verb-eng
"svipta"-verb-isl "deprive"-verb-eng
"svitna"-verb-isl "sweat"-verb-eng
