"ja"-coordinatingConjunction-sme "og"-coordinatingConjunction-nob
"buresbirgenortnet"-noun-sme "velferdsordning"-noun-nob
"buresboahtin"-noun-sme "velkommen"-noun-nob
"buresboahtán"-adjective-sme "velkommen"-adjective-nob
"buressivdnádus"-noun-sme "velsignelse"-noun-nob
"burkha"-noun-sme "burka"-noun-nob
"burru"-noun-sme "okse"-noun-nob
"bursa"-noun-sme "pengepung"-noun-nob
"buser"-noun-sme "genser"-noun-nob
"busegáhttu"-noun-sme "katt"-noun-nob
"busse"-noun-sme "buss"-noun-nob
"bussebiillaš"-noun-sme "minibuss"-noun-nob
"bussebissehat"-noun-sme "busstopp"-noun-nob
"bussebissánansadji"-noun-sme "busslomme"-noun-nob
"busseceahkki"-noun-sme "busstrapp"-noun-nob
"bussefálaldat"-noun-sme "busstilbud"-noun-nob
"bussegáhtta"-noun-sme "bussgate"-noun-nob
"busseorustansadji"-noun-sme "bussholdeplass"-noun-nob
"busserukto"-noun-sme "bussrute"-noun-nob
"bussesáhttu"-noun-sme "ruteskyss"-noun-nob
"busseuksa"-noun-sme "bussdør"-noun-nob
"bussá"-noun-sme "katt"-noun-nob
"busságuolga"-noun-sme "kattehår"-noun-nob
"bussáskálžu"-noun-sme "strandsnegl"-noun-nob
"bustu"-noun-sme "lugg"-noun-nob
"bustávva"-noun-sme "bokstav"-noun-nob
"bustávvabordin"-noun-sme "bokstavlek"-noun-nob
"bustávvagirji"-noun-sme "bokstavbok"-noun-nob
"bustávvaplánša"-noun-sme "bokstavplansje"-noun-nob
"buvda"-noun-sme "butikk"-noun-nob
"hánddal"-noun-sme "butikk"-noun-nob
"hándal"-noun-sme "butikk"-noun-nob
"buvihanventiila"-noun-sme "strupeventil"-noun-nob
"buvkosahá"-noun-sme "stikksag"-noun-nob
"buvku"-noun-sme "tollekniv"-noun-nob
"buvri"-noun-sme "bod"-noun-nob
"buvrorisen"-noun-sme "grøtris"-noun-nob
"buvru"-noun-sme "grøt"-noun-nob
"buvssat"-noun-sme "bukse"-noun-nob
"buvtta"-noun-sme "produkt"-noun-nob
"buvttabagadeapmi"-noun-sme "produksjonsveiledning"-noun-nob
"buvttadahkki"-noun-sme "faktor"-noun-nob
"buvttadahkki"-noun-sme "faktor"-noun-nob
"buvttadandagaldat"-noun-sme "produksjonsfaktor"-noun-nob
"buvttadandoarjja"-noun-sme "produksjonsstøtte"-noun-nob
"buvttadanfitnodat"-noun-sme "produksjonsbedrift"-noun-nob
"buvttadangurgadas"-noun-sme "produksjonsserie"-noun-nob
"buvttadanhivvodat"-noun-sme "produksjonsmengde"-noun-nob
"buvttadanláhki"-noun-sme "produksjonsmåte"-noun-nob
"buvttadanmunni"-noun-sme "produktivitet"-noun-nob
"buvttadannákca"-noun-sme "produksjonskapasitet"-noun-nob
"buvttadanrusttet"-noun-sme "produksjonsanlegg"-noun-nob
"buvttadanvuoitodoarjja"-noun-sme "produksjonsoverskuddsstønad"-noun-nob
"buvttadeaddji"-noun-sme "produsent"-noun-nob
"tv-buvttadeaddji"-noun-sme "tv-produsent"-noun-nob
"buvttadeapmi"-noun-sme "produksjon"-noun-nob
"buvttadus"-noun-sme "produksjon"-noun-nob
"buvttaduscaggi"-noun-sme "restriksjon"-noun-nob
"buvttadusdoarjja"-noun-sme "produksjonstilskudd"-noun-nob
"buvttadusdávvir"-noun-sme "produksjonsutstyr"-noun-nob
"buvttadusgoallus"-noun-sme "produksjonskjede"-noun-nob
"buvttadusgollu"-noun-sme "produksjonskostnad"-noun-nob
"buvttaduskapasiteahtta"-noun-sme "produksjonskapasitet"-noun-nob
"buvttadusoassi"-noun-sme "produksjonsandel"-noun-nob
"buvttadusortnet"-noun-sme "kompensasjonsordning"-noun-nob
"buvttagollu"-noun-sme "produktkostnad"-noun-nob
"buvttagárgen"-noun-sme "produktutvikling"-noun-nob
"buvttagárgideapmi"-noun-sme "produktutvikling"-noun-nob
"buvttajoavku"-noun-sme "produktgruppe"-noun-nob
"buvttamárkan"-noun-sme "produktmarked"-noun-nob
"buvttanamahus"-noun-sme "produktbetegnelse"-noun-nob
"buvttanamma"-noun-sme "produktnavn"-noun-nob
"buvttaovdánahttin"-noun-sme "produktutvikling"-noun-nob
"buvttapolitihkka"-noun-sme "produktpolitikk"-noun-nob
"buvttarehket"-noun-sme "faktura"-noun-nob
"fakturá"-noun-sme "faktura"-noun-nob
"buvttaspesifikašuvdna"-noun-sme "produktspesifikasjon"-noun-nob
"buvttačoahkádus"-noun-sme "produktsammensetning"-noun-nob
"buvttašládja"-noun-sme "produktspekter"-noun-nob
"buvttuidmeannudeapmi"-noun-sme "ytelsesbehandling"-noun-nob
"buvttusvuohki"-noun-sme "bidragsmetode"-noun-nob
"buvvedat"-noun-sme "sandlo"-noun-nob
"buváhat"-noun-sme "choke"-noun-nob
"buđet"-noun-sme "potet"-noun-nob
"buđetbealdu"-noun-sme "potetåker"-noun-nob
"buđetbuvttadeapmi"-noun-sme "potetproduksjon"-noun-nob
"buđetgaikun"-noun-sme "potetopptaking"-noun-nob
"buđetjáffu"-noun-sme "potetmel"-noun-nob
"buđetmeastu"-noun-sme "potetmos"-noun-nob
"buđetnjuvddán"-noun-sme "potetmoser"-noun-nob
"buđetseahkka"-noun-sme "potetsekk"-noun-nob
"buđis"-noun-sme "elveforgreining"-noun-nob
"buđđá"-noun-sme "testikkel"-noun-nob
"bušeahtta"-noun-sme "budsjett"-noun-nob
"bušeahttabadjebáza"-noun-sme "budsjettoverskudd"-noun-nob
"bušeahttabargovuohki"-noun-sme "budsjettprosedyre"-noun-nob
"bušeahttabargu"-noun-sme "budsjettarbeid"-noun-nob
"bušeahttaboasta"-noun-sme "budsjettpost"-noun-nob
"bušeahttadiehtu"-noun-sme "budsjettfakta"-noun-nob
"bušeahttadigaštallan"-noun-sme "budsjettdebatt"-noun-nob
"bušeahttadilli"-noun-sme "budsjettsituasjon"-noun-nob
"bušeahttadilálašvuohta"-noun-sme "budsjettsituasjon"-noun-nob
"bušeahttadisipliidna"-noun-sme "budsjettdisiplin"-noun-nob
"bušeahttadoaibmabidju"-noun-sme "budsjettiltak"-noun-nob
"bušeahttadoarjja"-noun-sme "budsjettstøtte"-noun-nob
"bušeahttadokumeanta"-noun-sme "budsjettdokument"-noun-nob
"bušeahttadárbu"-noun-sme "budsjettbehov"-noun-nob
"bušeahttaevttohus"-noun-sme "budsjettforslag"-noun-nob
"bušeahttafáktá"-noun-sme "budsjettfakta"-noun-nob
"bušeahttagažaldat"-noun-sme "budsjettspørsmål"-noun-nob
"bušeahttageavaheapmi"-noun-sme "budsjettbruk"-noun-nob
"bušeahttagieđahallan"-noun-sme "budsjettbehandling"-noun-nob
"bušeahttagihpa"-noun-sme "budsjetthefte"-noun-nob
"bušeahttagáibádus"-noun-sme "budsjettkrav"-noun-nob
"bušeahttahálddašeapmi"-noun-sme "budsjettforvaltning"-noun-nob
"bušeahttajahki"-noun-sme "budsjettår"-noun-nob
"bušeahttajuolludeapmi"-noun-sme "budsjettmiddel"-noun-nob
"bušeahttakapihtal"-noun-sme "budsjettkapittel"-noun-nob
"bušeahttakonferánsa"-noun-sme "budsjettkonferanse"-noun-nob
"bušeahttakonsultašuvdna"-noun-sme "budsjettkonsultasjon"-noun-nob
"bušeahttalasiheapmi"-noun-sme "budsjettøkning"-noun-nob
"bušeahttalassáneapmi"-noun-sme "budsjettøkning"-noun-nob
"bušeahttalasáhus"-noun-sme "budsjettøkning"-noun-nob
"bušeahttalávdegoddi"-noun-sme "budsjettkomité"-noun-nob
"bušeahttameannudanvuohki"-noun-sme "budsjettprosedyre"-noun-nob
"bušeahttameannudeapmi"-noun-sme "budsjettbehandling"-noun-nob
"bušeahttamearrádus"-noun-sme "budsjettvedtak"-noun-nob
"bušeahttaoktavuohta"-noun-sme "budsjettsammenheng"-noun-nob
"budjeahttaovddasvástádus"-noun-sme "budsjettansvar"-noun-nob
"bušeahttaovddideapmi"-noun-sme "budsjettutvikling"-noun-nob
"bušeahttaovdánahttin"-noun-sme "budsjettutvikling"-noun-nob
"ovdánahttin"-noun-sme "utvikling"-noun-nob
"bušeahttaovdáneapmi"-noun-sme "budsjettutvikling"-noun-nob
"bušeahttapoasta"-noun-sme "budsjettpost"-noun-nob
"bušeahttapolitihkka"-noun-sme "budsjettpolitikk"-noun-nob
"bušeahttaprofiila"-noun-sme "budsjettprofil"-noun-nob
"bušeahttaproposišuvdna"-noun-sme "budsjettproposisjon"-noun-nob
"bušeahttaproseassa"-noun-sme "budsjettprosess"-noun-nob
"bušeahttaruhta"-noun-sme "budsjettmiddel"-noun-nob
"bušeahttaráhkkananbargu"-noun-sme "budsjettforberedelse"-noun-nob
"bušeahttaráhkkaneapmi"-noun-sme "budsjettforberedelse"-noun-nob
"bušeahttarámma"-noun-sme "budsjettramme"-noun-nob
"bušeahttaráđđádallan"-noun-sme "budsjettforhandling"-noun-nob
"bušeahttastruktuvra"-noun-sme "budsjettstruktur"-noun-nob
"bušeahttaunnideapmi"-noun-sme "budsjettkutt"-noun-nob
"bušeahttavuogádat"-noun-sme "budsjettsystem"-noun-nob
"bušeahttavuohki"-noun-sme "budsjettprosedyre"-noun-nob
"bušeahttavuollebáza"-noun-sme "budsjettunderskudd"-noun-nob
"bušeahttavuolláibáza"-noun-sme "budsjettunderskudd"-noun-nob
"bušeahttaáigodat"-noun-sme "budsjettperiode"-noun-nob
"bušeahttaálgoevttohus"-noun-sme "budsjettutkast"-noun-nob
"bušeahttaárvalus"-noun-sme "budsjettforslag"-noun-nob
"bušeahttaášši"-noun-sme "budsjettspørsmål"-noun-nob
"bušeahttačoahkkin"-noun-sme "budsjettmøte"-noun-nob
"bušeahttačállingoddi"-noun-sme "budsjettsekretariat"-noun-nob
"buškogálla"-noun-sme "spisskål"-noun-nob
"bužis"-noun-sme "garnvase"-noun-nob
"bužormearka"-noun-sme "øremerke"-noun-nob
"byrohoavda"-noun-sme "byråsjef"-noun-nob
"byrokratiija"-noun-sme "byråkrati"-noun-nob
"byrokráhta"-noun-sme "byråkrat"-noun-nob
"byråkratiija"-noun-sme "byråkrati"-noun-nob
"báberarkiiva"-noun-sme "papirarkiv"-noun-nob
"báberbargu"-noun-sme "papirarbeid"-noun-nob
"bábergihpa"-noun-sme "papirutgave"-noun-nob
"báberhivvodat"-noun-sme "skjemabyråkrati"-noun-nob
"báberhápmi"-noun-sme "papirformat"-noun-nob
"báberkonvoluhtta"-noun-sme "papirkonvolutt"-noun-nob
"báberkvaliteahtta"-noun-sme "papirkvalitet"-noun-nob
"bábermearrádus"-noun-sme "papirbestemmelse"-noun-nob
"báberpoasta"-noun-sme "papirpost"-noun-nob
"báberseahkka"-noun-sme "papirpose"-noun-nob
"gávppašanseahkka"-noun-sme "handlepose"-noun-nob
"báberveršuvdna"-noun-sme "papirversjon"-noun-nob
"bábir"-noun-sme "papir"-noun-nob
"bábircában"-noun-sme "makulatur"-noun-nob
"bábirdoalli"-noun-sme "konseptholder"-noun-nob
"bábirdoalli"-noun-sme "konseptholder"-noun-nob
"bábirdoavdnji"-noun-sme "innleggsmappe"-noun-nob
"bábirduoran"-noun-sme "stiftemaskin"-noun-nob
"bábirrádju"-noun-sme "papirlager"-noun-nob
"bábirráiggan"-noun-sme "hullemaskin"-noun-nob
"bábirtávval"-noun-sme "flippover"-noun-nob
"bábirčanan"-noun-sme "heftemaskin"-noun-nob
"báda"-noun-sme "bad"-noun-nob
"báddekeramihkka"-noun-sme "båndkeramikk"-noun-nob
"báddeleaika"-noun-sme "hyssinglek"-noun-nob
"báddeornamentihkka"-noun-sme "båndornamentikk"-noun-nob
"bádderáidalas"-noun-sme "leider"-noun-nob
"báddesahá"-noun-sme "båndsag"-noun-nob
"báddeskearrolatnja"-noun-sme "tauskiverom"-noun-nob
"báddeviidodat"-noun-sme "båndbredde"-noun-nob
"deatnogáddi"-noun-sme "tanabredde"-noun-nob
"báddi"-noun-sme "tau"-noun-nob
"báddi"-noun-sme "bånd"-noun-nob
"bádenbáiki"-noun-sme "badeplass"-noun-nob
"bádja"-noun-sme "vadmel"-noun-nob
"bádjebasttat"-noun-sme "smitang"-noun-nob
"bádjesveisen"-noun-sme "essesveising"-noun-nob
"bádjeveažir"-noun-sme "smihammer"-noun-nob
"bádji"-noun-sme "smie"-noun-nob
"bággi"-noun-sme "grime"-noun-nob
"bággobargu"-noun-sme "hoveri"-noun-nob
"bággobidjet"-noun-sme "tvangsauksjon"-noun-nob
"bággobisáneapmi"-noun-sme "stoppeplikt"-noun-nob
"bággodoaibma"-noun-sme "tvangstiltak"-noun-nob
"bággodoaibmabidju"-noun-sme "tvangstiltak"-noun-nob
"bággogaskaoapmi"-noun-sme "tvangsmiddel"-noun-nob
"bággoheaittiheapmi"-noun-sme "tvangsavvikling"-noun-nob
"bággolonistanlohpi"-noun-sme "ekspropriasjonstillatelse"-noun-nob
"bággolonistanláhka"-noun-sme "oreigningslov"-noun-nob
"bággolonistanohcamuš"-noun-sme "ekspropriasjonssøknad"-noun-nob
"bággolonistanproseassa"-noun-sme "ekspropriasjonsprosess"-noun-nob
"bággolonistanvejolašvuohta"-noun-sme "ekspropriasjonsadgang"-noun-nob
"bággolonistanvuoigatvuohta"-noun-sme "ekspropriasjonsrett"-noun-nob
"bággolonistanvuođđu"-noun-sme "ekspropriasjonshjemmel"-noun-nob
"bággolonisteaddji"-noun-sme "ekspropriant"-noun-nob
"bággolonisteaddji"-noun-sme "ekspropriant"-noun-nob
"bággolonisteapmi"-noun-sme "ekspropriasjon"-noun-nob
"bággolotnun"-noun-sme "ekspropriasjon"-noun-nob
"bággolotnunvuođđu"-noun-sme "ekspropriasjon"-noun-nob
"bággolotnunášši"-noun-sme "ekspropriasjonssak"-noun-nob
"bággoluobaheapmi"-noun-sme "tvangsavståelse"-noun-nob
"bággoluopmonjuolggadus"-noun-sme "permitteringsregelverk"-noun-nob
"bággomárran"-noun-sme "okkupasjon"-noun-nob
"bággoneavvu"-noun-sme "tvangsmiddel"-noun-nob
"bággonjuovvan"-noun-sme "tvangsslakting"-noun-nob
"bággooktiičaskin"-noun-sme "tvangssammenslåing"-noun-nob
"bággosáhkku"-noun-sme "tvangsmulkt"-noun-nob
"bággovuogádat"-noun-sme "tvangssystem"-noun-nob
"bággovuovdin"-noun-sme "tvangsauksjon"-noun-nob
"bággoášši"-noun-sme "forlikssak"-noun-nob
"bággočađahanláhka"-noun-sme "tvangsfullbyrdelseslov"-noun-nob
"bággočađahanváldi"-noun-sme "namsmyndighet"-noun-nob
"bággočađaheapmi"-noun-sme "tvangsfullbyrdelse"-noun-nob
"skuvlenvuogádat"-noun-sme "skolesystem"-noun-nob
"bággu"-noun-sme "tvang"-noun-nob
"bággu"-noun-sme "nødvendighet"-noun-nob
"báhcahat"-noun-sme "avtrekker"-noun-nob
"báhcahatgiella"-noun-sme "løkkefelle"-noun-nob
"báhccandilljá"-noun-sme "springbrett"-noun-nob
"báhcu"-noun-sme "konkursbo"-noun-nob
"báhcánráđđejupmi"-noun-sme "restbeføyelse"-noun-nob
"báhcánvuoigatvuohta"-noun-sme "restrett"-noun-nob
"báhkin"-noun-sme "hedning"-noun-nob
"báhkinvuohta"-noun-sme "hedenskap"-noun-nob
"báhkka"-noun-sme "hete"-noun-nob
"báhkka"-noun-sme "pakke"-noun-nob
"báhkkagieđahallan"-noun-sme "varmebehandling"-noun-nob
"báhkkahávdda"-noun-sme "varmebad"-noun-nob
"báhkki"-noun-sme "rirkule"-noun-nob
"báhkkon"-noun-sme "bud"-noun-nob
"báhpaeanaopmodat"-noun-sme "prestebolsgods"-noun-nob
"báhpagielda"-noun-sme "prestegjeld"-noun-nob
"báhpagárdin"-noun-sme "prestegård"-noun-nob
"báhpárjeagil"-noun-sme "papirlav"-noun-nob
"báhpasuohkan"-noun-sme "prestegjeld"-noun-nob
"báhpavirgi"-noun-sme "prestestilling"-noun-nob
"báhppa"-noun-sme "prest"-noun-nob
"báhppagoddi"-noun-sme "presteskap"-noun-nob
"báhppakursa"-noun-sme "prestekurs"-noun-nob
"báhpu"-noun-sme "bønne"-noun-nob
"báhtarangeaidnu"-noun-sme "fluktrute"-noun-nob
"báhtaranáigi"-noun-sme "rømningstid"-noun-nob
"báhtaruslatnja"-noun-sme "tilfluktsrom"-noun-nob
"báhteravda"-noun-sme "grytekant"-noun-nob
"báhti"-noun-sme "gryte"-noun-nob
"báhtte"-noun-sme "spatt"-noun-nob
"báhtter"-noun-sme "batteri"-noun-nob
"báhttergealddán"-noun-sme "batterilader"-noun-nob
"báhtterlatnja"-noun-sme "batterirom"-noun-nob
"báhčin"-noun-sme "skyting"-noun-nob
"láireduvvábáhčin"-noun-sme "leirdueskyting"-noun-nob
"bávkaleapmi"-noun-sme "oppskyting"-noun-nob
"báhčinbálká"-noun-sme "jaktpremie"-noun-nob
"báhčinšillju"-noun-sme "skytebane"-noun-nob
"báideboallu"-noun-sme "skjorteknapp"-noun-nob
"báidesoadji"-noun-sme "skjorteerme"-noun-nob
"báidesoadjá"-noun-sme "skjorteerme"-noun-nob
"báidi"-noun-sme "genser"-noun-nob
"báidnin"-noun-sme "påvirkning"-noun-nob
"báidnu"-noun-sme "farge"-noun-nob
"báikediehtu"-noun-sme "lokalkunnskap"-noun-nob
"báikedoallu"-noun-sme "husholdning"-noun-nob
"báikegoddedutkan"-noun-sme "lokalsamfunnsforskning"-noun-nob
"báikegoddeovdáneapmi"-noun-sme "stedsutvikling"-noun-nob
"báikegoddeálbmot"-noun-sme "lokalbefolkning"-noun-nob
"báikegoddi"-noun-sme "bygd"-noun-nob
"báikegotteolmmoš"-noun-sme "lokalbefolkning"-noun-nob
"báikenamahus"-noun-sme "stedsbetegnelse"-noun-nob
"báikenamma"-noun-sme "stedsnavn"-noun-nob
"báikenammabálvalus"-noun-sme "stedsnavnstjeneste"-noun-nob
"báikenammagalba"-noun-sme "stedsnavnskilt"-noun-nob
"báikenammakonsuleanta"-noun-sme "stedsnavnskonsulent"-noun-nob
"báikenammaláhka"-noun-sme "stedsnavnlov"-noun-nob
"báikenammalávdegoddi"-noun-sme "stedsnavnutvalg"-noun-nob
"báikenammanevvohat"-noun-sme "stedsnavntjeneste"-noun-nob
"báikenammaovddideapmi"-noun-sme "stedsnavnsutvikling"-noun-nob
"báikenammaprojeakta"-noun-sme "stedsnavnprosjekt"-noun-nob
"báikenammaregisttar"-noun-sme "stedsnavnsregister"-noun-nob
"báikenammaášši"-noun-sme "navnesak"-noun-nob
"báikeovddideapmi"-noun-sme "stedsutvikling"-noun-nob
"báikerádio"-noun-sme "lokalradio"-noun-nob
"báiki"-noun-sme "sted"-noun-nob
"oahpahusbáiki"-noun-sme "undervisningssted"-noun-nob
"boaittobealbáiki"-noun-sme "utkantssted"-noun-nob
"báikkiolmmoš"-noun-sme "sambygding"-noun-nob
"lagasolmmoš"-noun-sme "nær person"-noun-nob
"vierroolmmoš"-noun-sme "fremmedfolk"-noun-nob
"báikkisgávppašeapmi"-noun-sme "plasshandel"-noun-nob
"báimman"-noun-sme "hyrde"-noun-nob
"báinnalatnja"-noun-sme "malingsrom"-noun-nob
"báinnasmáhkka"-noun-sme "usmak"-noun-nob
"báinnasohkar"-noun-sme "sukkerkulør"-noun-nob
"báisaboaltu"-noun-sme "ekspansjonsbolt"-noun-nob
"báisan"-noun-sme "ekspansjon"-noun-nob
"báisaskuohppu"-noun-sme "ekspansjonshylse"-noun-nob
"báiski"-noun-sme "fiskemåke"-noun-nob
"báistebiđus"-noun-sme "finnbiff"-noun-nob
"báittohat"-noun-sme "offside"-noun-nob
"báktedoaibma"-noun-sme "bergverksdrift"-noun-nob
"báktedoaibmaindustriija"-noun-sme "bergverksindustri"-noun-nob
"báktedáidda"-noun-sme "steinkunst"-noun-nob
"báktefága"-noun-sme "bergverksfag"-noun-nob
"báktegovus"-noun-sme "helleristning"-noun-nob
"báktegovva"-noun-sme "helleristning"-noun-nob
"báktehoavda"-noun-sme "bergmester"-noun-nob
"bákteindustriija"-noun-sme "bergindustri"-noun-nob
"báktelatnja"-noun-sme "fjellrevne"-noun-nob
"bákteluđolašvuohta"-noun-sme "bergfrihet"-noun-nob
"bákteláhka"-noun-sme "bergverkslov"-noun-nob
"báktemáhcci"-noun-sme "fjellfolding"-noun-nob
"bákteolmmoš"-noun-sme "bergfolk"-noun-nob
"bákteregála"-noun-sme "bergregale"-noun-nob
"bákteruvkedoaibma"-noun-sme "bergverksvirksomhet"-noun-nob
"bákteruvkehistorjá"-noun-sme "bergverkshistorie"-noun-nob
"bákteruvkekonferánsa"-noun-sme "bergverkskonferanse"-noun-nob
"báktesisgeaidnu"-noun-sme "tunnel"-noun-nob
"báktesullot"-noun-sme "skjærgård"-noun-nob
"báktesárgun"-noun-sme "helleristning"-noun-nob
"báktevuođđohámáiduvvan"-noun-sme "berggrunnsdannelse"-noun-nob
"báktevuođđu"-noun-sme "berggrunn"-noun-nob
"báktešládja"-noun-sme "steinart"-noun-nob
"bákti"-noun-sme "berg"-noun-nob
"bálda"-noun-sme "sideplass"-noun-nob
"bálddalastinbargu"-noun-sme "samordningsoppgave"-noun-nob
"bálddalasčiehka"-noun-sme "nabovinkel"-noun-nob
"bálddis"-noun-sme "kveite"-noun-nob
"bálddisvuogga"-noun-sme "kveiteangel"-noun-nob
"báldávuorra"-noun-sme "kveiteline"-noun-nob
"bálggesčuovga"-noun-sme "gatelys"-noun-nob
"bálggis"-noun-sme "sti"-noun-nob
"bálggesčujuhus"-noun-sme "stibetegnelse"-noun-nob
"bálkestanlávki"-noun-sme "tilløp"-noun-nob
"bálkestannuohtti"-noun-sme "kastenot"-noun-nob
"bálkkašupmi"-noun-sme "premie"-noun-nob
"bálkkašupmi"-noun-sme "pris"-noun-nob
"bálkkolaš"-noun-sme "lønnsarbeider"-noun-nob
"bálká"-noun-sme "lønn"-noun-nob
"bálkábadjáneapmi"-noun-sme "lønnsvekst"-noun-nob
"bálkábajidanfága"-noun-sme "opprykksfag"-noun-nob
"bálkábargi"-noun-sme "lønnsmottaker"-noun-nob
"bálkábargu"-noun-sme "lønnsarbeid"-noun-nob
"bálkábivdu"-noun-sme "premiejakt"-noun-nob
"bálkábuhtadus"-noun-sme "lønnskompensasjon"-noun-nob
"bálkábušeahtta"-noun-sme "lønnsbudsjett"-noun-nob
"bálkábálvalus"-noun-sme "lønnstjeneste"-noun-nob
"bálkáceahkki"-noun-sme "lønnstrinn"-noun-nob
"bálkádienas"-noun-sme "lønnsinntekt"-noun-nob
"bálkádilli"-noun-sme "lønnsforhold"-noun-nob
"bálkádoarjja"-noun-sme "lønnstilskudd"-noun-nob
"bálkádáhkádus"-noun-sme "lønnsgaranti"-noun-nob
"bálkáeaktu"-noun-sme "lønnsvilkår"-noun-nob
"bálkáerohus"-noun-sme "lønnsforskjell"-noun-nob
"bálkágaskavuohta"-noun-sme "lønnsdannelse"-noun-nob
"bálkágeasus"-noun-sme "lønnsfradrag"-noun-nob
"bálkágollu"-noun-sme "lønnsutgift"-noun-nob
"bálkákommišuvdna"-noun-sme "lønnskommisjon"-noun-nob
"bálkálassáneapmi"-noun-sme "lønnsvekst"-noun-nob
"bálkálasáhus"-noun-sme "lønnstillegg"-noun-nob
"bálkálistu"-noun-sme "lønningsliste"-noun-nob
"bálkáovdáneapmi"-noun-sme "lønnsutvikling"-noun-nob
"bálkápolitihkka"-noun-sme "lønnspolitikk"-noun-nob
"bálkásuohčan"-noun-sme "lønnsglidning"-noun-nob
"bálkáášši"-noun-sme "lønnsspørsmål"-noun-nob
"bálkášiehtadallan"-noun-sme "lønnsforhandling"-noun-nob
"bálkášiehtadus"-noun-sme "lønnsavtale"-noun-nob
"bállosuotna"-noun-sme "sædleder"-noun-nob
"bállu"-noun-sme "uro"-noun-nob
"bállu"-noun-sme "testikkel"-noun-nob
"bálsebáhti"-noun-sme "leirgryte"-noun-nob
"bálseduodji"-noun-sme "keramikk"-noun-nob
"bálselihtti"-noun-sme "leirbolle"-noun-nob
"bálseráktu"-noun-sme "flis"-noun-nob
"bálvalanpolitihkka"-noun-sme "tjenestepolitikk"-noun-nob
"bálvalanámmát"-noun-sme "serviceyrke"-noun-nob
"bálvaleaddji"-noun-sme "tjener"-noun-nob
"bálvaleapmi"-noun-sme "tjeneste"-noun-nob
"bálvalus"-noun-sme "tjeneste"-noun-nob
"bálvalusapparáhta"-noun-sme "serviceapparat"-noun-nob
"bálvalusbargosadji"-noun-sme "servicearbeidsplass"-noun-nob
"bálvalusbuvttadeapmi"-noun-sme "tjenesteproduksjon"-noun-nob
"bálvalusdoaibma"-noun-sme "tjenesteyting"-noun-nob
"bálvalusdáhttu"-noun-sme "serviceinnstilling"-noun-nob
"bálvalusdárbu"-noun-sme "servicebehov"-noun-nob
"bálvalusdássi"-noun-sme "servicenivå"-noun-nob
"bálvalusealáhus"-noun-sme "servicenæring"-noun-nob
"bálvalusfálaldat"-noun-sme "tjenestetilbud"-noun-nob
"bálvalusfállu"-noun-sme "tjenestetilbud"-noun-nob
"bálvalusgeatnegasvuohta"-noun-sme "verneplikt"-noun-nob
"bálvalusguovddáš"-noun-sme "servicesenter"-noun-nob
"bálvalusheiveheapmi"-noun-sme "tjenesteinnhold"-noun-nob
"bálvaluskantuvra"-noun-sme "servicekontor"-noun-nob
"bálvaluslágideaddji"-noun-sme "tjenesteleverandør"-noun-nob
"bálvalusmáksu"-noun-sme "gebyr"-noun-nob
"bálvalusolmmoš"-noun-sme "tjenestemann"-noun-nob
"bálvaluspenšuvdnaortnet"-noun-sme "tjenestepensjonsordning"-noun-nob
"bálvalusrusttet"-noun-sme "serviceanlegg"-noun-nob
"bálvalussuorgi"-noun-sme "sosialvesen"-noun-nob
"bálvalusvuohki"-noun-sme "servicepraksis"-noun-nob
"bálvalusárja"-noun-sme "serviceinnstilling"-noun-nob
"bálvalusčilgehus"-noun-sme "serviceerklæring"-noun-nob
"bálvvus"-noun-sme "dyrking"-noun-nob
"bálvá"-noun-sme "tjener"-noun-nob
"bálvágoddi"-noun-sme "bemanning"-noun-nob
"bánno"-noun-sme "steikepanne"-noun-nob
"bánnogáhkku"-noun-sme "pannekake"-noun-nob
"bántagiddehus"-noun-sme "pantheftelse"-noun-nob
"bára"-noun-sme "bar"-noun-nob
"bárbmofálli"-noun-sme "vandrefalk"-noun-nob
"bárbmoloddi"-noun-sme "trekkfugl"-noun-nob
"bárbmu"-noun-sme "syden"-noun-nob
"bárdnebealle"-noun-sme "stesønn"-noun-nob
"bárdni"-noun-sme "sønn"-noun-nob
"bárdni"-noun-sme "gutt"-noun-nob
"bárduvdna"-noun-sme "bardun"-noun-nob
"bárehuoš"-noun-sme "unggutt"-noun-nob
"bárggas"-noun-sme "skrik"-noun-nob
"bárggeš"-noun-sme "komagbåndsnor"-noun-nob
"bárkodávda"-noun-sme "meslinger"-noun-nob
"bárku"-noun-sme "bark"-noun-nob
"bárra"-noun-sme "par"-noun-nob
"bárra"-noun-sme "barre"-noun-nob
"bárrastávvalvearba"-noun-sme "likestavelsesverb"-noun-nob
"bárrobuođđohuksen"-noun-sme "moloutbygging"-noun-nob
"bárrobuođđoprošeakta"-noun-sme "moloprosjekt"-noun-nob
"bárrobuođđu"-noun-sme "molo"-noun-nob
"bárroguhkkodat"-noun-sme "bølgelengde"-noun-nob
"bárru"-noun-sme "bølge"-noun-nob
"bárti"-noun-sme "problem"-noun-nob
"bárti"-noun-sme "uhell"-noun-nob
"bárti"-noun-sme "skade"-noun-nob
"bártnáš"-noun-sme "gutt"-noun-nob
"báruideastadeapmi"-noun-sme "bølgedemper"-noun-nob
"bárvi"-noun-sme "kvinnekofte"-noun-nob
"báska"-noun-sme "jolle"-noun-nob
"básár"-noun-sme "basar"-noun-nob
