"'Ndrangheta"-properNoun-fra "'Ndrangheta"-properNoun-cat
"Cossu"-properNoun-fra "Cossu"-properNoun-cat
"Cossutta"-properNoun-fra "Cossutta"-properNoun-cat
"Costa"-properNoun-fra "Costa"-properNoun-cat
"Costa Blanca"-properNoun-fra "Costa Blanca"-properNoun-cat
"Costa Brava"-properNoun-fra "Costa Brava"-properNoun-cat
"Costa del Sol"-properNoun-fra "Costa del Sol"-properNoun-cat
"Costa i Llobera"-properNoun-fra "Costa i Llobera"-properNoun-cat
"Costa Rica"-properNoun-fra "Costa Rica"-properNoun-cat
"Costache"-properNoun-fra "Costache"-properNoun-cat
"Costafreda"-properNoun-fra "Costafreda"-properNoun-cat
"costal"-adjective-fra "costal"-adjective-cat
"Costallat"-properNoun-fra "Costallat"-properNoun-cat
"Costalli"-properNoun-fra "Costalli"-properNoun-cat
"Costantini"-properNoun-fra "Costantini"-properNoun-cat
"Costantino"-properNoun-fra "Costantino"-properNoun-cat
"Costanza"-properNoun-fra "Costanza"-properNoun-cat
"Costanzo"-properNoun-fra "Costanzo"-properNoun-cat
"Costas"-properNoun-fra "Costas"-properNoun-cat
"Costea"-properNoun-fra "Costea"-properNoun-cat
"Costello"-properNoun-fra "Costello"-properNoun-cat
"Costescu"-properNoun-fra "Costescu"-properNoun-cat
"Costi"-properNoun-fra "Costi"-properNoun-cat
"Costin"-properNoun-fra "Costin"-properNoun-cat
"Costiniu"-properNoun-fra "Costiniu"-properNoun-cat
"costume"-noun-fra "vestit"-noun-cat
"costume"-noun-fra "indumentària"-noun-cat
"costume"-noun-fra "vestuari"-noun-cat
"costume"-noun-fra "vestuari"-noun-cat
"costumer"-verb-fra "disfressar"-verb-cat
"Costur"-properNoun-fra "Costur"-properNoun-cat
"Cot"-properNoun-fra "Cot"-properNoun-cat
"Cota"-properNoun-fra "Cota"-properNoun-cat
"Cotado"-properNoun-fra "Cotado"-properNoun-cat
"cote"-noun-fra "quota"-noun-cat
"côte"-noun-fra "costa"-noun-cat
"côte"-noun-fra "riba"-noun-cat
"côte"-noun-fra "marina"-noun-cat
"côté"-noun-fra "costat"-noun-cat
"Côté"-properNoun-fra "Côté"-properNoun-cat
"côté au vent"-noun-fra "sobrevent"-noun-cat
"Côte d'Azur"-properNoun-fra "Costa Blava"-properNoun-cat
"Côte d'Ivoire"-properNoun-fra "Costa d'Ivori"-properNoun-cat
"côté dessus du vent"-noun-fra "sobrevent"-noun-cat
"côté sous le vent"-noun-fra "sotavent"-noun-cat
"Côte-d'Azur"-properNoun-fra "Costa Blava"-properNoun-cat
"coteau"-noun-fra "serral"-noun-cat
"côte"-noun-fra "costella"-noun-cat
"côtelette"-noun-fra "costella"-noun-cat
"coter"-verb-fra "cotitzar"-verb-cat
"Cotes"-properNoun-fra "Cotes"-properNoun-cat
"Cotes"-properNoun-fra "Cotes"-properNoun-cat
"Côtes-d'Armor"-properNoun-fra "Costes d'Armor"-properNoun-cat
"Coti"-properNoun-fra "Coti"-properNoun-cat
"cotidal"-adjective-fra "cotidal"-adjective-cat
"côtier"-adjective-fra "costaner"-adjective-cat
"cotisation"-noun-fra "cotització"-noun-cat
"cotiser"-verb-fra "cotitzar"-verb-cat
"cotitulaire"-noun-fra "cotitular"-noun-cat
"Cotnoir"-properNoun-fra "Cotnoir"-properNoun-cat
"Coto"-properNoun-fra "Coto"-properNoun-cat
"coton"-noun-fra "cotó"-noun-cat
"cotonnerie"-noun-fra "cotoneria"-noun-cat
"cotonnier"-adjective-fra "cotoner"-adjective-cat
"cotonnier"-noun-fra "cotoner"-noun-cat
"côtoyer"-verb-fra "vorejar"-verb-cat
"cotre"-noun-fra "cúter"-noun-cat
"Cotrofe"-properNoun-fra "Cotrofe"-properNoun-cat
"Cotruș"-properNoun-fra "Cotruș"-properNoun-cat
"Cots"-properNoun-fra "Cots"-properNoun-cat
"cotte"-noun-fra "cota"-noun-cat
"Cotti"-properNoun-fra "Cotti"-properNoun-cat
"Cotton"-properNoun-fra "Cotton"-properNoun-cat
"Cottone"-properNoun-fra "Cottone"-properNoun-cat
"cotuteur"-noun-fra "cotutor"-noun-cat
"cou"-noun-fra "coll"-noun-cat
"couard"-adjective-fra "covard"-adjective-cat
"couard"-noun-fra "covard"-noun-cat
"couardise"-noun-fra "covardia"-noun-cat
"Coubertin"-properNoun-fra "Coubertin"-properNoun-cat
"couchant"-noun-fra "ponent"-noun-cat
"couché"-adjective-fra "estirat"-adjective-cat
"couche"-noun-fra "capa"-noun-cat
"couche"-noun-fra "bolquer"-noun-cat
"couche-culotte"-noun-fra "bolquer"-noun-cat
"couche-culotte"-noun-fra "bolcall"-noun-cat
"coucher"-verb-fra "ajeure"-verb-cat
"coucher"-verb-fra "ficar al llit"-verb-cat
"coucher"-verb-fra "jeure"-verb-cat
"coucher"-verb-fra "estirar"-verb-cat
"coucher"-verb-fra "pondre"-verb-cat
"coucher de soleil"-noun-fra "posta de sol"-noun-cat
"coucher du soleil"-noun-fra "posta de sol"-noun-cat
"couchette"-noun-fra "llitera"-noun-cat
"couci-couça"-adverb-fra "així així"-adverb-cat
"coude"-noun-fra "colze"-noun-cat
"Coude"-properNoun-fra "Coude"-properNoun-cat
"coudre"-verb-fra "cosir"-verb-cat
"coudrier"-noun-fra "avellaner"-noun-cat
"Couet"-properNoun-fra "Couet"-properNoun-cat
"couffin"-noun-fra "cabàs"-noun-cat
"cougar"-noun-fra "puma"-noun-cat
"Coughlan"-properNoun-fra "Coughlan"-properNoun-cat
"Couillard"-properNoun-fra "Couillard"-properNoun-cat
"couler"-verb-fra "fluir"-verb-cat
"couler"-verb-fra "enfonsar"-verb-cat
"couler"-verb-fra "rajar"-verb-cat
"couleur"-noun-fra "color"-noun-cat
"couleuvre"-noun-fra "colobra"-noun-cat
"Coulibaly"-properNoun-fra "Coulibaly"-properNoun-cat
"coulissant"-adjective-fra "corredís"-adjective-cat
"coulisse"-noun-fra "bastidor"-noun-cat
"coulisse"-noun-fra "bastidor"-noun-cat
"couloir"-noun-fra "passadís"-noun-cat
"coulomb"-noun-fra "coulomb"-noun-cat
"Coulomb"-properNoun-fra "Coulomb"-properNoun-cat
"Coulombe"-properNoun-fra "Coulombe"-properNoun-cat
"Coulombel"-properNoun-fra "Coulombel"-properNoun-cat
"coulure"-noun-fra "colur"-noun-cat
"country"-adjective-fra "country"-adjective-cat
"coup"-noun-fra "cop"-noun-cat
"coup"-noun-fra "colp"-noun-cat
"coup"-noun-fra "embat"-noun-cat
"coup d'envoi"-noun-fra "sacada inicial"-noun-cat
"coup d'État"-noun-fra "cop d'estat"-noun-cat
"coup d'œil"-noun-fra "cop d'ull"-noun-cat
"coup de fil"-noun-fra "telefonada"-noun-cat
"coup de filet"-noun-fra "batuda"-noun-cat
"coup de pied"-noun-fra "puntada de peu"-noun-cat
"coup de pied au but"-noun-fra "sacada de meta"-noun-cat
"coup de pinceau"-noun-fra "pinzellada"-noun-cat
"coup de poing"-noun-fra "cop de puny"-noun-cat
"coup de tête"-noun-fra "capçada"-noun-cat
"coup du chapeau"-noun-fra "hat-trick"-noun-cat
"coup franc"-noun-fra "falta"-noun-cat
"coupable"-adjective-fra "culpable"-adjective-cat
"Coupal"-properNoun-fra "Coupal"-properNoun-cat
"coupant"-adjective-fra "tallant"-adjective-cat
"coupe"-noun-fra "copa"-noun-cat
"coupe"-noun-fra "tall"-noun-cat
"coupe"-noun-fra "retallada"-noun-cat
"coupe"-noun-fra "tala"-noun-cat
"coupé"-noun-fra "cupè"-noun-cat
"coupe-feu"-noun-fra "tallafoc"-noun-cat
"coupe-feu"-noun-fra "tallafoc"-noun-cat
"coupellation"-noun-fra "copel·lació"-noun-cat
"couper"-verb-fra "tallar"-verb-cat
"couper"-verb-fra "atallar"-verb-cat
"couper"-verb-fra "talar"-verb-cat
"couper en morceaux"-verb-fra "trossejar"-verb-cat
"couper en morceaux"-verb-fra "llicenciar"-verb-cat
"Couperin"-properNoun-fra "Couperin"-properNoun-cat
"couplage"-noun-fra "acoblador"-noun-cat
"couple"-noun-fra "parella"-noun-cat
"couple"-noun-fra "matrimoni"-noun-cat
"coupler"-verb-fra "acoblar"-verb-cat
"coupole"-noun-fra "cúpula"-noun-cat
"coupon"-noun-fra "cupó"-noun-cat
"coupure"-noun-fra "tall"-noun-cat
"coupure"-noun-fra "retallada"-noun-cat
"coupure de courant"-noun-fra "apagada"-noun-cat
"cour"-noun-fra "cort"-noun-cat
"cour"-noun-fra "pati"-noun-cat
"cour"-noun-fra "tribunal"-noun-cat
"cour d'appel"-noun-fra "tribunal d'apel·lació"-noun-cat
"cour d'assises"-noun-fra "audiència"-noun-cat
"cour d'honneur"-noun-fra "pati d'armes"-noun-cat
"cour de justice"-noun-fra "tribunal de justícia"-noun-cat
"cour de récréation"-noun-fra "pati"-noun-cat
"cour des comptes"-noun-fra "tribunal de comptes"-noun-cat
"Cour des comptes"-properNoun-fra "Tribunal de Comptes"-properNoun-cat
"cour martiale"-noun-fra "tribunal militar"-noun-cat
"cour suprême"-noun-fra "tribunal suprem"-noun-cat
"courage"-noun-fra "coratge"-noun-cat
"courageusement"-adverb-fra "valentament"-adverb-cat
"courageux"-adjective-fra "valent"-adjective-cat
"courageux"-adjective-fra "brau"-adjective-cat
"courageux"-adjective-fra "valent"-adjective-cat
"courageux"-adjective-fra "valerós"-adjective-cat
"courageux"-adjective-fra "valerós"-adjective-cat
"couramment"-adverb-fra "habitualment"-adverb-cat
"couramment"-adverb-fra "correntment"-adverb-cat
"courant"-adjective-fra "corrent"-adjective-cat
"courant"-adjective-fra "usual"-adjective-cat
"courant"-noun-fra "corrent"-noun-cat
"courbe"-adjective-fra "corb"-adjective-cat
"courbe"-noun-fra "corba"-noun-cat
"courber"-verb-fra "corbar"-verb-cat
"Courbet"-properNoun-fra "Courbet"-properNoun-cat
"courbure"-noun-fra "curvatura"-noun-cat
"Courcelles"-properNoun-fra "Courcelles"-properNoun-cat
"Courchesne"-properNoun-fra "Courchesne"-properNoun-cat
"Courcy"-properNoun-fra "Courcy"-properNoun-cat
"coureur"-noun-fra "corredor"-noun-cat
"coureur"-noun-fra "corredor"-noun-cat
"coureur"-noun-fra "corredor"-noun-cat
"coureur de jupons"-noun-fra "faldiller"-noun-cat
"courge"-noun-fra "carbassa"-noun-cat
"courge"-noun-fra "carabassera"-noun-cat
"courge"-noun-fra "carbassera"-noun-cat
"courgette"-noun-fra "carabassó"-noun-cat
"courgette"-noun-fra "carbassó"-noun-cat
"courir"-verb-fra "córrer"-verb-cat
"courir"-verb-fra "empaitar"-verb-cat
"poursuivre"-verb-fra "empaitar"-verb-cat
"Cournoyer"-properNoun-fra "Cournoyer"-properNoun-cat
"couronne"-noun-fra "corona"-noun-cat
"couronnement"-noun-fra "colofó"-noun-cat
"couronnement"-noun-fra "coronació"-noun-cat
"couronner"-verb-fra "coronar"-verb-cat
"courriel"-noun-fra "correu electrònic"-noun-cat
"courrier"-noun-fra "correu"-noun-cat
"courroie"-noun-fra "corretja"-noun-cat
"cours"-noun-fra "curs"-noun-cat
"cours"-noun-fra "cotització"-noun-cat
"cours"-noun-fra "curset"-noun-cat
"cours"-noun-fra "decurs"-noun-cat
"course"-noun-fra "cursa"-noun-cat
"course"-noun-fra "carrera"-noun-cat
"course aux armements"-noun-fra "cursa d'armaments"-noun-cat
"course aux armements"-noun-fra "cursa armamentista"-noun-cat
"course de fond"-noun-fra "cursa de fons"-noun-cat
"courser"-verb-fra "perseguir"-verb-cat
"Coursol"-properNoun-fra "Coursol"-properNoun-cat
"Courson"-properNoun-fra "Courson"-properNoun-cat
"court"-adjective-fra "curt"-adjective-cat
"court"-noun-fra "pista"-noun-cat
"Court"-properNoun-fra "Court"-properNoun-cat
"court de tennis"-noun-fra "pista de tennis"-noun-cat
"court-circuit"-noun-fra "curtcircuit"-noun-cat
"court-métrage"-noun-fra "curtmetratge"-noun-cat
"courtage"-noun-fra "corretatge"-noun-cat
"Courteau"-properNoun-fra "Courteau"-properNoun-cat
"Courtemanche"-properNoun-fra "Courtemanche"-properNoun-cat
"Courtessole"-properNoun-fra "Courtessole"-properNoun-cat
"courtier"-noun-fra "corredor"-noun-cat
"courtine"-noun-fra "cortina"-noun-cat
"courtisan"-noun-fra "cortesà"-noun-cat
"Courtney"-properNoun-fra "Courtney"-properNoun-cat
"courtois"-adjective-fra "gentil"-adjective-cat
"Courtois"-properNoun-fra "Courtois"-properNoun-cat
"courtoisement"-adverb-fra "cortesament"-adverb-cat
"Courval"-properNoun-fra "Courval"-properNoun-cat
"Courville"-properNoun-fra "Courville"-properNoun-cat
"couscous"-noun-fra "cuscús"-noun-cat
"cousin"-noun-fra "cosí"-noun-cat
"cousin"-noun-fra "cosí germà"-noun-cat
"Cousin"-properNoun-fra "Cousin"-properNoun-cat
"Cousineau"-properNoun-fra "Cousineau"-properNoun-cat
"Cousins"-properNoun-fra "Cousins"-properNoun-cat
"Couso"-properNoun-fra "Couso"-properNoun-cat
"coussin"-noun-fra "coixí"-noun-cat
"Cousteau"-properNoun-fra "Cousteau"-properNoun-cat
"Cousy"-properNoun-fra "Cousy"-properNoun-cat
"coût"-noun-fra "cost"-noun-cat
"couteau"-noun-fra "ganivet"-noun-cat
"couteau"-noun-fra "navalla"-noun-cat
"couter"-verb-fra "costar"-verb-cat
"coûter"-verb-fra "costar"-verb-cat
"coûteux"-adjective-fra "costós"-adjective-cat
"coûteux"-adjective-fra "costós"-adjective-cat
"Coutinho"-properNoun-fra "Coutinho"-properNoun-cat
"Couto"-properNoun-fra "Couto"-properNoun-cat
"Coutu"-properNoun-fra "Coutu"-properNoun-cat
"coutume"-noun-fra "costum"-noun-cat
"coutume"-noun-fra "usança"-noun-cat
"coutumier"-adjective-fra "consuetudinari"-adjective-cat
"coutumièrement"-adverb-fra "consuetudinàriament"-adverb-cat
"couture"-noun-fra "costura"-noun-cat
"Couture"-properNoun-fra "Couture"-properNoun-cat
"Couturier"-properNoun-fra "Couturier"-properNoun-cat
"couturière"-noun-fra "modista"-noun-cat
"couvent"-noun-fra "convent"-noun-cat
"couver"-verb-fra "covar"-verb-cat
"couver"-verb-fra "incubar"-verb-cat
"couvert"-adjective-fra "cobert"-adjective-cat
"couvert"-noun-fra "cobert"-noun-cat
"couverture"-noun-fra "coberta"-noun-cat
"couverture"-noun-fra "coberta"-noun-cat
"couverture"-noun-fra "cobertura"-noun-cat
"couverture"-noun-fra "manta"-noun-cat
"couverture"-noun-fra "portada"-noun-cat
"couverture"-noun-fra "tapa"-noun-cat
"Couvet"-properNoun-fra "Couvet"-properNoun-cat
"couvre-chef"-noun-fra "lligadura"-noun-cat
"couvrement"-noun-fra "coberta"-noun-cat
"Couvrette"-properNoun-fra "Couvrette"-properNoun-cat
"couvrir"-verb-fra "cobrir"-verb-cat
"couvrir"-verb-fra "abrigar"-verb-cat
"couvrir"-verb-fra "colgar"-verb-cat
"couvrir"-verb-fra "tapar"-verb-cat
"couvrir de boue"-verb-fra "enfangar"-verb-cat
"Cova"-properNoun-fra "Cova"-properNoun-cat
"Covaci"-properNoun-fra "Covaci"-properNoun-cat
"Covadonga"-properNoun-fra "Covadonga"-properNoun-cat
"Covaleda"-properNoun-fra "Covaleda"-properNoun-cat
"covalent"-adjective-fra "covalent"-adjective-cat
"covariance"-noun-fra "covariància"-noun-cat
"covariant"-adjective-fra "covariant"-adjective-cat
"Covatta"-properNoun-fra "Covatta"-properNoun-cat
"Covatti"-properNoun-fra "Covatti"-properNoun-cat
"covelline"-noun-fra "covel·lina"-noun-cat
"Covello"-properNoun-fra "Covello"-properNoun-cat
"Coverdale"-properNoun-fra "Coverdale"-properNoun-cat
"Coverly"-properNoun-fra "Coverly"-properNoun-cat
"Coves"-properNoun-fra "Coves"-properNoun-cat
"Covi"-properNoun-fra "Covi"-properNoun-cat
"Coviello"-properNoun-fra "Coviello"-properNoun-cat
"Covilhã"-properNoun-fra "Covilhã"-properNoun-cat
"Covolo"-properNoun-fra "Covolo"-properNoun-cat
"Covre"-properNoun-fra "Covre"-properNoun-cat
"cow-boy"-noun-fra "cowboy"-noun-cat
"Cowan"-properNoun-fra "Cowan"-properNoun-cat
"cowboy"-noun-fra "cowboy"-noun-cat
"Cowen"-properNoun-fra "Cowen"-properNoun-cat
"Cox"-properNoun-fra "Cox"-properNoun-cat
"Cox"-properNoun-fra "Cox"-properNoun-cat
"coxal"-adjective-fra "coxal"-adjective-cat
"coxo-fémoral"-adjective-fra "coxofemoral"-adjective-cat
"coxofémoral"-adjective-fra "coxofemoral"-adjective-cat
"Coyen"-properNoun-fra "Coyen"-properNoun-cat
"Coyle"-properNoun-fra "Coyle"-properNoun-cat
"coyote"-noun-fra "coiot"-noun-cat
"Coyote"-properNoun-fra "Coyote"-properNoun-cat
"Cozar"-properNoun-fra "Cozar"-properNoun-cat
"Cozma"-properNoun-fra "Cozma"-properNoun-cat
"Cozzari"-properNoun-fra "Cozzari"-properNoun-cat
"Cozzolino"-properNoun-fra "Cozzolino"-properNoun-cat
"Coșovei"-properNoun-fra "Coșovei"-properNoun-cat
"crabe"-noun-fra "cranc"-noun-cat
"crachat"-noun-fra "escopinada"-noun-cat
"cracher"-verb-fra "escopir"-verb-cat
"crack"-noun-fra "crack"-noun-cat
"Cracovie"-properNoun-fra "Cracòvia"-properNoun-cat
"Craig"-properNoun-fra "Craig"-properNoun-cat
"Craig"-properNoun-fra "Craig"-properNoun-cat
"craindre"-verb-fra "témer"-verb-cat
"crainte"-noun-fra "temor"-noun-cat
"craintif"-adjective-fra "temorós"-adjective-cat
"craintif"-adjective-fra "temorós"-adjective-cat
"craintif"-adjective-fra "poruc"-adjective-cat
"craintif"-adjective-fra "poruc"-adjective-cat
"crampe"-noun-fra "rampa"-noun-cat
"Cramponne"-properNoun-fra "Cramponne"-properNoun-cat
"Cranach"-properNoun-fra "Cranach"-properNoun-cat
"crâne"-noun-fra "crani"-noun-cat
"crâne"-noun-fra "calavera"-noun-cat
"Crane"-properNoun-fra "Crane"-properNoun-cat
"crâneur"-noun-fra "merdós"-noun-cat
"crânien"-adjective-fra "cranial"-adjective-cat
"crânio-encéphalique"-adjective-fra "cranioencefàlic"-adjective-cat
"cranio-facial"-adjective-fra "craniofacial"-adjective-cat
"craniofacial"-adjective-fra "craniofacial"-adjective-cat
"craniométrie"-noun-fra "craniometria"-noun-cat
"Cranmer"-properNoun-fra "Cranmer"-properNoun-cat
"cranté"-adjective-fra "dentat"-adjective-cat
"Crapanzano"-properNoun-fra "Crapanzano"-properNoun-cat
"Craparo"-properNoun-fra "Craparo"-properNoun-cat
"crapaud"-noun-fra "gripau"-noun-cat
"Crapolicchio"-properNoun-fra "Crapolicchio"-properNoun-cat
"crapule"-noun-fra "cràpula"-noun-cat
"crapuleux"-adjective-fra "crapulós"-adjective-cat
"craquant"-adjective-fra "cruixent"-adjective-cat
"craqueler"-verb-fra "clivellar"-verb-cat
"craquelure"-noun-fra "clivella"-noun-cat
"craquement"-noun-fra "cruiximent"-noun-cat
"craquement"-noun-fra "cruixit"-noun-cat
"craquer"-verb-fra "cruixir"-verb-cat
"Cras"-properNoun-fra "Cras"-properNoun-cat
"crash"-noun-fra "accident aeri"-noun-cat
"crash"-noun-fra "crac"-noun-cat
"crash aérien"-noun-fra "accident aeri"-noun-cat
"crasseux"-adjective-fra "llardós"-adjective-cat
"crasseux"-adjective-fra "llardós"-adjective-cat
"cratère"-noun-fra "cràter"-noun-cat
"cravacher"-verb-fra "fuetejar"-verb-cat
"cravate"-noun-fra "corbata"-noun-cat
"Crawford"-properNoun-fra "Crawford"-properNoun-cat
"Craxi"-properNoun-fra "Craxi"-properNoun-cat
"crayon"-noun-fra "llapis"-noun-cat
"créancier"-adjective-fra "creditor"-adjective-cat
"créancier"-noun-fra "creditor"-noun-cat
"Creangă"-properNoun-fra "Creangă"-properNoun-cat
"créateur"-adjective-fra "creador"-adjective-cat
"créateur"-noun-fra "creador"-noun-cat
"créatif"-adjective-fra "creatiu"-adjective-cat
"créatine"-noun-fra "creatina"-noun-cat
"créatinine"-noun-fra "creatinina"-noun-cat
"création"-noun-fra "creació"-noun-cat
"créationnisme"-noun-fra "creacionisme"-noun-cat
"créationniste"-adjective-fra "creacionista"-adjective-cat
"créationniste"-noun-fra "creacionista"-noun-cat
"créativité"-noun-fra "creativitat"-noun-cat
"créature"-noun-fra "criatura"-noun-cat
"crèche"-noun-fra "pessebre"-noun-cat
"crèche"-noun-fra "guarderia"-noun-cat
"Crécy"-properNoun-fra "Crécy"-properNoun-cat
"crédence"-noun-fra "credença"-noun-cat
"crédibilité"-noun-fra "credibilitat"-noun-cat
"crédible"-adjective-fra "creïble"-adjective-cat
"crédit"-noun-fra "crèdit"-noun-cat
"crédit foncier"-noun-fra "crèdit immobiliari"-noun-cat
"Crédit-Agricole"-properNoun-fra "Crédit-Agricole"-properNoun-cat
"créditer"-verb-fra "acreditar"-verb-cat
"créditeur"-adjective-fra "creditor"-adjective-cat
"créditeur"-noun-fra "creditor"-noun-cat
"credo"-noun-fra "credo"-noun-cat
"crédulité"-noun-fra "credulitat"-noun-cat
"creek"-adjective-fra "creek"-adjective-cat
"creek"-noun-fra "creek"-noun-cat
"créer"-verb-fra "crear"-verb-cat
"créer"-verb-fra "instituir"-verb-cat
"Creixell"-properNoun-fra "Creixell"-properNoun-cat
"Creixell"-properNoun-fra "Creixell"-properNoun-cat
"Crema"-properNoun-fra "Crema"-properNoun-cat
"Cremades"-properNoun-fra "Cremades"-properNoun-cat
"crémaillère"-noun-fra "cremallera"-noun-cat
"crémation"-noun-fra "cremació"-noun-cat
"crématoire"-adjective-fra "crematori"-adjective-cat
"crematorium"-noun-fra "crematori"-noun-cat
"crématorium"-noun-fra "crematori"-noun-cat
"crème"-adjective-fra "crema"-adjective-cat
"crème"-noun-fra "crema"-noun-cat
"crémeux"-adjective-fra "cremós"-adjective-cat
"crémone"-noun-fra "cremona"-noun-cat
"Cremonesi"-properNoun-fra "Cremonesi"-properNoun-cat
"créneau"-noun-fra "merlet"-noun-cat
"créneau"-noun-fra "tronera"-noun-cat
"crénothérapie"-noun-fra "crenoteràpia"-noun-cat
"créole"-adjective-fra "crioll"-adjective-cat
"créole"-noun-fra "crioll"-noun-cat
"créosote"-noun-fra "creosota"-noun-cat
"crêpe"-noun-fra "crep"-noun-cat
"crêpe"-noun-fra "crespell"-noun-cat
"crêpe"-noun-fra "crespó"-noun-cat
"Crépeau"-properNoun-fra "Crépeau"-properNoun-cat
"crêperie"-noun-fra "creperia"-noun-cat
"Crépin"-properNoun-fra "Crépin"-properNoun-cat
"crépitant"-adjective-fra "crepitant"-adjective-cat
"crépitation"-noun-fra "crepitació"-noun-cat
"crépiter"-verb-fra "crepitar"-verb-cat
"crépusculaire"-adjective-fra "crepuscular"-adjective-cat
"crépuscule"-noun-fra "crepuscle"-noun-cat
"crépuscule"-noun-fra "capvespre"-noun-cat
"Crescencia"-properNoun-fra "Crescencia"-properNoun-cat
"Crescentiis"-properNoun-fra "Crescentiis"-properNoun-cat
"Cresco"-properNoun-fra "Cresco"-properNoun-cat
"crésol"-noun-fra "cresol"-noun-cat
"Crespi"-properNoun-fra "Crespi"-properNoun-cat
"Crespí"-properNoun-fra "Crespí"-properNoun-cat
"Crespià"-properNoun-fra "Crespià"-properNoun-cat
"Crespillo"-properNoun-fra "Crespillo"-properNoun-cat
"Crespo"-properNoun-fra "Crespo"-properNoun-cat
"cresson"-noun-fra "créixens"-noun-cat
"Cresson"-properNoun-fra "Cresson"-properNoun-cat
"Cresswell"-properNoun-fra "Cresswell"-properNoun-cat
"Crestian"-properNoun-fra "Crestian"-properNoun-cat
"Crestian"-properNoun-fra "Crestian"-properNoun-cat
"crétacé"-adjective-fra "cretàcic"-adjective-cat
"crétacé"-noun-fra "cretaci"-noun-cat
"crête"-noun-fra "cresta"-noun-cat
"Crète"-properNoun-fra "Creta"-properNoun-cat
"Crête"-properNoun-fra "Crête"-properNoun-cat
"crétin"-adjective-fra "cretí"-adjective-cat
"crétin"-noun-fra "cretí"-noun-cat
"crétinisme"-noun-fra "cretinisme"-noun-cat
"Creton"-properNoun-fra "Creton"-properNoun-cat
"cretonne"-noun-fra "cretona"-noun-cat
"Creus"-properNoun-fra "Creus"-properNoun-cat
"creuser"-verb-fra "excavar"-verb-cat
"creuser"-verb-fra "cavar"-verb-cat
"creuset"-noun-fra "cresol"-noun-cat
"creuset"-noun-fra "gresol"-noun-cat
"Creuso"-properNoun-fra "Creuso"-properNoun-cat
"Creusot"-properNoun-fra "Creusot"-properNoun-cat
"creux"-noun-fra "buit"-noun-cat
"crevasse"-noun-fra "esquerda"-noun-cat
"crevasse"-noun-fra "clivella"-noun-cat
"crevasser"-verb-fra "esquerdar"-verb-cat
"crevé"-adjective-fra "exhaust"-adjective-cat
"crever"-verb-fra "rebentar"-verb-cat
"crever"-verb-fra "crebar"-verb-cat
"crevette"-noun-fra "gamba"-noun-cat
"Crevier"-properNoun-fra "Crevier"-properNoun-cat
"Crevillent"-properNoun-fra "Crevillent"-properNoun-cat
"Crewe"-properNoun-fra "Crewe"-properNoun-cat
"Crexells"-properNoun-fra "Crexells"-properNoun-cat
"Crețu"-properNoun-fra "Crețu"-properNoun-cat
"cri"-noun-fra "crit"-noun-cat
"Criado"-properNoun-fra "Criado"-properNoun-cat
"criant"-adjective-fra "escandalós"-adjective-cat
"criard"-adjective-fra "cridaner"-adjective-cat
"criblage"-noun-fra "cribratge"-noun-cat
"crible"-noun-fra "garbell"-noun-cat
"cribler"-verb-fra "crivellar"-verb-cat
"Crichton"-properNoun-fra "Crichton"-properNoun-cat
"Crick"-properNoun-fra "Crick"-properNoun-cat
"cricket"-noun-fra "criquet"-noun-cat
"crier"-verb-fra "cridar"-verb-cat
"crier"-verb-fra "xisclar"-verb-cat
"crieur public"-noun-fra "pregoner"-noun-cat
"crime"-noun-fra "crim"-noun-cat
"Crimée"-properNoun-fra "Crimea"-properNoun-cat
"Crimi"-properNoun-fra "Crimi"-properNoun-cat
"Crimì"-properNoun-fra "Crimì"-properNoun-cat
"criminalisation"-noun-fra "criminalització"-noun-cat
"criminaliser"-verb-fra "criminalitzar"-verb-cat
"criminaliste"-adjective-fra "criminalista"-adjective-cat
"criminaliste"-noun-fra "criminalista"-noun-cat
"criminalité"-noun-fra "criminalitat"-noun-cat
"criminel"-adjective-fra "criminal"-adjective-cat
"criminel"-adjective-fra "penal"-adjective-cat
"criminel"-noun-fra "criminal"-noun-cat
"criminellement"-adverb-fra "criminalment"-adverb-cat
"criminologie"-noun-fra "criminologia"-noun-cat
"criminologique"-adjective-fra "criminològic"-adjective-cat
"criminologue"-noun-fra "criminòleg"-noun-cat
"crin"-noun-fra "crinera"-noun-cat
"crinière"-noun-fra "crins"-noun-cat
"crinière"-noun-fra "crins"-noun-cat
"crinière"-noun-fra "crins"-noun-cat
"Crinò"-properNoun-fra "Crinò"-properNoun-cat
"crinoline"-noun-fra "crinolina"-noun-cat
"Crippa"-properNoun-fra "Crippa"-properNoun-cat
"crique"-noun-fra "cala"-noun-cat
"criquet"-noun-fra "llagosta"-noun-cat
"Crisafulli"-properNoun-fra "Crisafulli"-properNoun-cat
"Crisci"-properNoun-fra "Crisci"-properNoun-cat
"Criscione"-properNoun-fra "Criscione"-properNoun-cat
"crise"-noun-fra "crisi"-noun-cat
"Crisp"-properNoun-fra "Crisp"-properNoun-cat
"crispation"-noun-fra "crispació"-noun-cat
"crisper"-verb-fra "crispar"-verb-cat
"Crispim"-properNoun-fra "Crispim"-properNoun-cat
"Crispin"-properNoun-fra "Crispin"-properNoun-cat
"Crispo"-properNoun-fra "Crispo"-properNoun-cat
"crisser"-verb-fra "carrisquejar"-verb-cat
