"ac’h"-interjection-bre "arrg"-interjection-fra
"saourus"-adjective-bre "savoureux"-adjective-fra
"saourus"-adjective-bre "savoureux"-adjective-fra
"sirius"-adjective-bre "sérieux"-adjective-fra
"sirius"-adjective-bre "sérieux"-adjective-fra
"sirius"-adjective-bre "sérieux"-adjective-fra
"sirius"-adjective-bre "sérieux"-adjective-fra
"sirius"-adjective-bre "sérieux"-adjective-fra
"talvoudek"-adjective-bre "précieux"-adjective-fra
"talvoudek"-adjective-bre "précieux"-adjective-fra
"talvoudek"-adjective-bre "précieux"-adjective-fra
"talvoudek"-adjective-bre "précieux"-adjective-fra
"talvoudek"-adjective-bre "précieux"-adjective-fra
"torr-penn"-adjective-bre "ennuyeux"-adjective-fra
"torr-penn"-adjective-bre "ennuyeux"-adjective-fra
"torr-penn"-adjective-bre "ennuyeux"-adjective-fra
"torr-penn"-adjective-bre "ennuyeux"-adjective-fra
"torr-penn"-adjective-bre "ennuyeux"-adjective-fra
"toull"-adjective-bre "creux"-adjective-fra
"toull"-adjective-bre "creux"-adjective-fra
"toull"-adjective-bre "creux"-adjective-fra
"toull"-adjective-bre "creux"-adjective-fra
"toull"-adjective-bre "creux"-adjective-fra
"traezhek"-adjective-bre "sablonneux"-adjective-fra
"traezhek"-adjective-bre "sablonneux"-adjective-fra
"traezhek"-adjective-bre "sablonneux"-adjective-fra
"traezhek"-adjective-bre "sablonneux"-adjective-fra
"traezhek"-adjective-bre "sablonneux"-adjective-fra
"trec’h"-adjective-bre "victorieux"-adjective-fra
"trec’h"-adjective-bre "victorieux"-adjective-fra
"trec’h"-adjective-bre "victorieux"-adjective-fra
"trec’h"-adjective-bre "victorieux"-adjective-fra
"henc’hresian"-adjective-bre "grec antique"-adjective-fra
"henc’hresian"-adjective-bre "grec antique"-adjective-fra
"henc’hresian"-adjective-bre "grec antique"-adjective-fra
"henc’hresian"-adjective-bre "grec antique"-adjective-fra
"henc’hresian"-adjective-bre "grec antique"-adjective-fra
"henc’hresian"-adjective-bre "grec antique"-adjective-fra
"gresian"-adjective-bre "grec"-adjective-fra
"gresian"-adjective-bre "grec"-adjective-fra
"gresian"-adjective-bre "grec"-adjective-fra
"gresian"-adjective-bre "grec"-adjective-fra
"gresian"-adjective-bre "grec"-adjective-fra
"gresian"-adjective-bre "grec"-adjective-fra
"krin"-adjective-bre "sev"-adjective-fra
"krin"-adjective-bre "sec"-adjective-fra
"krin"-adjective-bre "sec"-adjective-fra
"krin"-adjective-bre "sec"-adjective-fra
"krin"-adjective-bre "sec"-adjective-fra
"krin"-adjective-bre "sec"-adjective-fra
"kras"-adjective-bre "sec"-adjective-fra
"kras"-adjective-bre "sec"-adjective-fra
"kras"-adjective-bre "sec"-adjective-fra
"kras"-adjective-bre "sec"-adjective-fra
"kras"-adjective-bre "sec"-adjective-fra
"kras"-adjective-bre "sec"-adjective-fra
"kann"-adjective-bre "blanc"-adjective-fra
"kann"-adjective-bre "blanc"-adjective-fra
"kann"-adjective-bre "blanc"-adjective-fra
"kann"-adjective-bre "blanc"-adjective-fra
"kann"-adjective-bre "blanc"-adjective-fra
"stegn"-adjective-bre "tendu"-adjective-fra
"stegn"-adjective-bre "tendu"-adjective-fra
"stegn"-adjective-bre "tendu"-adjective-fra
"stegn"-adjective-bre "tendu"-adjective-fra
"stegn"-adjective-bre "tendu"-adjective-fra
"steredennus"-adjective-bre "scintillant"-adjective-fra
"steredennus"-adjective-bre "scintillant"-adjective-fra
"steredennus"-adjective-bre "scintillant"-adjective-fra
"steredennus"-adjective-bre "scintillant"-adjective-fra
"steredennus"-adjective-bre "scintillant"-adjective-fra
"flamank"-adjective-bre "flamand"-adjective-fra
"flamank"-adjective-bre "flamand"-adjective-fra
"flamank"-adjective-bre "flamand"-adjective-fra
"flamank"-adjective-bre "flamand"-adjective-fra
"flamank"-adjective-bre "flamand"-adjective-fra
"flamank"-adjective-bre "flamand"-adjective-fra
"flandrezat"-adjective-bre "flamand"-adjective-fra
"flandrezat"-adjective-bre "flamand"-adjective-fra
"flandrezat"-adjective-bre "flamand"-adjective-fra
"flandrezat"-adjective-bre "flamand"-adjective-fra
"flandrezat"-adjective-bre "flamand"-adjective-fra
"flandrezat"-adjective-bre "flamand"-adjective-fra
"gwenn"-adjective-bre "blanc"-adjective-fra
"gwenn"-adjective-bre "blanc"-adjective-fra
"gwenn"-adjective-bre "blanc"-adjective-fra
"gwenn"-adjective-bre "blanc"-adjective-fra
"gwenn"-adjective-bre "blanc"-adjective-fra
"gwenn"-adjective-bre "blanc"-adjective-fra
"divalav"-adjective-bre "laid"-adjective-fra
"divalav"-adjective-bre "laid"-adjective-fra
"divalav"-adjective-bre "laid"-adjective-fra
"divalav"-adjective-bre "laid"-adjective-fra
"divalav"-adjective-bre "laid"-adjective-fra
"divalav"-adjective-bre "laid"-adjective-fra
"yen"-adjective-bre "froid"-adjective-fra
"yen"-adjective-bre "froid"-adjective-fra
"yen"-adjective-bre "froid"-adjective-fra
"yen"-adjective-bre "froid"-adjective-fra
"yen"-adjective-bre "froid"-adjective-fra
"yen"-adjective-bre "froid"-adjective-fra
"alamanek"-adjective-bre "allemand"-adjective-fra
"alamanek"-adjective-bre "allemand"-adjective-fra
"alamanek"-adjective-bre "allemand"-adjective-fra
"alamanek"-adjective-bre "allemand"-adjective-fra
"alamanek"-adjective-bre "allemand"-adjective-fra
"alamanek"-adjective-bre "allemand"-adjective-fra
"alaman"-adjective-bre "allemand"-adjective-fra
"alaman"-adjective-bre "allemand"-adjective-fra
"alaman"-adjective-bre "allemand"-adjective-fra
"alaman"-adjective-bre "allemand"-adjective-fra
"alaman"-adjective-bre "allemand"-adjective-fra
"alaman"-adjective-bre "allemand"-adjective-fra
"disheñvel"-adjective-bre "différent"-adjective-fra
"disheñvel"-adjective-bre "différent"-adjective-fra
"disheñvel"-adjective-bre "différent"-adjective-fra
"disheñvel"-adjective-bre "différent"-adjective-fra
"disheñvel"-adjective-bre "différent"-adjective-fra
"disheñvel"-adjective-bre "différent"-adjective-fra
"desket"-adjective-bre "instruit"-adjective-fra
"desket"-adjective-bre "instruit"-adjective-fra
"desket"-adjective-bre "instruit"-adjective-fra
"desket"-adjective-bre "instruit"-adjective-fra
"desket"-adjective-bre "instruit"-adjective-fra
"desket"-adjective-bre "instruit"-adjective-fra
"dudius"-adjective-bre "intéressant"-adjective-fra
"dudius"-adjective-bre "intéressant"-adjective-fra
"dudius"-adjective-bre "intéressant"-adjective-fra
"dudius"-adjective-bre "intéressant"-adjective-fra
"dudius"-adjective-bre "intéressant"-adjective-fra
"dudius"-adjective-bre "intéressant"-adjective-fra
"laouen"-adjective-bre "content"-adjective-fra
"laouen"-adjective-bre "content"-adjective-fra
"laouen"-adjective-bre "content"-adjective-fra
"laouen"-adjective-bre "content"-adjective-fra
"laouen"-adjective-bre "content"-adjective-fra
"laouen"-adjective-bre "content"-adjective-fra
"prezidantel"-adjective-bre "présidentiel"-adjective-fra
"prezidantel"-adjective-bre "présidentiel"-adjective-fra
"prezidantel"-adjective-bre "présidentiel"-adjective-fra
"prezidantel"-adjective-bre "présidentiel"-adjective-fra
"prezidantel"-adjective-bre "présidentiel"-adjective-fra
"prezidantel"-adjective-bre "présidentiel"-adjective-fra
"emsav"-adjective-bre "avantageux"-adjective-fra
"emsav"-adjective-bre "avantageux"-adjective-fra
"emsav"-adjective-bre "avantageux"-adjective-fra
"emsav"-adjective-bre "avantageux"-adjective-fra
"emsav"-adjective-bre "avantageux"-adjective-fra
"spletus"-adjective-bre "avantageux"-adjective-fra
"spletus"-adjective-bre "avantageux"-adjective-fra
"spletus"-adjective-bre "avantageux"-adjective-fra
"spletus"-adjective-bre "avantageux"-adjective-fra
"spletus"-adjective-bre "avantageux"-adjective-fra
"indezeuropek"-adjective-bre "indoeuropéen"-adjective-fra
"indezeuropek"-adjective-bre "indoeuropéen"-adjective-fra
"indezeuropek"-adjective-bre "indoeuropéen"-adjective-fra
"indezeuropek"-adjective-bre "indoeuropéen"-adjective-fra
"indezeuropek"-adjective-bre "indoeuropéen"-adjective-fra
"indezeuropek"-adjective-bre "indoeuropéen"-adjective-fra
"korean"-adjective-bre "coréen"-adjective-fra
"korean"-adjective-bre "coréen"-adjective-fra
"korean"-adjective-bre "coréen"-adjective-fra
"korean"-adjective-bre "coréen"-adjective-fra
"korean"-adjective-bre "coréen"-adjective-fra
"korean"-adjective-bre "coréen"-adjective-fra
"etrekeltiek"-adjective-bre "interceltique"-adjective-fra
"etrekeltiek"-adjective-bre "interceltique"-adjective-fra
"etrekeltiek"-adjective-bre "interceltique"-adjective-fra
"etrekeltiek"-adjective-bre "interceltique"-adjective-fra
"kelt"-adjective-bre "celtique"-adjective-fra
"kelt"-adjective-bre "celtique"-adjective-fra
"kelt"-adjective-bre "celtique"-adjective-fra
"kelt"-adjective-bre "celtique"-adjective-fra
"keltiek"-adjective-bre "celtique"-adjective-fra
"keltiek"-adjective-bre "celtique"-adjective-fra
"keltiek"-adjective-bre "celtique"-adjective-fra
"keltiek"-adjective-bre "celtique"-adjective-fra
"begek"-adjective-bre "benêt"-adjective-fra
"begek"-adjective-bre "benêt"-adjective-fra
"begek"-adjective-bre "benêt"-adjective-fra
"begek"-adjective-bre "benêt"-adjective-fra
"blevek"-adjective-bre "chevelu"-adjective-fra
"blevek"-adjective-bre "chevelu"-adjective-fra
"blevek"-adjective-bre "chevelu"-adjective-fra
"blevek"-adjective-bre "chevelu"-adjective-fra
"blevek"-adjective-bre "chevelu"-adjective-fra
"blevek"-adjective-bre "chevelu"-adjective-fra
"kofek"-adjective-bre "ventru"-adjective-fra
"kofek"-adjective-bre "ventru"-adjective-fra
"kofek"-adjective-bre "ventru"-adjective-fra
"kofek"-adjective-bre "ventru"-adjective-fra
"kofek"-adjective-bre "ventru"-adjective-fra
"kofek"-adjective-bre "ventru"-adjective-fra
"breizhek"-adjective-bre "breton"-adjective-fra
"breizhek"-adjective-bre "breton"-adjective-fra
"breizhek"-adjective-bre "breton"-adjective-fra
"breizhek"-adjective-bre "breton"-adjective-fra
"breizhek"-adjective-bre "breton"-adjective-fra
"breizhek"-adjective-bre "breton"-adjective-fra
"nevezvreizhek"-adjective-bre "néo-breton"-adjective-fra
"nevezvreizhek"-adjective-bre "néo-breton"-adjective-fra
"nevezvreizhek"-adjective-bre "néo-breton"-adjective-fra
"nevezvreizhek"-adjective-bre "néo-breton"-adjective-fra
"nevezvreizhek"-adjective-bre "néo-breton"-adjective-fra
"nevezvreizhek"-adjective-bre "néo-breton"-adjective-fra
"dellezek"-adjective-bre "méritant"-adjective-fra
"dellezek"-adjective-bre "méritant"-adjective-fra
"dellezek"-adjective-bre "méritant"-adjective-fra
"dellezek"-adjective-bre "méritant"-adjective-fra
"dellezek"-adjective-bre "méritant"-adjective-fra
"dellezek"-adjective-bre "méritant"-adjective-fra
"diabetek"-adjective-bre "diabétique"-adjective-fra
"diabetek"-adjective-bre "diabétique"-adjective-fra
"diabetek"-adjective-bre "diabétique"-adjective-fra
"diabetek"-adjective-bre "diabétique"-adjective-fra
"etnek"-adjective-bre "ethnique"-adjective-fra
"etnek"-adjective-bre "ethnique"-adjective-fra
"etnek"-adjective-bre "ethnique"-adjective-fra
"etnek"-adjective-bre "ethnique"-adjective-fra
"generek"-adjective-bre "générique"-adjective-fra
"generek"-adjective-bre "générique"-adjective-fra
"generek"-adjective-bre "générique"-adjective-fra
"generek"-adjective-bre "générique"-adjective-fra
"genetek"-adjective-bre "génétique"-adjective-fra
"genetek"-adjective-bre "génétique"-adjective-fra
"genetek"-adjective-bre "génétique"-adjective-fra
"genetek"-adjective-bre "génétique"-adjective-fra
"germanek"-adjective-bre "germanique"-adjective-fra
"germanek"-adjective-bre "germanique"-adjective-fra
"germanek"-adjective-bre "germanique"-adjective-fra
"germanek"-adjective-bre "germanique"-adjective-fra
"euskarat"-adjective-bre "basque"-adjective-fra
"euskarat"-adjective-bre "basque"-adjective-fra
"euskarat"-adjective-bre "basque"-adjective-fra
"euskarat"-adjective-bre "basque"-adjective-fra
"gotek"-adjective-bre "gothique"-adjective-fra
"gotek"-adjective-bre "gothique"-adjective-fra
"gotek"-adjective-bre "gothique"-adjective-fra
"gotek"-adjective-bre "gothique"-adjective-fra
"gouezelek"-adjective-bre "gaélique"-adjective-fra
"gouezelek"-adjective-bre "gaélique"-adjective-fra
"gouezelek"-adjective-bre "gaélique"-adjective-fra
"gouezelek"-adjective-bre "gaélique"-adjective-fra
"gresianek"-adjective-bre "grec"-adjective-fra
"gresianek"-adjective-bre "grec"-adjective-fra
"gresianek"-adjective-bre "grec"-adjective-fra
"gresianek"-adjective-bre "grec"-adjective-fra
"gresianek"-adjective-bre "grec"-adjective-fra
"gresianek"-adjective-bre "grec"-adjective-fra
"hebraek"-adjective-bre "hébraïque"-adjective-fra
"hebraek"-adjective-bre "hébraïque"-adjective-fra
"hebraek"-adjective-bre "hébraïque"-adjective-fra
"hebraek"-adjective-bre "hébraïque"-adjective-fra
"hellenek"-adjective-bre "hellénique"-adjective-fra
"hellenek"-adjective-bre "hellénique"-adjective-fra
"hellenek"-adjective-bre "hellénique"-adjective-fra
"hellenek"-adjective-bre "hellénique"-adjective-fra
"henvrezhonek"-adjective-bre "vieux-breton"-adjective-fra
"henvrezhonek"-adjective-bre "vieux-breton"-adjective-fra
"henvrezhonek"-adjective-bre "vieux-breton"-adjective-fra
"henvrezhonek"-adjective-bre "vieux-breton"-adjective-fra
"henvrezhonek"-adjective-bre "vieux-breton"-adjective-fra
"henvrezhonek"-adjective-bre "vieux-breton"-adjective-fra
"hirgarrezek"-adjective-bre "rectangulaire"-adjective-fra
"hirgarrezek"-adjective-bre "rectangulaire"-adjective-fra
"hirgarrezek"-adjective-bre "rectangulaire"-adjective-fra
"hirgarrezek"-adjective-bre "rectangulaire"-adjective-fra
"islamek"-adjective-bre "islamique"-adjective-fra
"islamek"-adjective-bre "islamique"-adjective-fra
"islamek"-adjective-bre "islamique"-adjective-fra
"islamek"-adjective-bre "islamique"-adjective-fra
"iwerzhonek"-adjective-bre "irlandais"-adjective-fra
"iwerzhonek"-adjective-bre "irlandais"-adjective-fra
"iwerzhonek"-adjective-bre "irlandais"-adjective-fra
"iwerzhonek"-adjective-bre "irlandais"-adjective-fra
"iwerzhonek"-adjective-bre "irlandais"-adjective-fra
"iwerzhonek"-adjective-bre "irlandais"-adjective-fra
"izelvroek"-adjective-bre "néerlandais"-adjective-fra
"izelvroek"-adjective-bre "néerlandais"-adjective-fra
"izelvroek"-adjective-bre "néerlandais"-adjective-fra
"izelvroek"-adjective-bre "néerlandais"-adjective-fra
"izelvroek"-adjective-bre "néerlandais"-adjective-fra
"izelvroek"-adjective-bre "néerlandais"-adjective-fra
"karrezek"-adjective-bre "carré"-adjective-fra
"karrezek"-adjective-bre "carré"-adjective-fra
"karrezek"-adjective-bre "carré"-adjective-fra
"karrezek"-adjective-bre "carré"-adjective-fra
"karrezek"-adjective-bre "carré"-adjective-fra
"karrezek"-adjective-bre "carré"-adjective-fra
"kelc’hiek"-adjective-bre "circulaire"-adjective-fra
"kelc’hiek"-adjective-bre "circulaire"-adjective-fra
"kelc’hiek"-adjective-bre "circulaire"-adjective-fra
"kelc’hiek"-adjective-bre "circulaire"-adjective-fra
"kembraek"-adjective-bre "gallois"-adjective-fra
"kembraek"-adjective-bre "gallois"-adjective-fra
"kembraek"-adjective-bre "gallois"-adjective-fra
"kembraek"-adjective-bre "gallois"-adjective-fra
"kembraek"-adjective-bre "gallois"-adjective-fra
"kembraek"-adjective-bre "gallois"-adjective-fra
"kevrennek"-adjective-bre "composé"-adjective-fra
"kevrennek"-adjective-bre "composé"-adjective-fra
"kevrennek"-adjective-bre "composé"-adjective-fra
"kevrennek"-adjective-bre "composé"-adjective-fra
"kevrennek"-adjective-bre "composé"-adjective-fra
"kevrennek"-adjective-bre "composé"-adjective-fra
"atebek"-adjective-bre "responsable"-adjective-fra
"atebek"-adjective-bre "responsable"-adjective-fra
"atebek"-adjective-bre "responsable"-adjective-fra
"atebek"-adjective-bre "responsable"-adjective-fra
"kiriek"-adjective-bre "responsable"-adjective-fra
"kiriek"-adjective-bre "responsable"-adjective-fra
"kiriek"-adjective-bre "responsable"-adjective-fra
"kiriek"-adjective-bre "responsable"-adjective-fra
"kirillek"-adjective-bre "cyrillique"-adjective-fra
"kirillek"-adjective-bre "cyrillique"-adjective-fra
"kirillek"-adjective-bre "cyrillique"-adjective-fra
"kirillek"-adjective-bre "cyrillique"-adjective-fra
"kranennek"-adjective-bre "cylindrique"-adjective-fra
"kranennek"-adjective-bre "cylindrique"-adjective-fra
"kranennek"-adjective-bre "cylindrique"-adjective-fra
"kranennek"-adjective-bre "cylindrique"-adjective-fra
"lodek"-adjective-bre "complice"-adjective-fra
"lodek"-adjective-bre "complice"-adjective-fra
"lodek"-adjective-bre "complice"-adjective-fra
"lodek"-adjective-bre "complice"-adjective-fra
"lostek"-adjective-bre "penaud"-adjective-fra
"lostek"-adjective-bre "penaud"-adjective-fra
"lostek"-adjective-bre "penaud"-adjective-fra
"lostek"-adjective-bre "penaud"-adjective-fra
"lostek"-adjective-bre "penaud"-adjective-fra
"lostek"-adjective-bre "penaud"-adjective-fra
"magnetek"-adjective-bre "magnétique"-adjective-fra
"magnetek"-adjective-bre "magnétique"-adjective-fra
"magnetek"-adjective-bre "magnétique"-adjective-fra
"magnetek"-adjective-bre "magnétique"-adjective-fra
"pennek"-adjective-bre "têtu"-adjective-fra
"pennek"-adjective-bre "têtu"-adjective-fra
"pennek"-adjective-bre "têtu"-adjective-fra
"pennek"-adjective-bre "têtu"-adjective-fra
"pennek"-adjective-bre "têtu"-adjective-fra
"pennek"-adjective-bre "têtu"-adjective-fra
"pevarzroadek"-adjective-bre "quadrumane"-adjective-fra
"pevarzroadek"-adjective-bre "quadrumane"-adjective-fra
"pevarzroadek"-adjective-bre "quadrumane"-adjective-fra
"pevarzroadek"-adjective-bre "quadrumane"-adjective-fra
"pevarzroadek"-adjective-bre "quadrumane"-adjective-fra
"pneumatek"-adjective-bre "pneumatique"-adjective-fra
"pneumatek"-adjective-bre "pneumatique"-adjective-fra
"pneumatek"-adjective-bre "pneumatique"-adjective-fra
"pneumatek"-adjective-bre "pneumatique"-adjective-fra
"predenek"-adjective-bre "brittonique"-adjective-fra
"predenek"-adjective-bre "brittonique"-adjective-fra
"predenek"-adjective-bre "brittonique"-adjective-fra
"predenek"-adjective-bre "brittonique"-adjective-fra
"rodellek"-adjective-bre "frisé"-adjective-fra
"rodellek"-adjective-bre "frisé"-adjective-fra
"rodellek"-adjective-bre "frisé"-adjective-fra
"rodellek"-adjective-bre "frisé"-adjective-fra
"rodellek"-adjective-bre "frisé"-adjective-fra
"rodellek"-adjective-bre "frisé"-adjective-fra
"romanek"-adjective-bre "roman"-adjective-fra
"romanek"-adjective-bre "roman"-adjective-fra
"romanek"-adjective-bre "roman"-adjective-fra
"romanek"-adjective-bre "roman"-adjective-fra
"romanek"-adjective-bre "roman"-adjective-fra
"romanek"-adjective-bre "roman"-adjective-fra
"semitek"-adjective-bre "sémitique"-adjective-fra
"semitek"-adjective-bre "sémitique"-adjective-fra
"semitek"-adjective-bre "sémitique"-adjective-fra
"semitek"-adjective-bre "sémitique"-adjective-fra
"silabennek"-adjective-bre "syllabique"-adjective-fra
"silabennek"-adjective-bre "syllabique"-adjective-fra
"silabennek"-adjective-bre "syllabique"-adjective-fra
"silabennek"-adjective-bre "syllabique"-adjective-fra
"simetrek"-adjective-bre "symétrique"-adjective-fra
"simetrek"-adjective-bre "symétrique"-adjective-fra
"simetrek"-adjective-bre "symétrique"-adjective-fra
"simetrek"-adjective-bre "symétrique"-adjective-fra
"sinaek"-adjective-bre "chinois"-adjective-fra
"sinaek"-adjective-bre "chinois"-adjective-fra
"sinaek"-adjective-bre "chinois"-adjective-fra
"sinaek"-adjective-bre "chinois"-adjective-fra
"sinaek"-adjective-bre "chinois"-adjective-fra
"sinaek"-adjective-bre "chinois"-adjective-fra
"skiantek"-adjective-bre "sensé"-adjective-fra
"skiantek"-adjective-bre "sensé"-adjective-fra
"skiantek"-adjective-bre "sensé"-adjective-fra
"skiantek"-adjective-bre "sensé"-adjective-fra
"skiantek"-adjective-bre "sensé"-adjective-fra
"skiantek"-adjective-bre "sensé"-adjective-fra
"slavek"-adjective-bre "slave"-adjective-fra
"slavek"-adjective-bre "slave"-adjective-fra
"slavek"-adjective-bre "slave"-adjective-fra
"slavek"-adjective-bre "slave"-adjective-fra
"fin"-adjective-bre "fin"-adjective-fra
"fin"-adjective-bre "fin"-adjective-fra
"fin"-adjective-bre "fin"-adjective-fra
"fin"-adjective-bre "fin"-adjective-fra
"fin"-adjective-bre "fin"-adjective-fra
"fin"-adjective-bre "fin"-adjective-fra
"endroel"-adjective-bre "environnemental"-adjective-fra
"endroel"-adjective-bre "environnemental"-adjective-fra
"endroel"-adjective-bre "environnemental"-adjective-fra
"endroel"-adjective-bre "environnemental"-adjective-fra
"endroel"-adjective-bre "environnemental"-adjective-fra
"endroel"-adjective-bre "environnemental"-adjective-fra
"rannyezhel"-adjective-bre "dialectal"-adjective-fra
"rannyezhel"-adjective-bre "dialectal"-adjective-fra
"rannyezhel"-adjective-bre "dialectal"-adjective-fra
"rannyezhel"-adjective-bre "dialectal"-adjective-fra
"rannyezhel"-adjective-bre "dialectal"-adjective-fra
"rannyezhel"-adjective-bre "dialectal"-adjective-fra
"sokial"-adjective-bre "social"-adjective-fra
"sokial"-adjective-bre "social"-adjective-fra
"sokial"-adjective-bre "social"-adjective-fra
"sokial"-adjective-bre "social"-adjective-fra
"sokial"-adjective-bre "social"-adjective-fra
"sokial"-adjective-bre "social"-adjective-fra
"treuz"-adjective-bre "transversal"-adjective-fra
"treuz"-adjective-bre "transversal"-adjective-fra
"treuz"-adjective-bre "transversal"-adjective-fra
"treuz"-adjective-bre "transversal"-adjective-fra
"treuz"-adjective-bre "transversal"-adjective-fra
"lipous"-adjective-bre "gourmand"-adjective-fra
"lipous"-adjective-bre "gourmand"-adjective-fra
"lipous"-adjective-bre "gourmand"-adjective-fra
"lipous"-adjective-bre "gourmand"-adjective-fra
"lipous"-adjective-bre "gourmand"-adjective-fra
"lipous"-adjective-bre "gourmand"-adjective-fra
"meur"-adjective-bre "grand"-adjective-fra
"meur"-adjective-bre "grand"-adjective-fra
"meur"-adjective-bre "grand"-adjective-fra
"meur"-adjective-bre "grand"-adjective-fra
"meur"-adjective-bre "grand"-adjective-fra
"forc’hellek"-adjective-bre "ambigu"-adjective-fra
"forc’hellek"-adjective-bre "ambigu"-adjective-fra
"forc’hellek"-adjective-bre "ambigu"-adjective-fra
"forc’hellek"-adjective-bre "ambigu"-adjective-fra
"forc’hellek"-adjective-bre "ambigu"-adjective-fra
"nebeut a"-adjective-bre "peu de"-adjective-fra
"a vremañ"-adjective-bre "actuel"-adjective-fra
"a vremañ"-adjective-bre "actuel"-adjective-fra
"a vremañ"-adjective-bre "actuel"-adjective-fra
"a vremañ"-adjective-bre "actuel"-adjective-fra
"a vremañ"-adjective-bre "actuel"-adjective-fra
"kozh"-adjective-bre "vieux"-adjective-fra
"kozh"-adjective-bre "vieux"-adjective-fra
"kozh"-adjective-bre "vieux"-adjective-fra
"kozh"-adjective-bre "vieux"-adjective-fra
"kozh"-adjective-bre "vieux"-adjective-fra
"bras"-adjective-bre "grand"-adjective-fra
"bras"-adjective-bre "grand"-adjective-fra
"bras"-adjective-bre "grand"-adjective-fra
"bras"-adjective-bre "grand"-adjective-fra
"bras"-adjective-bre "grand"-adjective-fra
"bras"-adjective-bre "grand"-adjective-fra
"mezvus"-adjective-bre "énivrant"-adjective-fra
"mezvus"-adjective-bre "énivrant"-adjective-fra
"mezvus"-adjective-bre "énivrant"-adjective-fra
"mezvus"-adjective-bre "énivrant"-adjective-fra
"mezvus"-adjective-bre "énivrant"-adjective-fra
"mezvus"-adjective-bre "énivrant"-adjective-fra
"damvarv"-adjective-bre "moribond"-adjective-fra
"damvarv"-adjective-bre "moribond"-adjective-fra
"damvarv"-adjective-bre "moribond"-adjective-fra
"damvarv"-adjective-bre "moribond"-adjective-fra
"damvarv"-adjective-bre "moribond"-adjective-fra
"eil"-adjective-bre "second"-adjective-fra
"eil"-adjective-bre "second"-adjective-fra
"eil"-adjective-bre "second"-adjective-fra
"eil"-adjective-bre "second"-adjective-fra
"eil"-adjective-bre "second"-adjective-fra
"don"-adjective-bre "profond"-adjective-fra
"don"-adjective-bre "profond"-adjective-fra
"don"-adjective-bre "profond"-adjective-fra
"don"-adjective-bre "profond"-adjective-fra
"don"-adjective-bre "profond"-adjective-fra
"don"-adjective-bre "profond"-adjective-fra
"ront"-adjective-bre "rond"-adjective-fra
"ront"-adjective-bre "rond"-adjective-fra
"ront"-adjective-bre "rond"-adjective-fra
"ront"-adjective-bre "rond"-adjective-fra
"ront"-adjective-bre "rond"-adjective-fra
"ront"-adjective-bre "rond"-adjective-fra
"pounner"-adjective-bre "lourd"-adjective-fra
"pounner"-adjective-bre "lourd"-adjective-fra
"pounner"-adjective-bre "lourd"-adjective-fra
"pounner"-adjective-bre "lourd"-adjective-fra
"pounner"-adjective-bre "lourd"-adjective-fra
"pounner"-adjective-bre "lourd"-adjective-fra
"tomm"-adjective-bre "chaud"-adjective-fra
"tomm"-adjective-bre "chaud"-adjective-fra
"tomm"-adjective-bre "chaud"-adjective-fra
"tomm"-adjective-bre "chaud"-adjective-fra
"tomm"-adjective-bre "chaud"-adjective-fra
"tomm"-adjective-bre "chaud"-adjective-fra
"gor"-adjective-bre "chaud"-adjective-fra
"gor"-adjective-bre "chaud"-adjective-fra
"gor"-adjective-bre "chaud"-adjective-fra
"gor"-adjective-bre "chaud"-adjective-fra
"gor"-adjective-bre "chaud"-adjective-fra
"gor"-adjective-bre "chaud"-adjective-fra
"hoalus"-adjective-bre "âgé"-adjective-fra
"hoalus"-adjective-bre "âgé"-adjective-fra
"hoalus"-adjective-bre "âgé"-adjective-fra
"hoalus"-adjective-bre "âgé"-adjective-fra
"hoalus"-adjective-bre "âgé"-adjective-fra
"hoalus"-adjective-bre "âgé"-adjective-fra
"hoalet"-adjective-bre "âgé"-adjective-fra
"hoalet"-adjective-bre "âgé"-adjective-fra
"hoalet"-adjective-bre "âgé"-adjective-fra
"hoalet"-adjective-bre "âgé"-adjective-fra
"hoalet"-adjective-bre "âgé"-adjective-fra
"hoalet"-adjective-bre "âgé"-adjective-fra
"stag"-adjective-bre "attaché"-adjective-fra
"stag"-adjective-bre "attaché"-adjective-fra
"stag"-adjective-bre "attaché"-adjective-fra
"stag"-adjective-bre "attaché"-adjective-fra
"stag"-adjective-bre "attaché"-adjective-fra
"stag"-adjective-bre "attaché"-adjective-fra
"sall"-adjective-bre "salé"-adjective-fra
"sall"-adjective-bre "salé"-adjective-fra
"sall"-adjective-bre "salé"-adjective-fra
"sall"-adjective-bre "salé"-adjective-fra
"sall"-adjective-bre "salé"-adjective-fra
"sall"-adjective-bre "salé"-adjective-fra
"serr"-adjective-bre "fermé"-adjective-fra
"serr"-adjective-bre "fermé"-adjective-fra
"serr"-adjective-bre "fermé"-adjective-fra
"serr"-adjective-bre "fermé"-adjective-fra
"serr"-adjective-bre "fermé"-adjective-fra
"serr"-adjective-bre "fermé"-adjective-fra
"trumm"-adjective-bre "instantané"-adjective-fra
"trumm"-adjective-bre "instantané"-adjective-fra
"trumm"-adjective-bre "instantané"-adjective-fra
"trumm"-adjective-bre "instantané"-adjective-fra
"trumm"-adjective-bre "instantané"-adjective-fra
"trumm"-adjective-bre "instantané"-adjective-fra
"warlec’hiet"-adjective-bre "retardé"-adjective-fra
"warlec’hiet"-adjective-bre "retardé"-adjective-fra
